data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,popularity
1,China,Beijing,자금성,,,"투어, 예술품 전시관, 레스토랑을 갖춘 거대한 궁전 겸 박물관입니다.",,,https://www.google.com/maps/place/%EC%9E%90%EA%B8%88%EC%84%B1/data=!4m7!3m6!1s0x35f052dd9bcd81ab:0xde43eaed9b106064!8m2!3d39.9163447!4d116.3971546!16s%2Fm%2F02y_3j6!19sChIJq4HNm91S8DURZGAQm-3qQ94?authuser=0&hl=ko&rclk=1,,4.6,15628.0
2,China,Beijing,이화원,,,"화려한 사원과 예술품, 아름다운 자연 경관으로 유명한 호반 궁전입니다.",,,https://www.google.com/maps/place/%EC%9D%B4%ED%99%94%EC%9B%90/data=!4m7!3m6!1s0x3402f8c7b9c38f3f:0x45d9b1774c04a132!8m2!3d39.9999823!4d116.2754606!16zL20vMDFsZGg2!19sChIJP4_Ducf4AjQRMqEETHex2UU?authuser=0&hl=ko&rclk=1,,4.6,7807.0
3,China,Beijing,톈안먼 광장,,,37m 높이의 오벨리스크가 들어선 유서 깊은 대형 도심 광장 및 문화 중심지입니다.,,,https://www.google.com/maps/place/%ED%86%88%EC%95%88%EB%A8%BC+%EA%B4%91%EC%9E%A5/data=!4m7!3m6!1s0x36637698dc4374d9:0x2aea2ec9ad545913!8m2!3d39.9054895!4d116.3976317!16zL20vMGM0NjM!19sChIJ2XRD3Jh2YzYRE1lUrcku6io?authuser=0&hl=ko&rclk=1,,4.3,6930.0
4,China,Beijing,베이징 서우두 국제공항,,,,,,https://www.google.com/maps/place/%EB%B2%A0%EC%9D%B4%EC%A7%95+%EC%84%9C%EC%9A%B0%EB%91%90+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x35f105ddf670201b:0x497cf53a4e23be54!8m2!3d40.0798573!4d116.6031121!16zL20vMDFxbWpt!19sChIJGyBw9t0F8TURVL4jTjr1fEk?authuser=0&hl=ko&rclk=1,,3.5,4248.0
5,China,Beijing,천단,,,1420년에 지어진 유명한 사원으로 공원 내에 특이한 원형 건물이 자리잡고 있습니다.,,,https://www.google.com/maps/place/%EC%B2%9C%EB%8B%A8/data=!4m7!3m6!1s0x35f04d6019ff91eb:0x372c15453b110e6a!8m2!3d39.8821803!4d116.4066056!16zL20vMGo2Mzg!19sChIJ65H_GWBN8DURag4RO0UVLDc?authuser=0&hl=ko&rclk=1,,4.6,1973.0
6,China,Beijing,베이하이 공원,,,"1925년에 처음 문을 연 690,000m² 규모의 옛 황실 공원으로, 큰 호수가 있습니다.",,,https://www.google.com/maps/place/%EB%B2%A0%EC%9D%B4%ED%95%98%EC%9D%B4+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x35f052e6b32b6159:0xe22c80c89d0ec575!8m2!3d39.9254474!4d116.3892639!16zL20vMDRrMWp2!19sChIJWWErs-ZS8DURdcUOnciALOI?authuser=0&hl=ko&rclk=1,,4.5,1499.0
7,China,Beijing,천안문,,,15세기에 지어진 자금성의 상징적이고 유명한 입구로 여러 번 재건을 거듭했습니다.,,,https://www.google.com/maps/place/%EC%B2%9C%EC%95%88%EB%AC%B8/data=!4m7!3m6!1s0x36637698dc4374d9:0x6928cb83a148399a!8m2!3d39.9087202!4d116.3974799!16zL20vMDF5ZG4w!19sChIJ2XRD3Jh2YzYRmjlIoYPLKGk?authuser=0&hl=ko&rclk=1,,4.2,1490.0
8,China,Beijing,National Stadium,,,"새 둥지 모양으로 잘 알려진 경기장으로, 올림픽을 위해 지어졌으며 현재는 이곳에서 콘서트와 스포츠 경기가 열립니다.",,,https://www.google.com/maps/place/National+Stadium/data=!4m7!3m6!1s0x35f054c407008c87:0xee35c9d7f5e387b6!8m2!3d39.9929431!4d116.3965112!16zL20vMDV5M3E0!19sChIJh4wAB8RU8DURtofj9dfJNe4?authuser=0&hl=ko&rclk=1,,4.5,1209.0
9,China,Beijing,원명원,,,"화려한 정원과 유적지가 있는 공원으로, 유적은 1707년에 지어졌으나 1860년 제2차 아편 전쟁 당시 불탔습니다.",,,https://www.google.com/maps/place/%EC%9B%90%EB%AA%85%EC%9B%90/data=!4m7!3m6!1s0x35f056a75a2bd8d3:0xf09f95ad33241d4c!8m2!3d40.0080982!4d116.2982148!16zL20vMDFsZHJf!19sChIJ09grWqdW8DURTB0kM62Vn_A?authuser=0&hl=ko&rclk=1,,4.4,1148.0
10,China,Beijing,팔달령 장성,,,"명나라 때 산꼭대기에 세운 1,000m 높이의 장성으로, 만리장성의 일부입니다.",,,https://www.google.com/maps/place/%ED%8C%94%EB%8B%AC%EB%A0%B9+%EC%9E%A5%EC%84%B1/data=!4m7!3m6!1s0x35f0936d174eb715:0xb3ec1a87d21e409c!8m2!3d40.3597596!4d116.0200204!16zL20vMDNsbWtr!19sChIJFbdOF22T8DURnEAe0oca7LM?authuser=0&hl=ko&rclk=1,,4.6,1100.0
11,China,Beijing,거용관,,,클라우드 플랫폼의 이름으로도 유명한 만리장성의 복원된 구간을 걸을 수 있는 산길입니다.,,,https://www.google.com/maps/place/%EA%B1%B0%EC%9A%A9%EA%B4%80/data=!4m7!3m6!1s0x35f0ed4261785911:0xa779bc66c6adba35!8m2!3d40.289764!4d116.063887!16zL20vMDd2MXI0!19sChIJEVl4YULt8DURNbqtxma8eac?authuser=0&hl=ko&rclk=1,,4.7,1068.0
12,China,Beijing,징산 공원,,,"230,671m² 규모의 역사적인 공원으로 언덕 위에 위치하며 자금성의 경치를 감상할 수 있습니다.",,,https://www.google.com/maps/place/%EC%A7%95%EC%82%B0+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x35f052e0cf4da489:0x95549f0b9c7f635b!8m2!3d39.9250988!4d116.3968433!16zL20vMDJxZnZr!19sChIJiaRNz-BS8DURW2N_nAufVJU?authuser=0&hl=ko&rclk=1,,4.6,1047.0
13,China,Beijing,국가대극원,,,,,,https://www.google.com/maps/place/%EA%B5%AD%EA%B0%80%EB%8C%80%EA%B7%B9%EC%9B%90/data=!4m7!3m6!1s0x35f0528e22e7a273:0x8b74ec5b2f1aaa87!8m2!3d39.904799!4d116.3896712!16zL20vMGN3ODBk!19sChIJc6LnIo5S8DURh6oaL1vsdIs?authuser=0&hl=ko&rclk=1,,4.5,613.0
14,China,Beijing,데이즈 인 포비든 시티 베이징,,,,,,https://www.google.com/maps/place/%EB%8D%B0%EC%9D%B4%EC%A6%88+%EC%9D%B8+%ED%8F%AC%EB%B9%84%EB%93%A0+%EC%8B%9C%ED%8B%B0+%EB%B2%A0%EC%9D%B4%EC%A7%95/data=!4m10!3m9!1s0x35f052bf6916a4a7:0x1cb08f929048a09d!5m2!4m1!1i2!8m2!3d39.9101125!4d116.4061221!16s%2Fg%2F1tdz2_1r!19sChIJp6QWab9S8DURnaBIkJKPsBw?authuser=0&hl=ko&rclk=1,,4.1,589.0
15,China,Beijing,798예술구,,,"공장으로 쓰였던 건물에 현재는 아티스트 스튜디오, 전시관, 노점상, 식당이 들어서 있습니다.",,,https://www.google.com/maps/place/798%EC%98%88%EC%88%A0%EA%B5%AC/data=!4m7!3m6!1s0x35f1aa4a989652f1:0x9327b7151dc78b63!8m2!3d39.984138!4d116.49609!16zL20vMDN3X3lo!19sChIJ8VKWmEqq8TURY4vHHRW3J5M?authuser=0&hl=ko&rclk=1,,4.5,517.0
16,China,Beijing,银锭桥,,,,,,https://www.google.com/maps/place/%E9%93%B6%E9%94%AD%E6%A1%A5/data=!4m7!3m6!1s0x35f0531831825bdd:0x72973d2b7cadd862!8m2!3d39.938958!4d116.393438!16s%2Fg%2F1hhzf_k8v!19sChIJ3VuCMRhT8DURYtitfCs9l3I?authuser=0&hl=ko&rclk=1,,4.3,514.0
17,China,Beijing,올림픽 공원,,,2008년 올림픽을 맞아 건설된 넓은 보도로 현대식인 스타디움과 많은 조각이 자리 잡고 있습니다.,,,https://www.google.com/maps/place/%EC%98%AC%EB%A6%BC%ED%94%BD+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x35f054e8ffbc08b9:0x92c928487cf98fa3!8m2!3d39.9942851!4d116.3936971!16zL20vMDdnNzZz!19sChIJuQi8_-hU8DURo4_5fEgoyZI?authuser=0&hl=ko&rclk=1,,4.5,500.0
18,China,Beijing,중국국가박물관,,,"204,387m² 규모의 방대한 무료 박물관으로, 중국의 역사 및 예술을 다루며 소장 유물이 100만 점 이상입니다.",,,https://www.google.com/maps/place/%EC%A4%91%EA%B5%AD%EA%B5%AD%EA%B0%80%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x35f052b94ab111e7:0x2476241f0e8c609!8m2!3d39.9050945!4d116.4015829!16zL20vMGM0cXFf!19sChIJ5xGxSrlS8DURCcbo8EFiRwI?authuser=0&hl=ko&rclk=1,,4.3,406.0
19,China,Beijing,Hongqiao Market,,,,,,https://www.google.com/maps/place/Hongqiao+Market/data=!4m7!3m6!1s0x35f04d435e6f3663:0x5308e30db2b91de2!8m2!3d39.886072!4d116.420579!16s%2Fg%2F1tcx55p3!19sChIJYzZvXkNN8DUR4h25sg3jCFM?authuser=0&hl=ko&rclk=1,,4.0,364.0
20,China,Beijing,Wangfujing Pedestrian Street,,,"활기차고 유명한 보행자 도로로, 레스토랑, 음식 가판대, 상점이 즐비하며 조각상이 있습니다.",,,https://www.google.com/maps/place/Wangfujing+Pedestrian+Street/data=!4m7!3m6!1s0x35f052c93276a1a5:0xa920138a2a2fc946!8m2!3d39.910959!4d116.411341!16s%2Fg%2F1tdgskn4!19sChIJpaF2MslS8DURRskvKooTIKk?authuser=0&hl=ko&rclk=1,,4.3,362.0
21,China,Beijing,Beijing Workers' Sports Complex,,,,,,https://www.google.com/maps/place/Beijing+Workers%27+Sports+Complex/data=!4m7!3m6!1s0x35f1ace960cba9f5:0xd4733aaae1e93a!8m2!3d39.9298807!4d116.4407424!16zL20vMDc3OTNj!19sChIJ9anLYOms8TUROunhqjpz1AA?authuser=0&hl=ko&rclk=1,,4.3,317.0
22,China,Beijing,Beijing Temple of Confucius,,,,,,https://www.google.com/maps/place/Beijing+Temple+of+Confucius/data=!4m7!3m6!1s0x35f053498ba515b3:0x2baf57140787ea4a!8m2!3d39.946903!4d116.414617!16s%2Fm%2F04jbz3x!19sChIJsxWli0lT8DURSuqHBxRXrys?authuser=0&hl=ko&rclk=1,,4.5,300.0
