data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,China,Beijing,자금성(The Palace Museum),"월: 휴무; 화, 수, 목, 금, 토, 일: 08:30~16:30",,,,국제 전화번호: +86 400 950 1925 웹사이트: https://www.dpm.org.cn/Home.html,https://www.google.com/maps/place/?q=place_id:ChIJq4HNm91S8DURZGAQm-3qQ94,15628,4.6
2,China,Beijing,이화원(Summer Palace),,,,,국제 전화번호: +86 10 6288 1144 웹사이트: http://www.summerpalace-china.com/,https://www.google.com/maps/place/?q=place_id:ChIJP4_Ducf4AjQRMqEETHex2UU,7802,4.6
3,China,Beijing,톈안먼 광장(Tiananmen Square),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2XRD3Jh2YzYRE1lUrcku6io,6929,4.3
4,China,Beijing,천단(Temple of Heaven),"월, 화, 수, 목, 금, 토, 일: 06:00~20:00",,,,국제 전화번호: +86 10 6702 8866 웹사이트: http://www.tiantanpark.com/,https://www.google.com/maps/place/?q=place_id:ChIJ65H_GWBN8DURag4RO0UVLDc,1971,4.6
5,China,Beijing,베이하이 공원(Beihai Park),"월, 화, 수, 목, 금, 토, 일: 06:30~09:00",,,,국제 전화번호: +86 10 6403 3225,https://www.google.com/maps/place/?q=place_id:ChIJWWErs-ZS8DURdcUOnciALOI,1499,4.5
6,China,Beijing,천안문(Tiananmen),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ2XRD3Jh2YzYRmjlIoYPLKGk,1490,4.2
7,China,Beijing,Beijing Zoo,,,,,국제 전화번호: +86 10 6839 0274,https://www.google.com/maps/place/?q=place_id:ChIJPRYRTDJS8DUR5fFsHhL_tW4,1480,3.9
8,China,Beijing,자금성(Forbidden City),"월: 휴무; 화, 수, 목, 금, 토, 일: 08:30~16:30",,,,국제 전화번호: +86 400 950 1925 웹사이트: https://www.dpm.org.cn/Home.html,https://www.google.com/maps/place/?q=place_id:ChIJPdQVRelS8DURnwfTTb3idAY,1281,4.6
9,China,Beijing,팔달령 장성(Great Wall of Badaling),"월, 화, 수, 목, 금, 토, 일: 07:30~18:00",,,,국제 전화번호: +86 10 6912 1225 웹사이트: http://wwj.beijing.gov.cn/bjww/362749/qwhwyh/11077178/index.html,https://www.google.com/maps/place/?q=place_id:ChIJFbdOF22T8DURnEAe0oca7LM,1099,4.6
10,China,Beijing,징산 공원(Jingshan Park),,,,,국제 전화번호: +86 10 6403 8098,https://www.google.com/maps/place/?q=place_id:ChIJiaRNz-BS8DURW2N_nAufVJU,1046,4.6
11,China,Beijing,Prince Gong Mansion,,,,,국제 전화번호: +86 10 8328 8149 웹사이트: http://www.pgm.org.cn/,https://www.google.com/maps/place/?q=place_id:ChIJK79axgNT8DUR9abD10lFx24,932,4.4
12,China,Beijing,Temple of Heaven Park Children's Paradise,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJeY9b2lVN8DURec1s3xX27Hg,928,4.6
13,China,Beijing,Lama Temple,"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제 전화번호: +86 10 8419 1919 웹사이트: http://www.yonghegong.cn/,https://www.google.com/maps/place/?q=place_id:ChIJxUzg_TRT8DUR0MslZbKzbF4,678,4.6
14,China,Beijing,국가대극원(National Centre for the Performing Arts),,,,,국제 전화번호: +86 10 6655 0000 웹사이트: http://www.chncpa.org/,https://www.google.com/maps/place/?q=place_id:ChIJc6LnIo5S8DURh6oaL1vsdIs,613,4.5
15,China,Beijing,Happy Valley Beijing,,,,,국제 전화번호: +86 10 6738 9898 웹사이트: http://bj.happyvalley.cn/,https://www.google.com/maps/place/?q=place_id:ChIJWbMB4wmy8TUR0zA80d2eycE,551,4.3
16,China,Beijing,798예술구(798 Art Zone),,,,,국제 전화번호: +86 10 5978 9798,https://www.google.com/maps/place/?q=place_id:ChIJ8VKWmEqq8TURY4vHHRW3J5M,517,4.5
17,China,Beijing,마오쩌둥 기념당(Mausoleum of Mao Zedong),"월: 휴무; 화, 수, 목, 금, 토, 일: 07:00~11:00",,,,국제 전화번호: +86 10 6513 2277 웹사이트: http://cpc.people.com.cn/GB/69112/113427/,https://www.google.com/maps/place/?q=place_id:ChIJO9BkdLtS8DUR-lFQuCOQaZI,503,3.5
18,China,Beijing,올림픽 공원(Beijing Olympic Park),"월, 화, 수, 목, 금, 토, 일: 06:00~21:30",,,,국제 전화번호: +86 10 8499 2008,https://www.google.com/maps/place/?q=place_id:ChIJuQi8_-hU8DURo4_5fEgoyZI,500,4.5
19,China,Beijing,오문(Meridian Gate),"월: 휴무; 화, 수, 목, 금, 토, 일: 08:30~17:00",,,,국제 전화번호: +86 10 8500 7427 웹사이트: https://www.dpm.org.cn/Home.html,https://www.google.com/maps/place/?q=place_id:ChIJaRSqlMFS8DURjaJcCNX8xoI,430,4.5
20,China,Beijing,중국국가박물관(National Museum of China),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:00~16:30",,,,국제 전화번호: +86 10 6511 6400 웹사이트: http://www.chnmuseum.cn/,https://www.google.com/maps/place/?q=place_id:ChIJ5xGxSrlS8DURCcbo8EFiRwI,406,4.3
21,China,Beijing,北京国子监,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ41M-OUpT8DURESyd-xniw1A,384,4.5
22,China,Beijing,Chinese Ethnic Culture Park （North Gate）,,,,,국제 전화번호: +86 10 6206 3646,https://www.google.com/maps/place/?q=place_id:ChIJJUhHZpZU8DURVQ3-iBK1X5c,378,4.4
23,China,Beijing,CCTV 본사 빌딩(CCTV Headquarters),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJcx8fDv-s8TURI3t7LJ6PcP8,260,4.2
24,China,Beijing,北京鼓楼和钟楼,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJWdpEnCtT8DUR_zktyc2S2lE,253,4.4
25,China,Beijing,Monument to the People's Heroes,,,,,웹사이트: http://tamgw.beijing.gov.cn/diqufuwu/zjtam/201912/t20191219_1321036.html,https://www.google.com/maps/place/?q=place_id:ChIJXRDt271S8DURSf2KsjBihKY,221,4.0
26,China,Beijing,朝阳公园,,,,,국제 전화번호: +86 10 6595 3490 웹사이트: http://www.sun-park.com/,https://www.google.com/maps/place/?q=place_id:ChIJ-RMQ-mSs8TURTjdd2sb9alc,171,4.3
27,China,Beijing,National Art Museum of China,"월: 휴무; 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제 전화번호: +86 10 6400 1476 웹사이트: http://www.namoc.org/,https://www.google.com/maps/place/?q=place_id:ChIJ8zjw6ddS8DURLJoRAWd9wpw,162,4.3
28,China,Beijing,Capital Museum,"월: 휴무; 화, 수, 목, 금, 토, 일: 09:00~16:00",,,,국제 전화번호: +86 10 6339 3339,https://www.google.com/maps/place/?q=place_id:ChIJeftImwlS8DURsYp0XKRIzHY,158,4.2
