data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Chanthaburi,Noen Nang Phaya Viewpoint,,,,,,https://www.google.com/maps/place/Noen+Nang+Phaya+Viewpoint/data=!4m7!3m6!1s0x3103777bda592567:0x88572c83cb35a8af!8m2!3d12.5913668!4d101.8810705!16s%2Fg%2F1q62918vt!19sChIJZyVZ2nt3AzERr6g1y4MsV4g?authuser=0&hl=ko&rclk=1,10934,4.5
2,Thailand,Chanthaburi,짠타부리 대성당,,,,,,https://www.google.com/maps/place/%EC%A7%A0%ED%83%80%EB%B6%80%EB%A6%AC+%EB%8C%80%EC%84%B1%EB%8B%B9/data=!4m7!3m6!1s0x310481bf86af6945:0xe2274ee05c26d88!8m2!3d12.609275!4d102.1185796!16s%2Fg%2F11byxf0r2f!19sChIJRWmvhr-BBDERiG3CBe50Ig4?authuser=0&hl=ko&rclk=1,5711,4.5
3,Thailand,Chanthaburi,Namtok Phlio National Park,,,,,,https://www.google.com/maps/place/Namtok+Phlio+National+Park/data=!4m7!3m6!1s0x31048758940a5913:0x3dd883d9875fab06!8m2!3d12.5295808!4d102.1842196!16s%2Fm%2F0w338tl!19sChIJE1kKlFiHBDERBqtfh9mD2D0?authuser=0&hl=ko&rclk=1,4161,4.5
4,Thailand,Chanthaburi,Namphu Market,,,,,,https://www.google.com/maps/place/Namphu+Market/data=!4m7!3m6!1s0x31048184b99cdacd:0x6e2b7e79cd284474!8m2!3d12.6090383!4d102.1117632!16s%2Fg%2F11csqhvry5!19sChIJzdqcuYSBBDERdEQozXl-K24?authuser=0&hl=ko&rclk=1,3617,4.2
5,Thailand,Chanthaburi,Oasis Sea World,,,,,,https://www.google.com/maps/place/Oasis+Sea+World/data=!4m7!3m6!1s0x31038059ac1fcf43:0xef6fedd95fcd7d1f!8m2!3d12.493053!4d102.0701424!16s%2Fg%2F1q5bn5dtz!19sChIJQ88frFmAAzERH33NX9ntb-8?authuser=0&hl=ko&rclk=1,3074,4.2
6,Thailand,Chanthaburi,Nong Bua Walking Street,,,,,,https://www.google.com/maps/place/Nong+Bua+Walking+Street/data=!4m7!3m6!1s0x310480628105aa13:0xbef1b84127c72cef!8m2!3d12.5424105!4d102.1130658!16s%2Fg%2F11dxqfy3j1!19sChIJE6oFgWKABDER7yzHJ0G48b4?authuser=0&hl=ko&rclk=1,2655,4.3
7,Thailand,Chanthaburi,Lotus’s Chanthaburi,,,,,,https://www.google.com/maps/place/Lotus%E2%80%99s+Chanthaburi/data=!4m7!3m6!1s0x310482272019f603:0x1c0e603c4c2c3ccd!8m2!3d12.6157197!4d102.1016403!16s%2Fg%2F1hc0yytgx!19sChIJA_YZICeCBDERzTwsTDxgDhw?authuser=0&hl=ko&rclk=1,2511,4.3
8,Thailand,Chanthaburi,짠타분 워터프론트 커뮤니티,,,,,,https://www.google.com/maps/place/%EC%A7%A0%ED%83%80%EB%B6%84+%EC%9B%8C%ED%84%B0%ED%94%84%EB%A1%A0%ED%8A%B8+%EC%BB%A4%EB%AE%A4%EB%8B%88%ED%8B%B0/data=!4m7!3m6!1s0x31048182b6bc4c63:0x79089a8949433ebb!8m2!3d12.6127731!4d102.1136881!16s%2Fg%2F11cp7j4rnh!19sChIJY0y8toKBBDERuz5DSYmaCHk?authuser=0&hl=ko&rclk=1,2140,4.4
9,Thailand,Chanthaburi,Khung Kraben Bay Aquarium,,,,,,https://www.google.com/maps/place/Khung+Kraben+Bay+Aquarium/data=!4m7!3m6!1s0x31037825fe20c3bf:0xab27363e47952368!8m2!3d12.5729346!4d101.8949157!16s%2Fg%2F1hm3nlhq2!19sChIJv8Mg_iV4AzERaCOVRz42J6s?authuser=0&hl=ko&rclk=1,2060,4.1
10,Thailand,Chanthaburi,Somdet Phra Chao Taksin Maharat Park,,,,,,https://www.google.com/maps/place/Somdet+Phra+Chao+Taksin+Maharat+Park/data=!4m7!3m6!1s0x31048190e25847c9:0x1d03d84bd8b6e440!8m2!3d12.6052078!4d102.1058949!16s%2Fg%2F1tg76hrm!19sChIJyUdY4pCBBDERQOS22EvYAx0?authuser=0&hl=ko&rclk=1,1975,4.6
11,Thailand,Chanthaburi,Khung Kraben Bay Mangrove Forest Education Center,,,,,,https://www.google.com/maps/place/Khung+Kraben+Bay+Mangrove+Forest+Education+Center/data=!4m7!3m6!1s0x3103782576d71529:0x85f5ce7f5e22d450!8m2!3d12.5717411!4d101.8990621!16s%2Fg%2F121m2tlt!19sChIJKRXXdiV4AzERUNQiXn_O9YU?authuser=0&hl=ko&rclk=1,1874,4.6
12,Thailand,Chanthaburi,The Red Building (Tuek Daeng),,,,,,https://www.google.com/maps/place/The+Red+Building+%28Tuek+Daeng%29/data=!4m7!3m6!1s0x3103808674ff738d:0x56a13627177eea68!8m2!3d12.4813413!4d102.0624783!16s%2Fg%2F1tdb1qh8!19sChIJjXP_dIaAAzERaOp-Fyc2oVY?authuser=0&hl=ko&rclk=1,1331,3.9
13,Thailand,Chanthaburi,Central Chanthaburi,,,,,,https://www.google.com/maps/place/Central+Chanthaburi/data=!4m7!3m6!1s0x310481d3dc982e4d:0x2d5831ada01ac48c!8m2!3d12.5990113!4d102.1243321!16s%2Fg%2F11q45kqsmd!19sChIJTS6Y3NOBBDERjMQaoK0xWC0?authuser=0&hl=ko&rclk=1,1134,4.6
14,Thailand,Chanthaburi,Khao Rai Ya Flea Market,,,,,,https://www.google.com/maps/place/Khao+Rai+Ya+Flea+Market/data=!4m7!3m6!1s0x31048261dea673cf:0x12fd6ccddb19d0d7!8m2!3d12.6649489!4d102.0907277!16s%2Fg%2F1hm58b_j3!19sChIJz3Om3mGCBDER19AZ281s_RI?authuser=0&hl=ko&rclk=1,996,4.1
15,Thailand,Chanthaburi,Chanthaburi City Pillar Shrine,,,,,,https://www.google.com/maps/place/Chanthaburi+City+Pillar+Shrine/data=!4m7!3m6!1s0x31048186c2a91979:0x378426d14be0fd89!8m2!3d12.6163139!4d102.110687!16s%2Fg%2F1hdyzj116!19sChIJeRmpwoaBBDERif3gS9EmhDc?authuser=0&hl=ko&rclk=1,949,4.7
16,Thailand,Chanthaburi,Ao Khung Kraben,,,,,,https://www.google.com/maps/place/Ao+Khung+Kraben/data=!4m7!3m6!1s0x310379c455277873:0x5826d0e80ec91c58!8m2!3d12.5731293!4d101.9018546!16s%2Fg%2F1w04gkc7!19sChIJc3gnVcR5AzERWBzJDujQJlg?authuser=0&hl=ko&rclk=1,940,4.5
