data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Chengdu,Chengdu Research Base of Giant Panda Breeding,,,자이언트 판다 보호 시설이며 방문객은 판다와 기타 멸종 위기에 처한 동물을 관찰할 수 있습니다.,,,https://www.google.com/maps/place/Chengdu+Research+Base+of+Giant+Panda+Breeding/data=!4m7!3m6!1s0x36efd0e00f9a5bf1:0xd3cd637087189177!8m2!3d30.732969!4d104.14581!16s%2Fm%2F043qb_c!19sChIJ8VuaD-DQ7zYRd5EYh3BjzdM?authuser=0&hl=ko&rclk=1,1931,4.6
2,China,Chengdu,Kuan Alley and Zhai Alley,,,,,,https://www.google.com/maps/place/Kuan+Alley+and+Zhai+Alley/data=!4m7!3m6!1s0x36efc4d813561247:0x834b32cab17f5265!8m2!3d30.6636111!4d104.0525!16s%2Fg%2F113jkhwwq!19sChIJRxJWE9jE7zYRZVJ_scoyS4M?authuser=0&hl=ko&rclk=1,1565,4.3
3,China,Chengdu,Chengdu Research Base of Giant Panda Breeding Giant Panda Brood Area,,,,,,https://www.google.com/maps/place/Chengdu+Research+Base+of+Giant+Panda+Breeding+Giant+Panda+Brood+Area/data=!4m7!3m6!1s0x36efd0dc056f472d:0xcda8cbb356a31383!8m2!3d30.739206!4d104.140119!16s%2Fg%2F11cm1lzb4g!19sChIJLUdvBdzQ7zYRgxOjVrPLqM0?authuser=0&hl=ko&rclk=1,1081,4.6
4,China,Chengdu,두장옌,,,약 기원전 250년에 세워져 아직까지도 사용되고 있는 관개용 댐과 제방 시설입니다.,,,https://www.google.com/maps/place/%EB%91%90%EC%9E%A5%EC%98%8C/data=!4m7!3m6!1s0x36f006c8aa0ed4ab:0x452a002e696101bd!8m2!3d31.0051649!4d103.6075308!16zL20vMDN3bl9n!19sChIJq9QOqsgG8DYRvQFhaS4AKkU?authuser=0&hl=ko&rclk=1,965,4.5
5,China,Chengdu,Chengdu Wu Hou Shrine,,,,,,https://www.google.com/maps/place/Chengdu+Wu+Hou+Shrine/data=!4m7!3m6!1s0x36efc4e3a1b4221d:0x59f7a3898ad2c929!8m2!3d30.645802!4d104.049429!16s%2Fm%2F0nbgs9g!19sChIJHSK0oePE7zYRKcnSiomj91k?authuser=0&hl=ko&rclk=1,685,4.4
6,China,Chengdu,청두 솽류 국제공항,,,,,,https://www.google.com/maps/place/%EC%B2%AD%EB%91%90+%EC%86%BD%EB%A5%98+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x36efdd2547c9319d:0x56e031e53df1f620!8m2!3d30.5610279!4d103.946281!16zL20vMDcyOXFj!19sChIJnTHJRyXd7zYRIPbxPeUx4FY?authuser=0&hl=ko&rclk=1,661,3.9
7,China,Chengdu,Chengdu Research Base of Giant Panda Breeding No.14 Giant Panda Enclosure,,,,,,https://www.google.com/maps/place/Chengdu+Research+Base+of+Giant+Panda+Breeding+No.14+Giant+Panda+Enclosure/data=!4m7!3m6!1s0x36efd0de377c1f25:0x40cc5e44bfb519f8!8m2!3d30.735057!4d104.142991!16s%2Fg%2F11cm1m8z_r!19sChIJJR98N97Q7zYR-Bm1v0RezEA?authuser=0&hl=ko&rclk=1,617,4.6
8,China,Chengdu,Huanglongxi Ancient Town Tourism Area （Northeast Gate）,,,,,,https://www.google.com/maps/place/Huanglongxi+Ancient+Town+Tourism+Area+%EF%BC%88Northeast+Gate%EF%BC%89/data=!4m7!3m6!1s0x36efa32b7bdf9093:0xbcfe2794d2607779!8m2!3d30.322155!4d103.96615!16s%2Fg%2F11cm1lcgx6!19sChIJk5Dfeyuj7zYReXdg0pQn_rw?authuser=0&hl=ko&rclk=1,519,4.3
9,China,Chengdu,People's Park,,,,,,https://www.google.com/maps/place/People%27s+Park/data=!4m7!3m6!1s0x36efc52155f89095:0xf6bc7931c65c9fbf!8m2!3d30.657132!4d104.057246!16s%2Fm%2F010gpf6t!19sChIJlZD4VSHF7zYRv59cxjF5vPY?authuser=0&hl=ko&rclk=1,502,4.4
10,China,Chengdu,Wenshu Yuan Monastery,,,,,,https://www.google.com/maps/place/Wenshu+Yuan+Monastery/data=!4m7!3m6!1s0x36efdacb458035bd:0x511bb9fc18644f3e!8m2!3d30.674771!4d104.071948!16s%2Fg%2F155sbf9k!19sChIJvTWARcva7zYRPk9kGPy5G1E?authuser=0&hl=ko&rclk=1,414,4.5
