data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Chiang Rai,청색사원 (왓렁쓰아뗀),,,상징적인 현대 불교 사원으로 선명한 푸른색과 정교한 조각이 독특합니다.,,,https://www.google.com/maps/place/%EC%B2%AD%EC%83%89%EC%82%AC%EC%9B%90+%28%EC%99%93%EB%A0%81%EC%93%B0%EC%95%84%EB%97%80%29/data=!4m7!3m6!1s0x30d706f1a5f41011:0xe72c0a07134d052c!8m2!3d19.9233966!4d99.8418728!16s%2Fg%2F1wvvbs0b!19sChIJERD0pfEG1zARLAVNEwcKLOc?authuser=0&hl=ko&rclk=1,20302,4.6
2,Thailand,Chiang Rai,렁쿤 사원(백색 사원),,,독특하고 정교한 흰색 외관의 현대 불교 사원으로 대규모의 신도들이 모입니다.,,,https://www.google.com/maps/place/%EB%A0%81%EC%BF%A4+%EC%82%AC%EC%9B%90%28%EB%B0%B1%EC%83%89+%EC%82%AC%EC%9B%90%29/data=!4m7!3m6!1s0x30d7b7dfce59940f:0x2afcd50d8eacb7a3!8m2!3d19.8232669!4d99.7627085!16s%2Fm%2F02rvrrj!19sChIJD5RZzt-31zARo7esjg3V_Co?authuser=0&hl=ko&rclk=1,20241,4.6
3,Thailand,Chiang Rai,추이퐁 차농장,,,,,,https://www.google.com/maps/place/%EC%B6%94%EC%9D%B4%ED%90%81+%EC%B0%A8%EB%86%8D%EC%9E%A5/data=!4m7!3m6!1s0x30d6f91f181dfc83:0x48a91c0ac3dd57a3!8m2!3d20.1999971!4d99.8166721!16s%2Fg%2F1hdzjcxxt!19sChIJg_wdGB_51jARo1fdwwocqUg?authuser=0&hl=ko&rclk=1,13605,4.4
4,Thailand,Chiang Rai,후어이쁠라깡 사원,,,,,,https://www.google.com/maps/place/%ED%9B%84%EC%96%B4%EC%9D%B4%EC%81%A0%EB%9D%BC%EA%B9%A1+%EC%82%AC%EC%9B%90/data=!4m7!3m6!1s0x30d7069baaddba13:0x2c5a86908fd38ceb!8m2!3d19.9491994!4d99.8067097!16s%2Fg%2F119vr_mj_!19sChIJE7rdqpsG1zAR64zTj5CGWiw?authuser=0&hl=ko&rclk=1,13100,4.7
5,Thailand,Chiang Rai,치앙라이 나이트 바자,,,"길거리 음식, 의류, 보석, 선물을 판매하는 상점과 라이브 공연을 볼 수 있는 소규모 야시장입니다.",,,https://www.google.com/maps/place/%EC%B9%98%EC%95%99%EB%9D%BC%EC%9D%B4+%EB%82%98%EC%9D%B4%ED%8A%B8+%EB%B0%94%EC%9E%90/data=!4m7!3m6!1s0x30d7066786855223:0x22a033779a52a8c7!8m2!3d19.9053883!4d99.834141!16s%2Fg%2F11b6dpdy01!19sChIJI1KFhmcG1zARx6hSmnczoCI?authuser=0&hl=ko&rclk=1,12066,4.2
6,Thailand,Chiang Rai,반담박물관 블랙하우스,,,,,,https://www.google.com/maps/place/%EB%B0%98%EB%8B%B4%EB%B0%95%EB%AC%BC%EA%B4%80+%EB%B8%94%EB%9E%99%ED%95%98%EC%9A%B0%EC%8A%A4/data=!4m7!3m6!1s0x30d7005000000001:0x817acc24f7e9bb96!8m2!3d19.992037!4d99.8607523!16s%2Fg%2F11b75jlx9g!19sChIJAQAAAFAA1zARlrvp9yTMeoE?authuser=0&hl=ko&rclk=1,11414,4.1
7,Thailand,Chiang Rai,Singha Park Chiang Rai,,,,,,https://www.google.com/maps/place/Singha+Park+Chiang+Rai/data=!4m7!3m6!1s0x30d70feb0e464e53:0xeeb653eaf54e130e!8m2!3d19.8530809!4d99.7430214!16s%2Fg%2F11b637_5y8!19sChIJU05GDusP1zARDhNO9epTtu4?authuser=0&hl=ko&rclk=1,10726,4.4
8,Thailand,Chiang Rai,황금 시계탑,,,화려한 금 시계탑으로 원형 교차로 가운에 위치해 있으며 밤에는 형형색색의 조명이 켜집니다.,,,https://www.google.com/maps/place/%ED%99%A9%EA%B8%88+%EC%8B%9C%EA%B3%84%ED%83%91/data=!4m7!3m6!1s0x30d70666ebfa6931:0xeec66175b4548663!8m2!3d19.9071489!4d99.8309632!16s%2Fg%2F1tdjf7l_!19sChIJMWn662YG1zARY4ZUtHVhxu4?authuser=0&hl=ko&rclk=1,6832,4.4
9,Thailand,Chiang Rai,Chiang Rai Walking Street,,,걸거리 음식 노점과 나무 조각 및 바틱 의류를 판매하는 가판대가 늘어선 북적이는 시장입니다.,,,https://www.google.com/maps/place/Chiang+Rai+Walking+Street/data=!4m7!3m6!1s0x30d70666af289f07:0x7d24693b3aa8a022!8m2!3d19.9085863!4d99.8356773!16s%2Fg%2F11c5syrh2k!19sChIJB58or2YG1zARIqCoOjtpJH0?authuser=0&hl=ko&rclk=1,3829,4.5
10,Thailand,Chiang Rai,프라깨우 사원(에메랄드 사원),,,14세기 사원으로 1434년 이곳에서 발견된 태국인의 숭배를 받는 에메랄드 불상 복제본을 모시고 있습니다.,,,https://www.google.com/maps/place/%ED%94%84%EB%9D%BC%EA%B9%A8%EC%9A%B0+%EC%82%AC%EC%9B%90%28%EC%97%90%EB%A9%94%EB%9E%84%EB%93%9C+%EC%82%AC%EC%9B%90%29/data=!4m7!3m6!1s0x30d70663b6684633:0x63655991479203f2!8m2!3d19.9117551!4d99.8277022!16zL20vMDc1aGRz!19sChIJM0ZotmMG1zAR8gOSR5FZZWM?authuser=0&hl=ko&rclk=1,3732,4.7
