data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
1,China,Chongqing,Huanghuayuan Bridge,,,,,,https://www.google.com/maps/place/Huanghuayuan+Bridge/data=!4m7!3m6!1s0x36933363aaef0727:0x2407bce3e0c09893!8m2!3d29.569123!4d106.567118!16s%2Fg%2F1tvrxzq1!19sChIJJwfvqmMzkzYRk5jA4OO8ByQ?authuser=0&hl=ko&rclk=1,,4.3,301.0
2,China,Chongqing,一棵树观景台,,,,,,https://www.google.com/maps/place/%E4%B8%80%E6%A3%B5%E6%A0%91%E8%A7%82%E6%99%AF%E5%8F%B0/data=!4m7!3m6!1s0x3693346c783309b7:0xf7dcb64f7224c7f8!8m2!3d29.545944!4d106.602736!16s%2Fg%2F1tf416dq!19sChIJtwkzeGw0kzYR-Mckck-23Pc?authuser=0&hl=ko&rclk=1,,4.1,44.0
3,China,Chongqing,照母山植物园,,,,,,https://www.google.com/maps/place/%E7%85%A7%E6%AF%8D%E5%B1%B1%E6%A4%8D%E7%89%A9%E5%9B%AD/data=!4m7!3m6!1s0x36eccd226ddd92f3:0xa3c2fa0cb451ed86!8m2!3d29.623297!4d106.507172!16s%2Fg%2F1tj31fw0!19sChIJ85LdbSLN7DYRhu1RtAz6wqM?authuser=0&hl=ko&rclk=1,,4.3,41.0
4,China,Chongqing,Chaotianmen Dock,,,,,,https://www.google.com/maps/place/Chaotianmen+Dock/data=!4m7!3m6!1s0x36933478a00bc4f7:0x67b4e6255622ed61!8m2!3d29.5633412!4d106.5892782!16s%2Fg%2F1tt89h_5!19sChIJ98QLoHg0kzYRYe0iViXmtGc?authuser=0&hl=ko&rclk=1,,4.1,40.0
5,China,Chongqing,Chongqing People's Square,,,,,,https://www.google.com/maps/place/Chongqing+People%27s+Square/data=!4m7!3m6!1s0x369334a3febf7879:0x975df2039b2a385b!8m2!3d29.562106!4d106.552793!16s%2Fg%2F1tr9lpg6!19sChIJeXi__qM0kzYRWzgqmwPyXZc?authuser=0&hl=ko&rclk=1,,4.5,37.0
6,China,Chongqing,Longshuixia Difeng,,,,,,https://www.google.com/maps/place/Longshuixia+Difeng/data=!4m7!3m6!1s0x3693c38a1f3db9c7:0xb27d44682af14864!8m2!3d29.402515!4d107.792946!16s%2Fg%2F11cm1m7t5b!19sChIJx7k9H4rDkzYRZEjxKmhEfbI?authuser=0&hl=ko&rclk=1,,4.8,36.0
7,China,Chongqing,Bijin Park,,,,,,https://www.google.com/maps/place/Bijin+Park/data=!4m7!3m6!1s0x36932ea0239129e3:0x4720794ddbe41ae4!8m2!3d29.7139561!4d106.6301607!16s%2Fg%2F11cmp93s53!19sChIJ4ymRI6AukzYR5Brk2015IEc?authuser=0&hl=ko&rclk=1,,4.6,29.0
8,China,Chongqing,Hong'ensi Forest Park,,,,,,https://www.google.com/maps/place/Hong%27ensi+Forest+Park/data=!4m7!3m6!1s0x36eccb619d0511d3:0x691f6cbf006bd7f4!8m2!3d29.571264!4d106.506263!16s%2Fg%2F1thxjd3_!19sChIJ0xEFnWHL7DYR9NdrAL9sH2k?authuser=0&hl=ko&rclk=1,,4.8,29.0
9,China,Chongqing,山城步道,,,,,,https://www.google.com/maps/place/%E5%B1%B1%E5%9F%8E%E6%AD%A5%E9%81%93/data=!4m7!3m6!1s0x36933491ecfe6671:0x5e6340a746f57d2!8m2!3d29.54995!4d106.568885!16s%2Fg%2F113fr5yk4!19sChIJcWb-7JE0kzYR0ldvdAo05gU?authuser=0&hl=ko&rclk=1,,4.4,29.0
10,China,Chongqing,钓鱼城遗址,,,,,,https://www.google.com/maps/place/%E9%92%93%E9%B1%BC%E5%9F%8E%E9%81%97%E5%9D%80/data=!4m7!3m6!1s0x36ed25098947766f:0x936e29db11e7b518!8m2!3d30.005028!4d106.316638!16zL20vMGN2dmxu!19sChIJb3ZHiQkl7TYRGLXnEdspbpM?authuser=0&hl=ko&rclk=1,,4.5,27.0
11,China,Chongqing,Baiheliang Underwater Museum,,,,,,https://www.google.com/maps/place/Baiheliang+Underwater+Museum/data=!4m7!3m6!1s0x3693aca41591bdf1:0xed7e899baba4142c!8m2!3d29.712236!4d107.392016!16s%2Fm%2F011q7q8r!19sChIJ8b2RFaSskzYRLBSkq5uJfu0?authuser=0&hl=ko&rclk=1,,4.5,27.0
12,China,Chongqing,Chongqing Haochi Street,,,,,,https://www.google.com/maps/place/Chongqing+Haochi+Street/data=!4m7!3m6!1s0x369334866776bf21:0x1ecd5f5e793ada83!8m2!3d29.555901!4d106.577495!16s%2Fg%2F1w0hywdt!19sChIJIb92Z4Y0kzYRg9o6eV5fzR4?authuser=0&hl=ko&rclk=1,,4.1,27.0
13,China,Chongqing,抗战胜利纪功碑暨人民解放纪念碑,,,,,,https://www.google.com/maps/place/%E6%8A%97%E6%88%98%E8%83%9C%E5%88%A9%E7%BA%AA%E5%8A%9F%E7%A2%91%E6%9A%A8%E4%BA%BA%E6%B0%91%E8%A7%A3%E6%94%BE%E7%BA%AA%E5%BF%B5%E7%A2%91/data=!4m7!3m6!1s0x3693348691b9d917:0x909a4e5b0942d2d9!8m2!3d29.5572748!4d106.5770535!16s%2Fg%2F1s061gn1n!19sChIJF9m5kYY0kzYR2dJCCVtOmpA?authuser=0&hl=ko&rclk=1,,4.6,25.0
14,China,Chongqing,Wulong Karst Tour Area Visitor Center,,,,,,https://www.google.com/maps/place/Wulong+Karst+Tour+Area+Visitor+Center/data=!4m7!3m6!1s0x3693c4031f275e77:0x2b1a9444cbef482f!8m2!3d29.416977!4d107.7667984!16s%2Fg%2F11h031nvm!19sChIJd14nHwPEkzYRL0jvy0SUGis?authuser=0&hl=ko&rclk=1,,4.5,24.0
15,China,Chongqing,크라운 플라자 충칭 뉴 노스 존,,,,,,https://www.google.com/maps/place/%ED%81%AC%EB%9D%BC%EC%9A%B4+%ED%94%8C%EB%9D%BC%EC%9E%90+%EC%B6%A9%EC%B9%AD+%EB%89%B4+%EB%85%B8%EC%8A%A4+%EC%A1%B4/data=!4m10!3m9!1s0x36932d7ad455294b:0x1405c23b70ab1bf2!5m2!4m1!1i2!8m2!3d29.664488!4d106.57039!16s%2Fg%2F1pp2t_lpj!19sChIJSylV1HotkzYR8hurcDvCBRQ?authuser=0&hl=ko&rclk=1,,4.0,24.0
16,China,Chongqing,Chongqing Science and Technology Museum,,,,,,https://www.google.com/maps/place/Chongqing+Science+and+Technology+Museum/data=!4m7!3m6!1s0x3693337924ec26ab:0xdea551db70cd1814!8m2!3d29.571912!4d106.578303!16s%2Fm%2F011q148x!19sChIJqybsJHkzkzYRFBjNcNtRpd4?authuser=0&hl=ko&rclk=1,,4.8,24.0
17,China,Chongqing,Chongqing South Mountain Botanical Garden,,,,,,https://www.google.com/maps/place/Chongqing+South+Mountain+Botanical+Garden/data=!4m7!3m6!1s0x369336aa94b11abf:0xfff64db142403f9c!8m2!3d29.555079!4d106.630766!16s%2Fg%2F11b634245w!19sChIJvxqxlKo2kzYRnD9AQrFN9v8?authuser=0&hl=ko&rclk=1,,4.4,22.0
18,China,Chongqing,"The Art Museum of Dazu Rock Carvings, Chongqing",,,,,,"https://www.google.com/maps/place/The+Art+Museum+of+Dazu+Rock+Carvings,+Chongqing/data=!4m7!3m6!1s0x36ec5912d8675527:0xc8e567b2cd0fcdb3!8m2!3d29.7034892!4d105.7123712!16s%2Fg%2F1pty1htt1!19sChIJJ1Vn2BJZ7DYRs80PzbJn5cg?authuser=0&hl=ko&rclk=1",,4.5,21.0
19,China,Chongqing,816 프로젝트,,,,,,https://www.google.com/maps/place/816+%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/data=!4m7!3m6!1s0x3693b0682d98af31:0x98c7afcd8728b67f!8m2!3d29.553729!4d107.512266!16s%2Fm%2F0b_zpqc!19sChIJMa-YLWiwkzYRf7Yoh82vx5g?authuser=0&hl=ko&rclk=1,,4.4,19.0
20,China,Chongqing,Longmenhao Old Street,,,,,,https://www.google.com/maps/place/Longmenhao+Old+Street/data=!4m7!3m6!1s0x36933470b771fe9f:0x3f144fafc8c28733!8m2!3d29.55635!4d106.59501!16s%2Fg%2F11rv1txd8h!19sChIJn_5xt3A0kzYRM4fCyK9PFD8?authuser=0&hl=ko&rclk=1,,4.7,18.0
21,China,Chongqing,Huguang Assembly Hall,,,,,,https://www.google.com/maps/place/Huguang+Assembly+Hall/data=!4m7!3m6!1s0x369334794cf72d73:0xdf9d624e1c9668a3!8m2!3d29.558992!4d106.587889!16s%2Fg%2F1z44bd8db!19sChIJcy33THk0kzYRo2iWHE5ind8?authuser=0&hl=ko&rclk=1,,4.5,17.0
22,China,Chongqing,Chongqing Nanbin Park （Southeast Gate 2）,,,,,,https://www.google.com/maps/place/Chongqing+Nanbin+Park+%EF%BC%88Southeast+Gate+2%EF%BC%89/data=!4m7!3m6!1s0x369334612485f867:0x4357cd53d2ef4c60!8m2!3d29.5444299!4d106.5868816!16s%2Fg%2F1x5f8m67!19sChIJZ_iFJGE0kzYRYEzv0lPNV0M?authuser=0&hl=ko&rclk=1,,4.6,16.0
23,China,Chongqing,Xiannvshan National Forest Park,,,,,,https://www.google.com/maps/place/Xiannvshan+National+Forest+Park/data=!4m7!3m6!1s0x3693c66c6f02af33:0x877d3d5ce6516246!8m2!3d29.473802!4d107.746825!16s%2Fg%2F11h1d8qz6!19sChIJM68Cb2zGkzYRRmJR5lw9fYc?authuser=0&hl=ko&rclk=1,,4.6,15.0
24,China,Chongqing,Furong Cave,,,,,,https://www.google.com/maps/place/Furong+Cave/data=!4m7!3m6!1s0x3693e68635b7a381:0x106e715cf597443!8m2!3d29.218104!4d107.909012!16s%2Fm%2F0gfd97k!19sChIJgaO3NYbmkzYRQ3RZzxXnBgE?authuser=0&hl=ko&rclk=1,,4.3,13.0
25,China,Chongqing,Chongqing Flower Garden,,,,,,https://www.google.com/maps/place/Chongqing+Flower+Garden/data=!4m7!3m6!1s0x36eccca35e77a13d:0x5c487f5da90bbf3c!8m2!3d29.581541!4d106.51429!16s%2Fg%2F1tjz1pv_!19sChIJPaF3XqPM7DYRPL8LqV1_SFw?authuser=0&hl=ko&rclk=1,,4.2,12.0
26,China,Chongqing,万盛石林,,,,,,https://www.google.com/maps/place/%E4%B8%87%E7%9B%9B%E7%9F%B3%E6%9E%97/data=!4m7!3m6!1s0x3694964b66755d75:0x82721011f003c8bf!8m2!3d28.839364!4d106.941123!16s%2Fg%2F155r7_1h!19sChIJdV11ZkuWlDYRv8gD8BEQcoI?authuser=0&hl=ko&rclk=1,,3.8,12.0
27,China,Chongqing,Shizishan Sports Park,,,,,,https://www.google.com/maps/place/Shizishan+Sports+Park/data=!4m7!3m6!1s0x36ecccf57c8f0fed:0xd194142dd0ee5039!8m2!3d29.601053!4d106.488021!16s%2Fg%2F1pp2v8f78!19sChIJ7Q-PfPXM7DYROVDu0C0UlNE?authuser=0&hl=ko&rclk=1,,4.1,11.0
28,China,Chongqing,Guiyuan,,,,,,https://www.google.com/maps/place/Guiyuan/data=!4m7!3m6!1s0x369334a5fc7ee40d:0xd49ec7f93117675e!8m2!3d29.5626988!4d106.5470704!16s%2Fg%2F155qr0z5!19sChIJDeR-_KU0kzYRXmcXMfnHntQ?authuser=0&hl=ko&rclk=1,,4.3,11.0
29,China,Chongqing,重庆湖广会馆,,,,,,https://www.google.com/maps/place/%E9%87%8D%E5%BA%86%E6%B9%96%E5%B9%BF%E4%BC%9A%E9%A6%86/data=!4m7!3m6!1s0x3693347eae53b3a9:0x391c40e793514a46!8m2!3d29.558531!4d106.587335!16s%2Fg%2F155p_flm!19sChIJqbNTrn40kzYRRkpRk-dAHDk?authuser=0&hl=ko&rclk=1,,4.5,11.0
30,China,Chongqing,Chongqing Garden Expo Park （Northeast Sanmen）,,,,,,https://www.google.com/maps/place/Chongqing+Garden+Expo+Park+%EF%BC%88Northeast+Sanmen%EF%BC%89/data=!4m7!3m6!1s0x36932d3e0c397f25:0xb1a81b555fb6d6f3!8m2!3d29.685222!4d106.557232!16s%2Fg%2F11cnpghlwm!19sChIJJX85DD4tkzYR89a2X1UbqLE?authuser=0&hl=ko&rclk=1,,4.2,11.0
31,China,Chongqing,Chongqing Huangshan Scenic Area,,,,,,https://www.google.com/maps/place/Chongqing+Huangshan+Scenic+Area/data=!4m7!3m6!1s0x369333f9937199dd:0xa92a3bd80f28a4eb!8m2!3d29.5642727!4d106.6190012!16s%2Fg%2F1tfhxvjb!19sChIJ3Zlxk_kzkzYR66QoD9g7Kqk?authuser=0&hl=ko&rclk=1,,4.0,11.0
32,China,Chongqing,奥陶纪公园,,,,,,https://www.google.com/maps/place/%E5%A5%A5%E9%99%B6%E7%BA%AA%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x369496540d06ab15:0x28e71dca705bf51!8m2!3d28.835955!4d106.953525!16s%2Fg%2F1ttdl7h4!19sChIJFasGDVSWlDYRUb8Fp9xxjgI?authuser=0&hl=ko&rclk=1,,3.9,11.0
33,China,Chongqing,Jindaoxia Natural Scenic Area,,,,,,https://www.google.com/maps/place/Jindaoxia+Natural+Scenic+Area/data=!4m7!3m6!1s0x3692cde0d596d25b:0xf64c42113c0aae2!8m2!3d30.028556!4d106.62348!16s%2Fg%2F11ddx3gz0y!19sChIJW9KW1eDNkjYR4qrAEyHEZA8?authuser=0&hl=ko&rclk=1,,4.7,10.0
34,China,Chongqing,Chongqing Anti -Japanese War Site Museum,,,,,,https://www.google.com/maps/place/Chongqing+Anti+-Japanese+War+Site+Museum/data=!4m7!3m6!1s0x369333f99371bd85:0xe736d323a05ee265!8m2!3d29.5642728!4d106.6190028!16s%2Fg%2F1tf9wp3m!19sChIJhb1xk_kzkzYRZeJeoCPTNuc?authuser=0&hl=ko&rclk=1,,4.4,10.0
35,China,Chongqing,Chongqing Central Park,,,,,,https://www.google.com/maps/place/Chongqing+Central+Park/data=!4m7!3m6!1s0x36932c6072753edb:0xa824ac4e90091126!8m2!3d29.722391!4d106.583724!16s%2Fg%2F11cmqky3dj!19sChIJ2z51cmAskzYRJhEJkE6sJKg?authuser=0&hl=ko&rclk=1,,4.9,9.0
36,China,Chongqing,Intercontinental Chongqing Raffles City,,,,,,https://www.google.com/maps/place/Intercontinental+Chongqing+Raffles+City/data=!4m10!3m9!1s0x369334a6e8b14277:0xfb9a45aba5d39f0b!5m2!4m1!1i2!8m2!3d29.5647!4d106.5507!16s%2Fg%2F11j336hw4_!19sChIJd0Kx6KY0kzYRC5_TpatFmvs?authuser=0&hl=ko&rclk=1,,4.4,9.0
37,China,Chongqing,Chongqing Bombing Tragedy Relic Site,,,,,,https://www.google.com/maps/place/Chongqing+Bombing+Tragedy+Relic+Site/data=!4m7!3m6!1s0x3693348f55f1f5a7:0x2437af848993facc!8m2!3d29.553747!4d106.5757433!16s%2Fg%2F1tgg86mm!19sChIJp_XxVY80kzYRzPqTiYSvNyQ?authuser=0&hl=ko&rclk=1,,4.0,8.0
38,China,Chongqing,Chongqing Museum of Natural History,,,,,,https://www.google.com/maps/place/Chongqing+Museum+of+Natural+History/data=!4m7!3m6!1s0x36ecd60b0fc8f6a3:0xb79cead6dc6122b4!8m2!3d29.8234304!4d106.4147487!16s%2Fg%2F11bzrpm4hc!19sChIJo_bIDwvW7DYRtCJh3NbqnLc?authuser=0&hl=ko&rclk=1,,4.5,8.0
39,China,Chongqing,Jinyuan Fantawild Sci-fi Theme Park （South Gate）,,,,,,https://www.google.com/maps/place/Jinyuan+Fantawild+Sci-fi+Theme+Park+%EF%BC%88South+Gate%EF%BC%89/data=!4m7!3m6!1s0x36eccb4fcdf25ea1:0x997e5b0b1990eec1!8m2!3d29.559457!4d106.525711!16s%2Fg%2F1thtmy4r!19sChIJoV7yzU_L7DYRwe6QGQtbfpk?authuser=0&hl=ko&rclk=1,,3.5,8.0
40,China,Chongqing,충칭 올림픽 스포츠 센터,,,,,,https://www.google.com/maps/place/%EC%B6%A9%EC%B9%AD+%EC%98%AC%EB%A6%BC%ED%94%BD+%EC%8A%A4%ED%8F%AC%EC%B8%A0+%EC%84%BC%ED%84%B0/data=!4m7!3m6!1s0x36eccae2143671c7:0xcb675b5a647bc089!8m2!3d29.527919!4d106.504191!16zL20vMDlzMzB0!19sChIJx3E2FOLK7DYRicB7ZFpbZ8s?authuser=0&hl=ko&rclk=1,,4.4,8.0
