data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Dunhuang,막고굴,,,불교 미술 작품과 492개의 동굴 사원을 갖춘 곳으로 4~14세기에 걸쳐 확장된 것으로 추정됩니다.,,,https://www.google.com/maps/place/%EB%A7%89%EA%B3%A0%EA%B5%B4/data=!4m7!3m6!1s0x37eab7549626a56f:0xd0c72a5fbdab67fe!8m2!3d40.041476!4d94.809133!16zL20vMDFkYzFt!19sChIJb6UmllS36jcR_mervV8qx9A?authuser=0&hl=ko&rclk=1,563,4.6
2,China,Dunhuang,Mingsha Mountain and Crescent Moon Spring,,,,,,https://www.google.com/maps/place/Mingsha+Mountain+and+Crescent+Moon+Spring/data=!4m7!3m6!1s0x37eac6f8166c149b:0xdf4b7f5a20457eb8!8m2!3d40.0881831!4d94.6755701!16s%2Fg%2F1tfvr9_d!19sChIJmxRsFvjG6jcRuH5FIFp_S98?authuser=0&hl=ko&rclk=1,487,4.6
3,China,Dunhuang,敦煌鸣沙山月牙泉风景名胜区,,,,,,https://www.google.com/maps/place/%E6%95%A6%E7%85%8C%E9%B8%A3%E6%B2%99%E5%B1%B1%E6%9C%88%E7%89%99%E6%B3%89%E9%A3%8E%E6%99%AF%E5%90%8D%E8%83%9C%E5%8C%BA/data=!4m7!3m6!1s0x37eac6f83e3c4e6d:0xfe266a2dab825d3e!8m2!3d40.093361!4d94.677101!16s%2Fg%2F1tc_tz61!19sChIJbU48PvjG6jcRPl2Cqy1qJv4?authuser=0&hl=ko&rclk=1,208,4.5
4,China,Dunhuang,Dunhuang Museum,,,,,,https://www.google.com/maps/place/Dunhuang+Museum/data=!4m7!3m6!1s0x37eac6b43c398707:0xa4f2b20985cd073c!8m2!3d40.129313!4d94.662037!16s%2Fm%2F080g9ns!19sChIJB4c5PLTG6jcRPAfNhQmy8qQ?authuser=0&hl=ko&rclk=1,174,4.3
5,China,Dunhuang,Yueya Spring,,,,,,https://www.google.com/maps/place/Yueya+Spring/data=!4m7!3m6!1s0x37eac65eb05f10ed:0xc40586108ca68ede!8m2!3d40.087982!4d94.670319!16zL20vMDg1bWJk!19sChIJ7RBfsF7G6jcR3o6mjBCGBcQ?authuser=0&hl=ko&rclk=1,151,4.6
6,China,Dunhuang,玉门关,,,방문객들은 실크로드로 이어지는 전한 시대 문루 안에 서 볼 수 있습니다.,,,https://www.google.com/maps/place/%E7%8E%89%E9%97%A8%E5%85%B3/data=!4m7!3m6!1s0x37eb644ca5f0213d:0x553901203e8a9932!8m2!3d40.351957!4d93.864855!16s%2Fm%2F026b0hg!19sChIJPSHwpUxk6zcRMpmKPiABOVU?authuser=0&hl=ko&rclk=1,145,4.2
7,China,Dunhuang,Dunhuang Academy China College History Exhibition Hall,,,,,,https://www.google.com/maps/place/Dunhuang+Academy+China+College+History+Exhibition+Hall/data=!4m7!3m6!1s0x37eab75228ca7ccb:0x8488b285044747ea!8m2!3d40.037627!4d94.805727!16s%2Fg%2F11gzsqbpx!19sChIJy3zKKFK36jcR6kdHBIWyiIQ?authuser=0&hl=ko&rclk=1,123,4.3
8,China,Dunhuang,Dunhuang Minsu Museum,,,,,,https://www.google.com/maps/place/Dunhuang+Minsu+Museum/data=!4m7!3m6!1s0x37eac6f82b6b2433:0x9c76329946659318!8m2!3d40.094528!4d94.676285!16s%2Fg%2F1th809d1!19sChIJMyRrK_jG6jcRGJNlRpkydpw?authuser=0&hl=ko&rclk=1,107,4.2
9,China,Dunhuang,Dunhuang Night Market,,,,,,https://www.google.com/maps/place/Dunhuang+Night+Market/data=!4m7!3m6!1s0x37eac137b79a50df:0xcef8760278bc4da!8m2!3d40.141574!4d94.667131!16s%2Fg%2F1yg580w35!19sChIJ31CatzfB6jcR2sSLJ2CH7ww?authuser=0&hl=ko&rclk=1,79,3.9
10,China,Dunhuang,Yangguan Historic Site （Northwest Gate）,,,,,,https://www.google.com/maps/place/Yangguan+Historic+Site+%EF%BC%88Northwest+Gate%EF%BC%89/data=!4m7!3m6!1s0x37eb4a914bdf1d11:0x6ebd7e1533427479!8m2!3d39.936494!4d94.055267!16s%2Fg%2F11cm1lspp9!19sChIJER3fS5FK6zcReXRCMxV-vW4?authuser=0&hl=ko&rclk=1,54,4.0
