data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
1,China,Harbin,Heilongjiang Museum,,,,,,https://www.google.com/maps/place/Heilongjiang+Museum/data=!4m7!3m6!1s0x5e447f8e962822a1:0xf5bff7833a940604!8m2!3d45.757535!4d126.64101!16s%2Fg%2F11b5pm37hx!19sChIJoSIolo5_RF4RBAaUOoP3v_U?authuser=0&hl=ko&rclk=1,,4.0,49.0
2,China,Harbin,中央大街步行街,,,,,,https://www.google.com/maps/place/%E4%B8%AD%E5%A4%AE%E5%A4%A7%E8%A1%97%E6%AD%A5%E8%A1%8C%E8%A1%97/data=!4m7!3m6!1s0x5e438014c32d9f5f:0xa2db44c4096a210!8m2!3d45.7733!4d126.618768!16s%2Fg%2F113j5xw30!19sChIJX58twxSAQ14REKKWQEy0LQo?authuser=0&hl=ko&rclk=1,,4.4,47.0
3,China,Harbin,Zhaolin Park,,,,,,https://www.google.com/maps/place/Zhaolin+Park/data=!4m7!3m6!1s0x5e4380165d5d216f:0xafefb7707ca23494!8m2!3d45.777671!4d126.622982!16s%2Fg%2F155prmjt!19sChIJbyFdXRaAQ14RlDSifHC3768?authuser=0&hl=ko&rclk=1,,4.0,46.0
4,China,Harbin,China Wood Carving Art Gallery,,,,,,https://www.google.com/maps/place/China+Wood+Carving+Art+Gallery/data=!4m7!3m6!1s0x5e4380b6a053084f:0xa0a235e3291bf096!8m2!3d45.73365!4d126.561345!16s%2Fg%2F12vthw5tj!19sChIJTwhToLaAQ14RlvAbKeM1oqA?authuser=0&hl=ko&rclk=1,,4.3,43.0
5,China,Harbin,Harbin Jiuzhan Park,,,,,,https://www.google.com/maps/place/Harbin+Jiuzhan+Park/data=!4m7!3m6!1s0x5e4380446f214a63:0x7e8d593b4acd5ad6!8m2!3d45.7720571!4d126.5992235!16s%2Fg%2F1v0lkk40!19sChIJY0ohb0SAQ14R1lrNSjtZjX4?authuser=0&hl=ko&rclk=1,,4.3,43.0
6,China,Harbin,소피텔 하얼빈,,,,,,https://www.google.com/maps/place/%EC%86%8C%ED%94%BC%ED%85%94+%ED%95%98%EC%96%BC%EB%B9%88/data=!4m10!3m9!1s0x5e447fac531e6f09:0xf09e10d6f5f56108!5m2!4m1!1i2!8m2!3d45.740194!4d126.679107!16s%2Fg%2F1tk_jh5k!19sChIJCW8eU6x_RF4RCGH19dYQnvA?authuser=0&hl=ko&rclk=1,,3.9,39.0
7,China,Harbin,Harbin Grand Theatre,,,,,,https://www.google.com/maps/place/Harbin+Grand+Theatre/data=!4m7!3m6!1s0x5e4381e42d3fc6b5:0xfbb13afa3cea8860!8m2!3d45.8064965!4d126.5776696!16s%2Fg%2F11c3_1z68p!19sChIJtcY_LeSBQ14RYIjqPPo6sfs?authuser=0&hl=ko&rclk=1,,5.0,35.0
8,China,Harbin,지러쓰,,,,,,https://www.google.com/maps/place/%EC%A7%80%EB%9F%AC%EC%93%B0/data=!4m7!3m6!1s0x5e447ffe19bf4f55:0x9de3e708cadf0bc7!8m2!3d45.776453!4d126.664462!16zL20vMDR4MGo3!19sChIJVU-_Gf5_RF4Rxwvfygjn450?authuser=0&hl=ko&rclk=1,,4.6,29.0
9,China,Harbin,Taiyangdao Park,,,,,,https://www.google.com/maps/place/Taiyangdao+Park/data=!4m7!3m6!1s0x5e4381b55bda2a83:0xf2e963b97f0d3205!8m2!3d45.7837797!4d126.586681!16s%2Fg%2F1tgywg_6!19sChIJgyraW7WBQ14RBTINf7lj6fI?authuser=0&hl=ko&rclk=1,,4.4,27.0
10,China,Harbin,Harbin Engineering University,,,,,,https://www.google.com/maps/place/Harbin+Engineering+University/data=!4m7!3m6!1s0x5e447ffc3f1ba81f:0xe69426d41662d3ea!8m2!3d45.773237!4d126.6641261!16s%2Fm%2F0265txw!19sChIJH6gbP_x_RF4R6tNiFtQmlOY?authuser=0&hl=ko&rclk=1,,4.9,25.0
