data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Hong Kong,홍콩해양공원,,,"롤러코스터, 워터라이드를 즐길 수 있는 테마파크로 케이블카와 동물 우리가 있는 해양 공원이 있습니다.",,,https://www.google.com/maps/place/%ED%99%8D%EC%BD%A9%ED%95%B4%EC%96%91%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x34040024320621e1:0xf3d1aa8549fb1946!8m2!3d22.2466607!4d114.1757239!16zL20vMDRfbjVs!19sChIJ4SEGMiQABDQRRhn7SYWq0fM?authuser=0&hl=ko&rclk=1,30804,4.3
2,China,Hong Kong,피크타워,,,"트램 터미널, 전망대 테라스, 전시관이 있는 현대적인 레저 쇼핑 단지입니다.",,,https://www.google.com/maps/place/%ED%94%BC%ED%81%AC%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x3404007389785247:0xa803686010e1ca8!8m2!3d22.2712357!4d114.1499638!16s%2Fm%2F02p_j8g!19sChIJR1J4iXMABDQRqBwOAYY2gAo?authuser=0&hl=ko&rclk=1,27709,4.3
3,China,Hong Kong,템플스트리트 야시장,,,"자질구레한 장신구와 귀금속, 골동품부터 전자기기와 시계까지 갖가지 물건을 판매하는 활기찬 야시장입니다.",,,https://www.google.com/maps/place/%ED%85%9C%ED%94%8C%EC%8A%A4%ED%8A%B8%EB%A6%AC%ED%8A%B8+%EC%95%BC%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x340400eaf30bc0cd:0xb7dd432faf8433a4!8m2!3d22.3065185!4d114.1699805!16s%2Fg%2F1vv2pvqb!19sChIJzcAL8-oABDQRpDOEry9D3bc?authuser=0&hl=ko&rclk=1,19905,3.8
4,China,Hong Kong,피크 트램,,,빅토리아 시대의 열차로 홍콩 섬의 가장 높은 봉우리에 올라 도시의 전망을 감상할 수 있습니다.,,,https://www.google.com/maps/place/%ED%94%BC%ED%81%AC+%ED%8A%B8%EB%9E%A8/data=!4m7!3m6!1s0x3404007389b2f5c7:0xacf435d725487126!8m2!3d22.2776827!4d114.1591909!16zL20vMDIyX3Ay!19sChIJx_WyiXMABDQRJnFIJdc19Kw?authuser=0&hl=ko&rclk=1,18257,4.3
5,China,Hong Kong,티안 탄 부처상,,,"260개가 넘는 계단을 올라가면 거대한 청동 불상이 나타나며 아래에는 조각된 종, 박물관, 유물 등이 있습니다.",,,https://www.google.com/maps/place/%ED%8B%B0%EC%95%88+%ED%83%84+%EB%B6%80%EC%B2%98%EC%83%81/data=!4m7!3m6!1s0x340158f66af64e31:0x4d0fe4264be5f070!8m2!3d22.2539847!4d113.904984!16zL20vMDJibF95!19sChIJMU72avZYATQRcPDlSybkD00?authuser=0&hl=ko&rclk=1,16270,4.6
6,China,Hong Kong,옹핑360,,,"약 25분 소요되는 케이블카를 이용하여 관광 명소, 액티비티, 상점, 레스토랑이 있는 마을까지 이동할 수 있습니다.",,,https://www.google.com/maps/place/%EC%98%B9%ED%95%91360/data=!4m7!3m6!1s0x340158f43ae929e1:0x6dc1b980c505ef22!8m2!3d22.2563163!4d113.9014163!16zL20vMDYwMXJj!19sChIJ4SnpOvRYATQRIu8FxYC5wW0?authuser=0&hl=ko&rclk=1,15879,4.5
7,China,Hong Kong,스타의 거리,,,홍콩 영화배우를 기념하는 핸드프린트와 명판이 있는 거리로 브루스 리의 동상을 볼 수 있습니다.,,,https://www.google.com/maps/place/%EC%8A%A4%ED%83%80%EC%9D%98+%EA%B1%B0%EB%A6%AC/data=!4m7!3m6!1s0x340400f19c2b22b3:0x9a1056b5955a35ce!8m2!3d22.2930046!4d114.1741517!16zL20vMDV4bnF0!19sChIJsyIrnPEABDQRzjValbVWEJo?authuser=0&hl=ko&rclk=1,13759,4.3
8,China,Hong Kong,홍콩 대관람차 & AIA 활력 공원,,,사방이 막히고 에어컨이 구비된 60m 높이의 관람차에서 항구의 멋진 풍경을 조망할 수 있습니다.,,,https://www.google.com/maps/place/%ED%99%8D%EC%BD%A9+%EB%8C%80%EA%B4%80%EB%9E%8C%EC%B0%A8+%26+AIA+%ED%99%9C%EB%A0%A5+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x340401ab40c884df:0x4be31c77ef01fee9!8m2!3d22.2852859!4d114.1617221!16s%2Fg%2F11b6mtqnfg!19sChIJ34TIQKsBBDQR6f4B73cc40s?authuser=0&hl=ko&rclk=1,12410,4.2
9,China,Hong Kong,Tai Kwun,,,"신축 및 유명 건물로 구성된 대형 단지로 예술 전시장, 골동품점, 바, 식당이 있습니다.",,,https://www.google.com/maps/place/Tai+Kwun/data=!4m7!3m6!1s0x3404007b142a0be7:0x48667a410078148d!8m2!3d22.2813602!4d114.1539782!16zL20vMDJwNGx2!19sChIJ5wsqFHsABDQRjRR4AEF6Zkg?authuser=0&hl=ko&rclk=1,11883,4.4
10,China,Hong Kong,란콰이퐁,,,"좁은 거리와 골목으로 이루어진 역사 지구에 레스토랑, 나이트클럽, 바가 늘어서 있습니다.",,,https://www.google.com/maps/place/%EB%9E%80%EC%BD%B0%EC%9D%B4%ED%90%81/data=!4m7!3m6!1s0x3404007c862302b1:0x7fce95e19b533509!8m2!3d22.2810697!4d114.1554776!16zL20vMDFydHdy!19sChIJsQIjhnwABDQRCTVTm-GVzn8?authuser=0&hl=ko&rclk=1,9019,4.2
