data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Jiuzhaigou,주자이거우 풍경구,,,"웅장한 호수, 폭포, 티베트 마을, 희귀한 야생동물로 유명한 산악 국립공원입니다.",,,https://www.google.com/maps/place/%EC%A3%BC%EC%9E%90%EC%9D%B4%EA%B1%B0%EC%9A%B0+%ED%92%8D%EA%B2%BD%EA%B5%AC/data=!4m7!3m6!1s0x36f7bdf69e1c6729:0xc9fde8c8b5f60cc6!8m2!3d33.2600421!4d103.9185994!16zL20vMDN3bnRw!19sChIJKWccnva99zYRxgz2tcjo_ck?authuser=0&hl=ko&rclk=1,714,4.7
2,China,Jiuzhaigou,五彩池,,,석회화 퇴적물로 인해 화려한 색채를 띠는 산악 연못입니다.,,,https://www.google.com/maps/place/%E4%BA%94%E5%BD%A9%E6%B1%A0/data=!4m7!3m6!1s0x36f7a0373cf5e80f:0xb50a42b15405d754!8m2!3d33.045125!4d103.932998!16s%2Fg%2F1ths7q3t!19sChIJD-j1PDeg9zYRVNcFVLFCCrU?authuser=0&hl=ko&rclk=1,371,4.7
3,China,Jiuzhaigou,珍珠滩瀑布,,,,,,https://www.google.com/maps/place/%E7%8F%8D%E7%8F%A0%E6%BB%A9%E7%80%91%E5%B8%83/data=!4m7!3m6!1s0x36f7984175553fc9:0x8468ae6afe0c0114!8m2!3d33.165555!4d103.8888617!16s%2Fm%2F02qbjps!19sChIJyT9VdUGY9zYRFAEM_mquaIQ?authuser=0&hl=ko&rclk=1,246,4.7
4,China,Jiuzhaigou,Shuzhengzhai,,,,,,https://www.google.com/maps/place/Shuzhengzhai/data=!4m7!3m6!1s0x36f797f3afc85af7:0x177152012f6683b1!8m2!3d33.1986019!4d103.8948151!16s%2Fg%2F1tl0vpp4!19sChIJ91rIr_OX9zYRsYNmLwFScRc?authuser=0&hl=ko&rclk=1,225,4.6
5,China,Jiuzhaigou,Jiuzhaigou Valley,,,,,,https://www.google.com/maps/place/Jiuzhaigou+Valley/data=!4m7!3m6!1s0x36f797e57700fa45:0x55d3192b98a7512c!8m2!3d33.203499!4d103.903692!16s%2Fg%2F11c61687rl!19sChIJRfoAd-WX9zYRLFGnmCsZ01U?authuser=0&hl=ko&rclk=1,73,4.9
6,China,Jiuzhaigou,九寨沟,,,,,,https://www.google.com/maps/place/%E4%B9%9D%E5%AF%A8%E6%B2%9F/data=!4m7!3m6!1s0x36f7bdf8d81edaf3:0x5cd9de11c5555fe1!8m2!3d33.2702778!4d103.9172222!16s%2Fg%2F12lrmbdmw!19sChIJ89oe2Pi99zYR4V9VxRHe2Vw?authuser=0&hl=ko&rclk=1,62,4.8
7,China,Jiuzhaigou,Panda,,,,,,https://www.google.com/maps/place/Panda/data=!4m7!3m6!1s0x36f798f8a03a4a51:0x11a55be2ee3d8f2a!8m2!3d33.148923!4d103.875191!16s%2Fg%2F1tfs95rk!19sChIJUUo6oPiY9zYRKo897uJbpRE?authuser=0&hl=ko&rclk=1,56,4.5
8,China,Jiuzhaigou,Howard Johnson Tian Yuan Jiuzhaigou,,,,,,https://www.google.com/maps/place/Howard+Johnson+Tian+Yuan+Jiuzhaigou/data=!4m10!3m9!1s0x36f7be0b67e22309:0xc034e2a1c7d36232!5m2!4m1!1i2!8m2!3d33.2891312!4d103.8757754!16s%2Fg%2F11b636x7hb!19sChIJCSPiZwu-9zYRMmLTx6HiNMA?authuser=0&hl=ko&rclk=1,53,4.3
9,China,Jiuzhaigou,Sichuan Jiuzhai Huanglong Airport,,,,,,https://www.google.com/maps/place/Sichuan+Jiuzhai+Huanglong+Airport/data=!4m7!3m6!1s0x36f7b488e7c14b2b:0x82a3d2233d994a33!8m2!3d32.851612!4d103.688465!16s%2Fm%2F02qc1fh!19sChIJK0vB54i09zYRM0qZPSPSo4I?authuser=0&hl=ko&rclk=1,36,3.9
10,China,Jiuzhaigou,Wuhuahai,,,,,,https://www.google.com/maps/place/Wuhuahai/data=!4m7!3m6!1s0x36f79844d64027c9:0xdbc807ddce54912c!8m2!3d33.15966!4d103.8826!16s%2Fg%2F11q49hppx7!19sChIJySdA1kSY9zYRLJFUzt0HyNs?authuser=0&hl=ko&rclk=1,35,4.7
11,China,Jiuzhaigou,树正瀑布,,,,,,https://www.google.com/maps/place/%E6%A0%91%E6%AD%A3%E7%80%91%E5%B8%83/data=!4m7!3m6!1s0x36f797f44948324b:0x6eefc4fcc13359ef!8m2!3d33.194048!4d103.895222!16s%2Fg%2F1tgb5q4j!19sChIJSzJISfSX9zYR71kzwfzE724?authuser=0&hl=ko&rclk=1,29,4.6
12,China,Jiuzhaigou,犀牛海,,,,,,https://www.google.com/maps/place/%E7%8A%80%E7%89%9B%E6%B5%B7/data=!4m7!3m6!1s0x36f7981f0b651b87:0x2b2663251ceb8672!8m2!3d33.188415!4d103.89349!16s%2Fg%2F1tdrvp3d!19sChIJhxtlCx-Y9zYRcobrHCVjJis?authuser=0&hl=ko&rclk=1,23,4.7
13,China,Jiuzhaigou,Jiuzhaigou Scenery Qu Visitor Ctr.,,,,,,https://www.google.com/maps/place/Jiuzhaigou+Scenery+Qu+Visitor+Ctr./data=!4m7!3m6!1s0x36f7bdf99156b80d:0x4cf28178c738364a!8m2!3d33.267!4d103.91914!16s%2Fg%2F11rv2xb8tz!19sChIJDbhWkfm99zYRSjY4x3iB8kw?authuser=0&hl=ko&rclk=1,21,4.8
14,China,Jiuzhaigou,Shu Zhengqunhai,,,,,,https://www.google.com/maps/place/Shu+Zhengqunhai/data=!4m7!3m6!1s0x36f797f3df1b52dd:0xff61bd270ca2f4bb!8m2!3d33.1978232!4d103.8967546!16s%2Fg%2F1tyt3qfj!19sChIJ3VIb3_OX9zYRu_SiDCe9Yf8?authuser=0&hl=ko&rclk=1,16,4.2
15,China,Jiuzhaigou,Laohuhai,,,,,,https://www.google.com/maps/place/Laohuhai/data=!4m7!3m6!1s0x36f797f5a6af65c1:0xea7d9e319ffd160a!8m2!3d33.1927728!4d103.8943527!16s%2Fg%2F1tdck9rd!19sChIJwWWvpvWX9zYRChb9nzGefeo?authuser=0&hl=ko&rclk=1,13,4.5
16,China,Jiuzhaigou,Jiuzhai Qianguqing Scenic Spot,,,,,,https://www.google.com/maps/place/Jiuzhai+Qianguqing+Scenic+Spot/data=!4m7!3m6!1s0x36f79430f5d96799:0xaf859262d1407f15!8m2!3d33.29706!4d103.8582!16s%2Fg%2F11rv3w16ts!19sChIJmWfZ9TCU9zYRFX9A0WKSha8?authuser=0&hl=ko&rclk=1,13,4.3
17,China,Jiuzhaigou,Mounigou Scenic Area,,,,,,https://www.google.com/maps/place/Mounigou+Scenic+Area/data=!4m7!3m6!1s0x36f750abaae21e19:0x187918e1f9686779!8m2!3d32.508605!4d103.639311!16s%2Fg%2F155pwny_!19sChIJGR7iqqtQ9zYReWdo-eEYeRg?authuser=0&hl=ko&rclk=1,10,4.6
18,China,Jiuzhaigou,Jiuzhaigou Scenic Area Daoyou Service Office,,,,,,https://www.google.com/maps/place/Jiuzhaigou+Scenic+Area+Daoyou+Service+Office/data=!4m7!3m6!1s0x36f7bdfa02502e93:0xd9fd763d158a5855!8m2!3d33.2655411!4d103.920267!16s%2Fg%2F1tfjjgyt!19sChIJky5QAvq99zYRVViKFT12_dk?authuser=0&hl=ko&rclk=1,9,4.2
19,China,Jiuzhaigou,Wolong sea,,,,,,https://www.google.com/maps/place/Wolong+sea/data=!4m7!3m6!1s0x36f797f0258fce65:0xa900d60cef4dbc1b!8m2!3d33.200803!4d103.900666!16s%2Fg%2F1vxz7zlx!19sChIJZc6PJfCX9zYRG7xN7wzWAKk?authuser=0&hl=ko&rclk=1,9,5.0
20,China,Jiuzhaigou,Jiuzhai Paradise,,,,,,https://www.google.com/maps/place/Jiuzhai+Paradise/data=!4m7!3m6!1s0x36f791a5b1a39b89:0x9b9fb46e939540ad!8m2!3d33.2626998!4d103.7672625!16s%2Fg%2F1tplnnwd!19sChIJiZujsaWR9zYRrUCVk260n5s?authuser=0&hl=ko&rclk=1,8,4.9
21,China,Jiuzhaigou,Folk Custom Museum,,,,,,https://www.google.com/maps/place/Folk+Custom+Museum/data=!4m7!3m6!1s0x36f797f3a5027985:0x5eb48d6c27288b46!8m2!3d33.198343!4d103.894683!16s%2Fg%2F1tfb9hl9!19sChIJhXkCpfOX9zYRRosoJ2yNtF4?authuser=0&hl=ko&rclk=1,8,4.0
22,China,Jiuzhaigou,Five Flower Lake,,,,,,https://www.google.com/maps/place/Five+Flower+Lake/data=!4m7!3m6!1s0x36f799d8a4a189ab:0xb399677c275f8b4d!8m2!3d33.15803!4d103.8800635!16s%2Fg%2F11rssbz015!19sChIJq4mhpNiZ9zYRTYtfJ3xnmbM?authuser=0&hl=ko&rclk=1,5,4.2
23,China,Jiuzhaigou,Shenxianchi Scenic Area,,,,,,https://www.google.com/maps/place/Shenxianchi+Scenic+Area/data=!4m7!3m6!1s0x36f78cd58ed6648b:0x8ca3e0962bc93afe!8m2!3d33.387439!4d103.682181!16s%2Fg%2F11h0z2nrb!19sChIJi2TWjtWM9zYR_jrJK5bgo4w?authuser=0&hl=ko&rclk=1,5,4.6
24,China,Jiuzhaigou,Jiuzhaigou National Geological Park,,,,,,https://www.google.com/maps/place/Jiuzhaigou+National+Geological+Park/data=!4m7!3m6!1s0x36f7bd9669b6313b:0x1ba4fca75797b199!8m2!3d33.24558!4d103.93564!16s%2Fg%2F11q42y13hy!19sChIJOzG2aZa99zYRmbGXV6f8pBs?authuser=0&hl=ko&rclk=1,4,5.0
25,China,Jiuzhaigou,Changhaizi Lake,,,,,,https://www.google.com/maps/place/Changhaizi+Lake/data=!4m7!3m6!1s0x36f7a0146a6fb539:0x3d2cdd5690d4bc1a!8m2!3d33.027943!4d103.933489!16s%2Fg%2F11c3vs4bk4!19sChIJObVvahSg9zYRGrzUkFbdLD0?authuser=0&hl=ko&rclk=1,4,4.5
26,China,Jiuzhaigou,Jiuzhaigou,,,,,,https://www.google.com/maps/place/Jiuzhaigou/data=!4m7!3m6!1s0x36f7bdf831bccbbb:0x30811483f9a02a7d!8m2!3d33.20402!4d103.90457!16s%2Fg%2F11pqt0d2sf!19sChIJu8u8Mfi99zYRfSqg-YMUgTA?authuser=0&hl=ko&rclk=1,3,5.0
27,China,Jiuzhaigou,Jiuzhaigou Mouth Traveling Passenger Transportation Center,,,,,,https://www.google.com/maps/place/Jiuzhaigou+Mouth+Traveling+Passenger+Transportation+Center/data=!4m7!3m6!1s0x36f7bdfd34052d3f:0xc832b50ff06a182a!8m2!3d33.2738871!4d103.9256261!16s%2Fg%2F1v_vr81f!19sChIJPy0FNP299zYRKhhq8A-1Msg?authuser=0&hl=ko&rclk=1,2,4.0
28,China,Jiuzhaigou,Zhuo Ma's Jiuzhaigou Home-Stay,,,,,,https://www.google.com/maps/place/Zhuo+Ma%27s+Jiuzhaigou+Home-Stay/data=!4m10!3m9!1s0x36f793bf244975a3:0x894f5d81155d2be5!5m2!4m1!1i2!8m2!3d33.3148134!4d103.7935805!16s%2Fg%2F11b_00zzkl!19sChIJo3VJJL-T9zYR5StdFYFdT4k?authuser=0&hl=ko&rclk=1,1,3.0
29,China,Jiuzhaigou,Jiuzhai Paradise Jarpo Town,,,,,,https://www.google.com/maps/place/Jiuzhai+Paradise+Jarpo+Town/data=!4m7!3m6!1s0x36f7903a0ab0cb9d:0xd7acb3c6be075b17!8m2!3d33.2412032!4d103.7451466!16s%2Fg%2F1td79hs3!19sChIJncuwCjqQ9zYRF1sHvsazrNc?authuser=0&hl=ko&rclk=1,1,3.0
30,China,Jiuzhaigou,Jiuzhai Valley,,,,,,https://www.google.com/maps/place/Jiuzhai+Valley/data=!4m7!3m6!1s0x36f799b0b47bd1eb:0x76ce02814ad0f!8m2!3d33.1793332!4d103.8942052!16s%2Fg%2F11l15bf84l!19sChIJ69F7tLCZ9zYRD60UKOBsBwA?authuser=0&hl=ko&rclk=1,1,5.0
31,China,Jiuzhaigou,Banyan Tree Htl.s & Resorts,,,,,,https://www.google.com/maps/place/Banyan+Tree+Htl.s+%26+Resorts/data=!4m10!3m9!1s0x36f7b396efb9fa25:0x3039ed1b4133c967!5m2!4m1!1i2!8m2!3d33.22274!4d104.2242!16s%2Fg%2F11q49b5f74!19sChIJJfq575az9zYRZ8kzQRvtOTA?authuser=0&hl=ko&rclk=1,1,1.0
