data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Kunming,翠湖,,,,,,https://www.google.com/maps/place/%E7%BF%A0%E6%B9%96/data=!4m7!3m6!1s0x36d083dbf530417b:0x61587935da948f9d!8m2!3d25.049123!4d102.704261!16s%2Fm%2F0288vs9!19sChIJe0Ew9duD0DYRnY-U2jV5WGE?authuser=0&hl=ko&rclk=1,367,4.3
2,China,Kunming,圆通山,,,,,,https://www.google.com/maps/place/%E5%9C%86%E9%80%9A%E5%B1%B1/data=!4m7!3m6!1s0x36d083d8396a3f2f:0xa68057ce175dda84!8m2!3d25.052691!4d102.711621!16s%2Fg%2F155s8c64!19sChIJLz9qOdiD0DYRhNpdF85XgKY?authuser=0&hl=ko&rclk=1,281,4.4
3,China,Kunming,쿤밍 창수이 국제공항,,,,,,https://www.google.com/maps/place/%EC%BF%A4%EB%B0%8D+%EC%B0%BD%EC%88%98%EC%9D%B4+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x36da832bf5bb00d5:0x5765ab6db124e31b!8m2!3d25.096559!4d102.9286198!16s%2Fm%2F0gyvflk!19sChIJ1QC79SuD2jYRG-MksW2rZVc?authuser=0&hl=ko&rclk=1,233,4.3
4,China,Kunming,Stone Forest Panoramic,,,,,,https://www.google.com/maps/place/Stone+Forest+Panoramic/data=!4m7!3m6!1s0x36d010f09e2dd5eb:0xb05e3d822f7b2d55!8m2!3d24.81749!4d103.324113!16s%2Fg%2F11cm1lms06!19sChIJ69UtnvAQ0DYRVS17L4I9XrA?authuser=0&hl=ko&rclk=1,203,4.5
5,China,Kunming,Yiliang Jiuxiang Scenic Area,,,,,,https://www.google.com/maps/place/Yiliang+Jiuxiang+Scenic+Area/data=!4m7!3m6!1s0x36daa83dba305b3d:0x47099884c8c670db!8m2!3d25.068368!4d103.383895!16s%2Fg%2F1tdwhttx!19sChIJPVswuj2o2jYR23DGyISYCUc?authuser=0&hl=ko&rclk=1,185,4.5
6,China,Kunming,Longmen,,,,,,https://www.google.com/maps/place/Longmen/data=!4m7!3m6!1s0x36d085415a990717:0xf0e9ba50325e805a!8m2!3d24.949927!4d102.639596!16s%2Fg%2F1yg57wz5p!19sChIJFweZWkGF0DYRWoBeMlC66fA?authuser=0&hl=ko&rclk=1,184,4.4
7,China,Kunming,Jiuxiang Geological Park Museum,,,,,,https://www.google.com/maps/place/Jiuxiang+Geological+Park+Museum/data=!4m7!3m6!1s0x36daa816233fb563:0xb7bc89d2de5754a!8m2!3d25.068293!4d103.381197!16s%2Fg%2F11cm1jvkyb!19sChIJY7U_Ixao2jYRSnXlLZ3Iews?authuser=0&hl=ko&rclk=1,172,4.5
8,China,Kunming,Yunnan Ethnic Village,,,,,,https://www.google.com/maps/place/Yunnan+Ethnic+Village/data=!4m7!3m6!1s0x36d085077ddef1cf:0x2ae8564d5e7daf41!8m2!3d24.967737!4d102.667391!16s%2Fg%2F155sbgcw!19sChIJz_HefQeF0DYRQa99Xk1W6Co?authuser=0&hl=ko&rclk=1,157,4.2
9,China,Kunming,China Stone Forest Karst Geology Museum,,,,,,https://www.google.com/maps/place/China+Stone+Forest+Karst+Geology+Museum/data=!4m7!3m6!1s0x36d010f7e5984d5f:0x2770c0320dc9753f!8m2!3d24.824235!4d103.3249119!16s%2Fg%2F12vqx960n!19sChIJX02Y5fcQ0DYRP3XJDTLAcCc?authuser=0&hl=ko&rclk=1,140,4.5
10,China,Kunming,Daguanlou Cinema,,,,,,https://www.google.com/maps/place/Daguanlou+Cinema/data=!4m7!3m6!1s0x36d08386e97cbe43:0xabe8311e985338ac!8m2!3d25.026343!4d102.675098!16s%2Fg%2F1q6l9dkg7!19sChIJQ7586YaD0DYRrDhTmB4x6Ks?authuser=0&hl=ko&rclk=1,109,4.1
