data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Lhasa,포탈라 궁,,,수백 개의 방과 사원이 있는 17세기에 세워진 유명한 궁전입니다.,,,https://www.google.com/maps/place/%ED%8F%AC%ED%83%88%EB%9D%BC+%EA%B6%81/data=!4m7!3m6!1s0x3761317244846eab:0x4ae80d857ec10c19!8m2!3d29.6554942!4d91.1185792!16zL20vMDJkYnd3!19sChIJq26ERHIxYTcRGQzBfoUN6Eo?authuser=0&hl=ko&rclk=1,1446,4.8
2,China,Lhasa,조캉 사원,,,젊은 부처상을 모시는 고대 불교 사원으로 많은 신도들이 방문합니다.,,,https://www.google.com/maps/place/%EC%A1%B0%EC%BA%89+%EC%82%AC%EC%9B%90/data=!4m7!3m6!1s0x3761317e7214231b:0x26395c2ffd43dc25!8m2!3d29.650237!4d91.133861!16zL20vMDRoNGZr!19sChIJGyMUcn4xYTcRJdxD_S9cOSY?authuser=0&hl=ko&rclk=1,390,4.7
3,China,Lhasa,노블링카,,,1755년에 지어진 달라이 라마의 여름 별궁으로 티벳에서 가장 큰 인공 정원과 374개의 방이 있습니다.,,,https://www.google.com/maps/place/%EB%85%B8%EB%B8%94%EB%A7%81%EC%B9%B4/data=!4m7!3m6!1s0x376130fe403bb22b:0x8c7488eb44b8c6b3!8m2!3d29.6512208!4d91.0930308!16zL20vMDZzMjJm!19sChIJK7I7QP4wYTcRs8a4ROuIdIw?authuser=0&hl=ko&rclk=1,235,4.4
4,China,Lhasa,세라 사원,,,"1419년에 지은 113,312m² 규모의 티베트 불교 수도원으로, 축제, 선문답, 예술 작품을 만날 수 있습니다.",,,https://www.google.com/maps/place/%EC%84%B8%EB%9D%BC+%EC%82%AC%EC%9B%90/data=!4m7!3m6!1s0x376136aa8d30a811:0xc7330c1df09441e8!8m2!3d29.693725!4d91.13414!16zL20vMDd6MGx4!19sChIJEagwjao2YTcR6EGU8B0MM8c?authuser=0&hl=ko&rclk=1,208,4.6
5,China,Lhasa,Monument to the Peaceful Liberation of Tibet,,,,,,https://www.google.com/maps/place/Monument+to+the+Peaceful+Liberation+of+Tibet/data=!4m7!3m6!1s0x376131739a39cd15:0x9cbbcfba2311da14!8m2!3d29.650422!4d91.118873!16s%2Fm%2F0h1gzjc!19sChIJFc05mnMxYTcRFNoRI7rPu5w?authuser=0&hl=ko&rclk=1,194,2.3
6,China,Lhasa,Drepung Monastery,,,1416년에 건축된 이 단지는 티베트의 '3대 대형 수도원' 중 하나로 문화 유적도 자리하고 있습니다.,,,https://www.google.com/maps/place/Drepung+Monastery/data=!4m7!3m6!1s0x37613a120fef6fcf:0x903a3021adfc24c9!8m2!3d29.6733629!4d91.049144!16zL20vMDd6MHo1!19sChIJz2_vDxI6YTcRyST8rSEwOpA?authuser=0&hl=ko&rclk=1,102,4.7
7,China,Lhasa,Ramoche Temple,,,,,,https://www.google.com/maps/place/Ramoche+Temple/data=!4m7!3m6!1s0x3761317ccfc5cf2d:0xca198986dda863b1!8m2!3d29.6559108!4d91.1321962!16zL20vMGR4bnJ0!19sChIJLc_Fz3wxYTcRsWOo3YaJGco?authuser=0&hl=ko&rclk=1,93,4.4
8,China,Lhasa,Tibet Museum,,,,,,https://www.google.com/maps/place/Tibet+Museum/data=!4m7!3m6!1s0x37613101c979f133:0x7283cf27a448e12a!8m2!3d29.648699!4d91.098484!16s%2Fm%2F0b__jj2!19sChIJM_F5yQExYTcRKuFIpCfPg3I?authuser=0&hl=ko&rclk=1,40,4.4
9,China,Lhasa,大昭寺广场,,,,,,https://www.google.com/maps/place/%E5%A4%A7%E6%98%AD%E5%AF%BA%E5%B9%BF%E5%9C%BA/data=!4m7!3m6!1s0x3761317ea54571fd:0x70e9d326c726ced0!8m2!3d29.650226!4d91.131378!16s%2Fg%2F1v3ln9gf!19sChIJ_XFFpX4xYTcR0M4mxybT6XA?authuser=0&hl=ko&rclk=1,30,4.5
10,China,Lhasa,Great Tibet Tour,,,,,,https://www.google.com/maps/place/Great+Tibet+Tour/data=!4m7!3m6!1s0x376131eaf2dfe155:0x1629bbeda648e51e!8m2!3d29.6607822!4d91.1139315!16s%2Fg%2F11h035qpjg!19sChIJVeHf8uoxYTcRHuVIpu27KRY?authuser=0&hl=ko&rclk=1,27,5.0
