data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Lushan,Jiuhuashan Scenic Area,,,,,,https://www.google.com/maps/place/Jiuhuashan+Scenic+Area/data=!4m7!3m6!1s0x343451c09464e199:0x639db3b960847b25!8m2!3d30.479266!4d117.803613!16s%2Fg%2F1pp2v4gh_!19sChIJmeFklMBRNDQRJXuEYLmznWM?authuser=0&hl=ko&rclk=1,209,4.6
2,China,Lushan,三叠泉,,,,,,https://www.google.com/maps/place/%E4%B8%89%E5%8F%A0%E6%B3%89/data=!4m7!3m6!1s0x3430360772bbc109:0xf9fb6b5a3d50807a!8m2!3d29.563822!4d116.033197!16s%2Fg%2F155rsh4c!19sChIJCcG7cgc2MDQReoBQPVpr-_k?authuser=0&hl=ko&rclk=1,56,3.9
3,China,Lushan,"Lotus Peak, HP Huang Shan",,,,,,"https://www.google.com/maps/place/Lotus+Peak,+HP+Huang+Shan/data=!4m7!3m6!1s0x3435c688d9e6900b:0x1eb148f5bc3ae737!8m2!3d30.1341666!4d118.1641666!16s%2Fg%2F155pj7rl!19sChIJC5Dm2YjGNTQRN-c6vPVIsR4?authuser=0&hl=ko&rclk=1",56,4.5
4,China,Lushan,Lushan Botanical Garden,,,,,,https://www.google.com/maps/place/Lushan+Botanical+Garden/data=!4m7!3m6!1s0x343036f1c528579b:0xb15e8ef0597d231f!8m2!3d29.54678!4d115.983051!16s%2Fg%2F155q2tpv!19sChIJm1coxfE2MDQRHyN9WfCOXrE?authuser=0&hl=ko&rclk=1,53,3.9
5,China,Lushan,Lu-shan Shan-mo,,,,,,https://www.google.com/maps/place/Lu-shan+Shan-mo/data=!4m7!3m6!1s0x34303689cfe19b11:0xf4274f27cc95bca!8m2!3d29.559367!4d115.99335!16zL20vMDNtd2py!19sChIJEZvhz4k2MDQRylvJfPJ0Qg8?authuser=0&hl=ko&rclk=1,47,4.7
6,China,Lushan,Mount Longhu,,,,,,https://www.google.com/maps/place/Mount+Longhu/data=!4m7!3m6!1s0x343a2d4d76face63:0xf13a7480602950d1!8m2!3d28.068044!4d116.997973!16s%2Fm%2F02r02x6!19sChIJY876dk0tOjQR0VApYIB0OvE?authuser=0&hl=ko&rclk=1,40,4.4
7,China,Lushan,Juzizhou Beach Recreational Park,,,,,,https://www.google.com/maps/place/Juzizhou+Beach+Recreational+Park/data=!4m7!3m6!1s0x34274a50415cb125:0x25faaf0f31bcdb29!8m2!3d28.2007168!4d112.963673!16s%2Fg%2F12vsl2my5!19sChIJJbFcQVBKJzQRKdu8MQ-v-iU?authuser=0&hl=ko&rclk=1,35,4.3
8,China,Lushan,Lushan Mountain,,,,,,https://www.google.com/maps/place/Lushan+Mountain/data=!4m7!3m6!1s0x343035d35259cd4b:0xffa0555a200654d!8m2!3d29.5792603!4d115.9942491!16s%2Fg%2F12ltgq6g5!19sChIJS81ZUtM1MDQRTWUAolUF-g8?authuser=0&hl=ko&rclk=1,31,4.2
9,China,Lushan,Lushan Scenic Spot,,,,,,https://www.google.com/maps/place/Lushan+Scenic+Spot/data=!4m7!3m6!1s0x343036f087783c51:0x355a253061550130!8m2!3d29.543285!4d115.9852732!16s%2Fg%2F11rcyvr59s!19sChIJUTx4h_A2MDQRMAFVYTAlWjU?authuser=0&hl=ko&rclk=1,20,4.7
10,China,Lushan,Fairy Cave,,,,,,https://www.google.com/maps/place/Fairy+Cave/data=!4m7!3m6!1s0x343036b7fb7e9d67:0x554f2b476bee753f!8m2!3d29.562036!4d115.962646!16s%2Fg%2F11bc68dr17!19sChIJZ51--7c2MDQRP3Xua0crT1U?authuser=0&hl=ko&rclk=1,16,4.0
