data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
1,China,Nanjing,난징 대학,,,,,,https://www.google.com/maps/place/%EB%82%9C%EC%A7%95+%EB%8C%80%ED%95%99/data=!4m7!3m6!1s0x35b58ca322d00559:0xa812eb2489f6b7a3!8m2!3d32.0568391!4d118.7789602!16zL20vMDJ3NWg0!19sChIJWQXQIqOMtTURo7f2iSTrEqg?authuser=0&hl=ko&rclk=1,,4.8,154.0
2,China,Nanjing,Nanjing Municipal Museum,,,,,,https://www.google.com/maps/place/Nanjing+Municipal+Museum/data=!4m7!3m6!1s0x35b58c62e509b6ef:0xff8606fcbcdcf106!8m2!3d32.0348802!4d118.774838!16s%2Fg%2F155q85_0!19sChIJ77YJ5WKMtTURBvHcvPwGhv8?authuser=0&hl=ko&rclk=1,,4.5,47.0
3,China,Nanjing,Jiangnan Examination Hall,,,,,,https://www.google.com/maps/place/Jiangnan+Examination+Hall/data=!4m7!3m6!1s0x35b58c5d5c99d469:0x6cde336c182f646f!8m2!3d32.021898!4d118.790381!16s%2Fm%2F0jwz6mn!19sChIJadSZXF2MtTURb2QvGGwz3mw?authuser=0&hl=ko&rclk=1,,4.3,46.0
4,China,Nanjing,영곡탑,,,,,,https://www.google.com/maps/place/%EC%98%81%EA%B3%A1%ED%83%91/data=!4m7!3m6!1s0x35b58c13830e69c5:0xa25684f8371aef19!8m2!3d32.009386!4d118.783343!16zL20vMDRkYnZz!19sChIJxWkOgxOMtTURGe8aN_iEVqI?authuser=0&hl=ko&rclk=1,,4.5,45.0
5,China,Nanjing,Nanjing Ming Palace Museum Relics Park （South Gate）,,,,,,https://www.google.com/maps/place/Nanjing+Ming+Palace+Museum+Relics+Park+%EF%BC%88South+Gate%EF%BC%89/data=!4m7!3m6!1s0x35b58d1c19671b29:0xad387ac616796076!8m2!3d32.039882!4d118.817777!16s%2Fg%2F1tdm6cbq!19sChIJKRtnGRyNtTURdmB5FsZ6OK0?authuser=0&hl=ko&rclk=1,,3.7,44.0
6,China,Nanjing,JJ Inns-Nanjing East Road Pedestrian Street,,,,,,https://www.google.com/maps/place/JJ+Inns-Nanjing+East+Road+Pedestrian+Street/data=!4m10!3m9!1s0x35b271a70c629daf:0x97fb52d14875dba8!5m2!4m1!1i2!8m2!3d31.2357888!4d121.4774342!16s%2Fg%2F1pp2t_dlg!19sChIJr51iDKdxsjURqNt1SNFS-5c?authuser=0&hl=ko&rclk=1,,4.0,43.0
7,China,Nanjing,Nanjing Underwater World,,,,,,https://www.google.com/maps/place/Nanjing+Underwater+World/data=!4m7!3m6!1s0x35b58d4ef4a7ba33:0x4a0f0436100f2dea!8m2!3d32.05292!4d118.844759!16s%2Fm%2F0hgr0xd!19sChIJM7qn9E6NtTUR6i0PEDYED0o?authuser=0&hl=ko&rclk=1,,3.5,41.0
8,China,Nanjing,난징 올림픽 스포츠 센터,,,,,,https://www.google.com/maps/place/%EB%82%9C%EC%A7%95+%EC%98%AC%EB%A6%BC%ED%94%BD+%EC%8A%A4%ED%8F%AC%EC%B8%A0+%EC%84%BC%ED%84%B0/data=!4m7!3m6!1s0x35b58a2abd7ded39:0x690effaf460a1802!8m2!3d32.008194!4d118.718346!16zL20vMGg0djkx!19sChIJOe19vSqKtTURAhgKRq__Dmk?authuser=0&hl=ko&rclk=1,,4.2,39.0
9,China,Nanjing,Beiting,,,,,,https://www.google.com/maps/place/Beiting/data=!4m7!3m6!1s0x35b5f2ac7bd6a8cf:0xef50365154ed91b2!8m2!3d32.060392!4d118.853467!16s%2Fg%2F1vbl5mv9!19sChIJz6jWe6zytTURspHtVFE2UO8?authuser=0&hl=ko&rclk=1,,4.6,37.0
10,China,Nanjing,Nanjing Imperial Examination Museum （Southeast Gate）,,,,,,https://www.google.com/maps/place/Nanjing+Imperial+Examination+Museum+%EF%BC%88Southeast+Gate%EF%BC%89/data=!4m7!3m6!1s0x35b58c5d4ce06e3f:0x7178c24e09d013c4!8m2!3d32.020894!4d118.790674!16s%2Fg%2F11cm1jh36r!19sChIJP27gTF2MtTURxBPQCU7CeHE?authuser=0&hl=ko&rclk=1,,4.3,35.0
