data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Shanghai,동방명주탑(Oriental Pearl TV Tower),알 수 없음,,,,"국제 전화번호: +86 21 5879 1888, 웹사이트: http://www.orientalpearltower.com/",https://www.google.com/maps/place/?q=place_id:ChIJ29SwJftwsjURZYXg4jufPhY,6215,4.6
2,China,Shanghai,외탄(The Bund),알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJYUiHi1dwsjURZK_REO37Vk0,4662,4.7
3,China,Shanghai,예원(Yu Garden),알 수 없음,,,,"국제 전화번호: +86 21 6326 0830, 웹사이트: https://www.yugarden.com.cn/page/articleView/index.html",https://www.google.com/maps/place/?q=place_id:ChIJidPZMUGHrTUR29eIuHbpoIQ,3006,4.5
4,China,Shanghai,상하이 타워(Shanghai Tower),"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 08:30~21:30",,,,국제 전화번호: +86 21 6199 9766,https://www.google.com/maps/place/?q=place_id:ChIJcT52JmpwsjURKKp8uyIQKjU,2011,4.6
5,China,Shanghai,Shanghai Science and Technology Museum,알 수 없음,,,,국제 전화번호: +86 21 6854 2000,https://www.google.com/maps/place/?q=place_id:ChIJAbtWITN3sjURgaPgumjFhWs,1636,4.2
6,China,Shanghai,Waitan Sightseeing Tunnel,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 08:00~22:30",,,,국제 전화번호: +86 21 5888 6000,https://www.google.com/maps/place/?q=place_id:ChIJlX301ftwsjURctF3CNRJjvQ,1472,4
7,China,Shanghai,Century Park,알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJuccQ7El3sjURFulj6_8THUg,1409,4.3
8,China,Shanghai,Shanghai Zhujiajiao Ancient Town Tourist Zone,알 수 없음,,,,국제 전화번호: +86 21 5924 0077,https://www.google.com/maps/place/?q=place_id:ChIJrWDlybX5sjURIN1UyXg53qM,1397,4.4
9,China,Shanghai,Tianzifang,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,웹사이트: https://www.marcotogni.it/tianzifang/,https://www.google.com/maps/place/?q=place_id:ChIJ2-UI76F6sjURj_HAeG5PMhE,1373,4.2
10,China,Shanghai,상하이 디즈니랜드(Shanghai Disneyland Park),알 수 없음,,,,웹사이트: https://www.shanghaidisneyresort.com/,https://www.google.com/maps/place/?q=place_id:ChIJeTeSUGiHrTURrNSkfYkOFGo,1220,4.5
11,China,Shanghai,Nanjing Road Pedestrian Street,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: Open 24 hours",,,,국제 전화번호: +86 21 6352 6638,https://www.google.com/maps/place/?q=place_id:ChIJ443NM0NwsjURrWjV1_GoGSU,1152,4.4
12,China,Shanghai,Shanghai Museum,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 09:00~17:00",,,,"국제 전화번호: +86 21 6372 3500, 웹사이트: http://www.shanghaimuseum.net/",https://www.google.com/maps/place/?q=place_id:ChIJPWUSbWlwsjURbNvIw3tOTE0,977,4.4
13,China,Shanghai,인민광장(People's Square),알 수 없음,,,,,https://www.google.com/maps/place/?q=place_id:ChIJTw7jumlwsjURuPGkVwfRvmk,885,4.3
14,China,Shanghai,People's Park,알 수 없음,,,,국제 전화번호: +86 21 6358 6128,https://www.google.com/maps/place/?q=place_id:ChIJCyKw82pwsjURaeSnC8R9EXI,630,4.4
15,China,Shanghai,Jing'an Temple,"월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일: 07:30~17:00",,,,국제 전화번호: +86 21 6256 6366,https://www.google.com/maps/place/?q=place_id:ChIJVV1KHv5vsjURQgiHHZfGW3o,627,4.3
16,China,Shanghai,Shanghai Disneyland Resort,알 수 없음,,,,웹사이트: https://www.shanghaidisneyresort.com/en/,https://www.google.com/maps/place/?q=place_id:ChIJM43-s2eHrTURgj0a3xTHPeo,602,4.5
