data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Shaoxing,Shaoxing Park,,,,,,https://www.google.com/maps/place/Shaoxing+Park/data=!4m7!3m6!1s0x35b27aa1583651a7:0x12aa667ba14c1774!8m2!3d31.209466!4d121.463462!16s%2Fg%2F11jh728833!19sChIJp1E2WKF6sjURdBdMoXtmqhI?authuser=0&hl=ko&rclk=1,982,4.2
2,China,Shaoxing,Song Dynasty Town,,,,,,https://www.google.com/maps/place/Song+Dynasty+Town/data=!4m7!3m6!1s0x344b7c3b3ff8c5f5:0x290e6a502b01d787!8m2!3d30.170564!4d120.097709!16s%2Fg%2F1tkmk7qp!19sChIJ9cX4Pzt8SzQRh9cBK1BqDik?authuser=0&hl=ko&rclk=1,510,4.3
3,China,Shaoxing,Hangzhou Botanical Garden,,,,,,https://www.google.com/maps/place/Hangzhou+Botanical+Garden/data=!4m7!3m6!1s0x344b62dd3310cfdb:0x3313e71617dea57e!8m2!3d30.254034!4d120.123515!16s%2Fm%2F04cwbmy!19sChIJ288QM91iSzQRfqXeFxbnEzM?authuser=0&hl=ko&rclk=1,441,4.5
4,China,Shaoxing,West Lake Scenic Area Music Fountain,,,,,,https://www.google.com/maps/place/West+Lake+Scenic+Area+Music+Fountain/data=!4m7!3m6!1s0x344c9d623a977567:0xa6aa933697c93ae8!8m2!3d30.253801!4d120.161045!16s%2Fg%2F11c2nwvw_7!19sChIJZ3WXOmKdTDQR6DrJlzaTqqY?authuser=0&hl=ko&rclk=1,430,4.4
5,China,Shaoxing,Xixi National Wetland Park,,,"연못, 호수가 많은 습지 공원으로 식물원과 레스토랑이 있으며 이벤트와 축제가 열립니다.",,,https://www.google.com/maps/place/Xixi+National+Wetland+Park/data=!4m7!3m6!1s0x344b64a0a08b5d8b:0xf32eb7e9f541cd8b!8m2!3d30.268056!4d120.06629!16s%2Fm%2F02677wf!19sChIJi12LoKBkSzQRi81B9em3LvM?authuser=0&hl=ko&rclk=1,137,4.4
6,China,Shaoxing,Cherry Peach Garden,,,,,,https://www.google.com/maps/place/Cherry+Peach+Garden/data=!4m7!3m6!1s0x344b62c2e35f57b5:0xbc78fda1809cbb9!8m2!3d30.254295!4d120.126381!16s%2Fg%2F11cnpfnj7h!19sChIJtVdf48JiSzQRucsJGNqPxws?authuser=0&hl=ko&rclk=1,131,4.4
7,China,Shaoxing,Hangzhou Botanical Garden （Northeast Gate）,,,,,,https://www.google.com/maps/place/Hangzhou+Botanical+Garden+%EF%BC%88Northeast+Gate%EF%BC%89/data=!4m7!3m6!1s0x344b62de0a7a9593:0xe0b6d1969923f702!8m2!3d30.257474!4d120.118471!16s%2Fg%2F12cnyn7_9!19sChIJk5V6Ct5iSzQRAvcjmZbRtuA?authuser=0&hl=ko&rclk=1,107,4.4
8,China,Shaoxing,Taiziwan Park,,,,,,https://www.google.com/maps/place/Taiziwan+Park/data=!4m7!3m6!1s0x344b7d4c3f994fa5:0x7f2cee3a1b6d2ba0!8m2!3d30.227576!4d120.143206!16s%2Fg%2F11r80vsbc!19sChIJpU-ZP0x9SzQRoCttGzruLH8?authuser=0&hl=ko&rclk=1,93,4.6
9,China,Shaoxing,Jixianting,,,,,,https://www.google.com/maps/place/Jixianting/data=!4m7!3m6!1s0x344c9d61a9f34cc7:0x27fe275f1d172537!8m2!3d30.250618!4d120.161727!16s%2Fg%2F11cnpfn8c1!19sChIJx0zzqWGdTDQRNyUXHV8n_ic?authuser=0&hl=ko&rclk=1,88,4.6
10,China,Shaoxing,City God Pavilion,,,,,,https://www.google.com/maps/place/City+God+Pavilion/data=!4m7!3m6!1s0x344c9d59ff0c10b5:0x225ad34f595f622b!8m2!3d30.236652!4d120.164594!16s%2Fg%2F11jgdy4w3!19sChIJtRAM_1mdTDQRK2JfWU_TWiI?authuser=0&hl=ko&rclk=1,83,4.4
11,China,Shaoxing,Hangzhou Zoo,,,,,,https://www.google.com/maps/place/Hangzhou+Zoo/data=!4m7!3m6!1s0x344b7d3fcf62a57b:0xe0b7005e215b922e!8m2!3d30.213737!4d120.133669!16s%2Fm%2F026p263!19sChIJe6Vizz99SzQRLpJbIV4At-A?authuser=0&hl=ko&rclk=1,78,3.9
