data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
1,China,Shenzhen,Tin Shing Wet Market,,,,,,https://www.google.com/maps/place/Tin+Shing+Wet+Market/data=!4m7!3m6!1s0x3403f080678138e5:0xf9a67c9810edb3a6!8m2!3d22.449165!4d114.002696!16s%2Fg%2F1thr4s46!19sChIJ5TiBZ4DwAzQRprPtEJh8pvk?authuser=0&hl=ko&rclk=1,,3.6,1442.0
2,China,Shenzhen,Tai Po Kau Nature Reserve,,,,,,https://www.google.com/maps/place/Tai+Po+Kau+Nature+Reserve/data=!4m7!3m6!1s0x3404087a6cd47687:0xea9eddd2c2f4f4c3!8m2!3d22.4257468!4d114.1812086!16zL20vMGd0eGI2!19sChIJh3bUbHoIBDQRw_T0wtLdnuo?authuser=0&hl=ko&rclk=1,,4.1,1300.0
3,China,Shenzhen,TASTE (九龍塘又一城),,,,,,https://www.google.com/maps/place/TASTE+%28%E4%B9%9D%E9%BE%8D%E5%A1%98%E5%8F%88%E4%B8%80%E5%9F%8E%29/data=!4m7!3m6!1s0x3404073146e04a73:0x405eb11a2a2d745b!8m2!3d22.337017!4d114.1748008!16s%2Fg%2F1w0s9h4p!19sChIJc0rgRjEHBDQRW3QtKhqxXkA?authuser=0&hl=ko&rclk=1,,4.0,1237.0
4,China,Shenzhen,Tung Chung Fort,,,,,,https://www.google.com/maps/place/Tung+Chung+Fort/data=!4m7!3m6!1s0x3401580a018cddad:0xe5d5bae12ced30a5!8m2!3d22.2780855!4d113.9360731!16zL20vMDJnMXl4!19sChIJrd2MAQpYATQRpTDtLOG61eU?authuser=0&hl=ko&rclk=1,,3.8,1057.0
5,China,Shenzhen,Sandbox VR - TST Store,,,,,,https://www.google.com/maps/place/Sandbox+VR+-+TST+Store/data=!4m7!3m6!1s0x340400edc2e3ffff:0x36d1dfcc7ab82872!8m2!3d22.2988661!4d114.1728016!16s%2Fg%2F11ggj216fj!19sChIJ___jwu0ABDQRcii4eszf0TY?authuser=0&hl=ko&rclk=1,,4.8,792.0
6,China,Shenzhen,Tin Sau Bazaar,,,,,,https://www.google.com/maps/place/Tin+Sau+Bazaar/data=!4m7!3m6!1s0x3403f061cb79e907:0x16219ea89d161dda!8m2!3d22.4656593!4d114.0005706!16s%2Fm%2F0z2mpfc!19sChIJB-l5y2HwAzQR2h0WnaieIRY?authuser=0&hl=ko&rclk=1,,3.6,718.0
7,China,Shenzhen,COCO Park,,,,,,https://www.google.com/maps/place/COCO+Park/data=!4m7!3m6!1s0x3403f40156e16cd7:0x3e9af7c15e4ed8c!8m2!3d22.53323!4d114.054448!16s%2Fg%2F155qphb2!19sChIJ12zhVgH0AzQRjO3kFXyv6QM?authuser=0&hl=ko&rclk=1,,4.2,637.0
8,China,Shenzhen,Needle Hill,,,,,,https://www.google.com/maps/place/Needle+Hill/data=!4m7!3m6!1s0x3404079a3e5d325f:0x6237f5b2243d4726!8m2!3d22.3868491!4d114.160683!16s%2Fg%2F113fd6c4f!19sChIJXzJdPpoHBDQRJkc9JLL1N2I?authuser=0&hl=ko&rclk=1,,4.3,542.0
9,China,Shenzhen,Luohu Commercial City,,,,,,https://www.google.com/maps/place/Luohu+Commercial+City/data=!4m7!3m6!1s0x3403f5c2a251b315:0x8ada0a88bb88e551!8m2!3d22.53057!4d114.119364!16zL20vMGg1OXl2!19sChIJFbNRosL1AzQRUeWIu4gK2oo?authuser=0&hl=ko&rclk=1,,3.7,426.0
10,China,Shenzhen,Mau Wu Shan Bunker,,,,,,https://www.google.com/maps/place/Mau+Wu+Shan+Bunker/data=!4m7!3m6!1s0x340403f0ec7eaaab:0x178f1bed0d948518!8m2!3d22.3108444!4d114.2526325!16s%2Fg%2F155r_hy2!19sChIJq6p-7PADBDQRGIWUDe0bjxc?authuser=0&hl=ko&rclk=1,,3.7,290.0
11,China,Shenzhen,세인트 레지스 선전,,,,,,https://www.google.com/maps/place/%EC%84%B8%EC%9D%B8%ED%8A%B8+%EB%A0%88%EC%A7%80%EC%8A%A4+%EC%84%A0%EC%A0%84/data=!4m10!3m9!1s0x3403f4374f305385:0xfdbc9a07b9f85e03!5m2!4m1!1i2!8m2!3d22.5430759!4d114.1066643!16s%2Fg%2F1hdzccxdf!19sChIJhVMwTzf0AzQRA174uQeavP0?authuser=0&hl=ko&rclk=1,,4.4,214.0
12,China,Shenzhen,Yan Chau Tong Marine Park,,,,,,https://www.google.com/maps/place/Yan+Chau+Tong+Marine+Park/data=!4m7!3m6!1s0x34040c380af43a33:0xce2cd670dcf9a160!8m2!3d22.5158904!4d114.2895708!16s%2Fg%2F155qkm2r!19sChIJMzr0CjgMBDQRYKH53HDWLM4?authuser=0&hl=ko&rclk=1,,4.5,173.0
13,China,Shenzhen,인터컨티넨탈 선전,,,,,,https://www.google.com/maps/place/%EC%9D%B8%ED%84%B0%EC%BB%A8%ED%8B%B0%EB%84%A8%ED%83%88+%EC%84%A0%EC%A0%84/data=!4m10!3m9!1s0x3403f18eb86ab5ff:0xc94929ba6b914057!5m2!4m1!1i2!8m2!3d22.532812!4d113.984316!16s%2Fg%2F1tcvfpb3!19sChIJ_7VquI7xAzQRV0CRa7opSck?authuser=0&hl=ko&rclk=1,,4.4,164.0
14,China,Shenzhen,Former Fan Lau Fort,,,,,,https://www.google.com/maps/place/Former+Fan+Lau+Fort/data=!4m7!3m6!1s0x34015c016c75e7bb:0x8b9278167dca10ba!8m2!3d22.1984083!4d113.8511517!16zL20vMGQzajNi!19sChIJu-d1bAFcATQRuhDKfRZ4kos?authuser=0&hl=ko&rclk=1,,3.9,161.0
15,China,Shenzhen,Robin's Nest,,,,,,https://www.google.com/maps/place/Robin%27s+Nest/data=!4m7!3m6!1s0x34040bad2336af81:0xb45c8f9c39022f37!8m2!3d22.5413914!4d114.1900475!16s%2Fg%2F1ywqflhny!19sChIJga82I60LBDQRNy8COZyPXLQ?authuser=0&hl=ko&rclk=1,,4.2,144.0
16,China,Shenzhen,Nam Sang Wai Fishpond Education Kiosk,,,,,,https://www.google.com/maps/place/Nam+Sang+Wai+Fishpond+Education+Kiosk/data=!4m7!3m6!1s0x3403f0c9ee7a23f7:0x61b1371532a9dd73!8m2!3d22.4641001!4d114.0419642!16s%2Fg%2F11bbwz6_pc!19sChIJ9yN67snwAzQRc92pMhU3sWE?authuser=0&hl=ko&rclk=1,,4.1,141.0
17,China,Shenzhen,홍콩 예빈부,,,비정기적으로 개방되는 1800년대 식민지 시대 저택으로 정원에 다양한 빛깔의 진달래가 피어 있습니다.,,,https://www.google.com/maps/place/%ED%99%8D%EC%BD%A9+%EC%98%88%EB%B9%88%EB%B6%80/data=!4m7!3m6!1s0x340400656af9e59f:0xbcb9a0715b0a9da1!8m2!3d22.278446!4d114.1572199!16s%2Fg%2F1tnmp9_8!19sChIJn-X5amUABDQRoZ0KW3Ggubw?authuser=0&hl=ko&rclk=1,,3.9,94.0
18,China,Shenzhen,华侨城创意文化园T街创意市集,,,,,,https://www.google.com/maps/place/%E5%8D%8E%E4%BE%A8%E5%9F%8E%E5%88%9B%E6%84%8F%E6%96%87%E5%8C%96%E5%9B%ADT%E8%A1%97%E5%88%9B%E6%84%8F%E5%B8%82%E9%9B%86/data=!4m7!3m6!1s0x3403f1877b2b50f7:0x8ddc014f0332868c!8m2!3d22.5373015!4d113.9930463!16s%2Fg%2F113g_h4fw!19sChIJ91Are4fxAzQRjIYyA08B3I0?authuser=0&hl=ko&rclk=1,,3.9,82.0
19,China,Shenzhen,Shenzhen Concert Hall,,,,,,https://www.google.com/maps/place/Shenzhen+Concert+Hall/data=!4m7!3m6!1s0x3403f40cf8c6e615:0xf8b663ffc70188f2!8m2!3d22.547314!4d114.057286!16s%2Fg%2F1thf64vn!19sChIJFebG-Az0AzQR8ogBx_9jtvg?authuser=0&hl=ko&rclk=1,,4.5,76.0
