data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating,popularity
1,China,Suzhou,Environmental Theme Park of Suzhouhe Mengqing Garden,,,,,,https://www.google.com/maps/place/Environmental+Theme+Park+of+Suzhouhe+Mengqing+Garden/data=!4m7!3m6!1s0x35b26fd9e4406c7f:0xbdcdf783400ef6d2!8m2!3d31.250949!4d121.440905!16s%2Fg%2F11b41n_5l!19sChIJf2xA5NlvsjUR0vYOQIP3zb0?authuser=0&hl=ko&rclk=1,,4.3,243.0
2,China,Suzhou,PARK,,,,,,https://www.google.com/maps/place/PARK/data=!4m7!3m6!1s0x35b38fad4bb2435d:0x25bf12b36dc355fd!8m2!3d31.562805!4d120.307707!16s%2Fg%2F113fr66j4!19sChIJXUOyS62PszUR_VXDbbMSvyU?authuser=0&hl=ko&rclk=1,,4.2,86.0
3,China,Suzhou,Worldhotel Grand Dushulake Suzhou,,,,,,https://www.google.com/maps/place/Worldhotel+Grand+Dushulake+Suzhou/data=!4m10!3m9!1s0x35b3a80390d3024f:0x666d9bb36263b50f!5m2!4m1!1i2!8m2!3d31.265918!4d120.721396!16s%2Fg%2F1hm3vdck8!19sChIJTwLTkAOoszURD7VjYrObbWY?authuser=0&hl=ko&rclk=1,,4.4,72.0
4,China,Suzhou,노보텔 쑤저우 십,,,,,,https://www.google.com/maps/place/%EB%85%B8%EB%B3%B4%ED%85%94+%EC%91%A4%EC%A0%80%EC%9A%B0+%EC%8B%AD/data=!4m10!3m9!1s0x35b3a61b3ef25133:0xe87e887b04e5d2e4!5m2!4m1!1i2!8m2!3d31.3245286!4d120.7050052!16s%2Fg%2F11dxchxvd2!19sChIJM1HyPhumszUR5NLlBHuIfug?authuser=0&hl=ko&rclk=1,,4.2,68.0
5,China,Suzhou,苏州火车站,,,,,,https://www.google.com/maps/place/%E8%8B%8F%E5%B7%9E%E7%81%AB%E8%BD%A6%E7%AB%99/data=!4m7!3m6!1s0x35b3a13045575009:0xe527eafa6b2ffe72!8m2!3d31.329093!4d120.610877!16s%2Fm%2F0kbj19t!19sChIJCVBXRTChszURcv4va_rqJ-U?authuser=0&hl=ko&rclk=1,,4.0,58.0
6,China,Suzhou,포 포인츠 바이 쉐라톤 쑤저우,,,,,,https://www.google.com/maps/place/%ED%8F%AC+%ED%8F%AC%EC%9D%B8%EC%B8%A0+%EB%B0%94%EC%9D%B4+%EC%89%90%EB%9D%BC%ED%86%A4+%EC%91%A4%EC%A0%80%EC%9A%B0/data=!4m10!3m9!1s0x35b3a80fb4b3b249:0xae75a81f65c7da20!5m2!4m1!1i2!8m2!3d31.261084!4d120.722196!16s%2Fg%2F12hl080m7!19sChIJSbKztA-oszURINrHZR-oda4?authuser=0&hl=ko&rclk=1,,4.5,48.0
7,China,Suzhou,Suzhou International Expo Centre,,,,,,https://www.google.com/maps/place/Suzhou+International+Expo+Centre/data=!4m7!3m6!1s0x35b3a61c8f08c6ad:0x7920d89a2a352b35!8m2!3d31.32168!4d120.7071!16s%2Fg%2F11rcyzmhx9!19sChIJrcYIjxymszURNSs1KprYIHk?authuser=0&hl=ko&rclk=1,,4.5,46.0
8,China,Suzhou,Garden of Cultivation,,,,,,https://www.google.com/maps/place/Garden+of+Cultivation/data=!4m7!3m6!1s0x35b3a0d0ae171757:0x92a93705da225bc3!8m2!3d31.313001!4d120.609267!16s%2Fm%2F05zy1l_!19sChIJVxcXrtCgszURw1si2gU3qZI?authuser=0&hl=ko&rclk=1,,4.5,44.0
9,China,Suzhou,Suzhou Garden Museum,,,,,,https://www.google.com/maps/place/Suzhou+Garden+Museum/data=!4m7!3m6!1s0x35b3a6d02f97f9a5:0xc6d946fb157713ff!8m2!3d31.323181!4d120.629232!16s%2Fg%2F1210grtb!19sChIJpfmXL9CmszUR_xN3FftG2cY?authuser=0&hl=ko&rclk=1,,4.5,37.0
10,China,Suzhou,Taipingtianguo Zhongwang Mansion,,,,,,https://www.google.com/maps/place/Taipingtianguo+Zhongwang+Mansion/data=!4m7!3m6!1s0x35b3a6d032b82ff3:0x7961d777afb6398d!8m2!3d31.323046!4d120.628666!16s%2Fg%2F1211r0hc!19sChIJ8y-4MtCmszURjTm2r3fXYXk?authuser=0&hl=ko&rclk=1,,4.2,33.0
