data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,popurality,popularity
1,China,Zhangjiajie,장자제 국가삼림공원,,,"천문산의 1,400m 높이 절벽에 산책로와 유리 다리가 매달려 있습니다.",,,https://www.google.com/maps/place/%EC%9E%A5%EC%9E%90%EC%A0%9C+%EA%B5%AD%EA%B0%80%EC%82%BC%EB%A6%BC%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x369bafca1a43aca1:0xa18079ec65a40b6f!8m2!3d29.315305!4d110.434767!16zL20vMDljZ3Bt!19sChIJoaxDGsqvmzYRbwukZex5gKE?authuser=0&hl=ko&rclk=1,4.7,,701.0
2,China,Zhangjiajie,Zhangjiajie Neodalle International Holiday Hotel,,,,,,https://www.google.com/maps/place/Zhangjiajie+Neodalle+International+Holiday+Hotel/data=!4m10!3m9!1s0x369b08b75798d601:0x2c55d8d65a2f45e1!5m2!4m1!1i2!8m2!3d29.34188!4d110.540086!16s%2Fg%2F11cm1ky90k!19sChIJAdaYV7cImzYR4UUvWtbYVSw?authuser=0&hl=ko&rclk=1,4.4,,500.0
3,China,Zhangjiajie,Qinghe Jinjiang International Hotel,,,,,,https://www.google.com/maps/place/Qinghe+Jinjiang+International+Hotel/data=!4m10!3m9!1s0x369b08cade102e19:0xeab4a0cdcac98abd!5m2!4m1!1i2!8m2!3d29.349562!4d110.547724!16s%2Fg%2F1tdq487z!19sChIJGS4Q3soImzYRvYrJys2gtOo?authuser=0&hl=ko&rclk=1,4.0,,264.0
4,China,Zhangjiajie,장자제 스테이트 게스트 호텔,,,,,,https://www.google.com/maps/place/%EC%9E%A5%EC%9E%90%EC%A0%9C+%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8+%EA%B2%8C%EC%8A%A4%ED%8A%B8+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x369b08b4379aaa0d:0x4873da13e5ea88f5!5m2!4m1!1i2!8m2!3d29.348795!4d110.54198!16s%2Fg%2F1thmj7w1!19sChIJDaqaN7QImzYR9Yjq5RPac0g?authuser=0&hl=ko&rclk=1,4.0,,181.0
5,China,Zhangjiajie,荷花机场,,,,,,https://www.google.com/maps/place/%E8%8D%B7%E8%8A%B1%E6%9C%BA%E5%9C%BA/data=!4m7!3m6!1s0x369bae21c27a1087:0x64c734c88e4626d3!8m2!3d29.103856!4d110.451191!16s%2Fm%2F0289jg0!19sChIJhxB6wiGumzYR0yZGjsg0x2Q?authuser=0&hl=ko&rclk=1,3.9,,111.0
6,China,Zhangjiajie,장자제 이지아친 호텔,,,,,,https://www.google.com/maps/place/%EC%9E%A5%EC%9E%90%EC%A0%9C+%EC%9D%B4%EC%A7%80%EC%95%84%EC%B9%9C+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x369bafc94e2d0947:0x28b1d0fc37a3a59b!5m2!4m1!1i2!8m2!3d29.1073374!4d110.4800329!16s%2Fg%2F12hm_4p12!19sChIJRwktTsmvmzYRm6WjN_zQsSg?authuser=0&hl=ko&rclk=1,4.3,,100.0
7,China,Zhangjiajie,풀만 장자제 호텔,,,,,,https://www.google.com/maps/place/%ED%92%80%EB%A7%8C+%EC%9E%A5%EC%9E%90%EC%A0%9C+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x369b08b71c1c0edf:0xc43826d33065ee97!5m2!4m1!1i2!8m2!3d29.3440252!4d110.5413063!16s%2Fg%2F1tfc4wkc!19sChIJ3w4cHLcImzYRl-5lMNMmOMQ?authuser=0&hl=ko&rclk=1,4.2,,97.0
8,China,Zhangjiajie,黄石寨六奇阁,,,,,,https://www.google.com/maps/place/%E9%BB%84%E7%9F%B3%E5%AF%A8%E5%85%AD%E5%A5%87%E9%98%81/data=!4m7!3m6!1s0x369b06c51f9742b7:0xcdee944d93469a85!8m2!3d29.336797!4d110.440972!16s%2Fg%2F1tk_mjvf!19sChIJt0KXH8UGmzYRhZpGk02U7s0?authuser=0&hl=ko&rclk=1,4.5,,64.0
9,China,Zhangjiajie,King Dragon's Cave,,,,,,https://www.google.com/maps/place/King+Dragon%27s+Cave/data=!4m7!3m6!1s0x369b0f4d2ab0f711:0xbb9cbb4f23c75f65!8m2!3d29.353463!4d110.536384!16s%2Fg%2F12cpmc278!19sChIJEfewKk0PmzYRZV_HI0-7nLs?authuser=0&hl=ko&rclk=1,4.3,,47.0
10,China,Zhangjiajie,溪布街,,,,,,https://www.google.com/maps/place/%E6%BA%AA%E5%B8%83%E8%A1%97/data=!4m7!3m6!1s0x369b08ce6eb8df55:0x29762341fff8c4f1!8m2!3d29.343857!4d110.555356!16s%2Fg%2F1tfrvrx3!19sChIJVd-4bs4ImzYR8cT4_0Ejdik?authuser=0&hl=ko&rclk=1,4.1,,40.0
11,China,Zhangjiajie,天门山风景区,,,,,,https://www.google.com/maps/place/%E5%A4%A9%E9%97%A8%E5%B1%B1%E9%A3%8E%E6%99%AF%E5%8C%BA/data=!4m7!3m6!1s0x369bb1a91a3f2079:0xb4255484444811e7!8m2!3d29.057169!4d110.465572!16s%2Fg%2F113jd0ddn!19sChIJeSA_GqmxmzYR5xFIRIRUJbQ?authuser=0&hl=ko&rclk=1,4.5,,31.0
12,China,Zhangjiajie,장자제 미니 인,,,,,,https://www.google.com/maps/place/%EC%9E%A5%EC%9E%90%EC%A0%9C+%EB%AF%B8%EB%8B%88+%EC%9D%B8/data=!4m10!3m9!1s0x369bafcdf9d9706b:0xc029ba3363405710!5m2!4m1!1i2!8m2!3d29.10714!4d110.47911!16s%2Fg%2F11fy5d_jsj!19sChIJa3DZ-c2vmzYREFdAYzO6KcA?authuser=0&hl=ko&rclk=1,4.6,,30.0
