data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,popurality
1,China,Zhangjiajie,Zhangjiajie Glass Bridge,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJx-X060YNmzYR3DnNzEWGXC4,4.5,1701
2,China,Zhangjiajie,Zhangjiajie Grand Canyon （Southwest Gate）,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJaUhkOUYNmzYRsgDzbtxBLNQ,4.4,1255
3,China,Zhangjiajie,Yuanjiajie,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJMeawKk0PmzYRVoqGJkusxhg,4.6,1045
4,China,Zhangjiajie,Tianmenshan Cableway,,,,,국제 전화번호: +86 744 836 6099,https://www.google.com/maps/place/?q=place_id:ChIJrz0FK8-vmzYRPYoPH6VDRxY,4.6,1037
5,China,Zhangjiajie,장자제 국가삼림공원(Zhangjiajie National Forest Park),,,,,웹사이트: http://zjjnfp.com/,https://www.google.com/maps/place/?q=place_id:ChIJoaxDGsqvmzYRbwukZex5gKE,4.7,697
6,China,Zhangjiajie,Tianmen Shan(Tianmen Mountain),,,,,,https://www.google.com/maps/place/?q=place_id:ChIJz7mBDfmwmzYRWPIk9Fgr6AU,4.7,639
7,China,Zhangjiajie,十里画廊,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJAUVyGfsFmzYRUGVxYxi_4qM,4.3,269
8,China,Zhangjiajie,Huanglongdong Scenic Area,,,,,국제 전화번호: +86 744 561 8489,https://www.google.com/maps/place/?q=place_id:ChIJIXVBJ6AOmzYRCQW-cdKfGWA,4.5,266
9,China,Zhangjiajie,Tianmen Fairy Mountain （North Gate）,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_9hklEywmzYRuu-jsIT8WAQ,4.5,264
10,China,Zhangjiajie,Tianmen Mountain National Park,,,,,국제 전화번호: +86 744 836 9999,https://www.google.com/maps/place/?q=place_id:ChIJBWiAC_-wmzYRlCfOs8HywFs,4.7,180
11,China,Zhangjiajie,雾海金龟,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJeS0sd9MGmzYRkQv5n_6oH2U,4.5,168
12,China,Zhangjiajie,Tujia Folk Customs Park,,,,,국제 전화번호: +86 744 828 2222,https://www.google.com/maps/place/?q=place_id:ChIJi9s8wkiumzYR8mjJ5GAsMtA,4.3,164
13,China,Zhangjiajie,Wulingyuan,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJJbp_zqYImzYR5a6S0Fuykdc,4.5,152
14,China,Zhangjiajie,Baofenghu Scenic Area,,,,,국제 전화번호: +86 744 561 8272,https://www.google.com/maps/place/?q=place_id:ChIJR_ilW-oImzYRjeW7FGd96T4,4.2,148
15,China,Zhangjiajie,Zhangjiajie Grand Canyon,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJVdMnu6QSmzYRjwEqG8ZXqro,4.3,135
16,China,Zhangjiajie,National Forest Pk of Tianmen Mountain,,,,,국제 전화번호: +86 744 836 6099,https://www.google.com/maps/place/?q=place_id:ChIJIwOzC1awmzYRNskruUrMRcY,4.8,113
17,China,Zhangjiajie,Dreams Zhangjiajie,,,,,웹사이트: http://www.cn-zhangjiajie.cn/html/38/n_23438.html,https://www.google.com/maps/place/?q=place_id:ChIJpcVmfbQImzYRHsD_uUE0U2Y,4.5,100
18,China,Zhangjiajie,풀만 장자제 호텔(Pullman Zhangjiajie),,,,,국제 전화번호: +86 744 888 8888 웹사이트: http://www.pullmanhotels.com/zh/hotel-7934-%E5%BC%A0%E5%AE%B6%E7%95%8C%E4%BA%AC%E6%AD%A6%E9%93%82%E5%B0%94%E6%9B%BC%E9%85%92%E5%BA%97/index.shtml,https://www.google.com/maps/place/?q=place_id:ChIJ3w4cHLcImzYRl-5lMNMmOMQ,4.2,97
19,China,Zhangjiajie,Charming Xiangxi Grand Theatre,,,,,국제 전화번호: +86 744 566 8095,https://www.google.com/maps/place/?q=place_id:ChIJKaoCh7UImzYRjORxlv1IKBs,4.3,92
20,China,Zhangjiajie,Jinbian Brook,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7WckN_IGmzYRiqRUD82sHSo,4.5,68
21,China,Zhangjiajie,Baofeng Lake,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJDWUltu4ImzYR07fga6IQttw,4.2,60
22,China,Zhangjiajie,He Long Park,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ7Za0oPAFmzYRjPyu215E72w,4.2,49
23,China,Zhangjiajie,Huangshizhai,,,,,웹사이트: https://vacation.eztravel.com.tw/sight/plc0000080318/huangshizhai-%E9%BB%83%E7%9F%B3%E5%AF%A8,https://www.google.com/maps/place/?q=place_id:ChIJBbl0A9QGmzYR4LohbSUbe2E,4.6,46
24,China,Zhangjiajie,Yangjiajie Scenic Area,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJRd8K2lsBmzYR3eL933cOPcE,4.6,46
25,China,Zhangjiajie,Zhangjiajie Junsheng Painting Institute,,,,,국제 전화번호: +86 744 830 1239,https://www.google.com/maps/place/?q=place_id:ChIJ2bx0B6SvmzYR-lhFAqOKy38,4.0,37
26,China,Zhangjiajie,Tianzishan Nature Reserve,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJwbGc8zAEmzYR-lSxqBcxNog,4.6,34
27,China,Zhangjiajie,Wulingyuan Scenic Area,,,,,국제 전화번호: +86 744 561 1198,https://www.google.com/maps/place/?q=place_id:ChIJUyM0FVwGmzYRBZfSzn_jkI8,4.4,32
