data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Zhuhai,Festival Walk,,,"200개가 넘는 상점과 레스토랑, 영화관, 아이스 스케이트장이 있는 현대적인 고급 실내 쇼핑몰입니다.",,,https://www.google.com/maps/place/Festival+Walk/data=!4m7!3m6!1s0x34040731464f1e7f:0xfd4f7b8a34403120!8m2!3d22.337381!4d114.1744322!16zL20vMDV4ampm!19sChIJfx5PRjEHBDQRIDFANIp7T_0?authuser=0&hl=ko&rclk=1,8702,4.1
2,China,Zhuhai,Tai O Market,,,,,,https://www.google.com/maps/place/Tai+O+Market/data=!4m7!3m6!1s0x340158d2503f79a1:0xf6568d9156f1c09d!8m2!3d22.254627!4d113.861735!16s%2Fg%2F1tdnhnn8!19sChIJoXk_UNJYATQRncDxVpGNVvY?authuser=0&hl=ko&rclk=1,1580,3.8
3,China,Zhuhai,Ping Shek Playground,,,,,,https://www.google.com/maps/place/Ping+Shek+Playground/data=!4m7!3m6!1s0x340406c9062edfb5:0x69f6cd98a9835b58!8m2!3d22.3321998!4d114.2122064!16s%2Fg%2F155p_2kd!19sChIJtd8uBskGBDQRWFuDqZjN9mk?authuser=0&hl=ko&rclk=1,1056,4.1
4,China,Zhuhai,Shek O Lovers Bridge,,,,,,https://www.google.com/maps/place/Shek+O+Lovers+Bridge/data=!4m7!3m6!1s0x34040209ed11ce85:0xbc8d65f95e03880d!8m2!3d22.2296781!4d114.2560256!16s%2Fg%2F11cmfcxhn7!19sChIJhc4R7QkCBDQRDYgDXvlljbw?authuser=0&hl=ko&rclk=1,1027,4.1
5,China,Zhuhai,Sunbeam Theatre,,,,,,https://www.google.com/maps/place/Sunbeam+Theatre/data=!4m7!3m6!1s0x34040104e14d789b:0x1b8cf5bdb4f73526!8m2!3d22.2912858!4d114.2000753!16s%2Fm%2F02psrl9!19sChIJm3hN4QQBBDQRJjX3tL31jBs?authuser=0&hl=ko&rclk=1,1022,3.9
6,China,Zhuhai,圆明新园,,,"북경의 원명궁을 재현한 곳으로, 풍경이 멋진 정원과 청나라 공연을 즐길 수 있습니다.",,,https://www.google.com/maps/place/%E5%9C%86%E6%98%8E%E6%96%B0%E5%9B%AD/data=!4m7!3m6!1s0x34017b5751479a2d:0x2e230bba821bde4a!8m2!3d22.240105!4d113.538039!16s%2Fg%2F155sx60j!19sChIJLZpHUVd7ATQRSt4bgroLIy4?authuser=0&hl=ko&rclk=1,640,3.8
7,China,Zhuhai,长隆野生动物世界,,,"8백만㎡ 규모의 야생동물 공원으로, 차에서 동물을 볼 수 있으며 식당과 기념품 가게가 있습니다.",,,https://www.google.com/maps/place/%E9%95%BF%E9%9A%86%E9%87%8E%E7%94%9F%E5%8A%A8%E7%89%A9%E4%B8%96%E7%95%8C/data=!4m7!3m6!1s0x34031efe440e9013:0x1f83444c25fda531!8m2!3d22.999824!4d113.315739!16s%2Fg%2F1yglpsdp2!19sChIJE5AORP4eAzQRMaX9JUxEgx8?authuser=0&hl=ko&rclk=1,619,4.4
8,China,Zhuhai,Chung Hom Kok Park,,,,,,https://www.google.com/maps/place/Chung+Hom+Kok+Park/data=!4m7!3m6!1s0x3406aa5c1e095c69:0x9b315b18cf79338!8m2!3d22.210756!4d114.1977087!16s%2Fg%2F1tdjnrww!19sChIJaVwJHlyqBjQROJP3jLEVswk?authuser=0&hl=ko&rclk=1,591,4.1
9,China,Zhuhai,Jingshan Park,,,,,,https://www.google.com/maps/place/Jingshan+Park/data=!4m7!3m6!1s0x340164a98bd39e0b:0xc3b552d97d44d44f!8m2!3d22.262314!4d113.581318!16s%2Fg%2F1tczsgkc!19sChIJC57Ti6lkATQRT9REfdlStcM?authuser=0&hl=ko&rclk=1,494,4.1
10,China,Zhuhai,홍콩 - 주하이 - 마카오 대교,,,강어귀에서 현수교 3개가 만나는 교차로와 2018년에 완공된 길이가 55Km에 달하는 터널.,,,https://www.google.com/maps/place/%ED%99%8D%EC%BD%A9+-+%EC%A3%BC%ED%95%98%EC%9D%B4+-+%EB%A7%88%EC%B9%B4%EC%98%A4+%EB%8C%80%EA%B5%90/data=!4m7!3m6!1s0x3403fd2c87595df1:0xfb8a8706a4f6ffb6!8m2!3d22.3146569!4d113.9473807!16zL20vMDF3eHk5!19sChIJ8V1Zhyz9AzQRtv_2pAaHivs?authuser=0&hl=ko&rclk=1,391,4.4
11,China,Zhuhai,Hong Kong Boundary Crossing Facilities,,,,,,https://www.google.com/maps/place/Hong+Kong+Boundary+Crossing+Facilities/data=!4m7!3m6!1s0x3403fd2b341bf5f9:0x3969d803185b7783!8m2!3d22.3172613!4d113.9566204!16s%2Fg%2F11c6rhry56!19sChIJ-fUbNCv9AzQRg3dbGAPYaTk?authuser=0&hl=ko&rclk=1,391,4.1
12,China,Zhuhai,칭이 자연 탐방로,,,,,,https://www.google.com/maps/place/%EC%B9%AD%EC%9D%B4+%EC%9E%90%EC%97%B0+%ED%83%90%EB%B0%A9%EB%A1%9C/data=!4m7!3m6!1s0x3403f92ec0bb61ad:0xa3f8bf0b01123082!8m2!3d22.3509894!4d114.0892406!16s%2Fg%2F11b6r8f41b!19sChIJrWG7wC75AzQRgjASAQu_-KM?authuser=0&hl=ko&rclk=1,390,4.2
13,China,Zhuhai,Chimelong Paradise,,,10번의 반전을 경험할 수 있는 롤러코스터 등 스릴 넘치는 다양한 놀이기구를 갖춘 대형 놀이공원입니다.,,,https://www.google.com/maps/place/Chimelong+Paradise/data=!4m7!3m6!1s0x340253812b5d13e5:0xd8ff7029ec3354bd!8m2!3d22.99665!4d113.328853!16s%2Fm%2F025xk2r!19sChIJ5RNdK4FTAjQRvVQz7Clw_9g?authuser=0&hl=ko&rclk=1,350,4.4
14,China,Zhuhai,Cultural Centre - Grand Theatre,,,,,,https://www.google.com/maps/place/Cultural+Centre+-+Grand+Theatre/data=!4m7!3m6!1s0x340400f308e1f901:0x97f438a2d51b1a3b!8m2!3d22.2940314!4d114.1704322!16s%2Fg%2F11cmf7j2vp!19sChIJAfnhCPMABDQROxob1aI49Jc?authuser=0&hl=ko&rclk=1,338,4.3
15,China,Zhuhai,Cape D'Aguilar Waterfall,,,,,,https://www.google.com/maps/place/Cape+D%27Aguilar+Waterfall/data=!4m7!3m6!1s0x3406a9f2d2c01943:0xcd6d7592ecd76bb!8m2!3d22.2077533!4d114.2608034!16s%2Fg%2F11c5b109mb!19sChIJQxnA0vKpBjQRu3bNLlnX1gw?authuser=0&hl=ko&rclk=1,324,4.2
16,China,Zhuhai,돔 페드로 5세 극장,,,"약 1860년에 지어진 서양식 극장으로 오케스트라 공연, 오페라, 음악 페스티벌이 열립니다.",,,https://www.google.com/maps/place/%EB%8F%94+%ED%8E%98%EB%93%9C%EB%A1%9C+5%EC%84%B8+%EA%B7%B9%EC%9E%A5/data=!4m7!3m6!1s0x34017aefcc23d7b5:0x8336e19500e58515!8m2!3d22.1918723!4d113.538372!16s%2Fm%2F03hm5sk!19sChIJtdcjzO96ATQRFYXlAJXhNoM?authuser=0&hl=ko&rclk=1,311,4.3
