data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Chongqing,Chongqing Hongyadong （Northwest Gate）,,,,,,https://www.google.com/maps/place/Chongqing+Hongyadong+%EF%BC%88Northwest+Gate%EF%BC%89/data=!4m7!3m6!1s0x36933481754ea899:0xae24c6d5f2f2f75!8m2!3d29.561976!4d106.577535!16s%2Fg%2F11cnpgs6m0!19sChIJmahOdYE0kzYRdS8vX21M4go?authuser=0&hl=ko&rclk=1,765,4.4
2,China,Chongqing,"Ciqikou, Chongqing",,,"독특한 고대 마을로 좁은 거리, 전통적인 형태의 건물, 기념품 상점과 레스토랑이 있습니다.",,,"https://www.google.com/maps/place/Ciqikou,+Chongqing/data=!4m7!3m6!1s0x36eccbf826f214f3:0x31795b97be6c196b!8m2!3d29.579389!4d106.45168!16zL20vMDVrMnJr!19sChIJ8xTyJvjL7DYRaxlsvpdbeTE?authuser=0&hl=ko&rclk=1",611,4.3
3,China,Chongqing,Chongqing Zoo,,,,,,https://www.google.com/maps/place/Chongqing+Zoo/data=!4m7!3m6!1s0x369334a6a5b36a43:0xfb49550b77740b53!8m2!3d29.503557!4d106.505938!16s%2Fm%2F011pzp22!19sChIJQ2qzpaY0kzYRUwt0dwtVSfs?authuser=0&hl=ko&rclk=1,307,4.3
4,China,Chongqing,Fengdu Ghost City,,,"고대 한 왕조 도시의 사후 세계에 대한 다리, 사원, 대문, 조각품들을 볼 수 있습니다.",,,https://www.google.com/maps/place/Fengdu+Ghost+City/data=!4m7!3m6!1s0x369239ccd5d97743:0x4eebc32e9d40a092!8m2!3d29.887802!4d107.718812!16s%2Fm%2F0g9x1wq!19sChIJQ3fZ1cw5kjYRkqBAnS7D604?authuser=0&hl=ko&rclk=1,260,4.1
5,China,Chongqing,충칭 장베이 국제공항,,,,,,https://www.google.com/maps/place/%EC%B6%A9%EC%B9%AD+%EC%9E%A5%EB%B2%A0%EC%9D%B4+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x36932ebcbaaae401:0xa264bdfc4843caa7!8m2!3d29.7191667!4d106.6416667!16zL20vMGRmOTA0!19sChIJAeSqurwukzYRp8pDSPy9ZKI?authuser=0&hl=ko&rclk=1,256,4.1
6,China,Chongqing,Hongyadong Folk Custom Scene Area,,,,,,https://www.google.com/maps/place/Hongyadong+Folk+Custom+Scene+Area/data=!4m7!3m6!1s0x36933481af2a66c3:0x611a408838df4c0!8m2!3d29.562273!4d106.579177!16s%2Fg%2F1tdmswkx!19sChIJw2Yqr4E0kzYRwPSNgwikEQY?authuser=0&hl=ko&rclk=1,250,4.4
7,China,Chongqing,Three Gorges Museum,,,,,,https://www.google.com/maps/place/Three+Gorges+Museum/data=!4m7!3m6!1s0x369334a4253e13e1:0x2176260b27c1c1a3!8m2!3d29.562064!4d106.550416!16s%2Fm%2F011pxmvl!19sChIJ4RM-JaQ0kzYRo8HBJwsmdiE?authuser=0&hl=ko&rclk=1,240,4.2
8,China,Chongqing,解放碑,,,,,,https://www.google.com/maps/place/%E8%A7%A3%E6%94%BE%E7%A2%91/data=!4m7!3m6!1s0x3693348691c743eb:0x1f04086eebdb83a6!8m2!3d29.5572537!4d106.5770548!16s%2Fg%2F1ynnq3zqw!19sChIJ60PHkYY0kzYRpoPb624IBB8?authuser=0&hl=ko&rclk=1,173,4.4
9,China,Chongqing,Eling Park,,,,,,https://www.google.com/maps/place/Eling+Park/data=!4m7!3m6!1s0x369334b568e4d5bb:0x354b26bdf080478e!8m2!3d29.54974!4d106.53616!16s%2Fm%2F064l2mh!19sChIJu9XkaLU0kzYRjkeA8L0mSzU?authuser=0&hl=ko&rclk=1,173,4.2
10,China,Chongqing,Chongqing Chaotianmen Square,,,,,,https://www.google.com/maps/place/Chongqing+Chaotianmen+Square/data=!4m7!3m6!1s0x369333812b3fedbd:0x422bff62d8830a01!8m2!3d29.566623!4d106.587785!16s%2Fg%2F1twyxsts!19sChIJve0_K4EzkzYRAQqD2GL_K0I?authuser=0&hl=ko&rclk=1,162,4.4
