data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,rating,reviews
1,Vietnam,Da Nang,다낭박물관,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EB%82%AD%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x3142183691882913:0xc9180a3982a9ef58!8m2!3d16.0764462!4d108.2214867!16s%2Fg%2F1tlwc3mc!19sChIJEymIkTYYQjERWO-pgjkKGMk?authuser=0&hl=ko&rclk=1,4.0,"(1,800)"
2,Vietnam,Da Nang,Sân bay trực thăng (Địa điểm lịch sử),,,,,,https://www.google.com/maps/place/S%C3%A2n+bay+tr%E1%BB%B1c+th%C4%83ng+%28%C4%90%E1%BB%8Ba+%C4%91i%E1%BB%83m+l%E1%BB%8Bch+s%E1%BB%AD%29/data=!4m7!3m6!1s0x31423d5e75a0ce51:0xa081e28b3d004a6d!8m2!3d16.1297353!4d108.2595384!16s%2Fg%2F11t6_t7dzb!19sChIJUc6gdV49QjERbUoAPYvigaA?authuser=0&hl=ko&rclk=1,4.7,(17)
3,Vietnam,Da Nang,마블마운틴,,,,,,https://www.google.com/maps/place/%EB%A7%88%EB%B8%94%EB%A7%88%EC%9A%B4%ED%8B%B4/data=!4m7!3m6!1s0x31420dd4e14b2edb:0xbc6e1faf738be4c5!8m2!3d16.0034756!4d108.2645803!16s%2Fm%2F02623q9!19sChIJ2y5L4dQNQjERxeSLc68fbrw?authuser=0&hl=ko&rclk=1,4.3,"(28,155)"
4,Vietnam,Da Nang,5군구 전쟁기념관,,,,,,https://www.google.com/maps/place/5%EA%B5%B0%EA%B5%AC+%EC%A0%84%EC%9F%81%EA%B8%B0%EB%85%90%EA%B4%80/data=!4m7!3m6!1s0x314219c69cf3c7a3:0x2927993f5153d336!8m2!3d16.0486814!4d108.217581!16s%2Fm%2F011py73s!19sChIJo8fznMYZQjERNtNTUT-ZJyk?authuser=0&hl=ko&rclk=1,4.3,"(1,168)"
5,Vietnam,Da Nang,참 박물관,,,,,,https://www.google.com/maps/place/%EC%B0%B8+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x314219cdb3006a2d:0x62ca993f60c3a12c!8m2!3d16.0603007!4d108.2232677!16s%2Fm%2F02pvbjt!19sChIJLWoAs80ZQjERLKHDYD-ZymI?authuser=0&hl=ko&rclk=1,4.1,"(6,260)"
6,Vietnam,Da Nang,썬월드 다낭 아시아파크,,,,,,https://www.google.com/maps/place/%EC%8D%AC%EC%9B%94%EB%93%9C+%EB%8B%A4%EB%82%AD+%EC%95%84%EC%8B%9C%EC%95%84%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x314219e7a191cc17:0xe60f91d4055e3074!8m2!3d16.0412139!4d108.2256332!16s%2Fg%2F11c1s0n2xz!19sChIJF8yRoecZQjERdDBeBdSRD-Y?authuser=0&hl=ko&rclk=1,4.4,"(9,859)"
7,Vietnam,Da Nang,바나힐 썬월드,,,,,,https://www.google.com/maps/place/%EB%B0%94%EB%82%98%ED%9E%90+%EC%8D%AC%EC%9B%94%EB%93%9C/data=!4m7!3m6!1s0x3141f60e6b3844c9:0x5c53b85f61797909!8m2!3d16.0265144!4d108.0327972!16s%2Fg%2F11b6_zyfvd!19sChIJyUQ4aw72QTERCXl5YV-4U1w?authuser=0&hl=ko&rclk=1,4.5,"(43,449)"
8,Vietnam,Da Nang,선월드 다낭 원더스 대관람차,,,,,,https://www.google.com/maps/place/%EC%84%A0%EC%9B%94%EB%93%9C+%EB%8B%A4%EB%82%AD+%EC%9B%90%EB%8D%94%EC%8A%A4+%EB%8C%80%EA%B4%80%EB%9E%8C%EC%B0%A8/data=!4m7!3m6!1s0x314219e774acfaf5:0xd61e377c100cc265!8m2!3d16.0404534!4d108.2283843!16s%2Fg%2F11bbwn9bzd!19sChIJ9fqsdOcZQjERZcIMEHw3HtY?authuser=0&hl=ko&rclk=1,4.5,"(4,862)"
9,Vietnam,Da Nang,Fantasy Park,,,,,,https://www.google.com/maps/place/Fantasy+Park/data=!4m7!3m6!1s0x3141f6fcd2ca1de9:0x8ab7af426e736a44!8m2!3d15.9972041!4d107.988763!16s%2Fg%2F11f3qs35jx!19sChIJ6R3K0vz2QTERRGpzbkKvt4o?authuser=0&hl=ko&rclk=1,4.4,"(1,755)"
10,Vietnam,Da Nang,Công Viên Khủng Long - Jura Park,,,,,,https://www.google.com/maps/place/C%C3%B4ng+Vi%C3%AAn+Kh%E1%BB%A7ng+Long+-+Jura+Park/data=!4m7!3m6!1s0x3141f7160eec6eb1:0xa5eb566c17c91606!8m2!3d15.9700578!4d108.0207072!16s%2Fg%2F11h7frmt18!19sChIJsW7sDhb3QTERBhbJF2xW66U?authuser=0&hl=ko&rclk=1,4.5,(18)
11,Vietnam,Da Nang,Hot springs park,,,,,,https://www.google.com/maps/place/Hot+springs+park/data=!4m7!3m6!1s0x3141f79575cfb7c1:0xf0646efeed30cb8f!8m2!3d15.9678512!4d108.0198053!16s%2Fg%2F11g8_16v6_!19sChIJwbfPdZX3QTERj8sw7f5uZPA?authuser=0&hl=ko&rclk=1,4.3,"(3,615)"
