data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,popularity
1,China,Dalian,다롄 저우수이쯔 국제공항,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EB%A1%84+%EC%A0%80%EC%9A%B0%EC%88%98%EC%9D%B4%EC%AF%94+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x358f5e0a684a1fd9:0x19c6dc026602ec26!8m2!3d38.9655556!4d121.5383333!16zL20vMDVrZ2Nz!19sChIJ2R9KaApejzURJuwCZgLcxhk?authuser=0&hl=ko&rclk=1,,3.8,269.0
2,China,Dalian,인터콘티넨탈 다롄,,,,,,https://www.google.com/maps/place/%EC%9D%B8%ED%84%B0%EC%BD%98%ED%8B%B0%EB%84%A8%ED%83%88+%EB%8B%A4%EB%A1%84/data=!4m10!3m9!1s0x35858aacc6c73d77:0x967e393447ec9b01!5m2!4m1!1i2!8m2!3d38.91968!4d121.6357!16s%2Fg%2F11gghf3vb5!19sChIJdz3HxqyKhTURAZvsRzQ5fpY?authuser=0&hl=ko&rclk=1,,4.4,127.0
3,China,Dalian,Somerset Grand Central Dalian,,,,,,https://www.google.com/maps/place/Somerset+Grand+Central+Dalian/data=!4m10!3m9!1s0x3585fa61b47158b1:0x2b38d85c11000188!5m2!4m1!1i2!8m2!3d39.0484366!4d121.7648072!16s%2Fg%2F11b6d6lv7h!19sChIJsVhxtGH6hTURiAEAEVzYOCs?authuser=0&hl=ko&rclk=1,,4.3,94.0
4,China,Dalian,Lushun Russo-Japanese Prison,,,안중근 의사가 처형되기 전에 수감되었던 20세기 초의 감옥에 위치한 박물관입니다.,,,https://www.google.com/maps/place/Lushun+Russo-Japanese+Prison/data=!4m7!3m6!1s0x358f606a7a68e8cd:0xb85b5ced8209109!8m2!3d38.8249184!4d121.2645799!16s%2Fg%2F1235kf7_!19sChIJzehoempgjzURCZEg2M61hQs?authuser=0&hl=ko&rclk=1,,4.3,78.0
5,China,Dalian,콘래드 다롄,,,,,,https://www.google.com/maps/place/%EC%BD%98%EB%9E%98%EB%93%9C+%EB%8B%A4%EB%A1%84/data=!4m10!3m9!1s0x3585f523241d19ed:0xd5c4097f3663ea41!5m2!4m1!1i2!8m2!3d38.92831!4d121.66354!16s%2Fm%2F011myypt!19sChIJ7RkdJCP1hTURQepjNn8JxNU?authuser=0&hl=ko&rclk=1,,4.6,46.0
6,China,Dalian,白玉塔,,,,,,https://www.google.com/maps/place/%E7%99%BD%E7%8E%89%E5%A1%94/data=!4m7!3m6!1s0x358f0cabdeff6a45:0xfab6b2777c97c127!8m2!3d38.810361!4d121.257109!16s%2Fg%2F1q5bmgsg2!19sChIJRWr_3qsMjzURJ8GXfHeytvo?authuser=0&hl=ko&rclk=1,,3.8,37.0
7,China,Dalian,알로프트 다롄,,,,,,https://www.google.com/maps/place/%EC%95%8C%EB%A1%9C%ED%94%84%ED%8A%B8+%EB%8B%A4%EB%A1%84/data=!4m10!3m9!1s0x3585f5495a7d527d:0x3fee500a19b86f37!5m2!4m1!1i2!8m2!3d38.921239!4d121.647938!16s%2Fg%2F1q66zcmhx!19sChIJfVJ9Wkn1hTURN2-4GQpQ7j8?authuser=0&hl=ko&rclk=1,,4.0,33.0
8,China,Dalian,Dalian Forest Zoo （South Gate）,,,,,,https://www.google.com/maps/place/Dalian+Forest+Zoo+%EF%BC%88South+Gate%EF%BC%89/data=!4m7!3m6!1s0x358f61c182159cd9:0x9dadbace18f4743d!8m2!3d38.873733!4d121.610761!16s%2Fg%2F1tdd_9gh!19sChIJ2ZwVgsFhjzURPXT0GM66rZ0?authuser=0&hl=ko&rclk=1,,4.6,33.0
9,China,Dalian,Dalian Natural History Museum,,,,,,https://www.google.com/maps/place/Dalian+Natural+History+Museum/data=!4m7!3m6!1s0x358f6160edf6e4af:0x47c4cdf89844c187!8m2!3d38.870318!4d121.561561!16s%2Fg%2F11x7vjn58!19sChIJr-T27WBhjzURh8FEmPjNxEc?authuser=0&hl=ko&rclk=1,,4.1,29.0
10,China,Dalian,Lüshun Museum,,,,,,https://www.google.com/maps/place/L%C3%BCshun+Museum/data=!4m7!3m6!1s0x358f0b641e600c8b:0x437f881c920a2c58!8m2!3d38.808162!4d121.233846!16s%2Fm%2F0gx_9r9!19sChIJiwxgHmQLjzURWCwKkhyIf0M?authuser=0&hl=ko&rclk=1,,4.2,28.0
11,China,Dalian,Port of Dalian,,,,,,https://www.google.com/maps/place/Port+of+Dalian/data=!4m7!3m6!1s0x3585f53901ac29bd:0xa60f674a0af1ca8a!8m2!3d38.9268986!4d121.6541167!16s%2Fm%2F02qqpkj!19sChIJvSmsATn1hTURisrxCkpnD6Y?authuser=0&hl=ko&rclk=1,,4.3,28.0
12,China,Dalian,Laohutan Scenic Attraction,,,,,,https://www.google.com/maps/place/Laohutan+Scenic+Attraction/data=!4m7!3m6!1s0x35858b03b2ef3adf:0xc32f482d34f272b0!8m2!3d38.87677!4d121.676903!16s%2Fg%2F121c07g3!19sChIJ3zrvsgOLhTURsHLyNC1IL8M?authuser=0&hl=ko&rclk=1,,4.3,26.0
13,China,Dalian,Golden Pebble Beach,,,,,,https://www.google.com/maps/place/Golden+Pebble+Beach/data=!4m7!3m6!1s0x3585e0f23ad2fca5:0x9184147b0e2754a4!8m2!3d39.076202!4d121.965069!16s%2Fg%2F11f57gvb_2!19sChIJpfzSOvLghTURpFQnDnsUhJE?authuser=0&hl=ko&rclk=1,,4.0,25.0
14,China,Dalian,大连夏丽高尔夫俱乐部,,,,,,https://www.google.com/maps/place/%E5%A4%A7%E8%BF%9E%E5%A4%8F%E4%B8%BD%E9%AB%98%E5%B0%94%E5%A4%AB%E4%BF%B1%E4%B9%90%E9%83%A8/data=!4m7!3m6!1s0x358f5be5666c1d75:0xe3034d9959b3ac88!8m2!3d39.038424!4d121.524218!16s%2Fg%2F1tfm95t4!19sChIJdR1sZuVbjzURiKyzWZlNA-M?authuser=0&hl=ko&rclk=1,,3.9,22.0
15,China,Dalian,Dalian University,,,,,,https://www.google.com/maps/place/Dalian+University/data=!4m7!3m6!1s0x3585e3451b02aa37:0xff2fb826719f366b!8m2!3d39.10041!4d121.821932!16zL20vMDNweDBz!19sChIJN6oCG0XjhTURazafcSa4L_8?authuser=0&hl=ko&rclk=1,,4.6,21.0
16,China,Dalian,Lvshunkou Scenic Spot,,,,,,https://www.google.com/maps/place/Lvshunkou+Scenic+Spot/data=!4m7!3m6!1s0x358f74b2f255db87:0xc9d21b8ab0332c8d!8m2!3d38.793838!4d121.264941!16s%2Fg%2F1tz93q84!19sChIJh9tV8rJ0jzURjSwzsIob0sk?authuser=0&hl=ko&rclk=1,,3.6,20.0
17,China,Dalian,Dalian Coastal National Geopark,,,,,,https://www.google.com/maps/place/Dalian+Coastal+National+Geopark/data=!4m7!3m6!1s0x3585df111ae2c069:0x49701f2316cf6334!8m2!3d39.069061!4d122.053332!16s%2Fg%2F11g_0h471!19sChIJacDiGhHfhTURNGPPFiMfcEk?authuser=0&hl=ko&rclk=1,,3.9,20.0
18,China,Dalian,Sun Asia Ocean World & Polar World,,,,,,https://www.google.com/maps/place/Sun+Asia+Ocean+World+%26+Polar+World/data=!4m7!3m6!1s0x358f5fbebcf84c75:0xc1615a0409b550db!8m2!3d38.9537874!4d121.6009941!16s%2Fg%2F12hqp9y4y!19sChIJdUz4vL5fjzUR21C1CQRaYcE?authuser=0&hl=ko&rclk=1,,1.6,18.0
19,China,Dalian,Dalian Sightseeing Tower,,,,,,https://www.google.com/maps/place/Dalian+Sightseeing+Tower/data=!4m7!3m6!1s0x35858aa114d0e3cd:0x7f196c9f28b4739c!8m2!3d38.905972!4d121.632554!16s%2Fg%2F1tghmkg8!19sChIJzePQFKGKhTURnHO0KJ9sGX8?authuser=0&hl=ko&rclk=1,,4.2,18.0
20,China,Dalian,Dalian Modern Museum,,,,,,https://www.google.com/maps/place/Dalian+Modern+Museum/data=!4m7!3m6!1s0x358f61a882c75805:0x5b4b721230c2dd88!8m2!3d38.888416!4d121.586157!16s%2Fg%2F1q6mr55dx!19sChIJBVjHgqhhjzURiN3CMBJyS1s?authuser=0&hl=ko&rclk=1,,4.4,17.0
21,China,Dalian,Bangchui Island Scenic Area （West Gate）,,,,,,https://www.google.com/maps/place/Bangchui+Island+Scenic+Area+%EF%BC%88West+Gate%EF%BC%89/data=!4m7!3m6!1s0x35858b466acfae83:0xaaff0858a497afc3!8m2!3d38.8892222!4d121.702453!16s%2Fg%2F1vqmg9q7!19sChIJg67PakaLhTURw6-XpFgI_6o?authuser=0&hl=ko&rclk=1,,4.4,17.0
