data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Dalian,다롄 저우수이쯔 국제공항,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EB%A1%84+%EC%A0%80%EC%9A%B0%EC%88%98%EC%9D%B4%EC%AF%94+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x358f5e0a684a1fd9:0x19c6dc026602ec26!8m2!3d38.9655556!4d121.5383333!16zL20vMDVrZ2Nz!19sChIJ2R9KaApejzURJuwCZgLcxhk?authuser=0&hl=ko&rclk=1,268,3.8
2,China,Dalian,Zhongshan Square,,,19세기 러시아식 광장으로 5차선 원형 교차로와 쇼핑 센터가 있습니다.,,,https://www.google.com/maps/place/Zhongshan+Square/data=!4m7!3m6!1s0x3585f54c4013eab7:0x69342fe0d8c6ea19!8m2!3d38.9216!4d121.643878!16s%2Fm%2F09v7hdc!19sChIJt-oTQEz1hTURGerG2OAvNGk?authuser=0&hl=ko&rclk=1,209,4.3
3,China,Dalian,Laodong Park,,,,,,https://www.google.com/maps/place/Laodong+Park/data=!4m7!3m6!1s0x35858aaf5998979f:0x6f18db91ad734834!8m2!3d38.914349!4d121.633423!16s%2Fg%2F1225dnhv!19sChIJn5eYWa-KhTURNEhzrZHbGG8?authuser=0&hl=ko&rclk=1,198,4.4
4,China,Dalian,인터콘티넨탈 다롄,,,,,,https://www.google.com/maps/place/%EC%9D%B8%ED%84%B0%EC%BD%98%ED%8B%B0%EB%84%A8%ED%83%88+%EB%8B%A4%EB%A1%84/data=!4m10!3m9!1s0x35858aacc6c73d77:0x967e393447ec9b01!5m2!4m1!1i2!8m2!3d38.91968!4d121.6357!16s%2Fg%2F11gghf3vb5!19sChIJdz3HxqyKhTURAZvsRzQ5fpY?authuser=0&hl=ko&rclk=1,127,4.4
5,China,Dalian,Xinghai Park,,,,,,https://www.google.com/maps/place/Xinghai+Park/data=!4m7!3m6!1s0x358f616ec145c3f7:0x41ad469dc05b3dd7!8m2!3d38.878413!4d121.568053!16s%2Fg%2F1vr1tmfm!19sChIJ98NFwW5hjzUR1z1bwJ1GrUE?authuser=0&hl=ko&rclk=1,113,4.4
6,China,Dalian,Inn Fine,,,,,,https://www.google.com/maps/place/Inn+Fine/data=!4m10!3m9!1s0x3585fa8ad9f0ea8d:0x3dec7e723aed3640!5m2!4m1!1i2!8m2!3d39.0493772!4d121.7676544!16s%2Fg%2F1tfxdn0q!19sChIJjerw2Yr6hTURQDbtOnJ-7D0?authuser=0&hl=ko&rclk=1,112,4.1
7,China,Dalian,Dalian Russia Folk Street,,,,,,https://www.google.com/maps/place/Dalian+Russia+Folk+Street/data=!4m7!3m6!1s0x3585f550feead83b:0x4cb46d80097d9177!8m2!3d38.9275951!4d121.6366476!16s%2Fg%2F1wyc28lr!19sChIJO9jq_lD1hTURd5F9CYBttEw?authuser=0&hl=ko&rclk=1,100,3.4
8,China,Dalian,Dalian Discovery Kingdom,,,"6개의 테마 공간, 롤러코스터, 워터라이드, 엔터테인먼트 시설 등을 갖춘 대형 놀이공원입니다.",,,https://www.google.com/maps/place/Dalian+Discovery+Kingdom/data=!4m7!3m6!1s0x3585dfd17eefc1a7:0xbc1f455ca1cd157e!8m2!3d39.081913!4d122.000064!16s%2Fm%2F055dkj4!19sChIJp8HvftHfhTURfhXNoVxFH7w?authuser=0&hl=ko&rclk=1,100,4.2
9,China,Dalian,Somerset Grand Central Dalian,,,,,,https://www.google.com/maps/place/Somerset+Grand+Central+Dalian/data=!4m10!3m9!1s0x3585fa61b47158b1:0x2b38d85c11000188!5m2!4m1!1i2!8m2!3d39.0484366!4d121.7648072!16s%2Fg%2F11b6d6lv7h!19sChIJsVhxtGH6hTURiAEAEVzYOCs?authuser=0&hl=ko&rclk=1,94,4.3
10,China,Dalian,大连星海广场,,,,,,https://www.google.com/maps/place/%E5%A4%A7%E8%BF%9E%E6%98%9F%E6%B5%B7%E5%B9%BF%E5%9C%BA/data=!4m7!3m6!1s0x358f619812b21f7f:0x5ae61464842d8269!8m2!3d38.881992!4d121.5878344!16s%2Fm%2F0265_tf!19sChIJfx-yEphhjzURaYIthGQU5lo?authuser=0&hl=ko&rclk=1,89,4.5
