data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Fukuoka,캐널시티 하카타,,,"유명 브랜드와 전문 매장, 식당가가 입점한 대형 쇼핑몰로 분수 쇼가 펼쳐집니다.",,,https://www.google.com/maps/place/%EC%BA%90%EB%84%90%EC%8B%9C%ED%8B%B0+%ED%95%98%EC%B9%B4%ED%83%80/data=!4m7!3m6!1s0x354191958981c361:0xe0edba177a7419d1!8m2!3d33.5897944!4d130.4111028!16s%2Fm%2F04zxt4t!19sChIJYcOBiZWRQTUR0Rl0ehe67eA?authuser=0&hl=ko&rclk=1,43771,4.1
2,Japan,Fukuoka,후쿠오카타워,,,"탁 트인 도시와 만 전망을 볼 수 있는 전망대, 식사 공간, 라운지가 있는 현대적인 고층 빌딩입니다.",,,https://www.google.com/maps/place/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x354193aa23040001:0xf9743b36617a912d!8m2!3d33.5932846!4d130.35151!16zL20vMDlzMXk4!19sChIJAQAEI6qTQTURLZF6YTY7dPk?authuser=0&hl=ko&rclk=1,17770,4.1
3,Japan,Fukuoka,미즈호 PayPay 돔 후쿠오카,,,후쿠오카 소프트뱅크 호크스의 홈구장으로 개폐식 지붕이 있으며 콘서트가 열리기도 합니다.,,,https://www.google.com/maps/place/%EB%AF%B8%EC%A6%88%ED%98%B8+PayPay+%EB%8F%94+%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4/data=!4m7!3m6!1s0x3541924d02e6b64b:0xb79cd978d2ed54c2!8m2!3d33.5953942!4d130.3621232!16zL20vMDR2Zjk0!19sChIJS7bmAk2SQTURwlTt0njZnLc?authuser=0&hl=ko&rclk=1,16169,4.3
4,Japan,Fukuoka,후쿠오카 공항,,,,,,https://www.google.com/maps/place/%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4+%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x35419016426901ad:0x16e67f46584e1fb7!8m2!3d33.5849988!4d130.4490906!16zL20vMDF3Znk3!19sChIJrQFpQhaQQTURtx9OWEZ_5hY?authuser=0&hl=ko&rclk=1,12818,4.1
5,Japan,Fukuoka,구시다 신사,,,서기 757년에 건설된 이 지역에서는 매년 지역 최대의 축제인 하카타 기온 야마카사가 열립니다.,,,https://www.google.com/maps/place/%EA%B5%AC%EC%8B%9C%EB%8B%A4+%EC%8B%A0%EC%82%AC/data=!4m7!3m6!1s0x354191eaaa536a57:0xa1896c7e84458da4!8m2!3d33.5929546!4d130.4104589!16s%2Fm%2F0ds2_4l!19sChIJV2pTquqRQTURpI1FhH5siaE?authuser=0&hl=ko&rclk=1,11587,4.3
6,Japan,Fukuoka,오호리 공원,,,"대형 호수, 호숫가 운동 코스, 보트 대여, 커피숍을 갖춘 도심 공원입니다.",,,https://www.google.com/maps/place/%EC%98%A4%ED%98%B8%EB%A6%AC+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x354193cc8cdba4c7:0xcdef79ddef4df798!8m2!3d33.5862065!4d130.3764646!16s%2Fm%2F0h7p53f!19sChIJx6TbjMyTQTURmPdN7915780?authuser=0&hl=ko&rclk=1,10686,4.5
7,Japan,Fukuoka,마린월드 우미노나카미치 (Marine World Uminonakamichi),,,다양한 해양생물을 볼 수 있는 도심 수족관으로 돌고래와 바다사자 쇼가 펼쳐지는 공연장이 있습니다.,,,https://www.google.com/maps/place/%EB%A7%88%EB%A6%B0%EC%9B%94%EB%93%9C+%EC%9A%B0%EB%AF%B8%EB%85%B8%EB%82%98%EC%B9%B4%EB%AF%B8%EC%B9%98+%28Marine+World+Uminonakamichi%29/data=!4m7!3m6!1s0x35418db11a488b47:0xbf3a0dd967c4c244!8m2!3d33.660851!4d130.363413!16s%2Fm%2F0j269q1!19sChIJR4tIGrGNQTURRMLEZ9kNOr8?authuser=0&hl=ko&rclk=1,10419,4.4
8,Japan,Fukuoka,고쿠라성,,,"이 재건된 17세기 성에는 정원, 민속 박물관, 마쓰모토 세이초 박물관이 있습니다.",,,https://www.google.com/maps/place/%EA%B3%A0%EC%BF%A0%EB%9D%BC%EC%84%B1/data=!4m7!3m6!1s0x3543b8ad94500c23:0x1307eedef77d6d68!8m2!3d33.8844357!4d130.8742541!16zL20vMDR3MDRz!19sChIJIwxQlK24QzURaG19997uBxM?authuser=0&hl=ko&rclk=1,9383,4.2
9,Japan,Fukuoka,아크로스 후쿠오카,,,계단식 정원으로 둘러싸인 친환경 홀에서 심포니 오케스트라 및 무역 박람회가 열립니다.,,,https://www.google.com/maps/place/%EC%95%84%ED%81%AC%EB%A1%9C%EC%8A%A4+%ED%9B%84%EC%BF%A0%EC%98%A4%EC%B9%B4/data=!4m7!3m6!1s0x35419191884faac9:0x5d50dc331a824a89!8m2!3d33.5915905!4d130.4023522!16s%2Fg%2F1218cz1r!19sChIJyapPiJGRQTURiUqCGjPcUF0?authuser=0&hl=ko&rclk=1,7413,3.9
10,Japan,Fukuoka,마이즈루 공원,,,봄에 벚꽃이 피는 고요한 공원으로 후쿠오카성의 유적과 연못이 있습니다.,,,https://www.google.com/maps/place/%EB%A7%88%EC%9D%B4%EC%A6%88%EB%A3%A8+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3541922cd38917f1:0x67fbbbb3ec87cb6f!8m2!3d33.5860599!4d130.3831703!16s%2Fg%2F122dskn1!19sChIJ8ReJ0yySQTURb8uH7LO7-2c?authuser=0&hl=ko&rclk=1,6295,4.2
