data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Guilin,Yangshuo Park,,,,,,https://www.google.com/maps/place/Yangshuo+Park/data=!4m7!3m6!1s0x36a5a56209e5c925:0xeeb2a365df9ce60d!8m2!3d24.775452!4d110.490623!16s%2Fg%2F1tggrt07!19sChIJJcnlCWKlpTYRDeac32Wjsu4?authuser=0&hl=ko&rclk=1,819,4.4
2,China,Guilin,Guilin Rongshanhu Scenic Area,,,,,,https://www.google.com/maps/place/Guilin+Rongshanhu+Scenic+Area/data=!4m7!3m6!1s0x36a4f5c956f5d68d:0xe974e952d83059a1!8m2!3d25.275041!4d110.28937!16s%2Fg%2F1vc802cf!19sChIJjdb1Vsn1pDYRoVkw2FLpdOk?authuser=0&hl=ko&rclk=1,646,4.3
3,China,Guilin,Sightseeing Platform,,,,,,https://www.google.com/maps/place/Sightseeing+Platform/data=!4m7!3m6!1s0x36a5b29d07d13b67:0x2a2b33cac963bb5e!8m2!3d24.920826!4d110.523808!16s%2Fg%2F11c5_95qyx!19sChIJZzvRB52ypTYRXrtjycozKyo?authuser=0&hl=ko&rclk=1,447,4.3
4,China,Guilin,Lijiang River,,,,,,https://www.google.com/maps/place/Lijiang+River/data=!4m7!3m6!1s0x36a4510317af703f:0xdc6ed0a59fcf2969!8m2!3d25.140228!4d110.434773!16s%2Fg%2F11c2qqzc0v!19sChIJP3CvFwNRpDYRaSnPn6XQbtw?authuser=0&hl=ko&rclk=1,414,4.5
5,China,Guilin,"샹그릴라 호텔, 계림",,,,,,"https://www.google.com/maps/place/%EC%83%B9%EA%B7%B8%EB%A6%B4%EB%9D%BC+%ED%98%B8%ED%85%94,+%EA%B3%84%EB%A6%BC/data=!4m10!3m9!1s0x36a4f59f2cfea799:0x5f320f21f3d59296!5m2!4m1!1i2!8m2!3d25.295517!4d110.307672!16s%2Fg%2F1hc5vc0x5!19sChIJmaf-LJ_1pDYRlpLV8yEPMl8?authuser=0&hl=ko&rclk=1",252,4.5
6,China,Guilin,Reed Flute Cave,,,다양한 석순과 종유석이 있는 거대한 동굴로 다채로운 색상의 조명과 가이드 투어가 있습니다.,,,https://www.google.com/maps/place/Reed+Flute+Cave/data=!4m7!3m6!1s0x36a4f457cfe8ccb3:0x5dc5367062771c5a!8m2!3d25.304409!4d110.273614!16s%2Fm%2F06w6cxw!19sChIJs8zoz1f0pDYRWhx3YnA2xV0?authuser=0&hl=ko&rclk=1,214,4.4
7,China,Guilin,Xijie Pedestrian Street,,,,,,https://www.google.com/maps/place/Xijie+Pedestrian+Street/data=!4m7!3m6!1s0x36a5a561d2b96a29:0xc62985e903e4d707!8m2!3d24.774465!4d110.49475!16s%2Fg%2F1tt1fhl5!19sChIJKWq50mGlpTYRB9fkA-mFKcY?authuser=0&hl=ko&rclk=1,212,4.1
8,China,Guilin,Shangri La,,,,,,https://www.google.com/maps/place/Shangri+La/data=!4m7!3m6!1s0x36a5a97197d3fb81:0xabadf7ef224da9d4!8m2!3d24.865141!4d110.38839!16s%2Fg%2F1q5cccx9k!19sChIJgfvTl3GppTYR1KlNIu_3ras?authuser=0&hl=ko&rclk=1,211,4.2
9,China,Guilin,Elephant Trunk Hill,,,코끼리 코를 닮은 물 위의 아치형 암석으로 유명한 강변의 상징적인 산입니다.,,,https://www.google.com/maps/place/Elephant+Trunk+Hill/data=!4m7!3m6!1s0x36a4f5ce89251f07:0x4c437c793b65cf0e!8m2!3d25.266947!4d110.293263!16zL20vMDhzNHlw!19sChIJBx8lic71pDYRDs9lO3l8Q0w?authuser=0&hl=ko&rclk=1,211,4.2
10,China,Guilin,쉐라톤 구이린 호텔,,,,,,https://www.google.com/maps/place/%EC%89%90%EB%9D%BC%ED%86%A4+%EA%B5%AC%EC%9D%B4%EB%A6%B0+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x36a4f5c6978080af:0x80a8ae4f0fb66e4f!5m2!4m1!1i2!8m2!3d25.273885!4d110.299436!16s%2Fg%2F1tf_ll3c!19sChIJr4CAl8b1pDYRT262D0-uqIA?authuser=0&hl=ko&rclk=1,181,4.2
11,China,Guilin,Jingjiang Princes' Palace,,,,,,https://www.google.com/maps/place/Jingjiang+Princes%27+Palace/data=!4m7!3m6!1s0x36a4f5b9186721a7:0x7468cb25c6b24863!8m2!3d25.282194!4d110.299522!16zL20vMDMwc2x0!19sChIJpyFnGLn1pDYRY0iyxiXLaHQ?authuser=0&hl=ko&rclk=1,176,4.2
