data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,popularity
1,China,Hainan,아틀란티스 싼야,,,,,,https://www.google.com/maps/place/%EC%95%84%ED%8B%80%EB%9E%80%ED%8B%B0%EC%8A%A4+%EC%8B%BC%EC%95%BC/data=!4m10!3m9!1s0x315aaf9c051ecda1:0x86847c512b066b18!5m2!4m1!1i2!8m2!3d18.357786!4d109.74189!16s%2Fg%2F11fmq9v60q!19sChIJoc0eBZyvWjERGGsGK1F8hIY?authuser=0&hl=ko&rclk=1,,4.6,592.0
2,China,Hainan,呀诺达雨林,,,,,,https://www.google.com/maps/place/%E5%91%80%E8%AF%BA%E8%BE%BE%E9%9B%A8%E6%9E%97/data=!4m7!3m6!1s0x31454c785ec03ee1:0x25baac598570a8e9!8m2!3d18.454239!4d109.661625!16s%2Fg%2F1tdms30n!19sChIJ4T7AXnhMRTER6ahwhVmsuiU?authuser=0&hl=ko&rclk=1,,4.6,249.0
3,China,Hainan,Yalong Bay Tropic Paradise Forest Park,,,,,,https://www.google.com/maps/place/Yalong+Bay+Tropic+Paradise+Forest+Park/data=!4m7!3m6!1s0x315ab384dfeda0a5:0x9f1dfbc515823f76!8m2!3d18.249521!4d109.624674!16s%2Fg%2F1vrq73q6!19sChIJpaDt34SzWjERdj-CFcX7HZ8?authuser=0&hl=ko&rclk=1,,4.5,151.0
4,China,Hainan,Sanya Phoenix International Airport Employers Activity Center,,,,,,https://www.google.com/maps/place/Sanya+Phoenix+International+Airport+Employers+Activity+Center/data=!4m7!3m6!1s0x31454fa7310f7b67:0x3c8b960bbcd13e82!8m2!3d18.309366!4d109.408568!16s%2Fg%2F1tn038ms!19sChIJZ3sPMadPRTERgj7RvAuWizw?authuser=0&hl=ko&rclk=1,,4.1,134.0
5,China,Hainan,The Legend of Romance Scenic Area Parking Lot,,,,,,https://www.google.com/maps/place/The+Legend+of+Romance+Scenic+Area+Parking+Lot/data=!4m7!3m6!1s0x31454cfcc15bc569:0xc3646364f2bd9ff1!8m2!3d18.290528!4d109.53183!16s%2Fg%2F11cm1hf7z8!19sChIJacVbwfxMRTER8Z-98mRjZMM?authuser=0&hl=ko&rclk=1,,4.5,46.0
6,China,Hainan,Nanwan Houdao Island Ecological Scenic Spot,,,,,,https://www.google.com/maps/place/Nanwan+Houdao+Island+Ecological+Scenic+Spot/data=!4m7!3m6!1s0x315a9f40486aeea9:0x3f65202440654a51!8m2!3d18.404576!4d109.971186!16s%2Fg%2F1tdyn87l!19sChIJqe5qSECfWjERUUplQCQgZT8?authuser=0&hl=ko&rclk=1,,4.2,39.0
7,China,Hainan,Haikou Volcanic Cluster Global Geopark,,,,,,https://www.google.com/maps/place/Haikou+Volcanic+Cluster+Global+Geopark/data=!4m7!3m6!1s0x3152299194441f57:0x720dde8725647e6f!8m2!3d19.9282065!4d110.2219173!16s%2Fm%2F0gkz4xt!19sChIJVx9ElJEpUjERb35kJYfeDXI?authuser=0&hl=ko&rclk=1,,4.4,26.0
8,China,Hainan,Hainan Island,,,,,,https://www.google.com/maps/place/Hainan+Island/data=!4m7!3m6!1s0x31501c0d44716b7f:0x6f29756e82045e66!8m2!3d18.759448!4d109.653022!16s%2Fg%2F11c61kqv4c!19sChIJf2txRA0cUDERZl4Egm51KW8?authuser=0&hl=ko&rclk=1,,3.8,26.0
9,China,Hainan,Wuzhishan National Nature Reserve,,,,,,https://www.google.com/maps/place/Wuzhishan+National+Nature+Reserve/data=!4m7!3m6!1s0x31502230605376a5:0x905f30c62793c408!8m2!3d18.904586!4d109.678652!16s%2Fg%2F1tc_yz9z!19sChIJpXZTYDAiUDERCMSTJ8YwX5A?authuser=0&hl=ko&rclk=1,,3.9,23.0
10,China,Hainan,Hainan Qingpi Linsheng Ji Nature Reserve,,,,,,https://www.google.com/maps/place/Hainan+Qingpi+Linsheng+Ji+Nature+Reserve/data=!4m7!3m6!1s0x31506309c79eccb5:0xd082bc81108f88c2!8m2!3d18.666578!4d110.267423!16s%2Fg%2F1td562w6!19sChIJtcyexwljUDERwoiPEIG8gtA?authuser=0&hl=ko&rclk=1,,4.2,22.0
