data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,China,Hainan,Luhuitou Park,,,,,국제 전화번호: +86 898 8821 3740 웹사이트: https://www.tripadvisor.ru/Attraction_Review-g297427-d1859621-Reviews-Luhuitou_Park-Sanya_Hainan.html,https://www.google.com/maps/place/?q=place_id:ChIJnV6I-75LRTERTt3AI11haXM,1071,4.6
2,China,Hainan,Haikou arcaded streets,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,웹사이트: https://v.qq.com/x/search/?q=%E6%B5%B7%E5%8F%A3%E9%AA%91%E6%A5%BC%E8%80%81%E8%A1%97&stag=txt.playpage.vppdesc,https://www.google.com/maps/place/?q=place_id:ChIJ4yFY3rfSUzERUrCHhrlNQb8,576,4.3
3,China,Hainan,Xinglong Tropical Botanical Garden,,,,,국제 전화번호: +86 898 6255 5900,https://www.google.com/maps/place/?q=place_id:ChIJ8b6F8Y9mUDERKs83sExFFKw,500,4.2
4,China,Hainan,天涯海角,,,,,국제 전화번호: +86 898 8891 0131,https://www.google.com/maps/place/?q=place_id:ChIJNVHQsrhFRTERP2ZiwcVsEws,355,4.1
5,China,Hainan,China Sanya Phoenix Island,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6fCSZIxLRTER9ebjESx52pc,316,4.6
6,China,Hainan,Luhuitou Park （East Gate）,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0Zpt_7pLRTERMXTsKoNBg5E,309,4.6
7,China,Hainan,Luhuitou Peak Park,,,,,국제 전화번호: +86 898 3180 7399,https://www.google.com/maps/place/?q=place_id:ChIJOy0MA7xLRTERNS3Zx_hcHKA,259,4.5
8,China,Hainan,Nanshan Buddhist Cultural Garden,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJe5MR9RpCRTERgQK3y9OQTVc,233,4.7
9,China,Hainan,万绿园,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJgazt3yQtUjERmSPfexUwiyw,231,4.3
10,China,Hainan,Guanlan Lake Huayi Feng Xiaogang Film Commune,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlygekCTVUzERXZk7dXa8h4Q,184,4.5
11,China,Hainan,Yangshan Leisure Park,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJXQMatSXVUzERK8JsKzjr61w,165,4.2
12,China,Hainan,南山寺,,,,,웹사이트: http://www.nanshan.com/,https://www.google.com/maps/place/?q=place_id:ChIJXZ0pm_1pRTER1EF-RBIbj9A,142,4.7
13,China,Hainan,The Ritz Carlton Sanya,,,,,국제 전화번호: +86 898 8898 8888,https://www.google.com/maps/place/?q=place_id:ChIJQ8nEv-e2WjERlmxoy_nQP8M,104,4.5
14,China,Hainan,"만다린 오리엔탈 싼야(Mandarin Oriental, Sanya)",,,,,국제 전화번호: +86 898 8820 9999 웹사이트: https://www.mandarinoriental.com/sanya/dadonghai/luxury-hotel,https://www.google.com/maps/place/?q=place_id:ChIJ_ds3UAVLRTERNkd_eX-aD4k,100,4.6
15,China,Hainan,싼야 메리어트 리조트 & 스파(Sanya Marriott Yalong Bay Resort & Spa),,,,,국제 전화번호: +86 898 8856 8888 웹사이트: https://www.marriott.com/hotels/travel/syxmc-sanya-marriott-yalong-bay-resort-and-spa/,https://www.google.com/maps/place/?q=place_id:ChIJ2ccd4nq0WjERR1aEvIYi-5Q,70,4.6
16,China,Hainan,소피텔 싼야 리먼 리조트(Sofitel Sanya Leeman Resort),,,,,국제 전화번호: +86 898 3299 8888 웹사이트: http://www.sofitel.com/zh/hotel-8167-%E4%B8%89%E4%BA%9A%E7%90%86%E6%96%87%E7%B4%A2%E8%8F%B2%E7%89%B9%E5%BA%A6%E5%81%87%E9%85%92%E5%BA%97/index.shtml,https://www.google.com/maps/place/?q=place_id:ChIJp0IxL92vWjERdudniDCelkc,66,4.3
17,China,Hainan,Hainan Village,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,,https://www.google.com/maps/place/?q=place_id:ChIJDZhbmBsR2jERGRdtwq7NJJI,44,4.6
18,China,Hainan,Phoenix Island,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJlVWLoe1LRTER8Dw02mj9Ack,44,4.5
19,China,Hainan,Hilton Wenchang,,,,,국제 전화번호: +86 898 3199 8888,https://www.google.com/maps/place/?q=place_id:ChIJfwAfXPJRUTERlMhnSDJ7MVw,40,4.5
20,China,Hainan,Hainan Museum,,,,,웹사이트: http://www.hainanmuseum.org/,https://www.google.com/maps/place/?q=place_id:ChIJYdEtrKrTUzERpoRKCyRtn5k,37,4.2
21,China,Hainan,三亚湾,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJzyHZdZ9ORTER2OVWfvDdn9o,36,4.5
22,China,Hainan,People's Park,,,,,국제 전화번호: +86 898 6671 0346,https://www.google.com/maps/place/?q=place_id:ChIJNzOJgcXSUzERZIy7VVNqPdg,33,4.3
23,China,Hainan,하워드 존슨 리조트 싼야 베이(Howard Johnson Resort Sanya Bay),,,,,국제 전화번호: +86 898 3888 8888,https://www.google.com/maps/place/?q=place_id:ChIJSY4TSOVORTERIrFIc0SeVck,31,4.6
24,China,Hainan,Temple of the Five Lords,,,,,국제 전화번호: +86 898 6535 3047,https://www.google.com/maps/place/?q=place_id:ChIJRVPT4xnTUzERZM6UO-cNNhE,31,4.1
