data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Hainan,Luhuitou Park,,,싼야 시의 전망과 원숭이가 서식하고 사랑스러운 사슴 동상이 보이는 언덕 공원입니다.,,,https://www.google.com/maps/place/Luhuitou+Park/data=!4m7!3m6!1s0x31454bbefb885e9d:0x7369615d23c0dd4e!8m2!3d18.226324!4d109.500663!16s%2Fg%2F1td0vyxt!19sChIJnV6I-75LRTERTt3AI11haXM?authuser=0&hl=ko&rclk=1,1069,4.6
2,China,Hainan,아틀란티스 싼야,,,,,,https://www.google.com/maps/place/%EC%95%84%ED%8B%80%EB%9E%80%ED%8B%B0%EC%8A%A4+%EC%8B%BC%EC%95%BC/data=!4m10!3m9!1s0x315aaf9c051ecda1:0x86847c512b066b18!5m2!4m1!1i2!8m2!3d18.357786!4d109.74189!16s%2Fg%2F11fmq9v60q!19sChIJoc0eBZyvWjERGGsGK1F8hIY?authuser=0&hl=ko&rclk=1,592,4.6
3,China,Hainan,Xinglong Tropical Botanical Garden,,,,,,https://www.google.com/maps/place/Xinglong+Tropical+Botanical+Garden/data=!4m7!3m6!1s0x3150668ff185bef1:0xac14454cb037cf2a!8m2!3d18.733023!4d110.198031!16s%2Fg%2F1tcwcgn8!19sChIJ8b6F8Y9mUDERKs83sExFFKw?authuser=0&hl=ko&rclk=1,500,4.2
4,China,Hainan,天涯海角,,,깨끗하고 탁 트인 바다 전망과 멋진 암석을 갖춘 고요한 공원입니다.,,,https://www.google.com/maps/place/%E5%A4%A9%E6%B6%AF%E6%B5%B7%E8%A7%92/data=!4m7!3m6!1s0x314545b8b2d05135:0xb136cc5c162663f!8m2!3d18.291871!4d109.348529!16s%2Fm%2F02w1tb8!19sChIJNVHQsrhFRTERP2ZiwcVsEws?authuser=0&hl=ko&rclk=1,354,4.1
5,China,Hainan,Yalong Bay Mangrove Tree Resort Sanya,,,,,,https://www.google.com/maps/place/Yalong+Bay+Mangrove+Tree+Resort+Sanya/data=!4m10!3m9!1s0x315ab473e6fa340b:0x2e40fc94dcd7b9d7!5m2!4m1!1i2!8m2!3d18.23253!4d109.63442!16s%2Fg%2F11h0t66gt!19sChIJCzT65nO0WjER17nX3JT8QC4?authuser=0&hl=ko&rclk=1,296,4.6
6,China,Hainan,呀诺达雨林,,,,,,https://www.google.com/maps/place/%E5%91%80%E8%AF%BA%E8%BE%BE%E9%9B%A8%E6%9E%97/data=!4m7!3m6!1s0x31454c785ec03ee1:0x25baac598570a8e9!8m2!3d18.454239!4d109.661625!16s%2Fg%2F1tdms30n!19sChIJ4T7AXnhMRTER6ahwhVmsuiU?authuser=0&hl=ko&rclk=1,249,4.6
7,China,Hainan,Nanshan Buddhist Cultural Garden,,,,,,https://www.google.com/maps/place/Nanshan+Buddhist+Cultural+Garden/data=!4m7!3m6!1s0x3145421af511937b:0x574d90d3cbb70281!8m2!3d18.293306!4d109.20275!16s%2Fg%2F1tdx1m7b!19sChIJe5MR9RpCRTERgQK3y9OQTVc?authuser=0&hl=ko&rclk=1,233,4.7
8,China,Hainan,Guanlan Lake Huayi Feng Xiaogang Film Commune,,,,,,https://www.google.com/maps/place/Guanlan+Lake+Huayi+Feng+Xiaogang+Film+Commune/data=!4m7!3m6!1s0x3153d524901e2897:0x8487bc76753b995d!8m2!3d19.9198!4d110.347931!16s%2Fg%2F11cm1hhq7b!19sChIJlygekCTVUzERXZk7dXa8h4Q?authuser=0&hl=ko&rclk=1,184,4.5
9,China,Hainan,海口公园,,,,,,https://www.google.com/maps/place/%E6%B5%B7%E5%8F%A3%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x3153d2cff9e0adc3:0x38dc07185c158f33!8m2!3d20.032594!4d110.342516!16s%2Fg%2F1tmxt25d!19sChIJw63g-c_SUzERM48VXBgH3Dg?authuser=0&hl=ko&rclk=1,159,4.3
10,China,Hainan,Yalong Bay Tropic Paradise Forest Park,,,,,,https://www.google.com/maps/place/Yalong+Bay+Tropic+Paradise+Forest+Park/data=!4m7!3m6!1s0x315ab384dfeda0a5:0x9f1dfbc515823f76!8m2!3d18.249521!4d109.624674!16s%2Fg%2F1vrq73q6!19sChIJpaDt34SzWjERdj-CFcX7HZ8?authuser=0&hl=ko&rclk=1,151,4.5
11,China,Hainan,南山寺,,,,,,https://www.google.com/maps/place/%E5%8D%97%E5%B1%B1%E5%AF%BA/data=!4m7!3m6!1s0x314569fd9b299d5d:0xd08f1b12447e41d4!8m2!3d18.293101!4d109.187239!16s%2Fm%2F0g549fc!19sChIJXZ0pm_1pRTER1EF-RBIbj9A?authuser=0&hl=ko&rclk=1,142,4.7
12,China,Hainan,해남회관(海南會館),,,1851년에 지은 회관으로 바다에서 목숨을 잃은 108명의 중국 상인들을 추모하는 부속 건물이 있습니다.,,,https://www.google.com/maps/place/%ED%95%B4%EB%82%A8%ED%9A%8C%EA%B4%80%28%E6%B5%B7%E5%8D%97%E6%9C%83%E9%A4%A8%29/data=!4m7!3m6!1s0x31420e7f684b2929:0x5678707078d08a67!8m2!3d15.8776513!4d108.3320041!16s%2Fg%2F1th0kcnh!19sChIJKSlLaH8OQjERZ4rQeHBweFY?authuser=0&hl=ko&rclk=1,139,4.2
13,China,Hainan,槟榔谷,,,,,,https://www.google.com/maps/place/%E6%A7%9F%E6%A6%94%E8%B0%B7/data=!4m7!3m6!1s0x315aadea63422fdd:0x1b5e07c060ea0040!8m2!3d18.397649!4d109.661387!16s%2Fg%2F1thmbw_l!19sChIJ3S9CY-qtWjERQADqYMAHXhs?authuser=0&hl=ko&rclk=1,100,4.3
14,China,Hainan,힐튼 싼야 야롱 베이 리조트 & 스파,,,,,,https://www.google.com/maps/place/%ED%9E%90%ED%8A%BC+%EC%8B%BC%EC%95%BC+%EC%95%BC%EB%A1%B1+%EB%B2%A0%EC%9D%B4+%EB%A6%AC%EC%A1%B0%ED%8A%B8+%26+%EC%8A%A4%ED%8C%8C/data=!4m10!3m9!1s0x315ab6e7bfc4c943:0x22f9a008cc972a18!5m2!4m1!1i2!8m2!3d18.225275!4d109.627204!16s%2Fg%2F113gtjfw6!19sChIJQ8nEv-e2WjERGCqXzAig-SI?authuser=0&hl=ko&rclk=1,87,4.5
15,China,Hainan,그랜드 하얏트 싼야 하이탕 베이 리조트 앤 스파,,,,,,https://www.google.com/maps/place/%EA%B7%B8%EB%9E%9C%EB%93%9C+%ED%95%98%EC%96%8F%ED%8A%B8+%EC%8B%BC%EC%95%BC+%ED%95%98%EC%9D%B4%ED%83%95+%EB%B2%A0%EC%9D%B4+%EB%A6%AC%EC%A1%B0%ED%8A%B8+%EC%95%A4+%EC%8A%A4%ED%8C%8C/data=!4m10!3m9!1s0x31454c1ec4b00001:0x61fc5155b618e3b4!5m2!4m1!1i2!8m2!3d18.343188!4d109.737458!16s%2Fg%2F11c1xy4svh!19sChIJAQCwxB5MRTERtOMYtlVR_GE?authuser=0&hl=ko&rclk=1,53,4.5
