data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Harbin,Volga Manor,,,,,,https://www.google.com/maps/place/Volga+Manor/data=!4m7!3m6!1s0x5e446261a9c41a37:0xdadbd6917b8634da!8m2!3d45.670546!4d126.89939!16s%2Fg%2F11h6lrjl5l!19sChIJNxrEqWFiRF4R2jSGe5HW29o?authuser=0&hl=ko&rclk=1,487,4.4
2,China,Harbin,Saint Sophia's Church,,,신비잔틴 양식의 러시아 정교회로 1907년에 지어졌으며 현재는 지역사 박물관으로 이용되고 있습니다.,,,https://www.google.com/maps/place/Saint+Sophia%27s+Church/data=!4m7!3m6!1s0x5e438012a11bdf5d:0xf860223e14e4080e!8m2!3d45.770122!4d126.62725!16s%2Fm%2F05s_jr6!19sChIJXd8boRKAQ14RDgjkFD4iYPg?authuser=0&hl=ko&rclk=1,363,4.4
3,China,Harbin,홀리데이 인 시티 센터 하얼빈,,,,,,https://www.google.com/maps/place/%ED%99%80%EB%A6%AC%EB%8D%B0%EC%9D%B4+%EC%9D%B8+%EC%8B%9C%ED%8B%B0+%EC%84%BC%ED%84%B0+%ED%95%98%EC%96%BC%EB%B9%88/data=!4m10!3m9!1s0x5e43806dc7ad5847:0xd123c1ed608db36f!5m2!4m1!1i2!8m2!3d45.767346!4d126.620063!16s%2Fg%2F1td0g8h3!19sChIJR1itx22AQ14Rb7ONYO3BI9E?authuser=0&hl=ko&rclk=1,230,4.3
4,China,Harbin,太阳岛,,,,,,https://www.google.com/maps/place/%E5%A4%AA%E9%98%B3%E5%B2%9B/data=!4m7!3m6!1s0x5e4381cb17d698e5:0xbde10f9f0645bde4!8m2!3d45.785818!4d126.591109!16s%2Fg%2F122kjjqj!19sChIJ5ZjWF8uBQ14R5L1FBp8P4b0?authuser=0&hl=ko&rclk=1,188,4.2
5,China,Harbin,Siberia Tiger Park,,,"사자, 호랑이, 재규어, 표범이 있는 자연 보호 공원 겸 대형 고양잇과 멸종 위기종 사육장입니다.",,,https://www.google.com/maps/place/Siberia+Tiger+Park/data=!4m7!3m6!1s0x5e437f41fb0bc02b:0x1ad53f494dcadcd4!8m2!3d45.818107!4d126.599279!16s%2Fg%2F11ghrc5c1k!19sChIJK8AL-0F_Q14R1NzKTUk_1Ro?authuser=0&hl=ko&rclk=1,187,3.9
6,China,Harbin,Harbin Polarland,,,,,,https://www.google.com/maps/place/Harbin+Polarland/data=!4m7!3m6!1s0x5e4381ca9293a9f1:0x82017b5da3ff3881!8m2!3d45.784973!4d126.5870839!16s%2Fg%2F155r0d0z!19sChIJ8amTksqBQ14RgTj_o117AYI?authuser=0&hl=ko&rclk=1,178,2.7
7,China,Harbin,Harbin Stalin Park,,,,,,https://www.google.com/maps/place/Harbin+Stalin+Park/data=!4m7!3m6!1s0x5e43803cd0b91bdf:0xcbe978ea5233fee8!8m2!3d45.78203!4d126.619887!16s%2Fg%2F1238sbbk!19sChIJ3xu50DyAQ14R6P4zUup46cs?authuser=0&hl=ko&rclk=1,161,4.2
8,China,Harbin,Shangri-la Hotel Harbin 호텔,,,,,,https://www.google.com/maps/place/Shangri-la+Hotel+Harbin+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x5e43805dd7fc99b5:0xed0ccf25cb5c9051!5m2!4m1!1i2!8m2!3d45.764706!4d126.595186!16s%2Fg%2F1tj5qj0r!19sChIJtZn8112AQ14RUZBcyyXPDO0?authuser=0&hl=ko&rclk=1,154,4.3
9,China,Harbin,하얼빈 타이핑 국제공항,,,,,,https://www.google.com/maps/place/%ED%95%98%EC%96%BC%EB%B9%88+%ED%83%80%EC%9D%B4%ED%95%91+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x5e447fbeb4eb78c7:0xd9175d23437fc1de!8m2!3d45.622442!4d126.2433815!16s%2Fm%2F0289ng9!19sChIJx3jrtL5_RF4R3sF_QyNdF9k?authuser=0&hl=ko&rclk=1,140,3.5
10,China,Harbin,Russian Style Town,,,,,,https://www.google.com/maps/place/Russian+Style+Town/data=!4m7!3m6!1s0x5e438033cf877809:0x26a159f5f85674e8!8m2!3d45.786322!4d126.600796!16s%2Fg%2F1thmf4_l!19sChIJCXiHzzOAQ14R6HRW-PVZoSY?authuser=0&hl=ko&rclk=1,111,3.7
