data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Hat Yai,센트럴 핫야이,,,,,,https://www.google.com/maps/place/%EC%84%BC%ED%8A%B8%EB%9F%B4+%ED%95%AB%EC%95%BC%EC%9D%B4/data=!4m7!3m6!1s0x304d28337b1e9d09:0xdc67358676705908!8m2!3d6.9914216!4d100.4840238!16s%2Fg%2F15dq1lrs!19sChIJCZ0eezMoTTARCFlwdoY1Z9w?authuser=0&hl=ko&rclk=1,12596,4.5
2,Thailand,Hat Yai,Khlong Hae Floating Market,,,"태국 길거리 음식, 음료를 판매하는 노점상이 늘어선 수변 시장으로 보트에서 기념품을 판매하기도 합니다.",,,https://www.google.com/maps/place/Khlong+Hae+Floating+Market/data=!4m7!3m6!1s0x304d28db3c269dcb:0xb6d4f25d1039608!8m2!3d7.0462498!4d100.4742938!16s%2Fm%2F0k5pc3x!19sChIJy50mPNsoTTARCJYD0SVPbQs?authuser=0&hl=ko&rclk=1,10866,4.2
3,Thailand,Hat Yai,ASEAN Night Bazaar Hatyai,,,,,,https://www.google.com/maps/place/ASEAN+Night+Bazaar+Hatyai/data=!4m7!3m6!1s0x304d28352d4d77f5:0xdb7091456e51bb5!8m2!3d6.9947347!4d100.4846162!16s%2Fg%2F11r8hjymk!19sChIJ9XdNLTUoTTARtRvlVhQJtw0?authuser=0&hl=ko&rclk=1,8673,4.2
4,Thailand,Hat Yai,Kim Yong Market,,,,,,https://www.google.com/maps/place/Kim+Yong+Market/data=!4m7!3m6!1s0x304d285b34cd82b9:0x1337623210bba75d!8m2!3d7.0077631!4d100.469974!16s%2Fm%2F0k5pgk0!19sChIJuYLNNFsoTTARXae7EDJiNxM?authuser=0&hl=ko&rclk=1,8359,4.1
5,Thailand,Hat Yai,Hatyai City Municipal Park,,,,,,https://www.google.com/maps/place/Hatyai+City+Municipal+Park/data=!4m7!3m6!1s0x304d29148e5a671f:0xcfcd048defab87c1!8m2!3d7.043071!4d100.5039017!16s%2Fg%2F1wrb5x32!19sChIJH2dajhQpTTARwYer740Ezc8?authuser=0&hl=ko&rclk=1,5844,4.4
6,Thailand,Hat Yai,Lee Gardens Plaza Hotel Hat Yai,,,,,,https://www.google.com/maps/place/Lee+Gardens+Plaza+Hotel+Hat+Yai/data=!4m10!3m9!1s0x304d286bef8015fd:0x5f6a69ca8e6c8c74!5m2!4m1!1i2!8m2!3d7.0054409!4d100.471729!16s%2Fg%2F1tfhwdmq!19sChIJ_RWA72soTTARdIxsjsppal8?authuser=0&hl=ko&rclk=1,5137,4.0
7,Thailand,Hat Yai,Chang Puak Elephant Camp Hat Yai,,,,,,https://www.google.com/maps/place/Chang+Puak+Elephant+Camp+Hat+Yai/data=!4m7!3m6!1s0x304d294b97df4c8f:0x94c31bc2eeb41775!8m2!3d7.0838768!4d100.5388763!16s%2Fg%2F1pzvzb3qr!19sChIJj0zfl0spTTARdRe07sIbw5Q?authuser=0&hl=ko&rclk=1,3689,3.8
8,Thailand,Hat Yai,핫야이 국제 공항,,,,,,https://www.google.com/maps/place/%ED%95%AB%EC%95%BC%EC%9D%B4+%EA%B5%AD%EC%A0%9C+%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x304cd90281907b63:0xf0223bd0b5f3ac0!8m2!3d6.9367182!4d100.3936894!16zL20vMDFuZmgy!19sChIJY3uQgQLZTDARwDpfC70jAg8?authuser=0&hl=ko&rclk=1,3243,4.4
9,Thailand,Hat Yai,Hat Yai Clock Tower,,,,,,https://www.google.com/maps/place/Hat+Yai+Clock+Tower/data=!4m7!3m6!1s0x304d285bb5baeb71:0x499b216597241ac3!8m2!3d7.011675!4d100.4701437!16s%2Fg%2F1hdz987gl!19sChIJceu6tVsoTTARwxokl2Uhm0k?authuser=0&hl=ko&rclk=1,3079,4.1
10,Thailand,Hat Yai,센타라 호텔 햇 야이,,,,,,https://www.google.com/maps/place/%EC%84%BC%ED%83%80%EB%9D%BC+%ED%98%B8%ED%85%94+%ED%96%87+%EC%95%BC%EC%9D%B4/data=!4m10!3m9!1s0x304d29b49ac122b9:0x7f6c5b60c5563906!5m2!4m1!1i2!8m2!3d7.0057852!4d100.4710711!16s%2Fg%2F11b6x9yf18!19sChIJuSLBmrQpTTARBjlWxWBbbH8?authuser=0&hl=ko&rclk=1,2919,4.5
