data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Hua Hin,후아힌 야시장,,,"전통 야시장으로 음식 노점상, 의류 등을 판매하는 가판대가 있습니다.",,,https://www.google.com/maps/place/%ED%9B%84%EC%95%84%ED%9E%8C+%EC%95%BC%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x30fdabad05b8788b:0x42390819fce7d831!8m2!3d12.5711198!4d99.955467!16s%2Fg%2F122y5w9n!19sChIJi3i4Ba2r_TARMdjn_BkIOUI?authuser=0&hl=ko&rclk=1,21061,4.2
2,Thailand,Hua Hin,시카다 마켓,,,"미술품, 의류, 장식품, 수공예품을 판매하며 엔터테인먼트를 즐길 수 있는 주말 야시장입니다.",,,https://www.google.com/maps/place/%EC%8B%9C%EC%B9%B4%EB%8B%A4+%EB%A7%88%EC%BC%93/data=!4m7!3m6!1s0x30fdab8c64704ccb:0xdf1083b54dbcdf84!8m2!3d12.5346594!4d99.9659588!16s%2Fg%2F1tgz7t86!19sChIJy0xwZIyr_TARhN-8TbWDEN8?authuser=0&hl=ko&rclk=1,15734,4.3
3,Thailand,Hua Hin,후아이 몽콜 사원(왓 후아이 몽콜),,,,,,https://www.google.com/maps/place/%ED%9B%84%EC%95%84%EC%9D%B4+%EB%AA%BD%EC%BD%9C+%EC%82%AC%EC%9B%90%28%EC%99%93+%ED%9B%84%EC%95%84%EC%9D%B4+%EB%AA%BD%EC%BD%9C%29/data=!4m7!3m6!1s0x30fc54177756b8b7:0x918fac2007c0f502!8m2!3d12.5525227!4d99.8243687!16s%2Fg%2F12dpwwp42!19sChIJt7hWdxdU_DARAvXAByCsj5E?authuser=0&hl=ko&rclk=1,12947,4.6
4,Thailand,Hua Hin,Rajabhakti Park,,,"이 유서 깊은 관광 명소는 태국의 왕을 기념하기 위해 지어졌으며 7개의 유명 동상, 박물관, 광장이 있습니다.",,,https://www.google.com/maps/place/Rajabhakti+Park/data=!4m7!3m6!1s0x30fdac422885510d:0x46d38044e40f0fa0!8m2!3d12.503097!4d99.9630367!16s%2Fg%2F11b8_r5_23!19sChIJDVGFKEKs_TARoA8P5ESA00Y?authuser=0&hl=ko&rclk=1,10142,4.4
5,Thailand,Hua Hin,후아힌 해변,,,수영하기 좋은 맑은 해변으로 라운지 의자를 대여할 수 있고 수상 스포츠를 즐길 수 있으며 근처에 편의시설도 있습니다.,,,https://www.google.com/maps/place/%ED%9B%84%EC%95%84%ED%9E%8C+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x30fdaa4a55b4e485:0x48245ba1ee643ec8!8m2!3d12.5696381!4d99.9626178!16s%2Fg%2F12dpwqjhh!19sChIJheS0VUqq_TARyD5k7qFbJEg?authuser=0&hl=ko&rclk=1,6307,4.2
6,Thailand,Hua Hin,Market Village Huahin,,,"현대적인 쇼핑몰로 실내외 공간으로 구성되어 있고 150개 이상의 매장과 레스토랑, 영화관이 입점해 있습니다.",,,https://www.google.com/maps/place/Market+Village+Huahin/data=!4m7!3m6!1s0x30fdabbb6c0b1bad:0x9e6b7e92354d9c57!8m2!3d12.5577463!4d99.960394!16zL20vMGcyM3Zq!19sChIJrRsLbLur_TARV5xNNZJ-a54?authuser=0&hl=ko&rclk=1,6192,4.5
7,Thailand,Hua Hin,와나나와 워터 정글,,,"워터슬라이드가 있는 정글 테마의 명소로 장애물 코스, 여러 개의 수영장, 매점도 있습니다.",,,https://www.google.com/maps/place/%EC%99%80%EB%82%98%EB%82%98%EC%99%80+%EC%9B%8C%ED%84%B0+%EC%A0%95%EA%B8%80/data=!4m7!3m6!1s0x30fdab893dd4a739:0x8a555706e2698da!8m2!3d12.5324346!4d99.9612737!16s%2Fg%2F11b6hyvcxb!19sChIJOafUPYmr_TAR2pgmbnBVpQg?authuser=0&hl=ko&rclk=1,4995,4.4
8,Thailand,Hua Hin,후아 힌 힐튼 리조트,,,,,,https://www.google.com/maps/place/%ED%9B%84%EC%95%84+%ED%9E%8C+%ED%9E%90%ED%8A%BC+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m10!3m9!1s0x30fdabb307b40a09:0x1870194966d50edc!5m2!4m1!1i2!8m2!3d12.5706542!4d99.9604386!16s%2Fg%2F1tgyt4n4!19sChIJCQq0B7Or_TAR3A7VZkkZcBg?authuser=0&hl=ko&rclk=1,4936,4.4
9,Thailand,Hua Hin,Chang Hua Man Royal Project,,,,,,https://www.google.com/maps/place/Chang+Hua+Man+Royal+Project/data=!4m7!3m6!1s0x30fcf76aaaaaaaab:0x7d18f269151f9cc6!8m2!3d12.7471634!4d99.7060195!16s%2Fg%2F1pp2v32n4!19sChIJq6qqqmr3_DARxpwfFWnyGH0?authuser=0&hl=ko&rclk=1,4806,4.7
10,Thailand,Hua Hin,Siam Venezia,,,,,,https://www.google.com/maps/place/Siam+Venezia/data=!4m7!3m6!1s0x30fd00f6d912c955:0xd86cb05c2240feb0!8m2!3d12.650573!4d99.9511212!16s%2Fg%2F1q2w8bcgh!19sChIJVckS2fYA_TARsP5AIlywbNg?authuser=0&hl=ko&rclk=1,4602,3.4
