data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Chiba Prefecture,도쿄 디즈니 리조트,,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EB%94%94%EC%A6%88%EB%8B%88+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m7!3m6!1s0x60187d19d0d3a2cd:0xda29db8ad489735f!8m2!3d35.6306579!4d139.8828695!16zL20vMDEwNDIz!19sChIJzaLT0Bl9GGARX3OJ1IrbKdo?authuser=0&hl=ko&rclk=1,101207,4.6
2,Japan,Chiba Prefecture,도쿄 디즈니씨,,,"디즈니 리조트의 일부인 이 대규모 놀이공원에는 놀이기구, 쇼, 식사를 즐길 수 있는 7개의 테마 구역이 있습니다.",,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%EB%94%94%EC%A6%88%EB%8B%88%EC%94%A8/data=!4m7!3m6!1s0x60187d03114737b3:0x41471d704ab72d25!8m2!3d35.6267108!4d139.8850779!16zL20vMDRjN3R0!19sChIJszdHEQN9GGARJS23SnAdR0E?authuser=0&hl=ko&rclk=1,88526,4.6
3,Japan,Chiba Prefecture,도쿄 타워,,,에펠탑을 연상시키는 이 랜드마크는 전망대와 다양한 어트랙션을 갖추고 있습니다.,,,https://www.google.com/maps/place/%EB%8F%84%EC%BF%84+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x60188bbd9009ec09:0x481a93f0d2a409dd!8m2!3d35.6585805!4d139.7454329!16zL20vMDEzMl94!19sChIJCewJkL2LGGAR3Qmk0vCTGkg?authuser=0&hl=ko&rclk=1,75319,4.5
4,Japan,Chiba Prefecture,마쿠하리 멧세,,,,,,https://www.google.com/maps/place/%EB%A7%88%EC%BF%A0%ED%95%98%EB%A6%AC+%EB%A9%A7%EC%84%B8/data=!4m7!3m6!1s0x6022821fd52ebfdf:0xcec0c09c4bed45e0!8m2!3d35.6476856!4d140.0355286!16zL20vMDYxdmI0!19sChIJ378u1R-CImAR4EXtS5zAwM4?authuser=0&hl=ko&rclk=1,24238,3.9
5,Japan,Chiba Prefecture,나리타 국제공항,,,도쿄 인근에 위치한 초대형 국제공항으로 도쿄까지 연결되는 직통 열차를 운행합니다.,,,https://www.google.com/maps/place/%EB%82%98%EB%A6%AC%ED%83%80+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x6022f379d1bd3757:0xd56e29a162771aa1!8m2!3d35.770178!4d140.3843215!16zL20vMDFsazZo!19sChIJVze90XnzImARoRp3YqEpbtU?authuser=0&hl=ko&rclk=1,23570,4.3
6,Japan,Chiba Prefecture,국영 히타치 해변 공원,,,숲이 우거진 산책로와 자전거 대여 서비스가 있는 광활한 공원으로 계절에 따라 달라지는 꽃밭이 유명합니다.,,,https://www.google.com/maps/place/%EA%B5%AD%EC%98%81+%ED%9E%88%ED%83%80%EC%B9%98+%ED%95%B4%EB%B3%80+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60218b1d845e4441:0x767e1dea03e6f0e1!8m2!3d36.405864!4d140.5964868!16s%2Fm%2F0x239vp!19sChIJQURehB2LIWAR4fDmA-odfnY?authuser=0&hl=ko&rclk=1,21314,4.4
7,Japan,Chiba Prefecture,나리타산신쇼지,,,10층으로 된 사찰과 화려한 3층 탑이 있으며 무료 가이드 투어가 제공됩니다.,,,https://www.google.com/maps/place/%EB%82%98%EB%A6%AC%ED%83%80%EC%82%B0%EC%8B%A0%EC%87%BC%EC%A7%80/data=!4m7!3m6!1s0x60228b1aa3c3a527:0xde7cb7b7a5a2c3dd!8m2!3d35.7860511!4d140.3182485!16zL20vMDFxZzV4!19sChIJJ6XDoxqLImAR3cOipbe3fN4?authuser=0&hl=ko&rclk=1,17022,4.4
8,Japan,Chiba Prefecture,가모가와 시월드,,,"이 해양 테마파크에는 수족관과 고래, 돌고래, 바다사자 공연을 볼 수 있는 공연장이 있습니다.",,,https://www.google.com/maps/place/%EA%B0%80%EB%AA%A8%EA%B0%80%EC%99%80+%EC%8B%9C%EC%9B%94%EB%93%9C/data=!4m7!3m6!1s0x603d5397489dce85:0xf0e06787fafa217!8m2!3d35.115895!4d140.1203229!16s%2Fg%2F1227d45b!19sChIJhc6dSJdTPWARF6Kvf3gGDg8?authuser=0&hl=ko&rclk=1,15091,4.4
9,Japan,Chiba Prefecture,Joyful Honda Chiba New Town,,,,,,https://www.google.com/maps/place/Joyful+Honda+Chiba+New+Town/data=!4m7!3m6!1s0x60227ce3b3fe351f:0x455fcd4d80fbd058!8m2!3d35.8066309!4d140.1561438!16s%2Fg%2F1vr3d8l6!19sChIJHzX-s-N8ImARWND7gE3NX0U?authuser=0&hl=ko&rclk=1,9289,4.1
10,Japan,Chiba Prefecture,마더 목장,,,,,,https://www.google.com/maps/place/%EB%A7%88%EB%8D%94+%EB%AA%A9%EC%9E%A5/data=!4m7!3m6!1s0x60229b35a786a9c7:0x1aa834ba31e625fa!8m2!3d35.2480308!4d139.9406717!16s%2Fg%2F121qgfxz!19sChIJx6mGpzWbImAR-iXmMbo0qBo?authuser=0&hl=ko&rclk=1,7473,4.2
