data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Hiroshima,이쓰쿠시마 신사,,,유명한 16세기 신사로 만조가 되면 '드러나는' 상징적인 주황색 도리이(신사 입구에 세운 문)가 있습니다.,,,https://www.google.com/maps/place/%EC%9D%B4%EC%93%B0%EC%BF%A0%EC%8B%9C%EB%A7%88+%EC%8B%A0%EC%82%AC/data=!4m7!3m6!1s0x601ae3047ec76d8f:0x357228f7d0b5d590!8m2!3d34.2959896!4d132.3198285!16zL20vMDJycnJm!19sChIJj23HfgTjGmARkNW10PcocjU?authuser=0&hl=ko&rclk=1,29029,4.6
2,Japan,Hiroshima,원폭 돔(Atomic Bomb Dome),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 82-242-7831 홈페이지: https://www.city.hiroshima.lg.jp/site/atomicbomb-peace/163434.html,https://www.google.com/maps/place/?q=place_id:ChIJqYAn2wyiWjURlsDG4Hpn5jQ,28904,4.7
3,Japan,Hiroshima,원폭 돔,,,2차 세계 대전 중 원자 폭탄으로 파괴된 상업전시관의 상징적인 유적입니다.,,,https://www.google.com/maps/place/%EC%9B%90%ED%8F%AD+%EB%8F%94/data=!4m7!3m6!1s0x355aa20cdb2780a9:0x34e6677ae0c6c096!8m2!3d34.395483!4d132.453592!16zL20vMDFmYnoy!19sChIJqYAn2wyiWjURlsDG4Hpn5jQ?authuser=0&hl=ko&rclk=1,28874,4.7
4,Japan,Hiroshima,히로시마 평화기념공원(Peace Memorial Park - Hiroshima),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 82-504-2390 홈페이지: https://www.city.hiroshima.lg.jp/site/hiroshima-park/7480.html,https://www.google.com/maps/place/?q=place_id:ChIJgzAzVG2iWjURZRZ1udXOKeE,24350,4.6
5,Japan,Hiroshima,히로시마 평화기념공원,,,1954년 이후 원자 폭탄 희생자들을 기리며 세계 평화를 기원하는 기념 공원입니다.,,,https://www.google.com/maps/place/%ED%9E%88%EB%A1%9C%EC%8B%9C%EB%A7%88+%ED%8F%89%ED%99%94%EA%B8%B0%EB%85%90%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x355aa26d54333083:0xe129ced5b9751665!8m2!3d34.3926867!4d132.4522012!16zL20vMGN0c3o4!19sChIJgzAzVG2iWjURZRZ1udXOKeE?authuser=0&hl=ko&rclk=1,24331,4.6
6,Japan,Hiroshima,히로시마 평화기념자료관(Hiroshima Peace Memorial Museum),"월, 화, 수, 목, 금, 토, 일: 07:30~19:00",,,,국제전화번호: +81 82-241-4004 홈페이지: https://hpmmuseum.jp/,https://www.google.com/maps/place/?q=place_id:ChIJtyvayxKiWjURgIGSanFnMPE,20803,4.7
7,Japan,Hiroshima,히로시마 평화기념자료관,,,"히로시마의 2차 세계대전 원폭 투하에 관한 유명 박물관으로 전시회, 유물, 강연 등이 있습니다.",,,https://www.google.com/maps/place/%ED%9E%88%EB%A1%9C%EC%8B%9C%EB%A7%88+%ED%8F%89%ED%99%94%EA%B8%B0%EB%85%90%EC%9E%90%EB%A3%8C%EA%B4%80/data=!4m7!3m6!1s0x355aa212cbda2bb7:0xf13067716a928180!8m2!3d34.3915027!4d132.4531578!16s%2Fm%2F025tsky!19sChIJtyvayxKiWjURgIGSanFnMPE?authuser=0&hl=ko&rclk=1,20754,4.7
8,Japan,Hiroshima,야마토 박물관(Yamato Museum (Kure Maritime Museum)),"월, 수, 목, 금, 토, 일: 09:00~18:00; 화: 휴무",,,,국제전화번호: +81 823-25-3017 홈페이지: https://yamato-museum.com/,https://www.google.com/maps/place/?q=place_id:ChIJfcG1zCgIUDURuU8VYF3Gk2g,15364,4.4
9,Japan,Hiroshima,히로시마 성(Hiroshima Castle),"월, 화, 수, 목, 금, 토, 일: 09:00~18:00",,,,국제전화번호: +81 82-221-7512 홈페이지: http://www.rijo-castle.jp/rijo/main.html,https://www.google.com/maps/place/?q=place_id:ChIJw-f36qaYWjURMpYztSzpe_U,13496,4.2
10,Japan,Hiroshima,히로시마 성,,,소실된 16세기 성 유적으로 현대적인 역사 박물관으로 재건되었으며 도시 경관을 제공합니다.,,,https://www.google.com/maps/place/%ED%9E%88%EB%A1%9C%EC%8B%9C%EB%A7%88+%EC%84%B1/data=!4m7!3m6!1s0x355a98a6eaf7e7c3:0xf57be92cb5339632!8m2!3d34.4027456!4d132.4591055!16zL20vMDdrdjNk!19sChIJw-f36qaYWjURMpYztSzpe_U?authuser=0&hl=ko&rclk=1,13485,4.2
