data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Kagoshima,센간엔(Sengan-en),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제전화번호: +81 99-247-1551 홈페이지: https://www.senganen.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ4X7e7l5ePjURPwj6UsWmblk,11053,4.3
2,Japan,Kagoshima,센간엔,,,전통적인 일본 정원이 있는 봉건 영주의 옛 거주지로 화산을 조망할 수 있으며 가이드 투어가 제공됩니다.,,,https://www.google.com/maps/place/%EC%84%BC%EA%B0%84%EC%97%94/data=!4m7!3m6!1s0x353e5e5eeede7ee1:0x596ea6c552fa083f!8m2!3d31.618172!4d130.5786269!16s%2Fg%2F120t9j92!19sChIJ4X7e7l5ePjURPwj6UsWmblk?authuser=0&hl=ko&rclk=1,11045,4.3
3,Japan,Kagoshima,치란 특공 평화 회관(Chiran Peace Museum),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제전화번호: +81 993-83-2525 홈페이지: http://www.chiran-tokkou.jp/,https://www.google.com/maps/place/?q=place_id:ChIJlwQAW6x3PjURUosLknKAha4,7933,4.5
4,Japan,Kagoshima,가고시마 수족관(Kagoshima City Aquarium),"월, 화, 수, 목, 금, 토, 일: 09:30~18:00",,,,국제전화번호: +81 99-226-2233 홈페이지: http://ioworld.jp/,https://www.google.com/maps/place/?q=place_id:ChIJT98JvRpePjURoAs7WvwOIlg,6300,4.3
5,Japan,Kagoshima,가고시마 수족관,,,,,,https://www.google.com/maps/place/%EA%B0%80%EA%B3%A0%EC%8B%9C%EB%A7%88+%EC%88%98%EC%A1%B1%EA%B4%80/data=!4m7!3m6!1s0x353e5e1abd09df4f:0x58220efc5a3b0ba0!8m2!3d31.5960577!4d130.5646969!16s%2Fg%2F120s24dz!19sChIJT98JvRpePjURoAs7WvwOIlg?authuser=0&hl=ko&rclk=1,6294,4.3
6,Japan,Kagoshima,시로야마공원 전망대(Shiroyama Park Observation Deck),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 99-216-1366 홈페이지: http://www.city.kagoshima.lg.jp/kensetu/kensetukanri/kouenryokuka/bunka/sports/shisetsu/sagaso/tenbodai.html,https://www.google.com/maps/place/?q=place_id:ChIJQ6cuZ-RdPjURn0RJrwC_iIw,4365,4.3
7,Japan,Kagoshima,시로야마공원 전망대,,,"사쿠라지마 활화산, 가고시마시, 만의 탁 트인 전망을 감상할 수 있는 언덕 위 명소입니다.",,,https://www.google.com/maps/place/%EC%8B%9C%EB%A1%9C%EC%95%BC%EB%A7%88%EA%B3%B5%EC%9B%90+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x353e5de4672ea743:0x8c88bf00af49449f!8m2!3d31.5962422!4d130.5500463!16s%2Fg%2F11b6v9q67_!19sChIJQ6cuZ-RdPjURn0RJrwC_iIw?authuser=0&hl=ko&rclk=1,4363,4.3
8,Japan,Kagoshima,유노히라 전망대(Yunohira Observation Deck),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 99-216-1327 홈페이지: http://www.sakurajima.gr.jp/tourism/000350.html,https://www.google.com/maps/place/?q=place_id:ChIJe72TBYZfPjURe32WlqPoJr4,4300,4.2
9,Japan,Kagoshima,유노히라 전망대,,,"용암층, 나무로 뒤덮인 사쿠라지마 화산 경사지, 가고시마만의 탁 트인 전망을 감상할 수 있습니다.",,,https://www.google.com/maps/place/%EC%9C%A0%EB%85%B8%ED%9E%88%EB%9D%BC+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x353e5f860593bd7b:0xbe26e8a396967d7b!8m2!3d31.5914807!4d130.6299912!16s%2Fg%2F1tjs2prv!19sChIJe72TBYZfPjURe32WlqPoJr4?authuser=0&hl=ko&rclk=1,4296,4.2
10,Japan,Kagoshima,가고시마 시 히라카와 동물원(Hirakawa Zoo),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제전화번호: +81 99-261-2326 홈페이지: http://hirakawazoo.jp/,https://www.google.com/maps/place/?q=place_id:ChIJw3RXBTJlPjURe2QEOcyFeiI,3622,4.4
11,Japan,Kagoshima,가고시마 시 히라카와 동물원,,,,,,https://www.google.com/maps/place/%EA%B0%80%EA%B3%A0%EC%8B%9C%EB%A7%88+%EC%8B%9C+%ED%9E%88%EB%9D%BC%EC%B9%B4%EC%99%80+%EB%8F%99%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x353e6532055774c3:0x227a85cc3904647b!8m2!3d31.4631175!4d130.5017959!16s%2Fg%2F120sk3jq!19sChIJw3RXBTJlPjURe2QEOcyFeiI?authuser=0&hl=ko&rclk=1,3619,4.4
12,Japan,Kagoshima,아리무라 용암 전망대(Arimura Lava Observation Deck),"월, 화, 수, 목, 금, 토, 일: 09:00~18:00",,,,국제전화번호: +81 99-298-5111 홈페이지: http://www.sakurajima.gr.jp/tourism/000351.html,https://www.google.com/maps/place/?q=place_id:ChIJFzDy0Nn0PjURdLQUG02ZkKM,3091,4.2
13,Japan,Kagoshima,아리무라 용암 전망대,,,,,,https://www.google.com/maps/place/%EC%95%84%EB%A6%AC%EB%AC%B4%EB%9D%BC+%EC%9A%A9%EC%95%94+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x353ef4d9d0f23017:0xa390994d1b14b474!8m2!3d31.5550892!4d130.6788879!16s%2Fg%2F1vxfxy6s!19sChIJFzDy0Nn0PjURdLQUG02ZkKM?authuser=0&hl=ko&rclk=1,3088,4.2
14,Japan,Kagoshima,가고시마항 사쿠라지마 페리 터미널,,,,,,https://www.google.com/maps/place/%EA%B0%80%EA%B3%A0%EC%8B%9C%EB%A7%88%ED%95%AD+%EC%82%AC%EC%BF%A0%EB%9D%BC%EC%A7%80%EB%A7%88+%ED%8E%98%EB%A6%AC+%ED%84%B0%EB%AF%B8%EB%84%90/data=!4m7!3m6!1s0x353e5faebd840ed9:0x2629848e224a1168!8m2!3d31.5964541!4d130.5628203!16s%2Fg%2F11fm79qs5j!19sChIJ2Q6Eva5fPjURaBFKIo6EKSY?authuser=0&hl=ko&rclk=1,3040,4.0
