data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Karuizawa,가루이자와 프린스 쇼핑 플라자,,,,,,https://www.google.com/maps/place/%EA%B0%80%EB%A3%A8%EC%9D%B4%EC%9E%90%EC%99%80+%ED%94%84%EB%A6%B0%EC%8A%A4+%EC%87%BC%ED%95%91+%ED%94%8C%EB%9D%BC%EC%9E%90/data=!4m7!3m6!1s0x601dd37ba8d166b3:0xe8cbe5ae3d9b5e72!8m2!3d36.3407074!4d138.6360469!16s%2Fg%2F122zvwrf!19sChIJs2bRqHvTHWARcl6bPa7ly-g?authuser=0&hl=ko&rclk=1,18953,4.1
2,Japan,Karuizawa,쿠사츠 온천 유바타케,,,주변에 목욕탕과 전통적인 여관이 있는 중앙 인공 지열수탕입니다.,,,https://www.google.com/maps/place/%EC%BF%A0%EC%82%AC%EC%B8%A0+%EC%98%A8%EC%B2%9C+%EC%9C%A0%EB%B0%94%ED%83%80%EC%BC%80/data=!4m7!3m6!1s0x601de655193753b5:0xe9421fc4cee55f20!8m2!3d36.6229647!4d138.5967231!16s%2Fg%2F1tf7grqh!19sChIJtVM3GVXmHWARIF_lzsQfQuk?authuser=0&hl=ko&rclk=1,13958,4.5
3,Japan,Karuizawa,가루이자와 긴자,,,"돌로 포장된 거리에 위치한 목제 골조 건물로, 고급 레스토랑, 카페, 장인 정신의 공예품점이 입점해 있습니다.",,,https://www.google.com/maps/place/%EA%B0%80%EB%A3%A8%EC%9D%B4%EC%9E%90%EC%99%80+%EA%B8%B4%EC%9E%90/data=!4m7!3m6!1s0x601dd24b6d670085:0xe2a82ba8020dbdd8!8m2!3d36.3574374!4d138.6343912!16s%2Fg%2F1tk1z3ll!19sChIJhQBnbUvSHWAR2L0NAqgrqOI?authuser=0&hl=ko&rclk=1,11260,4.0
4,Japan,Karuizawa,Shiraito Waterfall,,,,,,https://www.google.com/maps/place/Shiraito+Waterfall/data=!4m7!3m6!1s0x601dd8a5693d8b15:0xbddaade888287ab2!8m2!3d36.410314!4d138.5926257!16s%2Fg%2F1214g8pb!19sChIJFYs9aaXYHWARsnooiOit2r0?authuser=0&hl=ko&rclk=1,11151,4.1
5,Japan,Karuizawa,Harunire Terrace,,,,,,https://www.google.com/maps/place/Harunire+Terrace/data=!4m7!3m6!1s0x601dd2255ef1c2e5:0x6961cc4571568acf!8m2!3d36.3593351!4d138.5902665!16s%2Fg%2F1vl9rkvy!19sChIJ5cLxXiXSHWARz4pWcUXMYWk?authuser=0&hl=ko&rclk=1,8590,4.0
6,Japan,Karuizawa-machi,오니오시다시 공원,,,,,,https://www.google.com/maps/place/%EC%98%A4%EB%8B%88%EC%98%A4%EC%8B%9C%EB%8B%A4%EC%8B%9C+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x601dc51805b07643:0xe15968365061d63b!8m2!3d36.4448257!4d138.5370699!16s%2Fg%2F1224bt2j!19sChIJQ3awBRjFHWARO9ZhUDZoWeE?authuser=0&hl=ko&rclk=1,5531,4.0
7,Japan,Karuizawa-machi,Lockheart Castle,,,"1829년에 지어진 스코틀랜드 남작풍 성과 부지를 상점, 식당, 교회로 재배치했습니다.",,,https://www.google.com/maps/place/Lockheart+Castle/data=!4m7!3m6!1s0x601e68ef82e463ef:0x106818ea7a714435!8m2!3d36.6310702!4d138.9883583!16s%2Fg%2F122w1dqt!19sChIJ72Pkgu9oHmARNURxeuoYaBA?authuser=0&hl=ko&rclk=1,3375,3.9
8,Japan,Karuizawa,Karuizawa Toy Kingdom,,,,,,https://www.google.com/maps/place/Karuizawa+Toy+Kingdom/data=!4m7!3m6!1s0x601dc365e9895555:0x9894f4043e388cb5!8m2!3d36.4729037!4d138.5436476!16s%2Fg%2F11b6v99h9y!19sChIJVVWJ6WXDHWARtYw4PgT0lJg?authuser=0&hl=ko&rclk=1,2924,4.0
9,Japan,Karuizawa,Karuizawa Hotch Ichiba Farmers' Market,,,,,,https://www.google.com/maps/place/Karuizawa+Hotch+Ichiba+Farmers%27+Market/data=!4m7!3m6!1s0x601dd2e452638ac7:0xfeece4c250b54aa4!8m2!3d36.3196347!4d138.5914671!16s%2Fg%2F11cjtwpwsq!19sChIJx4pjUuTSHWARpEq1UMLk7P4?authuser=0&hl=ko&rclk=1,2028,3.9
10,Japan,Karuizawa,돌의 교회,,,,,,https://www.google.com/maps/place/%EB%8F%8C%EC%9D%98+%EA%B5%90%ED%9A%8C/data=!4m7!3m6!1s0x601dd23acc2b91cb:0x95f1cf3612bbefe8!8m2!3d36.3563754!4d138.587077!16s%2Fg%2F120k5v2j!19sChIJy5ErzDrSHWAR6O-7EjbP8ZU?authuser=0&hl=ko&rclk=1,1716,4.3
