data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Kobe,히메지 성(Himeji Castle),"월, 화, 수, 목, 금, 토, 일: 09:00~16:00",,,,국제전화번호: +81 79-285-1146 홈페이지: https://www.city.himeji.lg.jp/castle/index.html,https://www.google.com/maps/place/?q=place_id:ChIJsyQzogPgVDURsYG6bi-MT3o,48449,4.6
2,Japan,Kobe,난킨마치(Kobe Chinatown Nankin-machi),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 78-332-2896 홈페이지: http://www.nankinmachi.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJkaqwvf2OAGARARl_1gEYbx0,20867,3.9
3,Japan,Kobe,난킨마치,,,"1868년에 설립된 중국 문화 지구로 식당, 기념품 가게, 마작 클럽 등이 있습니다.",,,https://www.google.com/maps/place/%EB%82%9C%ED%82%A8%EB%A7%88%EC%B9%98/data=!4m7!3m6!1s0x60008efdbdb0aa91:0x1d6f1801d67f1901!8m2!3d34.6882059!4d135.1881104!16s%2Fm%2F02q4tdv!19sChIJkaqwvf2OAGARARl_1gEYbx0?authuser=0&hl=ko&rclk=1,20856,3.9
4,Japan,Kobe,고베 동물왕국(神戸どうぶつ王国(Kobe Animal Kingdom)),"월, 화, 수, 금, 토, 일: 10:00~17:00; 목: 휴무",,,,국제전화번호: +81 78-302-8899 홈페이지: https://www.kobe-oukoku.com/,https://www.google.com/maps/place/?q=place_id:ChIJm-YWI_iRAGARxENoWS1l6gg,14273,4.5
5,Japan,Kobe,고베 동물왕국,,,"열대 식물, 조류, 작은 포유류가 있는 온실 공원으로 체험형 쇼도 볼 수 있습니다.",,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0+%EB%8F%99%EB%AC%BC%EC%99%95%EA%B5%AD/data=!4m7!3m6!1s0x600091f82316e69b:0x8ea652d596843c4!8m2!3d34.6546416!4d135.2225468!16s%2Fm%2F080p796!19sChIJm-YWI_iRAGARxENoWS1l6gg?authuser=0&hl=ko&rclk=1,14261,4.5
6,Japan,Kobe,메리켄 공원(Meriken Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: https://times-info.net/P28-hyogo/C110/park-detail-BUK0017660/?utm_source=detail&utm_medium=map&utm_campaign=mybusiness,https://www.google.com/maps/place/?q=place_id:ChIJZVMziP-OAGAR11WzVqBbDIQ,11100,4.3
7,Japan,Kobe,메리켄 공원,,,"관측소, 지진 기념관, 해사 박물관이 있는 도심의 해안 공원입니다.",,,https://www.google.com/maps/place/%EB%A9%94%EB%A6%AC%EC%BC%84+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60008eff88335365:0x840c5ba056b355d7!8m2!3d34.6814139!4d135.1878398!16s%2Fm%2F0404043!19sChIJZVMziP-OAGAR11WzVqBbDIQ?authuser=0&hl=ko&rclk=1,11098,4.3
8,Japan,Kobe,이쿠타 신사,,,3세기 초반에 지은 유명한 전통 신사로 일본에서 가장 오래된 신사 중 하나입니다.,,,https://www.google.com/maps/place/%EC%9D%B4%EC%BF%A0%ED%83%80+%EC%8B%A0%EC%82%AC/data=!4m7!3m6!1s0x60008ee3949fe0c1:0x263c6b7e07570848!8m2!3d34.6947159!4d135.1907243!16zL20vMDVnZG5k!19sChIJweCflOOOAGARSAhXB35rPCY?authuser=0&hl=ko&rclk=1,10061,4.2
9,Japan,Kobe,고베 하버랜드(Kobe Harborland),"월, 화, 수, 목, 금, 토, 일: 10:00~21:00",,,,국제전화번호: +81 78-360-3639 홈페이지: https://www.harborland.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJD5fHbgePAGARpXshMiA87rA,8704,4.2
10,Japan,Kobe,고베 하버랜드,,,"오래된 기차역에 들어선 해변의 상업 및 엔터테인먼트 지역에 쇼핑가, 호텔, 식당이 있습니다.",,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0+%ED%95%98%EB%B2%84%EB%9E%9C%EB%93%9C/data=!4m7!3m6!1s0x60008f076ec7970f:0xb0ee3c2032217ba5!8m2!3d34.6788063!4d135.1805729!16s%2Fm%2F02q04t8!19sChIJD5fHbgePAGARpXshMiA87rA?authuser=0&hl=ko&rclk=1,8701,4.2
11,Japan,Kobe,고베시립 오지동물원(Kobe Ōji Zoo),"월, 화, 목, 금, 토, 일: 09:00~17:00; 수: 휴무",,,,국제전화번호: +81 78-861-5624 홈페이지: https://www.kobe-ojizoo.jp/,https://www.google.com/maps/place/?q=place_id:ChIJDTB81pmOAGARLfmjrTRbPys,8445,4.3
