data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Kobe,난킨마치,,,"1868년에 설립된 중국 문화 지구로 식당, 기념품 가게, 마작 클럽 등이 있습니다.",,,https://www.google.com/maps/place/%EB%82%9C%ED%82%A8%EB%A7%88%EC%B9%98/data=!4m7!3m6!1s0x60008efdbdb0aa91:0x1d6f1801d67f1901!8m2!3d34.6882059!4d135.1881104!16s%2Fm%2F02q4tdv!19sChIJkaqwvf2OAGARARl_1gEYbx0?authuser=0&hl=ko&rclk=1,20856,3.9
2,Japan,Kobe,고베 동물왕국,,,"열대 식물, 조류, 작은 포유류가 있는 온실 공원으로 체험형 쇼도 볼 수 있습니다.",,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0+%EB%8F%99%EB%AC%BC%EC%99%95%EA%B5%AD/data=!4m7!3m6!1s0x600091f82316e69b:0x8ea652d596843c4!8m2!3d34.6546416!4d135.2225468!16s%2Fm%2F080p796!19sChIJm-YWI_iRAGARxENoWS1l6gg?authuser=0&hl=ko&rclk=1,14261,4.5
3,Japan,Kobe,메리켄 공원,,,"관측소, 지진 기념관, 해사 박물관이 있는 도심의 해안 공원입니다.",,,https://www.google.com/maps/place/%EB%A9%94%EB%A6%AC%EC%BC%84+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60008eff88335365:0x840c5ba056b355d7!8m2!3d34.6814139!4d135.1878398!16s%2Fm%2F0404043!19sChIJZVMziP-OAGAR11WzVqBbDIQ?authuser=0&hl=ko&rclk=1,11098,4.3
4,Japan,Kobe,이쿠타 신사,,,3세기 초반에 지은 유명한 전통 신사로 일본에서 가장 오래된 신사 중 하나입니다.,,,https://www.google.com/maps/place/%EC%9D%B4%EC%BF%A0%ED%83%80+%EC%8B%A0%EC%82%AC/data=!4m7!3m6!1s0x60008ee3949fe0c1:0x263c6b7e07570848!8m2!3d34.6947159!4d135.1907243!16zL20vMDVnZG5k!19sChIJweCflOOOAGARSAhXB35rPCY?authuser=0&hl=ko&rclk=1,10061,4.2
5,Japan,Kobe,고베 하버랜드,,,"오래된 기차역에 들어선 해변의 상업 및 엔터테인먼트 지역에 쇼핑가, 호텔, 식당이 있습니다.",,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0+%ED%95%98%EB%B2%84%EB%9E%9C%EB%93%9C/data=!4m7!3m6!1s0x60008f076ec7970f:0xb0ee3c2032217ba5!8m2!3d34.6788063!4d135.1805729!16s%2Fm%2F02q04t8!19sChIJD5fHbgePAGARpXshMiA87rA?authuser=0&hl=ko&rclk=1,8701,4.2
6,Japan,Kobe,고베시립 오지동물원,,,독특한 동물이 있는 오래된 동물원으로 어린이용 놀이기구를 갖춘 작은 놀이공원이 있습니다.,,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0%EC%8B%9C%EB%A6%BD+%EC%98%A4%EC%A7%80%EB%8F%99%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x60008e99d67c300d:0x2b3f5b34ada3f92d!8m2!3d34.709351!4d135.2152279!16s%2Fg%2F121y4_b5!19sChIJDTB81pmOAGARLfmjrTRbPys?authuser=0&hl=ko&rclk=1,8441,4.3
7,Japan,Kobe,고베 포트 타워,,,108m에 이르는 화려한 타워로 탁 트인 도시 전망을 갖춘 전망대가 있습니다.,,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0+%ED%8F%AC%ED%8A%B8+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x60008f0028e2e4c1:0xb7ee42d807a8ac82!8m2!3d34.68263!4d135.1866995!16zL20vMDVraF84!19sChIJweTiKACPAGARgqyoB9hC7rc?authuser=0&hl=ko&rclk=1,8423,4.1
8,Japan,Kobe,카네후쿠 멘타이파크 고베 산다,,,,,,https://www.google.com/maps/place/%EC%B9%B4%EB%84%A4%ED%9B%84%EC%BF%A0+%EB%A9%98%ED%83%80%EC%9D%B4%ED%8C%8C%ED%81%AC+%EA%B3%A0%EB%B2%A0+%EC%82%B0%EB%8B%A4/data=!4m7!3m6!1s0x60006460237ead79:0xac40c542d859525d!8m2!3d34.8746!4d135.186692!16s%2Fg%2F11b6ytd4s3!19sChIJea1-I2BkAGARXVJZ2ELFQKw?authuser=0&hl=ko&rclk=1,8180,3.8
9,Japan,Kobe,스테이크랜드 고베관,,,"고베산 소고기와 밥, 그릴로 구운 야채, 피클을 맛볼 수 있는 클럽 분위기의 인기 스테이크 전문점입니다.",,,https://www.google.com/maps/place/%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC%EB%9E%9C%EB%93%9C+%EA%B3%A0%EB%B2%A0%EA%B4%80/data=!4m7!3m6!1s0x60008ee4a1055555:0x3b3babcdc69bf4e3!8m2!3d34.6930016!4d135.1917353!16s%2Fg%2F1tj91dj0!19sChIJVVUFoeSOAGAR4_Sbxs2rOzs?authuser=0&hl=ko&rclk=1,7811,4.0
10,Japan,Kobe,와카야마 성,,,멋진 풍경과 벚꽃을 즐길 수 있는 언덕 위에 자리한 복원된 성과 공원으로 사무라이 무기가 전시되어 있습니다.,,,https://www.google.com/maps/place/%EC%99%80%EC%B9%B4%EC%95%BC%EB%A7%88+%EC%84%B1/data=!4m7!3m6!1s0x6000b2c1a160d2c5:0xe10031626b806c93!8m2!3d34.2276558!4d135.1715109!16zL20vMDVtNXoz!19sChIJxdJgocGyAGARk2yAa2IxAOE?authuser=0&hl=ko&rclk=1,7199,4.2
11,Japan,Kobe,고베 호빵맨 어린이 박물관 & 쇼핑몰,,,,,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0+%ED%98%B8%EB%B9%B5%EB%A7%A8+%EC%96%B4%EB%A6%B0%EC%9D%B4+%EB%B0%95%EB%AC%BC%EA%B4%80+%26+%EC%87%BC%ED%95%91%EB%AA%B0/data=!4m7!3m6!1s0x60008f0086cdff67:0xebc0a93d7a6ba60d!8m2!3d34.6785235!4d135.1848484!16s%2Fm%2F0zrncnn!19sChIJZ__NhgCPAGARDaZrej2pwOs?authuser=0&hl=ko&rclk=1,6791,4.1
12,Japan,Kobe,롯코 가든 테라스,,,"고도가 높아 탁 트인 전망을 볼 수 있는 공원으로 조경이 잘 되어 있고 상점과 식당, 찻집도 찾아볼 수 있습니다.",,,https://www.google.com/maps/place/%EB%A1%AF%EC%BD%94+%EA%B0%80%EB%93%A0+%ED%85%8C%EB%9D%BC%EC%8A%A4/data=!4m7!3m6!1s0x60008bbe60380695:0xba814388057045e1!8m2!3d34.7644317!4d135.2476096!16s%2Fg%2F120y852p!19sChIJlQY4YL6LAGAR4UVwBYhDgbo?authuser=0&hl=ko&rclk=1,5949,4.1
13,Japan,Kobe,효고현립미술관,,,주로 일본과 서양 현대 예술작품을 전시하는 미술관으로 19세기 유럽 조각품도 있습니다.,,,https://www.google.com/maps/place/%ED%9A%A8%EA%B3%A0%ED%98%84%EB%A6%BD%EB%AF%B8%EC%88%A0%EA%B4%80/data=!4m7!3m6!1s0x60008e86906eb067:0x828759978b8b47e2!8m2!3d34.699249!4d135.2182538!16s%2Fm%2F02pzhp6!19sChIJZ7BukIaOAGAR4keLi5dZh4I?authuser=0&hl=ko&rclk=1,5792,4.1
14,Japan,Kobe,고베 국제회관,,,,,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0+%EA%B5%AD%EC%A0%9C%ED%9A%8C%EA%B4%80/data=!4m7!3m6!1s0x60008efa8433b60b:0xe5260c9e78e02263!8m2!3d34.6921362!4d135.1959115!16s%2Fg%2F121j1_66!19sChIJC7YzhPqOAGARYyLgeJ4MJuU?authuser=0&hl=ko&rclk=1,5434,3.9
15,Japan,Kobe,고베 메리켄 파크 오리엔탈 호텔,,,,,,https://www.google.com/maps/place/%EA%B3%A0%EB%B2%A0+%EB%A9%94%EB%A6%AC%EC%BC%84+%ED%8C%8C%ED%81%AC+%EC%98%A4%EB%A6%AC%EC%97%94%ED%83%88+%ED%98%B8%ED%85%94/data=!4m10!3m9!1s0x60008e551106acc5:0xcfcbbc2dfde261c9!5m2!4m1!1i2!8m2!3d34.6797981!4d135.1887817!16zL20vMGJneHIz!19sChIJxawGEVWOAGARyWHi_S28y88?authuser=0&hl=ko&rclk=1,5388,4.3
16,Japan,Kobe,호텔 오쿠라 고베,,,,,,https://www.google.com/maps/place/%ED%98%B8%ED%85%94+%EC%98%A4%EC%BF%A0%EB%9D%BC+%EA%B3%A0%EB%B2%A0/data=!4m10!3m9!1s0x60008efe359868c5:0xb0f12b34c572863e!5m2!4m1!1i2!8m2!3d34.6837776!4d135.1878283!16s%2Fg%2F120rrscg!19sChIJxWiYNf6OAGARPoZyxTQr8bA?authuser=0&hl=ko&rclk=1,5062,4.3
