data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Miyagi Prefecture,센다이 성 혼마루회관,,,역사적 기념물인 이 성에는 전시실이 있으며 일본 음식과 아름다운 전망을 즐길 수 있습니다.,,,https://www.google.com/maps/place/%EC%84%BC%EB%8B%A4%EC%9D%B4+%EC%84%B1+%ED%98%BC%EB%A7%88%EB%A3%A8%ED%9A%8C%EA%B4%80/data=!4m7!3m6!1s0x5f8987638b2cac17:0xa59e332f2ed25ca1!8m2!3d38.252092!4d140.8559275!16s%2Fm%2F02qvg56!19sChIJF6wsi2OHiV8RoVzSLi8znqU?authuser=0&hl=ko&rclk=1,9766,4.0
2,Japan,Miyagi Prefecture,센다이 우미노모리 수족관,,,해양 생물이 사는 대형 수조가 있는 수족관으로 식당가와 기프트샵이 있고 돌고래 및 바다사자 쇼를 볼 수 있습니다.,,,https://www.google.com/maps/place/%EC%84%BC%EB%8B%A4%EC%9D%B4+%EC%9A%B0%EB%AF%B8%EB%85%B8%EB%AA%A8%EB%A6%AC+%EC%88%98%EC%A1%B1%EA%B4%80/data=!4m7!3m6!1s0x5f898897e1fb47e3:0x52cd635d24b06064!8m2!3d38.2711521!4d140.9807067!16s%2Fg%2F11b6cytpdq!19sChIJ40f74ZeIiV8RZGCwJF1jzVI?authuser=0&hl=ko&rclk=1,9723,4.2
3,Japan,Miyagi Prefecture,즈이호덴,,,에도 시대 봉건 영주의 무덤으로 복잡하고 화려한 조각이 있으며 근처에 박물관도 있습니다.,,,https://www.google.com/maps/place/%EC%A6%88%EC%9D%B4%ED%98%B8%EB%8D%B4/data=!4m7!3m6!1s0x5f8a286950bc2ff3:0x2cda41b3bb5bc839!8m2!3d38.2504479!4d140.8667079!16s%2Fm%2F0gmccbp!19sChIJ8y-8UGkoil8ROchbu7NB2iw?authuser=0&hl=ko&rclk=1,5484,4.2
4,Japan,Miyagi Prefecture,즈이간지,,,,,,https://www.google.com/maps/place/%EC%A6%88%EC%9D%B4%EA%B0%84%EC%A7%80/data=!4m7!3m6!1s0x5f899b9e754547c1:0x4e1d477bfba8c987!8m2!3d38.3720098!4d141.0598105!16s%2Fm%2F02609j0!19sChIJwUdFdZ6biV8Rh8mo-3tHHU4?authuser=0&hl=ko&rclk=1,5463,4.3
5,Japan,Miyagi Prefecture,Matsushima Fish Market,,,,,,https://www.google.com/maps/place/Matsushima+Fish+Market/data=!4m7!3m6!1s0x5f899b9f26de2043:0x94564c7b8584679!8m2!3d38.3719493!4d141.0651699!16s%2Fg%2F1vm_xpwm!19sChIJQyDeJp-biV8ReUZYuMdkRQk?authuser=0&hl=ko&rclk=1,5202,3.7
6,Japan,Miyagi,고토다이 공원,,,,,,https://www.google.com/maps/place/%EA%B3%A0%ED%86%A0%EB%8B%A4%EC%9D%B4+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x5f8a282f6c33494d:0x6073617728b6830e!8m2!3d38.2669444!4d140.8719444!16s%2Fg%2F121bddd7!19sChIJTUkzbC8oil8RDoO2KHdhc2A?authuser=0&hl=ko&rclk=1,5089,3.8
7,Japan,Miyagi Prefecture,오사키하치만 궁,,,고요한 숲속에 자리 잡은 17세기 신사로 매년 축제가 열립니다.,,,https://www.google.com/maps/place/%EC%98%A4%EC%82%AC%ED%82%A4%ED%95%98%EC%B9%98%EB%A7%8C+%EA%B6%81/data=!4m7!3m6!1s0x5f8a29c853ee5bdd:0x4e765606fdf81f9b!8m2!3d38.2725199!4d140.8450332!16s%2Fm%2F09v5rg2!19sChIJ3VvuU8gpil8Rmx_4_QZWdk4?authuser=0&hl=ko&rclk=1,4459,4.3
8,Japan,Miyagi Prefecture,Morinoichiba,,,,,,https://www.google.com/maps/place/Morinoichiba/data=!4m7!3m6!1s0x5f89880da8d1d297:0x104e80cce0f40ddb!8m2!3d38.255271!4d140.9330939!16s%2Fg%2F1yp37frlf!19sChIJl9LRqA2IiV8R2w304MyAThA?authuser=0&hl=ko&rclk=1,4304,4.0
9,Japan,Miyagi,시부야 미야시타 공원,,,"식당, 고급 쇼핑몰, 비치 발리볼 코트, 루프톱 정원이 있는 쇼핑몰입니다.",,,https://www.google.com/maps/place/%EC%8B%9C%EB%B6%80%EC%95%BC+%EB%AF%B8%EC%95%BC%EC%8B%9C%ED%83%80+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60188de622941551:0x5400fedc2467d9be!8m2!3d35.6618024!4d139.7017467!16s%2Fm%2F04ldbb9!19sChIJURWUIuaNGGARvtlnJNz-AFQ?authuser=0&hl=ko&rclk=1,4209,4.2
10,Japan,Miyagi Prefecture,Akiu Great Falls,,,,,,https://www.google.com/maps/place/Akiu+Great+Falls/data=!4m7!3m6!1s0x5f8a2d523819b679:0x2df41e841e005a4!8m2!3d38.2752025!4d140.6034944!16s%2Fm%2F0j3c66b!19sChIJebYZOFItil8RpAXgQehB3wI?authuser=0&hl=ko&rclk=1,3694,4.2
