data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Nagasaki,하우스텐보스(Huis Ten Bosch),"월, 화, 수, 목, 금: 09:00~21:00; 토, 일: 09:00~22:00",,,,홈페이지: https://www.huistenbosch.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJvc-zbma9ajUR93iHfUJ7Jm8,21174,4.3
2,Japan,Nagasaki,하우스텐보스,,,네덜란드 마을을 모방한 테마파크로 놀이기구가 있으며 유명한 관광 명소의 모조품이 전시되어 있습니다.,,,https://www.google.com/maps/place/%ED%95%98%EC%9A%B0%EC%8A%A4%ED%85%90%EB%B3%B4%EC%8A%A4/data=!4m7!3m6!1s0x356abd666eb3cfbd:0x6f267b427d8778f7!8m2!3d33.0897198!4d129.7918921!16s%2Fm%2F02852cx!19sChIJvc-zbma9ajUR93iHfUJ7Jm8?authuser=0&hl=ko&rclk=1,21162,4.3
3,Japan,Nagasaki,글로버 가든(Glover Garden),"월, 화, 수, 목, 금, 토, 일: 08:00~21:30",,,,국제전화번호: +81 95-822-8223 홈페이지: http://www.glover-garden.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ34BEgoRTFTURm9sPe3FbyOs,10657,4.1
4,Japan,Nagasaki,글로버 가든,,,"잘 정돈된 정원과 유서 깊은 서양식 저택, 탁 트인 전망을 갖춘 고요한 야외 박물관입니다.",,,https://www.google.com/maps/place/%EA%B8%80%EB%A1%9C%EB%B2%84+%EA%B0%80%EB%93%A0/data=!4m7!3m6!1s0x35155384824480df:0xebc85b717b0fdb9b!8m2!3d32.7343314!4d129.8691886!16zL20vMGc0czhf!19sChIJ34BEgoRTFTURm9sPe3FbyOs?authuser=0&hl=ko&rclk=1,10654,4.1
5,Japan,Nagasaki,이나사야마 전망대(Mt. Inasayama Observatory),"월, 화, 수, 목, 금, 토, 일: 09:00~22:00",,,,국제전화번호: +81 95-861-7742 홈페이지: https://www.inasayama.com/,https://www.google.com/maps/place/?q=place_id:ChIJG5CoZThTFTURn9E9mHqF_EY,10198,4.5
6,Japan,Nagasaki,이나사야마 전망대,,,케이블카를 타고 언덕 꼭대기에 있는 전망대에 올라 멋진 도시 풍경을 감상할 수 있습니다.,,,https://www.google.com/maps/place/%EC%9D%B4%EB%82%98%EC%82%AC%EC%95%BC%EB%A7%88+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x3515533865a8901b:0x46fc857a983dd19f!8m2!3d32.7526235!4d129.8495163!16s%2Fg%2F1tdn6f52!19sChIJG5CoZThTFTURn9E9mHqF_EY?authuser=0&hl=ko&rclk=1,10187,4.5
7,Japan,Nagasaki,메가네바시 (안경교),,,1634년경에 만들어진 일본에서 가장 오래된 아치형 석교로 나카시마강 위에 놓여 있으며 보행자 전용입니다.,,,https://www.google.com/maps/place/%EB%A9%94%EA%B0%80%EB%84%A4%EB%B0%94%EC%8B%9C+%28%EC%95%88%EA%B2%BD%EA%B5%90%29/data=!4m7!3m6!1s0x351553473a1ffa49:0xd48e5b85a7fe8b5e!8m2!3d32.7471506!4d129.8801045!16s%2Fm%2F027lv_1!19sChIJSfofOkdTFTURXov-p4VbjtQ?authuser=0&hl=ko&rclk=1,8801,4.1
8,Japan,Nagasaki,나가사키 원폭 자료관(Nagasaki Atomic Bomb Museum),"월, 화, 수, 목, 금, 토, 일: 08:30~18:30",,,,국제전화번호: +81 95-844-1231 홈페이지: https://nabmuseum.jp/,https://www.google.com/maps/place/?q=place_id:ChIJCa-tFdGsajUR9eUQucc9fMA,8566,4.5
9,Japan,Nagasaki,나가사키 원폭 자료관,,,"1945년 나가사키의 원자폭탄 투하를 다룬 사진, 스크랩, 유물이 있는 박물관입니다.",,,https://www.google.com/maps/place/%EB%82%98%EA%B0%80%EC%82%AC%ED%82%A4+%EC%9B%90%ED%8F%AD+%EC%9E%90%EB%A3%8C%EA%B4%80/data=!4m7!3m6!1s0x356aacd115adaf09:0xc07c3dc7b910e5f5!8m2!3d32.7727963!4d129.8643625!16s%2Fm%2F027lq47!19sChIJCa-tFdGsajUR9eUQucc9fMA?authuser=0&hl=ko&rclk=1,8559,4.5
10,Japan,Nagasaki,평화공원(Peace Park Nagasaki),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 95-829-1162 홈페이지: http://www.city.nagasaki.lg.jp/heiwa/3030000/3030100/p005151.html,https://www.google.com/maps/place/?q=place_id:ChIJ4acabdqsajURNnu2TKq8nKQ,7873,4.3
