data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Nara,나라 공원(Nara Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 742-22-0375 홈페이지: https://www3.pref.nara.jp/park/,https://www.google.com/maps/place/?q=place_id:ChIJYWCMvZY5AWARVnREV_OsbPk,57559,4.5
2,Japan,Nara,도다이지,,,일본 최대 규모의 청동 불상이 있는 불교 사찰로 700년대 중반에 세워졌습니다.,,,https://www.google.com/maps/place/%EB%8F%84%EB%8B%A4%EC%9D%B4%EC%A7%80/data=!4m7!3m6!1s0x600139907a0876dd:0xf890ac3f9dd53c8f!8m2!3d34.6889851!4d135.8398158!16zL20vMDJoNnR3!19sChIJ3XYIepA5AWARjzzVnT-skPg?authuser=0&hl=ko&rclk=1,24609,4.6
3,Japan,Nara,덴노지동물원(Tennoji Zoo),"월: 휴무; 화, 수, 목, 금, 토, 일: 09:30~17:00",,,,국제전화번호: +81 6-6771-8401 홈페이지: https://www.tennojizoo.jp/,https://www.google.com/maps/place/?q=place_id:ChIJVVWVxPXdAGARk6J-88X_gBo,14541,4.0
4,Japan,Nara,카스가타이샤(Kasuga Taisha),"월, 화, 수, 목, 금, 토, 일: 06:30~17:30",,,,국제전화번호: +81 742-22-7788 홈페이지: http://www.kasugataisha.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ1Wqwa8A5AWARlpXjgoPnl0w,11955,4.5
5,Japan,Nara,카스가타이샤,,,768년에 건립된 신사로 밝은 주홍빛 기둥이 지붕을 지지하고 있습니다.,,,https://www.google.com/maps/place/%EC%B9%B4%EC%8A%A4%EA%B0%80%ED%83%80%EC%9D%B4%EC%83%A4/data=!4m7!3m6!1s0x600139c06bb06ad5:0x4c97e78382e39596!8m2!3d34.6815454!4d135.8484719!16zL20vMDNrMnpo!19sChIJ1Wqwa8A5AWARlpXjgoPnl0w?authuser=0&hl=ko&rclk=1,11948,4.5
6,Japan,Nara,고후쿠지(흥복사),,,"불교 사찰, 탑, 국가 보물을 소장한 박물관이 있는 사찰 단지입니다.",,,https://www.google.com/maps/place/%EA%B3%A0%ED%9B%84%EC%BF%A0%EC%A7%80%28%ED%9D%A5%EB%B3%B5%EC%82%AC%29/data=!4m7!3m6!1s0x60013988b23decb3:0x11830f4737834593!8m2!3d34.682883!4d135.8322271!16zL20vMDNjc3E0!19sChIJs-w9sog5AWARk0WDN0cPgxE?authuser=0&hl=ko&rclk=1,10964,4.4
7,Japan,Nara,Heijō Palace Site Historical National Park,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 742-36-8780 홈페이지: https://www.heijo-park.jp/,https://www.google.com/maps/place/?q=place_id:ChIJFZVuxKM7AWARd4rzIg38E70,5032,4.1
8,Japan,Nara,Heijō Palace Site Historical Park,,,성이 있던 옛 부지에 재건한 8세기 황궁입니다.,,,https://www.google.com/maps/place/Heij%C5%8D+Palace+Site+Historical+Park/data=!4m7!3m6!1s0x60013ba3c46e9515:0xbd13fc0d22f38a77!8m2!3d34.6904894!4d135.7957316!16zL20vMDU4djhi!19sChIJFZVuxKM7AWARd4rzIg38E70?authuser=0&hl=ko&rclk=1,5029,4.1
9,Japan,Nara,야쿠시지(약사사)(Yakushi-ji),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제전화번호: +81 742-33-6001 홈페이지: https://yakushiji.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJn3rdOfw6AWARJwWCcfoiD4c,4856,4.4
10,Japan,Nara,나카타니도,,,일본 전통 찹쌀떡을 맛볼 수 있는 유명한 매장으로 떡 만드는 모습도 볼 수 있습니다.,,,https://www.google.com/maps/place/%EB%82%98%EC%B9%B4%ED%83%80%EB%8B%88%EB%8F%84/data=!4m7!3m6!1s0x6001398812073c9b:0xca16527bbdfdc288!8m2!3d34.681943!4d135.8288995!16s%2Fg%2F11bwyxtz0r!19sChIJmzwHEog5AWARiML9vXtSFso?authuser=0&hl=ko&rclk=1,4351,4.3
11,Japan,Nara,나라국립박물관,,,1889년에 설립된 국립 박물관으로 방대한 일본 불교 미술 컬렉션을 소장하고 있습니다.,,,https://www.google.com/maps/place/%EB%82%98%EB%9D%BC%EA%B5%AD%EB%A6%BD%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x60013991ec762bd1:0x86534c8f9901a7ed!8m2!3d34.6831318!4d135.8383055!16s%2Fg%2F11vb0styt!19sChIJ0St27JE5AWAR7acBmY9MU4Y?authuser=0&hl=ko&rclk=1,3811,4.4
12,Japan,Nara,나라국립박물관(Nara National Museum),"월: 휴무; 화, 수, 목, 금, 일: 09:30~17:00; 토: 09:30~20:00",,,,국제전화번호: +81 50-5542-8600 홈페이지: https://www.narahaku.go.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ0St27JE5AWAR7acBmY9MU4Y,3811,4.4
13,Japan,Nara,Umami-kyuryo Park,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 745-56-3851 홈페이지: http://www.pref.nara.jp/1780.htm,https://www.google.com/maps/place/?q=place_id:ChIJUWNbEiQuAWARg6M-xF1AGSo,3771,4.2
14,Japan,Nara,Mi Nara,"월, 화, 수, 목, 금, 토, 일: 10:00~20:00",,,,국제전화번호: +81 742-32-5133 홈페이지: https://www.mina-ra.com/,https://www.google.com/maps/place/?q=place_id:ChIJqSusDrE7AWARsOD6zR73MTY,3739,3.5
15,Japan,Nara,이코마산조 유원지(Ikomasanjo Amusement Park),"월, 화, 수, 금, 토, 일: 10:00~17:00; 목: 휴무",,,,국제전화번호: +81 743-74-2173 홈페이지: http://www.ikomasanjou.com/,https://www.google.com/maps/place/?q=place_id:ChIJM3sSNdkjAWAR4F-Aqbf3h3M,3359,4.1
16,Japan,Nara,이코마산조 유원지,,,"스릴 넘치는 놀이 기구, 수영장, 식당이 있는 드넓은 놀이공원입니다.",,,https://www.google.com/maps/place/%EC%9D%B4%EC%BD%94%EB%A7%88%EC%82%B0%EC%A1%B0+%EC%9C%A0%EC%9B%90%EC%A7%80/data=!4m7!3m6!1s0x600123d935127b33:0x7387f7b7a9805fe0!8m2!3d34.6792181!4d135.6791714!16s%2Fg%2F122vf86l!19sChIJM3sSNdkjAWAR4F-Aqbf3h3M?authuser=0&hl=ko&rclk=1,3353,4.1
17,Japan,Nara,Nara Kenko Land,"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 743-64-1126 홈페이지: https://narakenkoland.net/,https://www.google.com/maps/place/?q=place_id:ChIJe7W0hA4xAWARAcO3jYl6Lqo,3097,3.9
