data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Otaru,오타루 오르골당 본관,,,장인이 화려한 장식을 사용해 만든 다양한 스타일의 탁상용 오르골을 판매하는 전문점입니다.,,,https://www.google.com/maps/place/%EC%98%A4%ED%83%80%EB%A3%A8+%EC%98%A4%EB%A5%B4%EA%B3%A8%EB%8B%B9+%EB%B3%B8%EA%B4%80/data=!4m7!3m6!1s0x5f0ae05a5c0c6207:0xb4994e82f592e5c7!8m2!3d43.1905754!4d141.0078377!16s%2Fg%2F11f40zqqch!19sChIJB2IMXFrgCl8Rx-WS9YJOmbQ?authuser=0&hl=ko&rclk=1,11627,4.2
2,Japan,Otaru,삿포로시 마루야마 동물원,,,"북극곰, 레서판다, 펭귄, 파충류를 가까이에서 볼 수 있는 가족 나들이에 적합한 동물원입니다.",,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C%EC%8B%9C+%EB%A7%88%EB%A3%A8%EC%95%BC%EB%A7%88+%EB%8F%99%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x5f0b29c37dcbb621:0x74b24c4658778f26!8m2!3d43.0515126!4d141.3078572!16s%2Fm%2F0k2bs4q!19sChIJIbbLfcMpC18RJo93WEZMsnQ?authuser=0&hl=ko&rclk=1,8354,4.3
3,Japan,Otaru,오타루 아쿠아리움,,,"펭귄, 돌고래, 물개 쇼를 비롯한 수많은 해양생물 전시관 및 이벤트가 제공되는 수족관입니다.",,,https://www.google.com/maps/place/%EC%98%A4%ED%83%80%EB%A3%A8+%EC%95%84%EC%BF%A0%EC%95%84%EB%A6%AC%EC%9B%80/data=!4m7!3m6!1s0x5f0b1e053ca52a85:0x1b305a22d361451!8m2!3d43.2369305!4d141.0119143!16s%2Fg%2F1217ntnd!19sChIJhSqlPAUeC18RURQ2LaIFswE?authuser=0&hl=ko&rclk=1,6046,4.3
4,Japan,Otaru,삼각시장,,,"과일, 채소, 해산물, 조리된 먹거리를 판매하는 상인들이 활동하는 실용적인 시장입니다.",,,https://www.google.com/maps/place/%EC%82%BC%EA%B0%81%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x5f0ae1acdc5d6be7:0xfdb67ce7ef454872!8m2!3d43.1990356!4d140.993927!16s%2Fg%2F11cjh_zn4b!19sChIJ52td3KzhCl8RckhF7-d8tv0?authuser=0&hl=ko&rclk=1,5616,3.9
5,Japan,Otaru,기타이치 유리 3호관,,,"장식용 스노우볼, 석유램프 등 유리 제품을 판매하는 상점입니다.",,,https://www.google.com/maps/place/%EA%B8%B0%ED%83%80%EC%9D%B4%EC%B9%98+%EC%9C%A0%EB%A6%AC+3%ED%98%B8%EA%B4%80/data=!4m7!3m6!1s0x5f0ae05a9dc3ffff:0x9fde1cdddbdce4ae!8m2!3d43.1922675!4d141.007334!16s%2Fg%2F11cly76ttb!19sChIJ___DnVrgCl8RruTc290c3p8?authuser=0&hl=ko&rclk=1,3136,4.1
6,Japan,Otaru,북해도 개척촌(홋카이도 개척촌),,,19세기의 농촌 마을을 재현한 야외 박물관으로 60채가 넘는 전통 목재 및 석조 가옥이 모여 있습니다.,,,https://www.google.com/maps/place/%EB%B6%81%ED%95%B4%EB%8F%84+%EA%B0%9C%EC%B2%99%EC%B4%8C%28%ED%99%8B%EC%B9%B4%EC%9D%B4%EB%8F%84+%EA%B0%9C%EC%B2%99%EC%B4%8C%29/data=!4m7!3m6!1s0x5f0b2ceb651ae381:0xaaa05e70a99cab96!8m2!3d43.0482239!4d141.4969955!16s%2Fg%2F120kh8n4!19sChIJgeMaZessC18RlqucqXBeoKo?authuser=0&hl=ko&rclk=1,2992,4.3
7,Japan,Otaru,오타루맥주양조장 오타루창고 No.1,,,"슈니첼, 소시지 등의 요리를 선보이는 독일식 맥줏집으로 유익한 투어와 시음회를 운영합니다.",,,https://www.google.com/maps/place/%EC%98%A4%ED%83%80%EB%A3%A8%EB%A7%A5%EC%A3%BC%EC%96%91%EC%A1%B0%EC%9E%A5+%EC%98%A4%ED%83%80%EB%A3%A8%EC%B0%BD%EA%B3%A0+No.1/data=!4m7!3m6!1s0x5f0ae04d1a4ee193:0x5eba6776f42fd643!8m2!3d43.199107!4d141.002518!16s%2Fg%2F1tdw_b2z!19sChIJk-FOGk3gCl8RQ9Yv9HZnul4?authuser=0&hl=ko&rclk=1,2838,4.1
8,Japan,Otaru,르타오 본점,,,,,,https://www.google.com/maps/place/%EB%A5%B4%ED%83%80%EC%98%A4+%EB%B3%B8%EC%A0%90/data=!4m7!3m6!1s0x5f0ae05a8dc1ff03:0x729fd667601966fe!8m2!3d43.191311!4d141.007433!16s%2Fg%2F11_p_wj_5!19sChIJA__BjVrgCl8R_mYZYGfWn3I?authuser=0&hl=ko&rclk=1,2562,4.3
9,Japan,Otaru,오타루 운하,,,,,,https://www.google.com/maps/place/%EC%98%A4%ED%83%80%EB%A3%A8+%EC%9A%B4%ED%95%98/data=!4m7!3m6!1s0x5f0ae16457554cd1:0x4ee07ad75699721!8m2!3d43.199041!4d141.0021176!16s%2Fg%2F12182k3s!19sChIJ0UxVV2ThCl8RIZdpda0H7gQ?authuser=0&hl=ko&rclk=1,2445,4.3
10,Japan,Otaru,오타루운하크루즈,,,"복원된 운하에서 낮과 해 질 녘에 즐길 수 있는 유람선으로, 옛 창고를 개조한 박물관과 상점이 늘어서 있습니다.",,,https://www.google.com/maps/place/%EC%98%A4%ED%83%80%EB%A3%A8%EC%9A%B4%ED%95%98%ED%81%AC%EB%A3%A8%EC%A6%88/data=!4m7!3m6!1s0x5f0ae04d27d55d6f:0x4071be32803de008!8m2!3d43.1999813!4d141.0018151!16s%2Fg%2F11bc70ygvn!19sChIJb13VJ03gCl8RCOA9gDK-cUA?authuser=0&hl=ko&rclk=1,2416,4.2
