data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Sapporo,시로이코이비토 파크,,,초콜릿 및 쿠키 샘플과 전시관이 있어 가족 명소로 유명하며 트레인 놀이기구와 정원이 있습니다.,,,https://www.google.com/maps/place/%EC%8B%9C%EB%A1%9C%EC%9D%B4%EC%BD%94%EC%9D%B4%EB%B9%84%ED%86%A0+%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x5f0b281264c7cb53:0xc21e3cb8d40a0191!8m2!3d43.0888751!4d141.2717042!16s%2Fg%2F11gnrm0wlz!19sChIJU8vHZBIoC18RkQEK1Lg8HsI?authuser=0&hl=ko&rclk=1,19212,4.2
2,Japan,Sapporo,JR 타워,,,"2003년에 문을 연 173m 높이의 초고층 건물에 쇼핑몰, 사무실, 전망대가 있습니다.",,,https://www.google.com/maps/place/JR+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x5f0b2974c3aec17f:0xbaa6b96df859cf9!8m2!3d43.0684388!4d141.3523648!16s%2Fm%2F03c74ts!19sChIJf8Guw3QpC18R-ZyF35Zrqgs?authuser=0&hl=ko&rclk=1,17510,4.1
3,Japan,Sapporo,다누키코지 상점가,,,7개 블록에 걸쳐 약 200개의 아울렛이 늘어선 지붕 덮인 오래된 쇼핑가입니다.,,,https://www.google.com/maps/place/%EB%8B%A4%EB%88%84%ED%82%A4%EC%BD%94%EC%A7%80+%EC%83%81%EC%A0%90%EA%B0%80/data=!4m7!3m6!1s0x5f0b298314dc68c9:0x3e09837aece117a1!8m2!3d43.0570724!4d141.3509046!16s%2Fm%2F0nbf1lp!19sChIJyWjcFIMpC18RoRfh7HqDCT4?authuser=0&hl=ko&rclk=1,15568,4.1
4,Japan,Sapporo,다누키코지 상점가,,,7개 블록에 걸쳐 약 200개의 아울렛이 늘어선 지붕 덮인 오래된 쇼핑가입니다.,,,https://www.google.com/maps/place/%EB%8B%A4%EB%88%84%ED%82%A4%EC%BD%94%EC%A7%80+%EC%83%81%EC%A0%90%EA%B0%80/data=!4m7!3m6!1s0x5f0b298314dc68c9:0x3e09837aece117a1!8m2!3d43.0570823!4d141.3509754!16s%2Fm%2F0nbf1lp!19sChIJyWjcFIMpC18RoRfh7HqDCT4?authuser=0&hl=ko&rclk=1,15568,4.1
5,Japan,Sapporo,삿포로시 시계탑,,,1878년에 지은 유명한 목조 시계탑에 현재는 삿포로의 역사가 전시된 박물관이 들어서 있습니다.,,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C%EC%8B%9C+%EC%8B%9C%EA%B3%84%ED%83%91/data=!4m7!3m6!1s0x5f0b297627507247:0x1b9ba84a4b04cdeb!8m2!3d43.0625276!4d141.3534824!16s%2Fm%2F0263ys5!19sChIJR3JQJ3YpC18R680ES0qomxs?authuser=0&hl=ko&rclk=1,14459,3.8
6,Japan,Sapporo,삿포로 TV 타워,,,1950년대에 지어진 유명한 TV 타워로 도시의 탁 트인 전망을 제공하는 전망대가 있습니다.,,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C+TV+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x5f0b299d5f87648d:0xe2041a78c3222031!8m2!3d43.0611047!4d141.3564246!16zL20vMDVqMmc1!19sChIJjWSHX50pC18RMSAiw3gaBOI?authuser=0&hl=ko&rclk=1,13904,4.1
7,Japan,Sapporo,삿포로 맥주 박물관,,,"현재는 맥주 박물관으로 운영되는 옛 공장으로 전시회, 투어, 유료 시음이 제공되며, 무료 입장이 가능합니다.",,,https://www.google.com/maps/place/%EC%82%BF%ED%8F%AC%EB%A1%9C+%EB%A7%A5%EC%A3%BC+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x5f0b29842f2cf6d1:0x1360c6faefc5e7cb!8m2!3d43.0714671!4d141.3689124!16s%2Fm%2F03cd7tk!19sChIJ0fYsL4QpC18Ry-fF7_rGYBM?authuser=0&hl=ko&rclk=1,12770,4.2
8,Japan,Sapporo,다이마루 백화점 삿포로점,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EC%9D%B4%EB%A7%88%EB%A3%A8+%EB%B0%B1%ED%99%94%EC%A0%90+%EC%82%BF%ED%8F%AC%EB%A1%9C%EC%A0%90/data=!4m7!3m6!1s0x5f0b2953dff59731:0x6bf74cb37f50c042!8m2!3d43.0675864!4d141.3493125!16s%2Fg%2F11hm5ghzzt!19sChIJMZf131MpC18RQsBQf7NM92s?authuser=0&hl=ko&rclk=1,12117,4.0
9,Japan,Sapporo,홋카이도 신궁,,,1869년에 지은 이 신도 사원은 숲속에 자리하며 메이지 천황을 비롯한 4개의 신위를 모십니다.,,,https://www.google.com/maps/place/%ED%99%8B%EC%B9%B4%EC%9D%B4%EB%8F%84+%EC%8B%A0%EA%B6%81/data=!4m7!3m6!1s0x5f0b29dcc4f0a893:0xec8de2355b66d708!8m2!3d43.054333!4d141.3077928!16s%2Fm%2F03chb6s!19sChIJk6jwxNwpC18RCNdmWzXijew?authuser=0&hl=ko&rclk=1,11631,4.5
10,Japan,Sapporo,니조시장,,,이 수산 시장은 갓 수확한 신선한 농산물과 가판대 식당으로 유명합니다.,,,https://www.google.com/maps/place/%EB%8B%88%EC%A1%B0%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x5f0b29825baabd09:0x92686bd1182c71f7!8m2!3d43.058299!4d141.358446!16s%2Fg%2F120wx6zf!19sChIJCb2qW4IpC18R93EsGNFraJI?authuser=0&hl=ko&rclk=1,10812,3.8
