data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Takamatsu,리츠린 공원(Ritsurin Garden),"월, 화, 수, 목, 금, 토, 일: 05:30~19:00",,,,국제전화번호: +81 87-833-7411 홈페이지: https://www.my-kagawa.jp/ritsuringarden,https://www.google.com/maps/place/?q=place_id:ChIJUc4SILrrUzURFEFMQod9v7g,12300,4.5
2,Japan,Takamatsu,리츠린 공원,,,,,,https://www.google.com/maps/place/%EB%A6%AC%EC%B8%A0%EB%A6%B0+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3553ebba2012ce51:0xb8bf7d87424c4114!8m2!3d34.3299316!4d134.046001!16zL20vMDZfdnox!19sChIJUc4SILrrUzURFEFMQod9v7g?authuser=0&hl=ko&rclk=1,12298,4.5
3,Japan,Takamatsu,뉴 레오마 파크(New Reoma World),"월, 화, 수, 목, 금, 토, 일: 09:00~20:00",,,,국제전화번호: +81 50-3499-6428 홈페이지: https://www.newreomaworld.com/,https://www.google.com/maps/place/?q=place_id:ChIJufndSwraUzURjlRyUjvmQhU,5257,3.9
4,Japan,Takamatsu,다카마쓰성터(다마모공원),,,공원 같은 공간을 배경으로 하여 1590년에 지어진 성의 유적지로 해자를 만들어 바닷물을 끌어들였습니다.,,,https://www.google.com/maps/place/%EB%8B%A4%EC%B9%B4%EB%A7%88%EC%93%B0%EC%84%B1%ED%84%B0%28%EB%8B%A4%EB%A7%88%EB%AA%A8%EA%B3%B5%EC%9B%90%29/data=!4m7!3m6!1s0x3553eb870995792b:0x1e386f1941d75e36!8m2!3d34.3503157!4d134.0516188!16s%2Fm%2F05mx9wb!19sChIJK3mVCYfrUzURNl7XQRlvOB4?authuser=0&hl=ko&rclk=1,3214,3.9
5,Japan,Takamatsu,다카마쓰성터(다마모공원)(Takamatsu Castle Park),"월, 화, 수, 목, 금, 토, 일: 05:30~19:00",,,,국제전화번호: +81 87-851-1521 홈페이지: http://www.takamatsujyo.com/,https://www.google.com/maps/place/?q=place_id:ChIJK3mVCYfrUzURNl7XQRlvOB4,3214,3.9
6,Japan,Takamatsu,Twenty-Four Eyes Movie Studio,"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제전화번호: +81 879-82-2455 홈페이지: https://www.24hitomi.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJC-ObMp6HUzURWsyT-CPtpgc,3061,4.0
7,Japan,Takamatsu,시로토리 동물원(Shirotori Zoo),"월, 화, 목, 금, 토, 일: 09:30~17:00; 수: 휴무",,,,국제전화번호: +81 879-25-0998 홈페이지: http://shirotorizoo.com/,https://www.google.com/maps/place/?q=place_id:ChIJQ73EoG6dUzURA-2RZrqzJLs,2509,4.4
8,Japan,Takamatsu,Asutamuland Tokushima,"월, 화, 수, 목, 금, 토, 일: 09:30~18:00",,,,국제전화번호: +81 88-672-7111 홈페이지: http://www.asutamuland.jp/,https://www.google.com/maps/place/?q=place_id:ChIJp7Zu5Et0UzURMlB7U_Nr20k,1914,4.3
9,Japan,Takamatsu,옥도사,,,"미술품 전시, 이벤트, 체험 활동을 통해 지역 역사와 문화를 탐구할 수 있는 박물관입니다.",,,https://www.google.com/maps/place/%EC%98%A5%EB%8F%84%EC%82%AC/data=!4m7!3m6!1s0x3553932e71af213f:0xe8df3b1debabeaa1!8m2!3d34.357939!4d134.1013011!16s%2Fm%2F0gmg2vy!19sChIJPyGvcS6TUzURoeqr6x073-g?authuser=0&hl=ko&rclk=1,1527,4.1
10,Japan,Takamatsu,옥도사(Yashima Temple),"월, 화, 수, 목, 금, 토, 일: 07:00~17:00",,,,국제전화번호: +81 87-841-9418 홈페이지: http://www.88shikokuhenro.jp/84yashimaji/,https://www.google.com/maps/place/?q=place_id:ChIJPyGvcS6TUzURoeqr6x073-g,1527,4.1
