data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Wakayama,Adventure World,,,"자이언트 판다 전시회, 사파리 투어, 돌고래 쇼를 즐길 수 있는 야생동물 공원으로 인터랙티브 체험이 가능합니다.",,,https://www.google.com/maps/place/Adventure+World/data=!4m7!3m6!1s0x6007a6ac9062f265:0x61b91f45ced5e9f!8m2!3d33.6679987!4d135.3762072!16s%2Fg%2F1236573_!19sChIJZfJikKymB2ARn17tXPSRGwY?authuser=0&hl=ko&rclk=1,16494,4.5
2,Japan,Wakayama,구로시오 시장,,,,,,https://www.google.com/maps/place/%EA%B5%AC%EB%A1%9C%EC%8B%9C%EC%98%A4+%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x60074dc5a3f57e83:0x1db36a0f5207d151!8m2!3d34.1537013!4d135.1759033!16s%2Fg%2F11b7ck5qzx!19sChIJg371o8VNB2ARUdEHUg9qsx0?authuser=0&hl=ko&rclk=1,8387,3.7
3,Japan,Wakayama Prefecture,하시구이이와,,,,,,https://www.google.com/maps/place/%ED%95%98%EC%8B%9C%EA%B5%AC%EC%9D%B4%EC%9D%B4%EC%99%80/data=!4m7!3m6!1s0x600624d0f1e9b5bb:0x6aaf636e1fc3ec29!8m2!3d33.4880617!4d135.7957474!16s%2Fg%2F122bl_1n!19sChIJu7Xp8dAkBmARKezDH25jr2o?authuser=0&hl=ko&rclk=1,7267,4.3
4,Japan,Wakayama,와카야마 성,,,멋진 풍경과 벚꽃을 즐길 수 있는 언덕 위에 자리한 복원된 성과 공원으로 사무라이 무기가 전시되어 있습니다.,,,https://www.google.com/maps/place/%EC%99%80%EC%B9%B4%EC%95%BC%EB%A7%88+%EC%84%B1/data=!4m7!3m6!1s0x6000b2c1a160d2c5:0xe10031626b806c93!8m2!3d34.2276558!4d135.1715109!16zL20vMDVtNXoz!19sChIJxdJgocGyAGARk2yAa2IxAOE?authuser=0&hl=ko&rclk=1,7243,4.2
5,Japan,Wakayama Prefecture,시라라하마 해변,,,드넓은 백사장 해변과 여유로운 분위기로 유명한 해안 명소입니다.,,,https://www.google.com/maps/place/%EC%8B%9C%EB%9D%BC%EB%9D%BC%ED%95%98%EB%A7%88+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x6007a102efd950e3:0xd985d4dd8d99fb3a!8m2!3d33.6817259!4d135.3444329!16s%2Fg%2F1238s7x5!19sChIJ41DZ7wKhB2AROvuZjd3Uhdk?authuser=0&hl=ko&rclk=1,6614,4.5
6,Japan,Wakayama,쿠마노 하야타마 타이샤(대신사),,,,,,https://www.google.com/maps/place/%EC%BF%A0%EB%A7%88%EB%85%B8+%ED%95%98%EC%95%BC%ED%83%80%EB%A7%88+%ED%83%80%EC%9D%B4%EC%83%A4%28%EB%8C%80%EC%8B%A0%EC%82%AC%29/data=!4m7!3m6!1s0x60066ca6f2adb175:0x3150561d4c2919ba!8m2!3d33.7322225!4d135.9835101!16s%2Fm%2F04zvt3d!19sChIJdbGt8qZsBmARuhkpTB1WUDE?authuser=0&hl=ko&rclk=1,5820,4.4
7,Japan,Wakayama Prefecture,센조지키,,,,,,https://www.google.com/maps/place/%EC%84%BC%EC%A1%B0%EC%A7%80%ED%82%A4/data=!4m7!3m6!1s0x6007a11afb4821ff:0xe76f8d5f0f458099!8m2!3d33.6707012!4d135.3304584!16s%2Fg%2F12209286!19sChIJ_yFI-xqhB2ARmYBFD1-Nb-c?authuser=0&hl=ko&rclk=1,5639,4.1
8,Japan,Wakayama,포르투 유럽,,,,,,https://www.google.com/maps/place/%ED%8F%AC%EB%A5%B4%ED%88%AC+%EC%9C%A0%EB%9F%BD/data=!4m7!3m6!1s0x60074dc59d5665f5:0xdf5b2d7edeb3b013!8m2!3d34.1537596!4d135.1773899!16s%2Fg%2F120jxc0v!19sChIJ9WVWncVNB2ARE7Cz3n4tW98?authuser=0&hl=ko&rclk=1,4966,3.8
9,Japan,Wakayama,와카야마 마리나시티,,,,,,https://www.google.com/maps/place/%EC%99%80%EC%B9%B4%EC%95%BC%EB%A7%88+%EB%A7%88%EB%A6%AC%EB%82%98%EC%8B%9C%ED%8B%B0/data=!4m7!3m6!1s0x60074dc5085e4d1d:0x7668f9c49f8e3725!8m2!3d34.153699!4d135.1778688!16s%2Fg%2F1239jnp7!19sChIJHU1eCMVNB2ARJTeOn8T5aHY?authuser=0&hl=ko&rclk=1,4950,3.8
10,Japan,Wakayama Prefecture,산단베키 절벽,,,,,,https://www.google.com/maps/place/%EC%82%B0%EB%8B%A8%EB%B2%A0%ED%82%A4+%EC%A0%88%EB%B2%BD/data=!4m7!3m6!1s0x6007a1a0bd56ffff:0xfbd1d05d815fa580!8m2!3d33.6663114!4d135.3323031!16s%2Fg%2F120m1b09!19sChIJ__9WvaChB2ARgKVfgV3Q0fs?authuser=0&hl=ko&rclk=1,4802,4.0
11,Japan,Wakayama Prefecture,Kinokawa SA (Southbound),,,,,,https://www.google.com/maps/place/Kinokawa+SA+%28Southbound%29/data=!4m7!3m6!1s0x6000b4f18ac95633:0xc670de281876bcd8!8m2!3d34.2750018!4d135.2479252!16s%2Fg%2F11clyc5b4h!19sChIJM1bJivG0AGAR2Lx2GCjecMY?authuser=0&hl=ko&rclk=1,4645,3.6
12,Japan,Wakayama,JA Kinosato Farmers Market Mekkemon Square,,,,,,https://www.google.com/maps/place/JA+Kinosato+Farmers+Market+Mekkemon+Square/data=!4m7!3m6!1s0x600734c1b8a50dcd:0x5689391fc5582bd7!8m2!3d34.2784063!4d135.3527233!16s%2Fg%2F1tf_stz7!19sChIJzQ2luME0B2AR1ytYxR85iVY?authuser=0&hl=ko&rclk=1,3312,3.9
13,Japan,Wakayama,키미이데라,,,,,,https://www.google.com/maps/place/%ED%82%A4%EB%AF%B8%EC%9D%B4%EB%8D%B0%EB%9D%BC/data=!4m7!3m6!1s0x60074cff65b7ac21:0xf4da358024339344!8m2!3d34.1851473!4d135.1900721!16s%2Fg%2F128dgb1bp!19sChIJIay3Zf9MB2ARRJMzJIA12vQ?authuser=0&hl=ko&rclk=1,2766,4.2
14,Japan,Wakayama Prefecture,Road Station Gomasan Sky Tower,,,,,,https://www.google.com/maps/place/Road+Station+Gomasan+Sky+Tower/data=!4m7!3m6!1s0x60071e582160f477:0x30082b1e8d1bf9f7!8m2!3d34.060809!4d135.5643873!16s%2Fg%2F11mvrswx8!19sChIJd_RgIVgeB2AR9_kbjR4rCDA?authuser=0&hl=ko&rclk=1,2618,3.7
15,Japan,Wakayama Prefecture,큐카무라 키슈 카다,,,,,,https://www.google.com/maps/place/%ED%81%90%EC%B9%B4%EB%AC%B4%EB%9D%BC+%ED%82%A4%EC%8A%88+%EC%B9%B4%EB%8B%A4/data=!4m10!3m9!1s0x6000af357f58ac69:0x4b90342c0f4db762!5m2!4m1!1i2!8m2!3d34.2929564!4d135.0724683!16s%2Fg%2F119wnbdl2!19sChIJaaxYfzWvAGARYrdNDyw0kEs?authuser=0&hl=ko&rclk=1,2576,4.2
16,Japan,Wakayama,Wakayamajo Park,,,,,,https://www.google.com/maps/place/Wakayamajo+Park/data=!4m7!3m6!1s0x6000b2c176202b2b:0xff688bd0cfeee90d!8m2!3d34.2277651!4d135.1719731!16s%2Fg%2F119x0l265!19sChIJKysgdsGyAGARDenuz9CLaP8?authuser=0&hl=ko&rclk=1,2467,4.0
17,Japan,Wakayama,Shikinosato Park,,,,,,https://www.google.com/maps/place/Shikinosato+Park/data=!4m7!3m6!1s0x60074baa7b6636bb:0x55f1d3bda3e7f96b!8m2!3d34.2160719!4d135.2597368!16s%2Fg%2F119tf0twj!19sChIJuzZme6pLB2ARa_nno73T8VU?authuser=0&hl=ko&rclk=1,1707,3.8
18,Japan,Wakayama,Oyunohara,,,,,,https://www.google.com/maps/place/Oyunohara/data=!4m7!3m6!1s0x60065a2161e9b92b:0x880f4f2ccb7d3007!8m2!3d33.8344408!4d135.774392!16s%2Fg%2F1tcz88cc!19sChIJK7npYSFaBmARBzB9yyxPD4g?authuser=0&hl=ko&rclk=1,1391,4.5
19,Japan,Wakayama,도미 인 프리미엄 와카야마 내추럴 핫 스프링,,,,,,https://www.google.com/maps/place/%EB%8F%84%EB%AF%B8+%EC%9D%B8+%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84+%EC%99%80%EC%B9%B4%EC%95%BC%EB%A7%88+%EB%82%B4%EC%B6%94%EB%9F%B4+%ED%95%AB+%EC%8A%A4%ED%94%84%EB%A7%81/data=!4m10!3m9!1s0x6000b32790b6757d:0xcdc0f1046b3b0a08!5m2!4m1!1i2!8m2!3d34.2316046!4d135.1872823!16s%2Fg%2F1hc28d1rt!19sChIJfXW2kCezAGARCAo7awTxwM0?authuser=0&hl=ko&rclk=1,1318,4.2
20,Japan,Wakayama,키슈토쇼구,,,,,,https://www.google.com/maps/place/%ED%82%A4%EC%8A%88%ED%86%A0%EC%87%BC%EA%B5%AC/data=!4m7!3m6!1s0x60074d41b481a0b5:0x8c163191689aab33!8m2!3d34.1927164!4d135.165662!16s%2Fg%2F1229l0lw!19sChIJtaCBtEFNB2ARM6uaaJExFow?authuser=0&hl=ko&rclk=1,1167,4.1
21,Japan,Wakayama Prefecture,와카야마 현립 자연사 박물관,,,,,,https://www.google.com/maps/place/%EC%99%80%EC%B9%B4%EC%95%BC%EB%A7%88+%ED%98%84%EB%A6%BD+%EC%9E%90%EC%97%B0%EC%82%AC+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x60074c2e03723c91:0x1c9bd3ede919b51b!8m2!3d34.1585858!4d135.1921202!16s%2Fg%2F1215vjc0!19sChIJkTxyAy5MB2ARG7UZ6e3Tmxw?authuser=0&hl=ko&rclk=1,1093,4.2
22,Japan,Wakayama,Wakayama MIO,,,,,,https://www.google.com/maps/place/Wakayama+MIO/data=!4m7!3m6!1s0x6000b3267c797f8d:0xd8ff6ca790b3b6a8!8m2!3d34.2321061!4d135.1911398!16s%2Fg%2F121hfjl2!19sChIJjX95fCazAGARqLazkKds_9g?authuser=0&hl=ko&rclk=1,1026,3.5
23,Japan,Wakayama,Wakayama Prefecture Botanical Park Ryokka Center,,,,,,https://www.google.com/maps/place/Wakayama+Prefecture+Botanical+Park+Ryokka+Center/data=!4m7!3m6!1s0x6000cacd838caec9:0x623c7c6610f3f119!8m2!3d34.2852778!4d135.3280556!16s%2Fm%2F03cl8fj!19sChIJya6Mg83KAGARGfHzEGZ8PGI?authuser=0&hl=ko&rclk=1,998,4.1
24,Japan,Wakayama,Saikazaki Signal Tower,,,등대의 전망 데크에서 아와지와 시고쿠 제도의 전망을 감상할 수 있는 험준한 곶입니다.,,,https://www.google.com/maps/place/Saikazaki+Signal+Tower/data=!4m7!3m6!1s0x600752a55b66ced3:0x990b13931ec168ae!8m2!3d34.1883165!4d135.1409555!16s%2Fm%2F05nzqxb!19sChIJ085mW6VSB2ARrmjBHpMTC5k?authuser=0&hl=ko&rclk=1,898,4.1
25,Japan,Wakayama Prefecture,Tokei Shrine,,,,,,https://www.google.com/maps/place/Tokei+Shrine/data=!4m7!3m6!1s0x6007a75a9d0a9147:0xcdb9ef90e0466545!8m2!3d33.7295151!4d135.3839298!16s%2Fg%2F121p_tf4!19sChIJR5EKnVqnB2ARRWVG4JDvuc0?authuser=0&hl=ko&rclk=1,872,4.2
26,Japan,Wakayama,Round 1,,,,,,https://www.google.com/maps/place/Round+1/data=!4m7!3m6!1s0x60074d1fcb4b2df5:0x5cd774c4c494d6ad!8m2!3d34.198489!4d135.185943!16s%2Fg%2F1td9w21b!19sChIJ9S1Lyx9NB2ARrdaUxMR011w?authuser=0&hl=ko&rclk=1,825,3.6
27,Japan,Wakayama Prefecture,Oishi Kogen,,,,,,https://www.google.com/maps/place/Oishi+Kogen/data=!4m7!3m6!1s0x6007384361b63edd:0x8cb7f361365283da!8m2!3d34.105043!4d135.3274007!16s%2Fg%2F11bc5ym58y!19sChIJ3T62YUM4B2AR2oNSNmHzt4w?authuser=0&hl=ko&rclk=1,824,4.4
28,Japan,Wakayama,Wakayama Big Whale,,,,,,https://www.google.com/maps/place/Wakayama+Big+Whale/data=!4m7!3m6!1s0x6000b32b4ef62319:0x7384fd2ccff21e1e!8m2!3d34.2213594!4d135.1908261!16s%2Fg%2F1yg4db5pq!19sChIJGSP2TiuzAGARHh7yzyz9hHM?authuser=0&hl=ko&rclk=1,821,3.9
29,Japan,Wakayama Prefecture,Kirari Ryujin,,,,,,https://www.google.com/maps/place/Kirari+Ryujin/data=!4m10!3m9!1s0x60071d29e6ed9ed5:0x8ffd1976e912960d!5m2!4m1!1i2!8m2!3d33.9680167!4d135.5634751!16s%2Fg%2F1tg5zlhw!19sChIJ1Z7t5ikdB2ARDZYS6XYZ_Y8?authuser=0&hl=ko&rclk=1,790,4.2
