data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Yokohama,요코하마 차이나타운(Yokohama Chinatown),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 45-662-1252 홈페이지: http://www.chinatown.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ__-Le-9cGGARNY-CTSHwq5A,43295,4.0
2,Japan,Yokohama,요코하마 차이나타운,,,일본 최대의 차이나타운으로 약 250개의 중국인 소유 상점과 식당이 있으며 입구가 화려합니다.,,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EC%B0%A8%EC%9D%B4%EB%82%98%ED%83%80%EC%9A%B4/data=!4m7!3m6!1s0x60185cef7b8bffff:0x90abf0214d828f35!8m2!3d35.4434459!4d139.6460909!16zL20vMGJoZDR5!19sChIJ__-Le-9cGGARNY-CTSHwq5A?authuser=0&hl=ko&rclk=1,43271,4.0
3,Japan,Yokohama,요코하마 아카렌가소코 2호관(Yokohama Red Brick Warehouse),"월, 화, 수, 목, 금, 토, 일: 11:00~20:00",,,,국제전화번호: +81 45-227-2002 홈페이지: https://www.yokohama-akarenga.jp/,https://www.google.com/maps/place/?q=place_id:ChIJSXGAhfhcGGARcz3MKth9lJQ,37858,4.1
4,Japan,Yokohama,요코하마 아카렌가소코 2호관,,,"이전에는 벽돌 창고였으며, 현재는 상점, 카페 등이 있고 시즌별 이벤트가 열리는 쇼핑 & 문화 센터입니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EC%95%84%EC%B9%B4%EB%A0%8C%EA%B0%80%EC%86%8C%EC%BD%94+2%ED%98%B8%EA%B4%80/data=!4m7!3m6!1s0x60185cf885807149:0x94947dd82acc3d73!8m2!3d35.4526321!4d139.6428944!16s%2Fm%2F03ckcq0!19sChIJSXGAhfhcGGARcz3MKth9lJQ?authuser=0&hl=ko&rclk=1,37831,4.1
5,Japan,Yokohama,요코하마 랜드마크 타워(Yokohama Landmark Tower),"월, 화, 수, 목, 금, 토, 일: 10:00~21:00",,,,국제전화번호: +81 45-222-5015 홈페이지: https://www.yokohama-landmark.jp/,https://www.google.com/maps/place/?q=place_id:ChIJEaFmc11cGGARx8g0NQrvYTY,27802,4.2
6,Japan,Yokohama,요코하마 랜드마크 타워,,,"호텔, 쇼핑몰, 사무실 등이 있는 고층 타워로 360도 전망대가 있습니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EB%9E%9C%EB%93%9C%EB%A7%88%ED%81%AC+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x60185c5d7366a111:0x3661ef0a3534c8c7!8m2!3d35.454954!4d139.6313859!16zL20vMDR6eGRr!19sChIJEaFmc11cGGARx8g0NQrvYTY?authuser=0&hl=ko&rclk=1,27790,4.2
7,Japan,Yokohama,야마시타 공원(Yamashita Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 45-671-3648 홈페이지: https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/midori-koen/koen/koen/daihyoteki/kouen008.html,https://www.google.com/maps/place/?q=place_id:ChIJt1e7seJcGGARbDdyYvFJuuM,22375,4.3
8,Japan,Yokohama,야마시타 공원,,,"1930년에 문을 연 유명한 해안 공원으로, 화원, 기념비, 분수를 볼 수 있습니다.",,,https://www.google.com/maps/place/%EC%95%BC%EB%A7%88%EC%8B%9C%ED%83%80+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60185ce2b1bb57b7:0xe3ba49f16272376c!8m2!3d35.4457655!4d139.6497793!16s%2Fm%2F010x5h8g!19sChIJt1e7seJcGGARbDdyYvFJuuM?authuser=0&hl=ko&rclk=1,22369,4.3
9,Japan,Yokohama,오다와라성,,,다양한 전시품과 유물을 만나볼 수 있는 작고 견고한 성으로 탑에서 멋진 풍경을 감상할 수도 있습니다.,,,https://www.google.com/maps/place/%EC%98%A4%EB%8B%A4%EC%99%80%EB%9D%BC%EC%84%B1/data=!4m7!3m6!1s0x6019a4f9eeaa0651:0x7abfbd1ba781f8c2!8m2!3d35.2509493!4d139.1535136!16zL20vMDNmeThw!19sChIJUQaq7vmkGWARwviBpxu9v3o?authuser=0&hl=ko&rclk=1,19235,4.1
10,Japan,Yokohama,요코하마 핫케이지마 시 파라다이스(Yokohama Hakkeijima Sea Paradise),"월, 화, 수, 목, 금, 토, 일: 10:00~20:00",,,,국제전화번호: +81 45-788-8888 홈페이지: https://www.seaparadise.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJTRC2enlBGGARR82PUNymZUE,16899,4.2
11,Japan,Yokohama,요코하마 핫케이지마 시 파라다이스,,,"1993년에 개장한 이 놀이공원에는 해양 생물 쇼를 볼 수 있는 수족관, 놀이기구, 선착장 등이 있습니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%ED%95%AB%EC%BC%80%EC%9D%B4%EC%A7%80%EB%A7%88+%EC%8B%9C+%ED%8C%8C%EB%9D%BC%EB%8B%A4%EC%9D%B4%EC%8A%A4/data=!4m7!3m6!1s0x601841797ab6104d:0x4165a6dc508fcd47!8m2!3d35.336458!4d139.6452299!16s%2Fm%2F06zsg52!19sChIJTRC2enlBGGARR82PUNymZUE?authuser=0&hl=ko&rclk=1,16884,4.2
12,Japan,Yokohama,컵 누들 박물관 요코하마(Cup Noodles Museum Yokohama),"월, 수, 목, 금, 토, 일: 10:00~18:00; 화: 휴무",,,,국제전화번호: +81 45-345-0918 홈페이지: https://www.cupnoodles-museum.jp/ja/yokohama/,https://www.google.com/maps/place/?q=place_id:ChIJ3ZNhe1dcGGARvjq5QHdmaHM,16601,4.2
13,Japan,Yokohama,컵 누들 박물관 요코하마,,,"아이들이 즐기기 좋은 전시회로 창의적 사고, 컵라면, 컵라면 발명가 안도 모모후쿠에 대해 배울 수 있습니다.",,,https://www.google.com/maps/place/%EC%BB%B5+%EB%88%84%EB%93%A4+%EB%B0%95%EB%AC%BC%EA%B4%80+%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88/data=!4m7!3m6!1s0x60185c577b6193dd:0x7368667740b93abe!8m2!3d35.4554755!4d139.6388669!16s%2Fg%2F1211cdfm!19sChIJ3ZNhe1dcGGARvjq5QHdmaHM?authuser=0&hl=ko&rclk=1,16590,4.2
14,Japan,Yokohama,신요코하마 라멘 박물관(Shin-Yokohama Ramen Museum),"월, 화, 수, 목, 금: 11:00~21:00; 토, 일: 10:30~21:00",,,,국제전화번호: +81 45-471-0503 홈페이지: http://www.raumen.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJNSoA_dNeGGARjAJl8smPb4w,13742,4.0
15,Japan,Yokohama,신요코하마 라멘 박물관,,,다양한 지역의 라면 시식을 제공하는 가게가 있으며 전통적인 일본의 음식 거리를 재현한 박물관입니다.,,,https://www.google.com/maps/place/%EC%8B%A0%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EB%9D%BC%EB%A9%98+%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x60185ed3fd002a35:0x8c6f8fc9f265028c!8m2!3d35.5099291!4d139.6146256!16zL20vMDEzMnlq!19sChIJNSoA_dNeGGARjAJl8smPb4w?authuser=0&hl=ko&rclk=1,13729,4.0
16,Japan,Yokohama,요코하마 아레나,,,,,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EC%95%84%EB%A0%88%EB%82%98/data=!4m7!3m6!1s0x60185eda022dd1bd:0x2ed62e22af68ca17!8m2!3d35.5122721!4d139.6201797!16zL20vMGJzMWdw!19sChIJvdEtAtpeGGARF8poryIu1i4?authuser=0&hl=ko&rclk=1,11169,4.2
17,Japan,Yokohama,퍼시피코 요코하마 국립 대 홀,,,,,,https://www.google.com/maps/place/%ED%8D%BC%EC%8B%9C%ED%94%BC%EC%BD%94+%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EA%B5%AD%EB%A6%BD+%EB%8C%80+%ED%99%80/data=!4m7!3m6!1s0x60185c44b19d6655:0xd51374e613662064!8m2!3d35.458624!4d139.637012!16zL20vMGZ4bm0z!19sChIJVWadsURcGGARZCBmE-Z0E9U?authuser=0&hl=ko&rclk=1,10951,4.0
18,Japan,Yokohama,요코하마 공원(Yokohama Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 45-671-3648 홈페이지: https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/midori-koen/koen/koen/daihyoteki/kouen012.html,https://www.google.com/maps/place/?q=place_id:ChIJz3n4CfBcGGARKfOmAYs3ILY,10495,4.2
19,Japan,Yokohama,요코하마 공원,,,"해마다 70,000종의 튤립을 심는 대형 도심 공원입니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x60185cf009f879cf:0xb620378b01a6f329!8m2!3d35.4442082!4d139.6406544!16s%2Fg%2F121873qt!19sChIJz3n4CfBcGGARKfOmAYs3ILY?authuser=0&hl=ko&rclk=1,10484,4.2
20,Japan,Yokohama,요코하마 코스모월드,,,"거대한 관람차, 고속 롤러코스터 등 다양한 놀이기구가 있는 가족을 위한 놀이공원입니다.",,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EC%BD%94%EC%8A%A4%EB%AA%A8%EC%9B%94%EB%93%9C/data=!4m7!3m6!1s0x60185c59a3cc539b:0x5496ce3fcda96c0b!8m2!3d35.4551474!4d139.6369763!16s%2Fm%2F0nbd2z_!19sChIJm1PMo1lcGGARC2ypzT_OllQ?authuser=0&hl=ko&rclk=1,9401,4.2
21,Japan,Yokohama,요코하마 코스모월드(Yokohama Cosmo World),"월, 화, 수, 목, 금: 11:00~21:00; 토, 일: 11:00~22:00",,,,국제전화번호: +81 45-641-6591 홈페이지: http://cosmoworld.jp/,https://www.google.com/maps/place/?q=place_id:ChIJm1PMo1lcGGARC2ypzT_OllQ,9401,4.2
22,Japan,Yokohama,요코하마 동물원 주라시아(Yokohama Zoological Gardens “Zoorasia”),"월, 수, 목, 금, 토, 일: 09:30~16:30; 화: 휴무",,,,국제전화번호: +81 45-959-1000 홈페이지: http://www.hama-midorinokyokai.or.jp/zoo/zoorasia/,https://www.google.com/maps/place/?q=place_id:ChIJIaAjG4pXGGARDxUR1zO6CtE,8515,4.3
23,Japan,Yokohama,요코하마 동물원 주라시아,,,야외 서식지 구역에 다양한 동물들이 사는 방대한 동물원으로 놀이 및 식사 공간도 있습니다.,,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EB%8F%99%EB%AC%BC%EC%9B%90+%EC%A3%BC%EB%9D%BC%EC%8B%9C%EC%95%84/data=!4m7!3m6!1s0x6018578a1b23a021:0xd10aba33d711150f!8m2!3d35.4943431!4d139.5267465!16s%2Fg%2F120x75fw!19sChIJIaAjG4pXGGARDxUR1zO6CtE?authuser=0&hl=ko&rclk=1,8513,4.3
24,Japan,Yokohama,요코하마 베이쿼터,,,,,,https://www.google.com/maps/place/%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EB%B2%A0%EC%9D%B4%EC%BF%BC%ED%84%B0/data=!4m7!3m6!1s0x60185c3f1bdc3ccb:0x642a785d6ce6a9ed!8m2!3d35.4666247!4d139.6266006!16s%2Fg%2F1238mcn3!19sChIJyzzcGz9cGGAR7anmbF14KmQ?authuser=0&hl=ko&rclk=1,8481,3.9
25,Japan,Yokohama,요코하마 앙팡맨 어린이 박물관(호빵맨 박물관)(Yokohama Anpanman Children's Museum),"월, 화, 수, 목, 금: 10:00~18:00; 토, 일: 09:30~18:00",,,,국제전화번호: +81 45-227-8855 홈페이지: https://www.yokohama-anpanman.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ_WgpQcRdGGARdbUYbJAEVNE,8231,4.0
26,Japan,Yokohama,산케이엔(Sankeien Garden),"월, 화, 수, 목, 금, 토, 일: 09:00~17:00",,,,국제전화번호: +81 45-621-0634 홈페이지: http://www.sankeien.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJo1uokdFCGGARYvl6Z6AcVTU,6790,4.3
27,Japan,Yokohama,산케이엔,,,1906년에 문을 연 일본식 전통 정원에서 전국의 역사적인 건물을 볼 수 있습니다.,,,https://www.google.com/maps/place/%EC%82%B0%EC%BC%80%EC%9D%B4%EC%97%94/data=!4m7!3m6!1s0x601842d191a85ba3:0x35551ca0677af962!8m2!3d35.4170511!4d139.6588267!16zL20vMDV6OTlx!19sChIJo1uokdFCGGARYvl6Z6AcVTU?authuser=0&hl=ko&rclk=1,6789,4.3
28,Japan,Yokohama,노게야마 동물원,,,대규모 공원에 위치한 친근한 분위기의 동물원으로 호랑이를 포함한 90종의 동물과 어린이용 동물 체험장이 있습니다.,,,https://www.google.com/maps/place/%EB%85%B8%EA%B2%8C%EC%95%BC%EB%A7%88+%EB%8F%99%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x60185c63aaf29fff:0xd060b63e0af12fa3!8m2!3d35.4473882!4d139.6225463!16s%2Fm%2F03wdk1v!19sChIJ_5_yqmNcGGARoy_xCj62YNA?authuser=0&hl=ko&rclk=1,6496,4.3
29,Japan,Yokohama,Kodomonokuni,"월, 화, 목, 금, 토, 일: 09:30~17:00; 수: 휴무",,,,국제전화번호: +81 45-961-2111 홈페이지: https://kodomonokuni.org/,https://www.google.com/maps/place/?q=place_id:ChIJw0x8Kpn5GGARJ4wvEUd0Dj4,5345,4.3
30,Japan,Yokohama,우미노공원,,,"해변 공원과 인공 해변으로 배구, 윈드서핑, 바비큐, 계절 한정 조개잡이를 즐길 수 있습니다.",,,https://www.google.com/maps/place/%EC%9A%B0%EB%AF%B8%EB%85%B8%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x601843d8ab7cf81b:0xa489ec4fab8d8d!8m2!3d35.3385836!4d139.63468!16s%2Fg%2F12353pcp!19sChIJG_h8q9hDGGARjY2rT-yJpAA?authuser=0&hl=ko&rclk=1,4300,4.1
31,Japan,Yokohama,신요코하마 공원(Shin-Yokohama Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 45-477-5000 홈페이지: http://www.nissan-stadium.jp/shinyoko-park/,https://www.google.com/maps/place/?q=place_id:ChIJ1QJPuCpZGGAR_4YQ6K-M-Q4,3974,4.1
32,Japan,Yokohama,신요코하마 공원,,,,,,https://www.google.com/maps/place/%EC%8B%A0%EC%9A%94%EC%BD%94%ED%95%98%EB%A7%88+%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x6018592ab84f02d5:0xef98cafe81086ff!8m2!3d35.5116041!4d139.6045252!16s%2Fm%2F0nbcnm4!19sChIJ1QJPuCpZGGAR_4YQ6K-M-Q4?authuser=0&hl=ko&rclk=1,3970,4.1
