data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating,popularity
1,Japan,Yufu,킨린호수,,,아침 안개로 유명한 이 그림 같은 호수의 남쪽 끝에는 작은 신사가 있습니다.,,,https://www.google.com/maps/place/%ED%82%A8%EB%A6%B0%ED%98%B8%EC%88%98/data=!4m7!3m6!1s0x3546ae7d9e05b46b:0x8e77ad60f3cd87e6!8m2!3d33.2666644!4d131.3690272!16s%2Fg%2F1239vfsr!19sChIJa7QFnn2uRjUR5ofN82Ctd44?authuser=0&hl=ko&rclk=1,,4.0,18722.0
2,Japan,Yufu,유후인 플로랄빌리지,,,,,,https://www.google.com/maps/place/%EC%9C%A0%ED%9B%84%EC%9D%B8+%ED%94%8C%EB%A1%9C%EB%9E%84%EB%B9%8C%EB%A6%AC%EC%A7%80/data=!4m10!3m9!1s0x3546ae7e6e7eac59:0x256cce7aa8e6b278!5m2!4m1!1i2!8m2!3d33.2674871!4d131.3655357!16s%2Fg%2F11b5vwd4b2!19sChIJWax-bn6uRjUReLLmqHrObCU?authuser=0&hl=ko&rclk=1,,4.0,9613.0
3,Japan,Yufu,아프리칸 사파리,,,차를 타고 이동하며 이국적인 동물들을 볼 수 있는 사파리 스타일 공원으로 식당과 선물 가게가 있습니다.,,,https://www.google.com/maps/place/%EC%95%84%ED%94%84%EB%A6%AC%EC%B9%B8+%EC%82%AC%ED%8C%8C%EB%A6%AC/data=!4m7!3m6!1s0x3546a82560d12c2f:0x6f9e5e00fb890acd!8m2!3d33.3541837!4d131.4117005!16s%2Fg%2F1230_6yq!19sChIJLyzRYCWoRjURzQqJ-wBenm8?authuser=0&hl=ko&rclk=1,,4.4,7081.0
4,Japan,Yufu,Roadside station Yufuin,,,,,,https://www.google.com/maps/place/Roadside+station+Yufuin/data=!4m7!3m6!1s0x3546ad9be63af79d:0xd630550ad19c8004!8m2!3d33.2606361!4d131.3273644!16s%2Fg%2F122rjt5v!19sChIJnfc65putRjURBICc0QpVMNY?authuser=0&hl=ko&rclk=1,,3.5,5359.0
5,Japan,Yufu,하모니랜드,,,,,,https://www.google.com/maps/place/%ED%95%98%EB%AA%A8%EB%8B%88%EB%9E%9C%EB%93%9C/data=!4m7!3m6!1s0x354419160bd9403d:0x15959a47553a547d!8m2!3d33.40016!4d131.5468!16s%2Fg%2F122cc25k!19sChIJPUDZCxYZRDURfVQ6VUealRU?authuser=0&hl=ko&rclk=1,,4.2,4209.0
6,Japan,Yufu,키지마 고원 파크,,,국내 최초의 목조 롤러코스터가 있는 놀이공원으로 계절에 따라 야외 스케이트장을 운영합니다.,,,https://www.google.com/maps/place/%ED%82%A4%EC%A7%80%EB%A7%88+%EA%B3%A0%EC%9B%90+%ED%8C%8C%ED%81%AC/data=!4m7!3m6!1s0x3546af43c36cc631:0x3147c770076bcaf!8m2!3d33.2642753!4d131.4268067!16s%2Fg%2F12lnj06rz!19sChIJMcZsw0OvRjURr7x2AHd8FAM?authuser=0&hl=ko&rclk=1,,4.2,3607.0
7,Japan,Yufu,다카사키야마 자연동물원,,,,,,https://www.google.com/maps/place/%EB%8B%A4%EC%B9%B4%EC%82%AC%ED%82%A4%EC%95%BC%EB%A7%88+%EC%9E%90%EC%97%B0%EB%8F%99%EB%AC%BC%EC%9B%90/data=!4m7!3m6!1s0x3546a1386bb372c3:0xfa8325f5ccb225ff!8m2!3d33.2582855!4d131.5328036!16s%2Fg%2F121xczqx!19sChIJw3KzazihRjUR_yWyzPUlg_o?authuser=0&hl=ko&rclk=1,,4.3,3240.0
8,Japan,Yufu,지온노타키,,,,,,https://www.google.com/maps/place/%EC%A7%80%EC%98%A8%EB%85%B8%ED%83%80%ED%82%A4/data=!4m7!3m6!1s0x354146910e1913c1:0xc45f43efa85056bd!8m2!3d33.2648751!4d131.0683942!16s%2Fg%2F123976c0!19sChIJwRMZDpFGQTURvVZQqO9DX8Q?authuser=0&hl=ko&rclk=1,,4.2,2651.0
9,Japan,Yufu,오이타 현립 미술관 OPAM,,,밝고 현대적인 미술관이자 커뮤니티 전시관으로 어린이 프로그램을 운영하며 카페와 기념품 가게가 있습니다.,,,https://www.google.com/maps/place/%EC%98%A4%EC%9D%B4%ED%83%80+%ED%98%84%EB%A6%BD+%EB%AF%B8%EC%88%A0%EA%B4%80+OPAM/data=!4m7!3m6!1s0x35469f7d592cb779:0xf31c1bb589a8661a!8m2!3d33.239323!4d131.601361!16s%2Fg%2F1222zjn5!19sChIJebcsWX2fRjURGmaoibUbHPM?authuser=0&hl=ko&rclk=1,,4.1,2341.0
10,Japan,Yufu,사기리다이 전망대,,,,,,https://www.google.com/maps/place/%EC%82%AC%EA%B8%B0%EB%A6%AC%EB%8B%A4%EC%9D%B4+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x3546add759c62375:0x11f80eccbcdcbb6!8m2!3d33.2600229!4d131.3825262!16s%2Fg%2F12105kq4!19sChIJdSPGWdetRjURtsvNy-yAHwE?authuser=0&hl=ko&rclk=1,,4.3,2161.0
