data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Kanchanaburi,에라완국립공원,,,계단식 폭포와 아름다운 산책 코스로 유명한 국립공원이며 자연을 관찰하고 수영을 할 수 있습니다.,,,https://www.google.com/maps/place/%EC%97%90%EB%9D%BC%EC%99%84%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x30e476a41fbc7b15:0x54ee9cba8062c97a!8m2!3d14.3754962!4d99.1439623!16s%2Fm%2F026pw71!19sChIJFXu8H6R25DAResligLqc7lQ?authuser=0&hl=ko&rclk=1,13126,4.6
2,Thailand,Kanchanaburi,Giant Raintree (Monkey Pod Tree),,,,,,https://www.google.com/maps/place/Giant+Raintree+%28Monkey+Pod+Tree%29/data=!4m7!3m6!1s0x30e372deeae8add3:0xec8cbd299d42eb52!8m2!3d13.9552362!4d99.5270323!16s%2Fg%2F11rd1ndc5!19sChIJ063o6t5y4zARUutCnSm9jOw?authuser=0&hl=ko&rclk=1,10896,4.5
3,Thailand,Kanchanaburi,사이욕 노이 폭포,,,,,,https://www.google.com/maps/place/%EC%82%AC%EC%9D%B4%EC%9A%95+%EB%85%B8%EC%9D%B4+%ED%8F%AD%ED%8F%AC/data=!4m7!3m6!1s0x30e47b987b4dae5f:0x7f4c15f76652ed61!8m2!3d14.2387186!4d99.058304!16zL20vMGZqdnZu!19sChIJX65Ne5h75DARYe1SZvcVTH8?authuser=0&hl=ko&rclk=1,9638,4.3
4,Thailand,Kanchanaburi,콰이강의 다리,,,제2차 세계대전 당시 일본군 포로들이 건설한 유서 깊은 다리와 철로입니다.,,,https://www.google.com/maps/place/%EC%BD%B0%EC%9D%B4%EA%B0%95%EC%9D%98+%EB%8B%A4%EB%A6%AC/data=!4m7!3m6!1s0x30e374f9d565933b:0x2a2a75fa9ffc789d!8m2!3d14.0417371!4d99.5041592!16s%2Fg%2F1215pr4t!19sChIJO5Nl1fl04zARnXj8n_p1Kio?authuser=0&hl=ko&rclk=1,8198,4.6
5,Thailand,Kanchanaburi,Mallika R.E 124,,,,,,https://www.google.com/maps/place/Mallika+R.E+124/data=!4m7!3m6!1s0x30e378b367384301:0x1dc4031a58abff5d!8m2!3d14.0896017!4d99.2802164!16s%2Fg%2F11c1vmrdh0!19sChIJAUM4Z7N44zARXf-rWBoDxB0?authuser=0&hl=ko&rclk=1,5505,4.2
6,Thailand,Kanchanaburi,현대 미술관(모카 방콕),,,현대적인 공간에 현대 태국 미술 작품을 선보이는 개인 미술관으로 카페도 있습니다.,,,https://www.google.com/maps/place/%ED%98%84%EB%8C%80+%EB%AF%B8%EC%88%A0%EA%B4%80%28%EB%AA%A8%EC%B9%B4+%EB%B0%A9%EC%BD%95%29/data=!4m7!3m6!1s0x30e29cc338739347:0xce87f7228d1737fb!8m2!3d13.8523198!4d100.5630092!16s%2Fg%2F11fjz2cjsv!19sChIJR5NzOMOc4jAR-zcXjSL3h84?authuser=0&hl=ko&rclk=1,4666,4.7
7,Thailand,Kanchanaburi,Safari Park Kanchanaburi,,,,,,https://www.google.com/maps/place/Safari+Park+Kanchanaburi/data=!4m7!3m6!1s0x30e399b34aeceadb:0xacf8a88b0bfd97a3!8m2!3d14.2522092!4d99.5002495!16s%2Fg%2F1212mgq0!19sChIJ2-rsSrOZ4zARo5f9C4uo-Kw?authuser=0&hl=ko&rclk=1,4596,4.3
8,Thailand,Kanchanaburi,Hellfire Pass Interpretive Centre,,,,,,https://www.google.com/maps/place/Hellfire+Pass+Interpretive+Centre/data=!4m7!3m6!1s0x30e46f245863b29f:0xe54ac4a80f321ce3!8m2!3d14.3527213!4d98.9547228!16s%2Fg%2F1hc3v3b6g!19sChIJn7JjWCRv5DAR4xwyD6jESuU?authuser=0&hl=ko&rclk=1,3989,4.7
9,Thailand,Kanchanaburi,Huai Mae Khamin Waterfall,,,,,,https://www.google.com/maps/place/Huai+Mae+Khamin+Waterfall/data=!4m7!3m6!1s0x30e410466a850601:0x6644f43f931e0534!8m2!3d14.6380825!4d98.9866159!16s%2Fg%2F11b6dvq69f!19sChIJAQaFakYQ5DARNAUekz_0RGY?authuser=0&hl=ko&rclk=1,3288,4.6
10,Thailand,Kanchanaburi,JJ Night Market Kanchanaburi,,,,,,https://www.google.com/maps/place/JJ+Night+Market+Kanchanaburi/data=!4m7!3m6!1s0x30e374c18bc364e9:0xdd2b9728e99dfc5e!8m2!3d14.0336491!4d99.5245393!16s%2Fg%2F11bx0f1mqj!19sChIJ6WTDi8F04zARXvyd6SiXK90?authuser=0&hl=ko&rclk=1,3058,4.3
11,Thailand,Kanchanaburi,Kroeng Krawia Waterfall,,,,,,https://www.google.com/maps/place/Kroeng+Krawia+Waterfall/data=!4m7!3m6!1s0x30e6849476de6063:0x45b4875e29fc834f!8m2!3d14.981598!4d98.632829!16s%2Fg%2F11b67hd21y!19sChIJY2DedpSE5jART4P8KV6HtEU?authuser=0&hl=ko&rclk=1,2650,4.4
12,Thailand,Kanchanaburi,Mueang Sing Historical Park,,,,,,https://www.google.com/maps/place/Mueang+Sing+Historical+Park/data=!4m7!3m6!1s0x30e37ef2b5ec38e9:0x4d9940c6bd2199f0!8m2!3d14.0388411!4d99.2435012!16zL20vMDU5N19o!19sChIJ6TjstfJ-4zAR8JkhvcZAmU0?authuser=0&hl=ko&rclk=1,2486,4.4
13,Thailand,Kanchanaburi,Khao Yai Art Museum,,,,,,https://www.google.com/maps/place/Khao+Yai+Art+Museum/data=!4m7!3m6!1s0x311c321d533d6e5b:0xffa4217c0d50d043!8m2!3d14.5531545!4d101.433381!16s%2Fg%2F12q4v3875!19sChIJW249Ux0yHDERQ9BQDXwhpP8?authuser=0&hl=ko&rclk=1,2468,4.5
14,Thailand,Kanchanaburi,Sai Yok National Park,,,,,,https://www.google.com/maps/place/Sai+Yok+National+Park/data=!4m7!3m6!1s0x30e47ba2d59f5ab9:0x206d996997fa104c!8m2!3d14.4376053!4d98.8505884!16s%2Fm%2F0vpmvbz!19sChIJuVqf1aJ75DARTBD6l2mZbSA?authuser=0&hl=ko&rclk=1,2165,4.4
15,Thailand,Kanchanaburi,Skywalk Kanchanaburi City,,,,,,https://www.google.com/maps/place/Skywalk+Kanchanaburi+City/data=!4m7!3m6!1s0x30e3758fd9eab719:0xa744c91d9641febb!8m2!3d14.0210716!4d99.5271551!16s%2Fg%2F11txzrs8df!19sChIJGbfq2Y914zARu_5Blh3JRKc?authuser=0&hl=ko&rclk=1,1970,4.5
16,Thailand,Kanchanaburi,Erawan Falls,,,"에라완 국립공원에 있는 7층 폭포로, 등산로와 인도교를 따라 갈 수 있습니다.",,,https://www.google.com/maps/place/Erawan+Falls/data=!4m7!3m6!1s0x30e4768a5cc09bc3:0xa5d0744be6f2b8a1!8m2!3d14.3686412!4d99.1439739!16s%2Fg%2F11b60t_nlm!19sChIJw5vAXIp25DARobjy5kt00KU?authuser=0&hl=ko&rclk=1,1810,4.5
17,Thailand,Kanchanaburi,카오램 국립공원,,,드넓은 저수지 너머에 자리한 녹음 짙은 국립공원으로 경치가 좋은 등산로와 캠핑장이 있습니다.,,,https://www.google.com/maps/place/%EC%B9%B4%EC%98%A4%EB%9E%A8+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x30e432050e808a3f:0x2cabeb6d493bc274!8m2!3d15.0243568!4d98.5977751!16s%2Fm%2F0gg9tlv!19sChIJP4qADgUy5DARdMI7SW3rqyw?authuser=0&hl=ko&rclk=1,1800,4.4
18,Thailand,Kanchanaburi,Wat Khanon Nang Yai Museum,,,,,,https://www.google.com/maps/place/Wat+Khanon+Nang+Yai+Museum/data=!4m7!3m6!1s0x30e31f65484662f5:0x77bda674b29b5d5c!8m2!3d13.726442!4d99.8448402!16s%2Fg%2F11b6gf7zhm!19sChIJ9WJGSGUf4zARXF2bsnSmvXc?authuser=0&hl=ko&rclk=1,1490,4.6
19,Thailand,Kanchanaburi,Krasae Cave,,,,,,https://www.google.com/maps/place/Krasae+Cave/data=!4m7!3m6!1s0x30e480748bdda825:0x6831d9304ce11fe4!8m2!3d14.1049728!4d99.1666069!16s%2Fg%2F1hd_s85nj!19sChIJJajdi3SA5DAR5B_hTDDZMWg?authuser=0&hl=ko&rclk=1,1481,4.4
20,Thailand,Kanchanaburi,Thailand-Burma Railway Centre,,,,,,https://www.google.com/maps/place/Thailand-Burma+Railway+Centre/data=!4m7!3m6!1s0x30e374c1bdbd31db:0x9bb0692ed58cef5!8m2!3d14.0322446!4d99.5248622!16s%2Fm%2F05q8f7c!19sChIJ2zG9vcF04zAR9c5Y7ZIGuwk?authuser=0&hl=ko&rclk=1,1318,4.5
21,Thailand,Kanchanaburi,Maha Wang Elephant Camp,,,,,,https://www.google.com/maps/place/Maha+Wang+Elephant+Camp/data=!4m7!3m6!1s0x30e47b37182d573b:0xa6c2f32d36df02e3!8m2!3d14.2399606!4d99.0174523!16s%2Fg%2F1hd_dbql9!19sChIJO1ctGDd75DAR4wLfNi3zwqY?authuser=0&hl=ko&rclk=1,1247,4.4
