data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Khao Lak,팡아 만 해양 국립공원,,,맹그로브 숲과 연안으로 이루어진 이 대규모 지역에는 카약 투어로 유명한 여러 개의 작은 섬이 있습니다.,,,https://www.google.com/maps/place/%ED%8C%A1%EC%95%84+%EB%A7%8C+%ED%95%B4%EC%96%91+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3051006d0d09a975:0x84fa3a0f2d18c4bd!8m2!3d8.4046663!4d98.5081793!16s%2Fm%2F03h0wrj!19sChIJdakJDW0AUTARvcQYLQ86-oQ?authuser=0&hl=ko&rclk=1,8480,4.6
2,Thailand,Khao Lak,카오속 국립공원,,,"대규모 국립공원에 고대 열대 우림, 석회암 절벽, 폭포, 희귀 동식물군이 있습니다.",,,https://www.google.com/maps/place/%EC%B9%B4%EC%98%A4%EC%86%8D+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3051287e3275975f:0x8e7f172ecc1fad30!8m2!3d8.9777134!4d98.6381879!16zL20vMDNnOGw3!19sChIJX5d1Mn4oUTARMK0fzC4Xf44?authuser=0&hl=ko&rclk=1,6697,4.7
3,Thailand,Khao Lak,Bang Niang Market,,,"일 년 내내 계속되는 여행자를 위한 노천 시장으로, 현지 공예품과 길거리 음식을 판매하고 있습니다.",,,https://www.google.com/maps/place/Bang+Niang+Market/data=!4m7!3m6!1s0x3050e931b491d32b:0xc80005efb2269fff!8m2!3d8.6668391!4d98.2521034!16s%2Fg%2F11b8232cn2!19sChIJK9ORtDHpUDAR_58msu8FAMg?authuser=0&hl=ko&rclk=1,6208,4.1
4,Thailand,Khao Lak,라벨라 카오락,,,,,,https://www.google.com/maps/place/%EB%9D%BC%EB%B2%A8%EB%9D%BC+%EC%B9%B4%EC%98%A4%EB%9D%BD/data=!4m10!3m9!1s0x3050e934f6654207:0xb8a2504c83070bee!5m2!4m1!1i2!8m2!3d8.6608864!4d98.2468576!16s%2Fg%2F11dzdft57k!19sChIJB0Jl9jTpUDAR7gsHg0xQorg?authuser=0&hl=ko&rclk=1,2092,4.6
5,Thailand,Khao Lak,International Tsunami Museum,,,,,,https://www.google.com/maps/place/International+Tsunami+Museum/data=!4m7!3m6!1s0x3050eeea5870d6e5:0xc6b3cc7a92557672!8m2!3d8.6663229!4d98.254261!16s%2Fg%2F1tgn714b!19sChIJ5dZwWOruUDARcnZVknrMs8Y?authuser=0&hl=ko&rclk=1,1898,3.8
6,Thailand,Khao Lak,카오락-람루 국립공원,,,,,,https://www.google.com/maps/place/%EC%B9%B4%EC%98%A4%EB%9D%BD-%EB%9E%8C%EB%A3%A8+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x3050ee8d8f3286d9:0x1d0100b2df7698d0!8m2!3d8.6263577!4d98.2398136!16s%2Fm%2F0sghql0!19sChIJ2YYyj43uUDAR0Jh237IAAR0?authuser=0&hl=ko&rclk=1,1827,4.5
7,Thailand,Khao Lak,LA FLORA KHAO LAK,,,,,,https://www.google.com/maps/place/LA+FLORA+KHAO+LAK/data=!4m10!3m9!1s0x3050eecf2cae4049:0x969bc9a4b0a46797!5m2!4m1!1i2!8m2!3d8.662911!4d98.2452389!16s%2Fg%2F1tk04vx4!19sChIJSUCuLM_uUDARl2eksKTJm5Y?authuser=0&hl=ko&rclk=1,1644,4.6
8,Thailand,Khao Lak,The Sands Khao Lak by Katathani,,,,,,https://www.google.com/maps/place/The+Sands+Khao+Lak+by+Katathani/data=!4m10!3m9!1s0x3050ef61048b871b:0xcb6bddea933f2daa!5m2!4m1!1i2!8m2!3d8.6493761!4d98.2494343!16s%2Fg%2F11btlwpp6_!19sChIJG4eLBGHvUDARqi0_k-rda8s?authuser=0&hl=ko&rclk=1,1498,4.6
9,Thailand,Khao Lak,더 헤이븐 카오락,,,,,,https://www.google.com/maps/place/%EB%8D%94+%ED%97%A4%EC%9D%B4%EB%B8%90+%EC%B9%B4%EC%98%A4%EB%9D%BD/data=!4m10!3m9!1s0x3050e96ae245a6a3:0x54d4b5f573166395!5m2!4m1!1i2!8m2!3d8.6808443!4d98.2418441!16s%2Fg%2F1q5d5_187!19sChIJo6ZF4mrpUDARlWMWc_W11FQ?authuser=0&hl=ko&rclk=1,1383,4.6
10,Thailand,Khao Lak,마나타이 카오 락,,,,,,https://www.google.com/maps/place/%EB%A7%88%EB%82%98%ED%83%80%EC%9D%B4+%EC%B9%B4%EC%98%A4+%EB%9D%BD/data=!4m10!3m9!1s0x3050eec463aa24fd:0xcb6d4b61b22f7006!5m2!4m1!1i2!8m2!3d8.7651729!4d98.265188!16s%2Fg%2F11b63vlly_!19sChIJ_SSqY8TuUDARBnAvsmFLbcs?authuser=0&hl=ko&rclk=1,1172,4.6
