data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Khao Sok,Bang Niang Market,,,"일 년 내내 계속되는 여행자를 위한 노천 시장으로, 현지 공예품과 길거리 음식을 판매하고 있습니다.",,,https://www.google.com/maps/place/Bang+Niang+Market/data=!4m7!3m6!1s0x3050e931b491d32b:0xc80005efb2269fff!8m2!3d8.6668391!4d98.2521034!16s%2Fg%2F11b8232cn2!19sChIJK9ORtDHpUDAR_58msu8FAMg?authuser=0&hl=ko&rclk=1,6223,4.1
2,Thailand,Khao Sok,랏차프라파 댐,,,,,,https://www.google.com/maps/place/%EB%9E%8F%EC%B0%A8%ED%94%84%EB%9D%BC%ED%8C%8C+%EB%8C%90/data=!4m7!3m6!1s0x3051366cd58a90c5:0xd51b601ba964365a!8m2!3d8.9724778!4d98.8057047!16s%2Fg%2F1z0spjyrv!19sChIJxZCK1Ww2UTARWjZkqRtgG9U?authuser=0&hl=ko&rclk=1,1686,4.6
3,Thailand,Khao Sok,Sai Rung Waterfall,,,,,,https://www.google.com/maps/place/Sai+Rung+Waterfall/data=!4m7!3m6!1s0x3050e826893cd361:0x67d512f0a795e4cd!8m2!3d8.741433!4d98.279881!16s%2Fg%2F1tds9017!19sChIJYdM8iSboUDARzeSVp_AS1Wc?authuser=0&hl=ko&rclk=1,918,4.3
4,Thailand,Khao Sok,Our Jungle Camp - Eco Resort,,,,,,https://www.google.com/maps/place/Our+Jungle+Camp+-+Eco+Resort/data=!4m10!3m9!1s0x3051262c8d2728d3:0xf4f3bcedd4b6936!5m2!4m1!1i2!8m2!3d8.9080244!4d98.5303826!16s%2Fg%2F11f3745z1t!19sChIJ0ygnjSwmUTARNmlL3c47Tw8?authuser=0&hl=ko&rclk=1,655,4.5
5,Thailand,Khao Sok,Khao Sam Kloe,,,,,,https://www.google.com/maps/place/Khao+Sam+Kloe/data=!4m7!3m6!1s0x3051317e7352b749:0x544cc82a51bff02b!8m2!3d8.9968125!4d98.7091875!16s%2Fg%2F11c0xsjcmm!19sChIJSbdSc34xUTARK_C_USrITFQ?authuser=0&hl=ko&rclk=1,620,4.8
6,Thailand,Khao Sok,"Suspension Bridge, Khao Teppitak",,,,,,"https://www.google.com/maps/place/Suspension+Bridge,+Khao+Teppitak/data=!4m7!3m6!1s0x305137cd02bee6cf:0xaa45c4d255a2af88!8m2!3d8.9489974!4d98.8224575!16s%2Fg%2F11r8c6_ms!19sChIJz-a-As03UTARiK-iVdLERao?authuser=0&hl=ko&rclk=1",618,4.3
7,Thailand,Khao Sok,Khao Sok Jungle Huts Resort,,,,,,https://www.google.com/maps/place/Khao+Sok+Jungle+Huts+Resort/data=!4m10!3m9!1s0x305127d48047c97d:0xd0db1b456c4e072d!5m2!4m1!1i2!8m2!3d8.9095935!4d98.5255992!16s%2Fg%2F1xflmrg_!19sChIJfclHgNQnUTARLQdObEUb29A?authuser=0&hl=ko&rclk=1,561,4.2
8,Thailand,Khao Sok,Khao Sok Riverside Cottages,,,,,,https://www.google.com/maps/place/Khao+Sok+Riverside+Cottages/data=!4m10!3m9!1s0x30514fffffffe7d7:0x26b86a5af4a71630!5m2!4m1!1i2!8m2!3d8.9116277!4d98.5420608!16s%2Fg%2F1vf54z0l!19sChIJ1-f___9PUTARMBan9FpquCY?authuser=0&hl=ko&rclk=1,518,4.5
9,Thailand,Khao Sok,Khao Sok National Park HQ,,,,,,https://www.google.com/maps/place/Khao+Sok+National+Park+HQ/data=!4m7!3m6!1s0x3051295fd54bc76f:0xbd8a3be96294566a!8m2!3d8.9157083!4d98.5279166!16s%2Fg%2F11qprz7zvn!19sChIJb8dL1V8pUTARalaUYuk7ir0?authuser=0&hl=ko&rclk=1,467,4.2
10,Thailand,Khao Sok,Khao Sok Morning Mist Resort,,,,,,https://www.google.com/maps/place/Khao+Sok+Morning+Mist+Resort/data=!4m10!3m9!1s0x305125aaaaaaaaab:0xa48d734f7c122fdd!5m2!4m1!1i2!8m2!3d8.9113882!4d98.5248049!16s%2Fg%2F1hf2hvx4_!19sChIJq6qqqqolUTAR3S8SfE9zjaQ?authuser=0&hl=ko&rclk=1,448,4.3
