data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Ko Chang,Koh Chang Ferry (Aow Thammachat),,,,,,https://www.google.com/maps/place/Koh+Chang+Ferry+%28Aow+Thammachat%29/data=!4m7!3m6!1s0x31046d1edb464a43:0x59f661f6d0806bfe!8m2!3d12.1871634!4d102.3013156!16s%2Fg%2F11c3s9d799!19sChIJQ0pG2x5tBDER_muA0PZh9lk?authuser=0&hl=ko&rclk=1,8489,4.3
2,Thailand,Ko Chang,Bang Bao Pier,,,,,,https://www.google.com/maps/place/Bang+Bao+Pier/data=!4m7!3m6!1s0x31041a7075974f69:0x5c4e3eefec373df9!8m2!3d11.971313!4d102.3122574!16s%2Fg%2F11r8dvxrx!19sChIJaU-XdXAaBDER-T037O8-Tlw?authuser=0&hl=ko&rclk=1,4195,4.2
3,Thailand,Ko Chang,무꺼창 국립공원,,,스노클링 및 정글 하이킹을 즐기고 해변 호텔과 식당을 이용할 수 있는 인기 있는 섬 자연 지역입니다.,,,https://www.google.com/maps/place/%EB%AC%B4%EA%BA%BC%EC%B0%BD+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x310411721a76d77f:0x911d2989437ada2!8m2!3d12.124744!4d102.2692555!16s%2Fm%2F0h7qsfq!19sChIJf9d2GnIRBDERoq03lJjSEQk?authuser=0&hl=ko&rclk=1,4154,4.5
4,Thailand,Ko Chang,Oasis Sea World,,,,,,https://www.google.com/maps/place/Oasis+Sea+World/data=!4m7!3m6!1s0x31038059ac1fcf43:0xef6fedd95fcd7d1f!8m2!3d12.493053!4d102.0701424!16s%2Fg%2F1q5bn5dtz!19sChIJQ88frFmAAzERH33NX9ntb-8?authuser=0&hl=ko&rclk=1,3068,4.2
5,Thailand,Ko Chang,Kai Bae Viewpoint,,,,,,https://www.google.com/maps/place/Kai+Bae+Viewpoint/data=!4m7!3m6!1s0x3104105179b452c7:0x2b4a04572dce185b!8m2!3d12.0205768!4d102.2919516!16s%2Fg%2F11b6tz721w!19sChIJx1K0eVEQBDERWxjOLVcESis?authuser=0&hl=ko&rclk=1,2387,4.6
6,Thailand,Ko Chang,Khlong Phlu Waterfall,,,,,,https://www.google.com/maps/place/Khlong+Phlu+Waterfall/data=!4m7!3m6!1s0x3104117b308335bb:0xee46f06437132287!8m2!3d12.064743!4d102.3127629!16s%2Fg%2F11b67fvgnk!19sChIJuzWDMHsRBDERhyITN2TwRu4?authuser=0&hl=ko&rclk=1,2140,4.4
7,Thailand,Ko Chang,National Park Protection Unit (Khlong Phlu),,,,,,https://www.google.com/maps/place/National+Park+Protection+Unit+%28Khlong+Phlu%29/data=!4m7!3m6!1s0x3104117b08869e71:0x97083ddc66fed0bd!8m2!3d12.0621625!4d102.3092037!16s%2Fg%2F12hnj1m1b!19sChIJcZ6GCHsRBDERvdD-Ztw9CJc?authuser=0&hl=ko&rclk=1,1411,4.5
8,Thailand,Ko Chang,머큐어 코 창 하이드어웨이,,,,,,https://www.google.com/maps/place/%EB%A8%B8%ED%81%90%EC%96%B4+%EC%BD%94+%EC%B0%BD+%ED%95%98%EC%9D%B4%EB%93%9C%EC%96%B4%EC%9B%A8%EC%9D%B4/data=!4m10!3m9!1s0x3104107dd6264567:0x6068becc68b466c!5m2!4m1!1i2!8m2!3d11.9874218!4d102.2987262!16s%2Fg%2F1tdystr2!19sChIJZ0Um1n0QBDERbEaLxuyLBgY?authuser=0&hl=ko&rclk=1,1365,4.1
9,Thailand,Ko Chang,The Dewa Koh Chang,,,,,,https://www.google.com/maps/place/The+Dewa+Koh+Chang/data=!4m10!3m9!1s0x310411a6a2a35831:0x37324cd93fa1cf80!5m2!4m1!1i2!8m2!3d12.0421169!4d102.295338!16s%2Fg%2F1thq7b0h!19sChIJMVijoqYRBDERgM-hP9lMMjc?authuser=0&hl=ko&rclk=1,1255,4.4
10,Thailand,Ko Chang,Sea View Koh Chang,,,,,,https://www.google.com/maps/place/Sea+View+Koh+Chang/data=!4m10!3m9!1s0x3104128ee043aed1:0x6abe61bb5b12c97a!5m2!4m1!1i2!8m2!3d12.0164985!4d102.291643!16s%2Fg%2F1td35pgf!19sChIJ0a5D4I4SBDEReskSW7thvmo?authuser=0&hl=ko&rclk=1,1240,4.5
11,Thailand,Ko Chang,Ka Chang,,,,,,https://www.google.com/maps/place/Ka+Chang/data=!4m7!3m6!1s0x310416b31770cc1f:0xdfd424b9e3ad2a9!8m2!3d12.0479159!4d102.3234816!16s%2Fg%2F11bc5plvgr!19sChIJH8xwF7MWBDERqdI6nktC_Q0?authuser=0&hl=ko&rclk=1,1064,4.5
12,Thailand,Ko Chang,Long Beach,,,,,,https://www.google.com/maps/place/Long+Beach/data=!4m7!3m6!1s0x31041787fb690d19:0x8be4eaaeaea1862b!8m2!3d11.9602219!4d102.4291937!16s%2Fg%2F11c4603xwq!19sChIJGQ1p-4cXBDERK4ahrq7q5Is?authuser=0&hl=ko&rclk=1,915,4.2
13,Thailand,Ko Chang,Ronnie's Organic Coconut Garden,,,,,,https://www.google.com/maps/place/Ronnie%27s+Organic+Coconut+Garden/data=!4m7!3m6!1s0x3104168fcdffd45f:0x67c53b1188cab0da!8m2!3d12.0540773!4d102.3815139!16s%2Fg%2F11hbgqc1tt!19sChIJX9T_zY8WBDER2rDKiBE7xWc?authuser=0&hl=ko&rclk=1,911,4.9
14,Thailand,Ko Chang,Phnum Samkos Wildlife Sanctuary,,,"희귀한 동물인 천산갑, 원숭이, 물새 등의 서식처이며 부족 마을을 투어할 수 있는 산악 지대입니다.",,,https://www.google.com/maps/place/Phnum+Samkos+Wildlife+Sanctuary/data=!4m7!3m6!1s0x3105ba38de18cdc7:0x3229f7be48e2a8e1!8m2!3d12.308331!4d102.9901921!16s%2Fm%2F07s6w15!19sChIJx80Y3ji6BTER4ajiSL73KTI?authuser=0&hl=ko&rclk=1,909,4.2
15,Thailand,Ko Chang,Mordi E Fuggi,,,,,,https://www.google.com/maps/place/Mordi+E+Fuggi/data=!4m7!3m6!1s0x310411ac214423e3:0x9f0fb5f3f15bfeac!8m2!3d12.0321647!4d102.2931272!16s%2Fg%2F11c1q4bbkq!19sChIJ4yNEIawRBDERrP5b8fO1D58?authuser=0&hl=ko&rclk=1,825,4.7
16,Thailand,Ko Chang,Magic Garden,,,,,,https://www.google.com/maps/place/Magic+Garden/data=!4m10!3m9!1s0x310410619af2900b:0x7a9a86dc1a3f9f53!5m2!4m1!1i2!8m2!3d11.9994292!4d102.2981679!16s%2Fg%2F12qh8x0gs!19sChIJC5DymmEQBDERU58_GtyGmno?authuser=0&hl=ko&rclk=1,745,4.6
17,Thailand,Ko Chang,Big C Market Koh Chang,,,,,,https://www.google.com/maps/place/Big+C+Market+Koh+Chang/data=!4m7!3m6!1s0x31041222c4f528e3:0xce6a37da67ba48c7!8m2!3d12.0826844!4d102.2800063!16s%2Fg%2F11bz08xv5b!19sChIJ4yj1xCISBDERx0i6Z9o3as4?authuser=0&hl=ko&rclk=1,689,4.3
18,Thailand,Ko Chang,Yuttanavi Memorial Monument at Ko Chang,,,,,,https://www.google.com/maps/place/Yuttanavi+Memorial+Monument+at+Ko+Chang/data=!4m7!3m6!1s0x31046b203549175b:0x4027ce041881f59b!8m2!3d12.1786903!4d102.3889736!16s%2Fg%2F1hm3wyh8q!19sChIJWxdJNSBrBDERm_WBGATOJ0A?authuser=0&hl=ko&rclk=1,676,4.3
19,Thailand,Ko Chang,Salak Phet Mangrove Forest,,,,,,https://www.google.com/maps/place/Salak+Phet+Mangrove+Forest/data=!4m7!3m6!1s0x3104171309ae1b41:0x3ee3370dfdb0bea0!8m2!3d12.0029112!4d102.3773251!16s%2Fg%2F11c602wl14!19sChIJQRuuCRMXBDERoL6w_Q034z4?authuser=0&hl=ko&rclk=1,667,4.3
20,Thailand,Ko Chang,Kai Bae Beach,,,,,,https://www.google.com/maps/place/Kai+Bae+Beach/data=!4m7!3m6!1s0x31041132c46facc3:0x72f2ed4340061bf6!8m2!3d12.0249578!4d102.2911541!16s%2Fg%2F11rchjnwfq!19sChIJw6xvxDIRBDER9hsGQEPt8nI?authuser=0&hl=ko&rclk=1,640,4.6
21,Thailand,Ko Chang,The Splash Koh Chang,,,,,,https://www.google.com/maps/place/The+Splash+Koh+Chang/data=!4m10!3m9!1s0x3104119e044ceef5:0x2aa232ec2cdc5e5c!5m2!4m1!1i2!8m2!3d12.039329!4d102.2957905!16s%2Fg%2F11frq5kcp5!19sChIJ9e5MBJ4RBDERXF7cLOwyoio?authuser=0&hl=ko&rclk=1,633,4.4
22,Thailand,Ko Chang,Night Food Market,,,,,,https://www.google.com/maps/place/Night+Food+Market/data=!4m7!3m6!1s0x31041268a9b3b0dd:0x77054dcd4b1664b5!8m2!3d12.1061481!4d102.2724819!16s%2Fg%2F11bywwbds3!19sChIJ3bCzqWgSBDERtWQWS81NBXc?authuser=0&hl=ko&rclk=1,632,4.3
23,Thailand,Ko Chang,Dope Dealer Koh Chang,,,,,,https://www.google.com/maps/place/Dope+Dealer+Koh+Chang/data=!4m7!3m6!1s0x3104113bf8a2aa19:0x37244f6939611704!8m2!3d12.0319803!4d102.292945!16s%2Fg%2F11trw23lt6!19sChIJGaqi-DsRBDERBBdhOWlPJDc?authuser=0&hl=ko&rclk=1,599,5.0
24,Thailand,Ko Chang,Lonely Beach,,,,,,https://www.google.com/maps/place/Lonely+Beach/data=!4m7!3m6!1s0x3104105db2b6a94d:0xda8b2b75550f8d0b!8m2!3d12.0078625!4d102.2928992!16s%2Fg%2F12lt1m08p!19sChIJTam2sl0QBDERC40PVXUri9o?authuser=0&hl=ko&rclk=1,592,4.4
25,Thailand,Ko Chang,더 화이트 엘리펀트,,,,,,https://www.google.com/maps/place/%EB%8D%94+%ED%99%94%EC%9D%B4%ED%8A%B8+%EC%97%98%EB%A6%AC%ED%8E%80%ED%8A%B8/data=!4m10!3m9!1s0x3104126a5bb022c7:0x9e4acb2fed87c4e1!5m2!4m1!1i2!8m2!3d12.098186!4d102.2757593!16s%2Fg%2F11clv53pgd!19sChIJxyKwW2oSBDER4cSH7S_LSp4?authuser=0&hl=ko&rclk=1,578,4.1
26,Thailand,Ko Chang,Wat Salak Phet,,,,,,https://www.google.com/maps/place/Wat+Salak+Phet/data=!4m7!3m6!1s0x3104173da8d339c5:0xf501d0dabe3d9d68!8m2!3d12.0047664!4d102.3720612!16s%2Fg%2F1vfn42rn!19sChIJxTnTqD0XBDERaJ09vtrQAfU?authuser=0&hl=ko&rclk=1,558,4.5
27,Thailand,Ko Chang,Khung Kraben Wildlife Sanctuary,,,,,,https://www.google.com/maps/place/Khung+Kraben+Wildlife+Sanctuary/data=!4m7!3m6!1s0x3103826ee0609401:0xdbf5f092aef53e4a!8m2!3d12.5214284!4d101.9492278!16s%2Fg%2F1hm2hcdl0!19sChIJAZRg4G6CAzERSj71rpLw9ds?authuser=0&hl=ko&rclk=1,535,4.4
28,Thailand,Ko Chang,Klong Kloi Beach,,,,,,https://www.google.com/maps/place/Klong+Kloi+Beach/data=!4m10!3m9!1s0x31041a73598bdf2d:0x3011a05d9ad59041!5m2!4m1!1i2!8m2!3d11.9748468!4d102.3226846!16s%2Fg%2F11bzth1g2w!19sChIJLd-LWXMaBDERQZDVml2gETA?authuser=0&hl=ko&rclk=1,497,4.5
29,Thailand,Ko Chang,창 부리 Chang Buri,,,,,,https://www.google.com/maps/place/%EC%B0%BD+%EB%B6%80%EB%A6%AC+Chang+Buri/data=!4m10!3m9!1s0x310412697e790f9d:0x9e060824edcdff1f!5m2!4m1!1i2!8m2!3d12.1006494!4d102.2745407!16s%2Fg%2F1td0cz5z!19sChIJnQ95fmkSBDERH__N7SQIBp4?authuser=0&hl=ko&rclk=1,461,4.1
30,Thailand,Ko Chang,Salak Khok Boat Tour,,,,,,https://www.google.com/maps/place/Salak+Khok+Boat+Tour/data=!4m7!3m6!1s0x310416fff4101795:0x1b417fa0d12efe96!8m2!3d12.0234323!4d102.3921272!16s%2Fg%2F11c6s2pxpy!19sChIJlRcQ9P8WBDERlv4u0aB_QRs?authuser=0&hl=ko&rclk=1,458,4.4
31,Thailand,Ko Chang,파자마 코창,,,,,,https://www.google.com/maps/place/%ED%8C%8C%EC%9E%90%EB%A7%88+%EC%BD%94%EC%B0%BD/data=!4m10!3m9!1s0x3104118f1ce04ff7:0x91eed02867453d7e!5m2!4m1!1i2!8m2!3d12.0645122!4d102.286128!16s%2Fg%2F11btmqfncy!19sChIJ90_gHI8RBDERfj1FZyjQ7pE?authuser=0&hl=ko&rclk=1,457,4.5
32,Thailand,Ko Chang,Ko Chang Memorial,,,,,,https://www.google.com/maps/place/Ko+Chang+Memorial/data=!4m7!3m6!1s0x3104180b4a73b413:0x592090fc7325209a!8m2!3d11.9536081!4d102.4337269!16s%2Fg%2F1hm3tyq7r!19sChIJE7RzSgsYBDERmiAlc_yQIFk?authuser=0&hl=ko&rclk=1,457,4.3
33,Thailand,Ko Chang,SYLVAN Koh Chang,,,,,,https://www.google.com/maps/place/SYLVAN+Koh+Chang/data=!4m10!3m9!1s0x31041051b4d040ef:0x14ce85f58acba470!5m2!4m1!1i2!8m2!3d12.0189551!4d102.2911238!16s%2Fg%2F11fk1bz72s!19sChIJ70DQtFEQBDERcKTLivWFzhQ?authuser=0&hl=ko&rclk=1,423,4.5
34,Thailand,Ko Chang,Salak Kok Seafood,,,,,,https://www.google.com/maps/place/Salak+Kok+Seafood/data=!4m7!3m6!1s0x310416ff8caa20a3:0xb9f71328c4bf8f44!8m2!3d12.0236638!4d102.3918737!16s%2Fg%2F1hm4t6cnl!19sChIJoyCqjP8WBDERRI-_xCgT97k?authuser=0&hl=ko&rclk=1,418,4.2
35,Thailand,Ko Chang,인디 비치 방갈로 & 카페 Indie Beach Bungalows & Café,,,,,,https://www.google.com/maps/place/%EC%9D%B8%EB%94%94+%EB%B9%84%EC%B9%98+%EB%B0%A9%EA%B0%88%EB%A1%9C+%26+%EC%B9%B4%ED%8E%98+Indie+Beach+Bungalows+%26+Caf%C3%A9/data=!4m10!3m9!1s0x31041ba7bdb733a7:0xa5fa5da4373698b1!5m2!4m1!1i2!8m2!3d11.9743741!4d102.32024!16s%2Fg%2F11dzdfdmxd!19sChIJpzO3vacbBDERsZg2N6Rd-qU?authuser=0&hl=ko&rclk=1,415,4.5
