data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Ko Phi Phi Don,필레 만 (필레 라군),,,깨끗한 물로 유명한 아름다운 만으로 수영과 스노클링을 즐길 수 있습니다.,,,https://www.google.com/maps/place/%ED%95%84%EB%A0%88+%EB%A7%8C+%28%ED%95%84%EB%A0%88+%EB%9D%BC%EA%B5%B0%29/data=!4m7!3m6!1s0x304e20bcd85097b1:0x977f02cb33998815!8m2!3d7.6833585!4d98.767508!16s%2Fg%2F11b88t4z50!19sChIJsZdQ2LwgTjARFYiZM8sCf5c?authuser=0&hl=ko&rclk=1,7097,4.8
2,Thailand,Ko Phi Phi Don,피피섬,,,가파른 석회암 절벽이 자리한 그림처럼 완벽한 섬으로 고운 모래 해변과 바닷물이 투명한 작은 만이 있습니다.,,,https://www.google.com/maps/place/%ED%94%BC%ED%94%BC%EC%84%AC/data=!4m7!3m6!1s0x304e20be764e3d0d:0xbf9db8781a549f71!8m2!3d7.740738!4d98.77841!16zL20vMDJidmYz!19sChIJDT1Odr4gTjARcZ9UGni4nb8?authuser=0&hl=ko&rclk=1,5854,4.6
3,Thailand,Ko Phi Phi Don,피피 전망대,,,,,,https://www.google.com/maps/place/%ED%94%BC%ED%94%BC+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x3051dee4541a8ed7:0xb9251dd2b8d3ec17!8m2!3d7.7458643!4d98.7780947!16s%2Fg%2F11f03y7wgv!19sChIJ144aVOTeUTARF-zTuNIdJbk?authuser=0&hl=ko&rclk=1,4863,4.8
4,Thailand,Ko Phi Phi Don,Phi phi Viewpoint 1 ( i love phi phi ),,,,,,https://www.google.com/maps/place/Phi+phi+Viewpoint+1+%28+i+love+phi+phi+%29/data=!4m7!3m6!1s0x3051dee39172eebb:0x119c4f257b1864d4!8m2!3d7.7424967!4d98.7769263!16s%2Fg%2F11g6bf706n!19sChIJu-5ykePeUTAR1GQYeyVPnBE?authuser=0&hl=ko&rclk=1,4117,4.6
5,Thailand,Ko Phi Phi Don,원숭이 해변,,,,,,https://www.google.com/maps/place/%EC%9B%90%EC%88%AD%EC%9D%B4+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x3051ded97c7c24ad:0x3da4082ed3ceb021!8m2!3d7.7432321!4d98.7616051!16s%2Fg%2F11bxf5psp3!19sChIJrSR8fNneUTARIbDO0y4IpD0?authuser=0&hl=ko&rclk=1,3919,4.4
6,Thailand,Ko Phi Phi Don,Phuket Bird Park,,,초목이 우거진 장소에 다채로운 각종 조류를 모아놓은 대형 동물원으로 정기적으로 조류 공연이 펼쳐집니다.,,,https://www.google.com/maps/place/Phuket+Bird+Park/data=!4m7!3m6!1s0x30502fcf020fd25f:0x45a934fe779131d0!8m2!3d7.8621868!4d98.3444205!16s%2Fg%2F11b6sy65_t!19sChIJX9IPAs8vUDAR0DGRd_40qUU?authuser=0&hl=ko&rclk=1,2706,4.0
7,Thailand,Ko Phi Phi Don,Phi Phi Bayview Resort,,,,,,https://www.google.com/maps/place/Phi+Phi+Bayview+Resort/data=!4m10!3m9!1s0x305196ffffffffff:0x8327d221fb78e815!5m2!4m1!1i2!8m2!3d7.7350899!4d98.7797611!16s%2Fg%2F1tf4tqj0!19sChIJ______-WUTARFeh4-yHSJ4M?authuser=0&hl=ko&rclk=1,2636,3.9
8,Thailand,Ko Phi Phi Don,바이킹 동굴,,,벽화가 있는 석회암 동굴로 전통 중국 수프 요리에 쓰이는 새 둥지의 채취 장소입니다.,,,https://www.google.com/maps/place/%EB%B0%94%EC%9D%B4%ED%82%B9+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x304e20a1728986a9:0xceb0fe1c813aa2be!8m2!3d7.6910927!4d98.7667676!16s%2Fg%2F11c3k9qllr!19sChIJqYaJcqEgTjARvqI6gRz-sM4?authuser=0&hl=ko&rclk=1,2411,4.3
9,Thailand,Ko Phi Phi Don,Slinky Bar,,,,,,https://www.google.com/maps/place/Slinky+Bar/data=!4m7!3m6!1s0x3051dee0e36fd80f:0x5bc847ed4f217ed7!8m2!3d7.7417769!4d98.7728289!16s%2Fg%2F11b7tvsnn0!19sChIJD9hv4-DeUTAR134hT-1HyFs?authuser=0&hl=ko&rclk=1,2404,4.4
10,Thailand,Ko Phi Phi Don,피피 빌라 리조트,,,,,,https://www.google.com/maps/place/%ED%94%BC%ED%94%BC+%EB%B9%8C%EB%9D%BC+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m10!3m9!1s0x3051bf92a938c73b:0x8baeb28e7dd355fb!5m2!4m1!1i2!8m2!3d7.7362729!4d98.7778521!16s%2Fg%2F1td8njmr!19sChIJO8c4qZK_UTAR-1XTfY6yros?authuser=0&hl=ko&rclk=1,1830,4.2
