data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Ko Samet,Khao Laem Ya–Mu Ko Samet National Park,,,,,,https://www.google.com/maps/place/Khao+Laem+Ya%E2%80%93Mu+Ko+Samet+National+Park/data=!4m7!3m6!1s0x3103076eb965db43:0x5d651196d8632604!8m2!3d12.5914129!4d101.4182013!16s%2Fm%2F02pxblw!19sChIJQ9tluW4HAzERBCZj2JYRZV0?authuser=0&hl=ko&rclk=1,4050,4.5
2,Thailand,Ko Samet,Mermaid samed travel/เรือเร็ว เกาะเสม็ด,,,,,,https://www.google.com/maps/place/Mermaid+samed+travel%2F%E0%B9%80%E0%B8%A3%E0%B8%B7%E0%B8%AD%E0%B9%80%E0%B8%A3%E0%B9%87%E0%B8%A7+%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%B0%E0%B9%80%E0%B8%AA%E0%B8%A1%E0%B9%87%E0%B8%94/data=!4m7!3m6!1s0x310306b7ca23d3ff:0x196eedfa1da32ce9!8m2!3d12.6282106!4d101.4433578!16s%2Fg%2F11b6__23b6!19sChIJ_9MjyrcGAzER6SyjHfrtbhk?authuser=0&hl=ko&rclk=1,2015,4.0
3,Thailand,Ko Samet,Ploy Talay,,,,,,https://www.google.com/maps/place/Ploy+Talay/data=!4m10!3m9!1s0x3103076434c461b7:0x642fff753557b634!5m2!4m1!1i2!8m2!3d12.5665111!4d101.4634628!16s%2Fg%2F11b67sbc8q!19sChIJt2HENGQHAzERNLZXNXX_L2Q?authuser=0&hl=ko&rclk=1,1527,3.9
4,Thailand,Ko Samet,사멧 섬,,,"백사장 해변, 잔잔하고 투명한 바다, 산호초가 이 아늑한 섬으로 방문객을 불러 모읍니다.",,,https://www.google.com/maps/place/%EC%82%AC%EB%A9%A7+%EC%84%AC/data=!4m7!3m6!1s0x3103a9e750050d41:0x76fa7e572c5fc247!8m2!3d12.5582501!4d101.4510911!16zL20vMDY1X3hi!19sChIJQQ0FUOepAzERR8JfLFd--nY?authuser=0&hl=ko&rclk=1,1519,4.3
5,Thailand,Ko Samet,Prao Beach,,,,,,https://www.google.com/maps/place/Prao+Beach/data=!4m7!3m6!1s0x31030744cd1b463f:0x46fd7579253ac44f!8m2!3d12.5692647!4d101.4494865!16s%2Fg%2F1pv5xx_yj!19sChIJP0YbzUQHAzERT8Q6JXl1_UY?authuser=0&hl=ko&rclk=1,1056,4.6
6,Thailand,Ko Samet,Sai Kaew Beach,,,,,,https://www.google.com/maps/place/Sai+Kaew+Beach/data=!4m7!3m6!1s0x31030765b351a47d:0xb6db09c7afd148ee!8m2!3d12.5672498!4d101.4655487!16s%2Fg%2F1ptx_5b9k!19sChIJfaRRs2UHAzER7kjRr8cJ27Y?authuser=0&hl=ko&rclk=1,955,4.4
7,Thailand,Ko Samet,Rayong Botanic Garden,,,,,,https://www.google.com/maps/place/Rayong+Botanic+Garden/data=!4m7!3m6!1s0x310308cda5a73a59:0x2a6c9b004136555b!8m2!3d12.6507833!4d101.5481497!16s%2Fg%2F11bw611p_6!19sChIJWTqnpc0IAzERW1U2QQCbbCo?authuser=0&hl=ko&rclk=1,737,4.6
8,Thailand,Ko Samet,Sunset view point,,,,,,https://www.google.com/maps/place/Sunset+view+point/data=!4m7!3m6!1s0x3103a9efc36d4c47:0xd82d325d35ff30ae!8m2!3d12.545985!4d101.446111!16s%2Fg%2F1hf1f10qv!19sChIJR0xtw--pAzERrjD_NV0yLdg?authuser=0&hl=ko&rclk=1,696,4.6
9,Thailand,Ko Samet,Ao Wai,,,,,,https://www.google.com/maps/place/Ao+Wai/data=!4m7!3m6!1s0x3103a9ec509896d7:0x71e0a89e9eed1b18!8m2!3d12.5395972!4d101.4487705!16s%2Fg%2F1hdzmflr7!19sChIJ15aYUOypAzERGBvtnp6o4HE?authuser=0&hl=ko&rclk=1,623,4.6
10,Thailand,Ko Samet,르 비만 코티지 앤드 스파,,,,,,https://www.google.com/maps/place/%EB%A5%B4+%EB%B9%84%EB%A7%8C+%EC%BD%94%ED%8B%B0%EC%A7%80+%EC%95%A4%EB%93%9C+%EC%8A%A4%ED%8C%8C/data=!4m10!3m9!1s0x3103075b3f9338a5:0xc82829fd86362ca0!5m2!4m1!1i2!8m2!3d12.5687984!4d101.4494845!16s%2Fg%2F1tdn63g1!19sChIJpTiTP1sHAzERoCw2hv0pKMg?authuser=0&hl=ko&rclk=1,523,4.7
11,Thailand,Ko Samet,Ao Phai,,,"해변 레스토랑, 편안한 리조트, 아름다운 전망을 즐길 수 있는 작은 백사장입니다.",,,https://www.google.com/maps/place/Ao+Phai/data=!4m7!3m6!1s0x31030760b4cdf09d:0xf86cc1eb7f8ac714!8m2!3d12.5642175!4d101.4576797!16s%2Fg%2F1hf68qdsp!19sChIJnfDNtGAHAzERFMeKf-vBbPg?authuser=0&hl=ko&rclk=1,428,4.4
12,Thailand,Ko Samet,Koh Samet Beach,,,,,,https://www.google.com/maps/place/Koh+Samet+Beach/data=!4m7!3m6!1s0x310307672081acaf:0x1bb29c0fc1e23a2a!8m2!3d12.565251!4d101.45946!16s%2Fg%2F11dynyl5md!19sChIJr6yBIGcHAzERKjriwQ-cshs?authuser=0&hl=ko&rclk=1,367,4.5
13,Thailand,Ko Samet,Mermaid (and the child) Monument,,,,,,https://www.google.com/maps/place/Mermaid+%28and+the+child%29+Monument/data=!4m7!3m6!1s0x310307669a5a7589:0x89907da035ae8857!8m2!3d12.5658416!4d101.4617326!16s%2Fg%2F11cr_cv8_6!19sChIJiXVammYHAzERV4iuNaB9kIk?authuser=0&hl=ko&rclk=1,278,4.6
14,Thailand,Ko Samet,Ao Hin Khok,,,,,,https://www.google.com/maps/place/Ao+Hin+Khok/data=!4m7!3m6!1s0x31030766829fb359:0x2d3920bea9303308!8m2!3d12.5661211!4d101.4623025!16s%2Fg%2F11ddyd2g1t!19sChIJWbOfgmYHAzERCDMwqb4gOS0?authuser=0&hl=ko&rclk=1,162,4.3
15,Thailand,Ko Samet,Sky cottage,,,,,,https://www.google.com/maps/place/Sky+cottage/data=!4m10!3m9!1s0x3103075e6b7e5af1:0x879a97a910c55400!5m2!4m1!1i2!8m2!3d12.5631985!4d101.4548256!16s%2Fg%2F11gb3zs296!19sChIJ8Vp-a14HAzERAFTFEKmXmoc?authuser=0&hl=ko&rclk=1,152,4.2
16,Thailand,Ko Samet,Wong Duean Beach,,,,,,https://www.google.com/maps/place/Wong+Duean+Beach/data=!4m7!3m6!1s0x3103a9e40be5d309:0x4e754c7081739538!8m2!3d12.5541434!4d101.4502851!16s%2Fg%2F1ptx_nlhk!19sChIJCdPlC-SpAzEROJVzgXBMdU4?authuser=0&hl=ko&rclk=1,109,4.4
17,Thailand,Ko Samet,"Apache Loongdum, Ko Samed",,,,,,"https://www.google.com/maps/place/Apache+Loongdum,+Ko+Samed/data=!4m7!3m6!1s0x3103075d19a2a463:0x10c9b8eae2618a5a!8m2!3d12.5458982!4d101.4474795!16s%2Fg%2F1pzxk_djw!19sChIJY6SiGV0HAzERWoph4uq4yRA?authuser=0&hl=ko&rclk=1",100,4.2
18,Thailand,Ko Samet,Ao Nuan,,,,,,https://www.google.com/maps/place/Ao+Nuan/data=!4m7!3m6!1s0x3103075ff2a8c0e3:0x63342c1aea7a1b4!8m2!3d12.5593747!4d101.455321!16s%2Fg%2F11bw23hdpx!19sChIJ48Co8l8HAzERtKGnrsFCMwY?authuser=0&hl=ko&rclk=1,62,4.5
19,Thailand,Ko Samet,Ao Thian,,,,,,https://www.google.com/maps/place/Ao+Thian/data=!4m7!3m6!1s0x3103a9e5c6d42e0d:0x5a9c5c372ec5e999!8m2!3d12.549291!4d101.449721!16s%2Fg%2F11r98hmd2!19sChIJDS7UxuWpAzERmenFLjdcnFo?authuser=0&hl=ko&rclk=1,49,4.4
20,Thailand,Ko Samet,Koh Samet Sunrise and Sunset viewing point,,,,,,https://www.google.com/maps/place/Koh+Samet+Sunrise+and+Sunset+viewing+point/data=!4m7!3m6!1s0x3103a939706568a9:0x4d8b9acf88b711da!8m2!3d12.5225107!4d101.4433031!16s%2Fg%2F11sd4zw683!19sChIJqWhlcDmpAzER2hG3iM-ai00?authuser=0&hl=ko&rclk=1,49,4.8
21,Thailand,Ko Samet,Ao Chor,,,,,,https://www.google.com/maps/place/Ao+Chor/data=!4m7!3m6!1s0x3103a9e1b256797f:0xf20b6cf2766483ef!8m2!3d12.5567256!4d101.4533243!16s%2Fg%2F11bw24chs0!19sChIJf3lWsuGpAzER74NkdvJsC_I?authuser=0&hl=ko&rclk=1,43,4.4
22,Thailand,Ko Samet,Scenic View of Koh Samet,,,,,,https://www.google.com/maps/place/Scenic+View+of+Koh+Samet/data=!4m7!3m6!1s0x3103a985029a8a07:0x165b58a0ce82d8c9!8m2!3d12.5224305!4d101.4430201!16s%2Fg%2F11bxc749n1!19sChIJB4qaAoWpAzERydiCzqBYWxY?authuser=0&hl=ko&rclk=1,22,4.5
