data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Ko Samui,Big Buddha Temple (Wat Phra Yai),,,화려한 색감의 왓 프라야이 사원 단지에 있는 1972년경의 도금 대불상입니다.,,,https://www.google.com/maps/place/Big+Buddha+Temple+%28Wat+Phra+Yai%29/data=!4m7!3m6!1s0x3054f00c9c0e271b:0xdb258af4304486e0!8m2!3d9.5707294!4d100.059915!16s%2Fg%2F11r80r90j!19sChIJGycOnAzwVDAR4IZEMPSKJds?authuser=0&hl=ko&rclk=1,9492,4.5
2,Thailand,Ko Samui,Central Samui,,,,,,https://www.google.com/maps/place/Central+Samui/data=!4m7!3m6!1s0x3054f1cb326356dd:0x70c4badc99f86bbf!8m2!3d9.5322247!4d100.060913!16s%2Fg%2F1ym_l6tqs!19sChIJ3VZjMsvxVDARv2v4mdy6xHA?authuser=0&hl=ko&rclk=1,8496,4.3
3,Thailand,Ko Samui,Grandfather and Grandmother Rocks (Hin Ta Hin Yai),,,,,,https://www.google.com/maps/place/Grandfather+and+Grandmother+Rocks+%28Hin+Ta+Hin+Yai%29/data=!4m7!3m6!1s0x3054f253bc2af38b:0xdc62233d2a2b94c9!8m2!3d9.452187!4d100.0395387!16s%2Fg%2F121pqfk3!19sChIJi_MqvFPyVDARyZQrKj0jYtw?authuser=0&hl=ko&rclk=1,8446,4.2
4,Thailand,Ko Samui,Wat Plai Laem,,,호수가 있는 고요하고 화려한 사원으로 18개의 손이 있는 관음보살이 있습니다.,,,https://www.google.com/maps/place/Wat+Plai+Laem/data=!4m7!3m6!1s0x3054f008cc4ecd41:0xcf50277ac1684bbf!8m2!3d9.5713472!4d100.0671156!16s%2Fm%2F0wjtdgm!19sChIJQc1OzAjwVDARv0towXonUM8?authuser=0&hl=ko&rclk=1,5634,4.6
5,Thailand,Ko Samui,사무이 공항,,,,,,https://www.google.com/maps/place/%EC%82%AC%EB%AC%B4%EC%9D%B4+%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x3054f039404d18b7:0xf0223bd0b5f39f0!8m2!3d9.5484366!4d100.0630279!16zL20vMDhrbWc4!19sChIJtxhNQDnwVDAR8DlfC70jAg8?authuser=0&hl=ko&rclk=1,4946,4.6
6,Thailand,Ko Samui,THE COCOON - SAMUI VIEWPOINT,,,,,,https://www.google.com/maps/place/THE+COCOON+-+SAMUI+VIEWPOINT/data=!4m7!3m6!1s0x3054f171fb92512b:0xc7e560a134ceed4!8m2!3d9.5520835!4d100.0725867!16s%2Fg%2F11j1q_dwwd!19sChIJK1GS-3HxVDAR1O5MEwpWfgw?authuser=0&hl=ko&rclk=1,4493,4.7
7,Thailand,Ko Samui,Tarnim Magic Garden,,,,,,https://www.google.com/maps/place/Tarnim+Magic+Garden/data=!4m7!3m6!1s0x3054f3f904f67edf:0x3b5244664a182f71!8m2!3d9.4829041!4d99.9944804!16s%2Fm%2F0wj9kw1!19sChIJ3372BPnzVDARcS8YSmZEUjs?authuser=0&hl=ko&rclk=1,4238,4.4
8,Thailand,Ko Samui,Mu Ko Ang Thong National Marine Park,,,"국립공원으로 지정된 군도에서 숲이 우거진 봉우리와 아름다운 풍경, 다양한 야생동물을 만나 볼 수 있습니다.",,,https://www.google.com/maps/place/Mu+Ko+Ang+Thong+National+Marine+Park/data=!4m7!3m6!1s0x3054fe7e01031ee7:0x18a15a08c6bc9890!8m2!3d9.6352349!4d99.671822!16zL20vMDVnMTZ6!19sChIJ5x4DAX7-VDARkJi8xghaoRg?authuser=0&hl=ko&rclk=1,3391,4.7
9,Thailand,Ko Samui,Lad Koh View Point,,,탁 트인 바다 전망을 제공하는 해안 전망대로 그늘이 드리우고 좌석이 마련되어 있는 작은 정자가 있습니다.,,,https://www.google.com/maps/place/Lad+Koh+View+Point/data=!4m7!3m6!1s0x3054f1f29763f2fb:0x8e1e422514d06547!8m2!3d9.4990055!4d100.0599805!16s%2Fg%2F1tfdh23j!19sChIJ-_Jjl_LxVDARR2XQFCVCHo4?authuser=0&hl=ko&rclk=1,3247,4.5
10,Thailand,Ko Samui,Lamai Beach,,,바와 레스토랑이 늘어서 있는 백사장 해변에 대여용 라운지 의자와 야자수가 있습니다.,,,https://www.google.com/maps/place/Lamai+Beach/data=!4m7!3m6!1s0x3054f24f4965ac45:0xf985d8b0f9b0dd68!8m2!3d9.4618256!4d100.0446198!16s%2Fg%2F1ptxtd28z!19sChIJRaxlSU_yVDARaN2w-bDYhfk?authuser=0&hl=ko&rclk=1,3004,4.3
