data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Kobe,히메지 성(Himeji Castle),"월, 화, 수, 목, 금, 토, 일: 09:00~16:00",,,,국제전화번호: +81 79-285-1146 홈페이지: https://www.city.himeji.lg.jp/castle/index.html,https://www.google.com/maps/place/?q=place_id:ChIJsyQzogPgVDURsYG6bi-MT3o,48449,4.6
2,Japan,Kobe,난킨마치(Kobe Chinatown Nankin-machi),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 78-332-2896 홈페이지: http://www.nankinmachi.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJkaqwvf2OAGARARl_1gEYbx0,20867,3.9
3,Japan,Kobe,고베 동물왕국(神戸どうぶつ王国(Kobe Animal Kingdom)),"월, 화, 수, 금, 토, 일: 10:00~17:00; 목: 휴무",,,,국제전화번호: +81 78-302-8899 홈페이지: https://www.kobe-oukoku.com/,https://www.google.com/maps/place/?q=place_id:ChIJm-YWI_iRAGARxENoWS1l6gg,14273,4.5
4,Japan,Kobe,메리켄 공원(Meriken Park),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: https://times-info.net/P28-hyogo/C110/park-detail-BUK0017660/?utm_source=detail&utm_medium=map&utm_campaign=mybusiness,https://www.google.com/maps/place/?q=place_id:ChIJZVMziP-OAGAR11WzVqBbDIQ,11100,4.3
5,Japan,Kobe,고베 하버랜드(Kobe Harborland),"월, 화, 수, 목, 금, 토, 일: 10:00~21:00",,,,국제전화번호: +81 78-360-3639 홈페이지: https://www.harborland.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJD5fHbgePAGARpXshMiA87rA,8704,4.2
6,Japan,Kobe,고베시립 오지동물원(Kobe Ōji Zoo),"월, 화, 목, 금, 토, 일: 09:00~17:00; 수: 휴무",,,,국제전화번호: +81 78-861-5624 홈페이지: https://www.kobe-ojizoo.jp/,https://www.google.com/maps/place/?q=place_id:ChIJDTB81pmOAGARLfmjrTRbPys,8445,4.3
7,Japan,Kobe,고베 포트 타워(Kobe Port Tower),"월, 화, 수, 목, 금, 토, 일: 09:00~23:00",,,,국제전화번호: +81 78-335-6580 홈페이지: http://www.kobe-port-tower.com/,https://www.google.com/maps/place/?q=place_id:ChIJweTiKACPAGARgqyoB9hC7rc,8430,4.1
8,Japan,Kobe,카네후쿠 멘타이파크 고베 산다(Kanefuku Mentai Park Kobe Sanda),"월, 화, 수, 목, 금: 09:30~17:30; 토, 일: 09:00~18:00",,,,국제전화번호: +81 78-986-1137 홈페이지: https://mentai-park.com/park/kobe/,https://www.google.com/maps/place/?q=place_id:ChIJea1-I2BkAGARXVJZ2ELFQKw,8181,3.8
9,Japan,Kobe,고베 호빵맨 어린이 박물관 & 쇼핑몰(Kobe Anpanman Children’s Museum & Mall),"월, 화, 수, 목, 금, 토, 일: 10:00~18:00",,,,국제전화번호: +81 78-341-8855 홈페이지: https://www.kobe-anpanman.jp/,https://www.google.com/maps/place/?q=place_id:ChIJZ__NhgCPAGARDaZrej2pwOs,6796,4.1
10,Japan,Kobe,효고현립미술관(Hyogo Prefectural Museum of Art),"월: 휴무; 화, 수, 목, 금, 토, 일: 10:00~18:00",,,,국제전화번호: +81 78-262-1011 홈페이지: http://www.artm.pref.hyogo.jp/,https://www.google.com/maps/place/?q=place_id:ChIJZ7BukIaOAGAR4keLi5dZh4I,5797,4.1
11,Japan,Kobe,고베 국제회관(Kobe International House),"월, 화, 수, 목, 금, 토, 일: 09:00~17:30",,,,국제전화번호: +81 78-231-8161 홈페이지: http://www.kih.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJC7YzhPqOAGARYyLgeJ4MJuU,5434,3.9
12,Japan,Kobe,동유원지 (히가시유엔치)(East Park (Higashi Yūenchi)),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,홈페이지: http://eastpark.jp/,https://www.google.com/maps/place/?q=place_id:ChIJYdgJhPeOAGARpJYI52uduSc,4677,4
13,Japan,Kobe,기타노이진칸(Kitano Ijinkan-Gai),"월, 화, 수, 목, 금, 토, 일: 09:00~18:00",,,,국제전화번호: +81 78-251-8360 홈페이지: http://www.kobeijinkan.com/,https://www.google.com/maps/place/?q=place_id:ChIJT6cViuCOAGARegX_ORkvbs0,4375,4
14,Japan,Kobe,고베 누노비키 허브정원/로프웨이(Kobe Nunobiki Herb Gardens & Ropeway),"월, 화, 수, 목, 금, 토, 일: 09:30~20:15",,,,국제전화번호: +81 78-271-1160 홈페이지: https://www.kobeherb.com/,https://www.google.com/maps/place/?q=place_id:ChIJWapiVtGOAGARVY9nvX-kXII,3927,4.5
15,Japan,Kobe,마야산 기쿠세이다이(Kikuseidai),"월, 화, 수, 목, 금, 토, 일: Open 24 hours",,,,국제전화번호: +81 78-861-2998 홈페이지: http://www.feel-kobe.jp/kobe-yakei/area/mountain/03/,https://www.google.com/maps/place/?q=place_id:ChIJK9Er5z6JAGAR6-_inZvie2o,3866,4.5
