data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Koh Lipe,Ko Lipe,,,"다이빙, 스노클링, 보트 투어를 즐길 수 있는 아름다운 작은 섬에 해변 호텔과 레스토랑이 있습니다.",,,https://www.google.com/maps/place/Ko+Lipe/data=!4m7!3m6!1s0x304c04b682540c8f:0xef2301cf0a9d3394!8m2!3d6.4885717!4d99.3048959!16s%2Fm%2F04jn2hz!19sChIJjwxUgrYETDARlDOdCs8BI-8?authuser=0&hl=ko&rclk=1,1877,4.5
2,Thailand,Koh Lipe,Elephant,,,"커피, 스무디, 칵테일, 라이브 음악과 함께 편안한 음식을 즐길 수 있는 트렌디한 모임 장소입니다.",,,https://www.google.com/maps/place/Elephant/data=!4m7!3m6!1s0x304c04cbc000011b:0x333291a25575dba2!8m2!3d6.4870464!4d99.305338!16s%2Fg%2F12lt28kwn!19sChIJGwEAwMsETDARott1VaKRMjM?authuser=0&hl=ko&rclk=1,1691,4.6
3,Thailand,Koh Lipe,Sunset Beach,,,,,,https://www.google.com/maps/place/Sunset+Beach/data=!4m7!3m6!1s0x304c04b569f1db65:0xe37705e5860b91f1!8m2!3d6.4922357!4d99.3004335!16s%2Fg%2F11dz55zhz2!19sChIJZdvxabUETDAR8ZELhuUFd-M?authuser=0&hl=ko&rclk=1,1259,4.3
4,Thailand,Koh Lipe,Sunrise Beach,,,,,,https://www.google.com/maps/place/Sunrise+Beach/data=!4m7!3m6!1s0x304c04cdbbec7ef7:0xa411ce6d58543ca6!8m2!3d6.4887474!4d99.310043!16s%2Fg%2F11c2jzw7y7!19sChIJ937su80ETDARpjxUWG3OEaQ?authuser=0&hl=ko&rclk=1,1102,4.5
5,Thailand,Koh Lipe,Ko Hin Ngam,,,,,,https://www.google.com/maps/place/Ko+Hin+Ngam/data=!4m7!3m6!1s0x304c1c96059c554b:0xe59488b8c29ad4e9!8m2!3d6.5149976!4d99.2624372!16s%2Fg%2F11b6__mrt5!19sChIJS1WcBZYcTDAR6dSawriIlOU?authuser=0&hl=ko&rclk=1,788,4.5
6,Thailand,Koh Lipe,Pattaya Beach,,,,,,https://www.google.com/maps/place/Pattaya+Beach/data=!4m7!3m6!1s0x304c04ca1e2b3a81:0xcecee2bd659ef72b!8m2!3d6.4869723!4d99.3030882!16s%2Fg%2F12nvpv8_c!19sChIJgTorHsoETDARK_eeZb3izs4?authuser=0&hl=ko&rclk=1,611,4.4
7,Thailand,Koh Lipe,Pura Vida Diving Koh Lipe Dive Center,,,,,,https://www.google.com/maps/place/Pura+Vida+Diving+Koh+Lipe+Dive+Center/data=!4m7!3m6!1s0x304c04b678ee0c4d:0xcc73ec41e5a5379a!8m2!3d6.4872288!4d99.2983406!16s%2Fg%2F11gf8hwl58!19sChIJTQzueLYETDARmjel5UHsc8w?authuser=0&hl=ko&rclk=1,563,4.9
8,Thailand,Koh Lipe,Madame Yoohoo,,,,,,https://www.google.com/maps/place/Madame+Yoohoo/data=!4m7!3m6!1s0x304c04cc0579d619:0x49186e46d173df79!8m2!3d6.4878041!4d99.3068348!16s%2Fg%2F11dyxkpcy_!19sChIJGdZ5BcwETDARed9z0UZuGEk?authuser=0&hl=ko&rclk=1,541,4.0
9,Thailand,Koh Lipe,꼬리뻬 북쪽 끝 해변,,,,,,https://www.google.com/maps/place/%EA%BC%AC%EB%A6%AC%EB%BB%AC+%EB%B6%81%EC%AA%BD+%EB%81%9D+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x304c1be98cf0a7a7:0x8441725757d370de!8m2!3d6.495852!4d99.3060204!16s%2Fg%2F11fkbhx75x!19sChIJp6fwjOkbTDAR3nDTV1dyQYQ?authuser=0&hl=ko&rclk=1,459,4.8
10,Thailand,Koh Lipe,Bundhaya Villas,,,,,,https://www.google.com/maps/place/Bundhaya+Villas/data=!4m10!3m9!1s0x304c04ced1cfbb7f:0xdeeaf95f12e2888e!5m2!4m1!1i2!8m2!3d6.4851956!4d99.3067657!16s%2Fg%2F11b6lrts8n!19sChIJf7vP0c4ETDARjojiEl_56t4?authuser=0&hl=ko&rclk=1,316,4.5
11,Thailand,Koh Lipe,On The Rocks,,,,,,https://www.google.com/maps/place/On+The+Rocks/data=!4m7!3m6!1s0x304c055a5b388c2d:0xfecd576da45e84e!8m2!3d6.4835411!4d99.3108274!16s%2Fg%2F11gr63c2jz!19sChIJLYw4W1oFTDARTuhF2nbV7A8?authuser=0&hl=ko&rclk=1,295,4.4
12,Thailand,Koh Lipe,ถนนคนเดินเกาะหลีเป๊ะ,,,,,,https://www.google.com/maps/place/%E0%B8%96%E0%B8%99%E0%B8%99%E0%B8%84%E0%B8%99%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%B0%E0%B8%AB%E0%B8%A5%E0%B8%B5%E0%B9%80%E0%B8%9B%E0%B9%8A%E0%B8%B0/data=!4m7!3m6!1s0x304c05e2cc236a67:0x55e28797c91525b8!8m2!3d6.4863813!4d99.3042736!16s%2Fg%2F11fs2kx2_q!19sChIJZ2ojzOIFTDARuCUVyZeH4lU?authuser=0&hl=ko&rclk=1,289,4.6
13,Thailand,Koh Lipe,The Cliff Lipe,,,,,,https://www.google.com/maps/place/The+Cliff+Lipe/data=!4m10!3m9!1s0x304c04b411cf4e93:0x461bb43197b685d8!5m2!4m1!1i2!8m2!3d6.48828!4d99.295948!16s%2Fg%2F11g8bwtnr3!19sChIJk07PEbQETDAR2IW2lzG0G0Y?authuser=0&hl=ko&rclk=1,269,4.5
14,Thailand,Koh Lipe,꼬리뻬 선착장,,,,,,https://www.google.com/maps/place/%EA%BC%AC%EB%A6%AC%EB%BB%AC+%EC%84%A0%EC%B0%A9%EC%9E%A5/data=!4m7!3m6!1s0x304c04c97febfeeb:0xdfd7abfdb54995f8!8m2!3d6.4868986!4d99.3032178!16s%2Fg%2F11bw5tw5jj!19sChIJ6_7rf8kETDAR-JVJtf2r198?authuser=0&hl=ko&rclk=1,254,4.3
15,Thailand,Koh Lipe,Adang Sea Divers,,,,,,https://www.google.com/maps/place/Adang+Sea+Divers/data=!4m7!3m6!1s0x304c04ccdeb0e169:0xded1154db3209a90!8m2!3d6.4896389!4d99.3091995!16s%2Fg%2F1tf90xhp!19sChIJaeGw3swETDARkJogs00V0d4?authuser=0&hl=ko&rclk=1,254,4.6
16,Thailand,Koh Lipe,Koh Ro Khloi,,,,,,https://www.google.com/maps/place/Koh+Ro+Khloi/data=!4m7!3m6!1s0x304ea78bcdccbd87:0x4973c1740e352cbe!8m2!3d6.520229!4d99.1868517!16s%2Fg%2F11f1220jpl!19sChIJh73MzYunTjARviw1DnTBc0k?authuser=0&hl=ko&rclk=1,252,4.7
17,Thailand,Koh Lipe,The Chic Lipe,,,,,,https://www.google.com/maps/place/The+Chic+Lipe/data=!4m10!3m9!1s0x304c04ce830aae07:0xb5663e568355199a!5m2!4m1!1i2!8m2!3d6.4869359!4d99.3085008!16s%2Fg%2F11hbt5jp80!19sChIJB64Kg84ETDARmhlVg1Y-ZrU?authuser=0&hl=ko&rclk=1,229,4.6
18,Thailand,Koh Lipe,Ko Lipe Diving School,,,,,,https://www.google.com/maps/place/Ko+Lipe+Diving+School/data=!4m7!3m6!1s0x304c04cbd2aa029b:0x2deec8e8c4d29572!8m2!3d6.4872631!4d99.3057494!16s%2Fg%2F119th3ryj!19sChIJmwKq0ssETDARcpXSxOjI7i0?authuser=0&hl=ko&rclk=1,228,4.8
19,Thailand,Koh Lipe,Benny's On The Beach Koh Lipe,,,,,,https://www.google.com/maps/place/Benny%27s+On+The+Beach+Koh+Lipe/data=!4m7!3m6!1s0x304c1b1eccae900f:0xc513438b43a03ca4!8m2!3d6.4898788!4d99.3098068!16s%2Fg%2F11h24qbttf!19sChIJD5CuzB4bTDARpDygQ4tDE8U?authuser=0&hl=ko&rclk=1,228,4.4
20,Thailand,Koh Lipe,Family Song Koh Lipe,,,,,,https://www.google.com/maps/place/Family+Song+Koh+Lipe/data=!4m10!3m9!1s0x304c04ca3b3c88bb:0xc7401dc94e14e3f8!5m2!4m1!1i2!8m2!3d6.4883497!4d99.3032215!16s%2Fg%2F11b73qzzgf!19sChIJu4g8O8oETDAR-OMUTskdQMc?authuser=0&hl=ko&rclk=1,217,4.1
21,Thailand,Koh Lipe,하모니 베드 앤드 베이커리,,,,,,https://www.google.com/maps/place/%ED%95%98%EB%AA%A8%EB%8B%88+%EB%B2%A0%EB%93%9C+%EC%95%A4%EB%93%9C+%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC/data=!4m10!3m9!1s0x304c04ca6b3d6aad:0xb939c43bf9008542!5m2!4m1!1i2!8m2!3d6.4880509!4d99.3082054!16s%2Fg%2F113gnp46z!19sChIJrWo9a8oETDARQoUA-TvEObk?authuser=0&hl=ko&rclk=1,189,3.9
22,Thailand,Koh Lipe,Lipe Dive Station.,,,,,,https://www.google.com/maps/place/Lipe+Dive+Station./data=!4m7!3m6!1s0x304c055f385e3087:0xd9f42a92561baf08!8m2!3d6.4874375!4d99.3017458!16s%2Fg%2F11rmq73qy4!19sChIJhzBeOF8FTDARCK8bVpIq9Nk?authuser=0&hl=ko&rclk=1,155,5.0
23,Thailand,Koh Lipe,Café Lipe,,,,,,https://www.google.com/maps/place/Caf%C3%A9+Lipe/data=!4m7!3m6!1s0x304c05dd24588145:0x7b7abc150d131d9e!8m2!3d6.4867329!4d99.3036883!16s%2Fg%2F11qbccd5hf!19sChIJRYFYJN0FTDARnh0TDRW8ens?authuser=0&hl=ko&rclk=1,148,4.6
24,Thailand,Koh Lipe,"Koh Adang, Tarutao National Park",,,,,,"https://www.google.com/maps/place/Koh+Adang,+Tarutao+National+Park/data=!4m7!3m6!1s0x304c1b22e2534c29:0x5ffbb164853c9e30!8m2!3d6.5411688!4d99.3006865!16s%2Fg%2F11c2ql_z35!19sChIJKUxT4iIbTDARMJ48hWSx-18?authuser=0&hl=ko&rclk=1",128,4.5
25,Thailand,Koh Lipe,Pantai Galah Beach,,,,,,https://www.google.com/maps/place/Pantai+Galah+Beach/data=!4m7!3m6!1s0x304c04b04257d8f1:0x4ef28fe0ce73efa3!8m2!3d6.4836778!4d99.2915523!16s%2Fg%2F11c1q967y2!19sChIJ8dhXQrAETDARo-9zzuCP8k4?authuser=0&hl=ko&rclk=1,119,4.1
26,Thailand,Koh Lipe,Ko Hin Son,,,,,,https://www.google.com/maps/place/Ko+Hin+Son/data=!4m7!3m6!1s0x304ea7fb6d541a4b:0x1f85687444f29e06!8m2!3d6.5023585!4d99.18203!16s%2Fg%2F11dyltgwlf!19sChIJSxpUbfunTjARBp7yRHRohR8?authuser=0&hl=ko&rclk=1,114,4.5
27,Thailand,Koh Lipe,DJL Diving Koh Lipe,,,,,,https://www.google.com/maps/place/DJL+Diving+Koh+Lipe/data=!4m7!3m6!1s0x304c04b675e6c163:0x68b2758c6fd4c16!8m2!3d6.4873343!4d99.2990422!16s%2Fg%2F11r8c93rx!19sChIJY8HmdbYETDARFkz9xlgniwY?authuser=0&hl=ko&rclk=1,97,4.8
28,Thailand,Koh Lipe,Sea To Moon Lipe,,,,,,https://www.google.com/maps/place/Sea+To+Moon+Lipe/data=!4m10!3m9!1s0x304c057d7f862407:0xdc5f8f8b170f8018!5m2!4m1!1i2!8m2!3d6.4881554!4d99.3099674!16s%2Fg%2F11fpjw4h11!19sChIJBySGf30FTDARGIAPF4uPX9w?authuser=0&hl=ko&rclk=1,97,3.8
29,Thailand,Koh Lipe,Jabang Dive Site,,,,,,https://www.google.com/maps/place/Jabang+Dive+Site/data=!4m7!3m6!1s0x304c1d2ec131027f:0xea53f6f8f4a848c8!8m2!3d6.5145029!4d99.2712432!16s%2Fg%2F11h5tys89q!19sChIJfwIxwS4dTDARyEio9Pj2U-o?authuser=0&hl=ko&rclk=1,94,4.5
