data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Koh Phi Phi,마야 만,,,,,,https://www.google.com/maps/place/%EB%A7%88%EC%95%BC+%EB%A7%8C/data=!4m7!3m6!1s0x304e215132abb9a9:0xf232a7bbfadd0f42!8m2!3d7.6765664!4d98.7660327!16s%2Fg%2F11rmskfd3k!19sChIJqbmrMlEhTjARQg_d-runMvI?authuser=0&hl=ko&rclk=1,7743,4.7
2,Thailand,Koh Phi Phi,필레 만 (필레 라군),,,깨끗한 물로 유명한 아름다운 만으로 수영과 스노클링을 즐길 수 있습니다.,,,https://www.google.com/maps/place/%ED%95%84%EB%A0%88+%EB%A7%8C+%28%ED%95%84%EB%A0%88+%EB%9D%BC%EA%B5%B0%29/data=!4m7!3m6!1s0x304e20bcd85097b1:0x977f02cb33998815!8m2!3d7.6833585!4d98.767508!16s%2Fg%2F11b88t4z50!19sChIJsZdQ2LwgTjARFYiZM8sCf5c?authuser=0&hl=ko&rclk=1,7106,4.8
3,Thailand,Koh Phi Phi,Khai Nai Island,,,,,,https://www.google.com/maps/place/Khai+Nai+Island/data=!4m7!3m6!1s0x3051cdc9fd691d0d:0x86e96e7e7c086064!8m2!3d7.9083542!4d98.5497357!16s%2Fg%2F11c5653sd4!19sChIJDR1p_cnNUTARZGAIfH5u6YY?authuser=0&hl=ko&rclk=1,5982,4.3
4,Thailand,Koh Phi Phi,피피섬,,,가파른 석회암 절벽이 자리한 그림처럼 완벽한 섬으로 고운 모래 해변과 바닷물이 투명한 작은 만이 있습니다.,,,https://www.google.com/maps/place/%ED%94%BC%ED%94%BC%EC%84%AC/data=!4m7!3m6!1s0x304e20be764e3d0d:0xbf9db8781a549f71!8m2!3d7.740738!4d98.77841!16zL20vMDJidmYz!19sChIJDT1Odr4gTjARcZ9UGni4nb8?authuser=0&hl=ko&rclk=1,5862,4.6
5,Thailand,Koh Phi Phi,Central Phuket,,,,,,https://www.google.com/maps/place/Central+Phuket/data=!4m7!3m6!1s0x305031c6a7059d45:0xe309a98147636491!8m2!3d7.8918237!4d98.3672749!16s%2Fg%2F11clwpcxqv!19sChIJRZ0Fp8YxUDARkWRjR4GpCeM?authuser=0&hl=ko&rclk=1,5779,4.6
6,Thailand,Koh Phi Phi,대나무 섬,,,"산호초로 둘러싸인 작은 섬으로 깔끔한 해변, 깨끗한 물, 작은 바가 있으며 스노클링 명소로 유명합니다.",,,https://www.google.com/maps/place/%EB%8C%80%EB%82%98%EB%AC%B4+%EC%84%AC/data=!4m7!3m6!1s0x3051ddac0fbb074b:0x937956d43fa7a381!8m2!3d7.8168417!4d98.7955213!16s%2Fg%2F11cnc58xdy!19sChIJSwe7D6zdUTARgaOnP9RWeZM?authuser=0&hl=ko&rclk=1,5624,4.7
7,Thailand,Koh Phi Phi,Ao Ton Sai Pier,,,주변 환경이 아름다운 번화한 부두로 승객들은 페리와 다양한 보트를 타고 내릴 수 있습니다.,,,https://www.google.com/maps/place/Ao+Ton+Sai+Pier/data=!4m7!3m6!1s0x3051df1ffc707e2f:0x68dfa658be415e53!8m2!3d7.7378009!4d98.7705482!16s%2Fg%2F1q64b39r9!19sChIJL35w_B_fUTARU15Bvlim32g?authuser=0&hl=ko&rclk=1,4871,4.3
8,Thailand,Koh Phi Phi,피피 전망대,,,,,,https://www.google.com/maps/place/%ED%94%BC%ED%94%BC+%EC%A0%84%EB%A7%9D%EB%8C%80/data=!4m7!3m6!1s0x3051dee4541a8ed7:0xb9251dd2b8d3ec17!8m2!3d7.7458643!4d98.7780947!16s%2Fg%2F11f03y7wgv!19sChIJ144aVOTeUTARF-zTuNIdJbk?authuser=0&hl=ko&rclk=1,4865,4.8
9,Thailand,Koh Phi Phi,Phi phi Viewpoint 1 ( i love phi phi ),,,,,,https://www.google.com/maps/place/Phi+phi+Viewpoint+1+%28+i+love+phi+phi+%29/data=!4m7!3m6!1s0x3051dee39172eebb:0x119c4f257b1864d4!8m2!3d7.7424967!4d98.7769263!16s%2Fg%2F11g6bf706n!19sChIJu-5ykePeUTAR1GQYeyVPnBE?authuser=0&hl=ko&rclk=1,4125,4.6
10,Thailand,Koh Phi Phi,원숭이 해변,,,,,,https://www.google.com/maps/place/%EC%9B%90%EC%88%AD%EC%9D%B4+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x3051ded97c7c24ad:0x3da4082ed3ceb021!8m2!3d7.7432321!4d98.7616051!16s%2Fg%2F11bxf5psp3!19sChIJrSR8fNneUTARIbDO0y4IpD0?authuser=0&hl=ko&rclk=1,3921,4.4
11,Thailand,Koh Phi Phi,Green Elephant Sanctuary Park,,,구조된 코끼리들을 위한 숲속 공원으로 방문객들은 가이드 투어에서 코끼리 밥을 주거나 목욕을 시킬 수 있습니다.,,,https://www.google.com/maps/place/Green+Elephant+Sanctuary+Park/data=!4m7!3m6!1s0x30503758b3805131:0xf7175309031bb3c8!8m2!3d7.9787582!4d98.3093808!16s%2Fg%2F11gfp01hv7!19sChIJMVGAs1g3UDARyLMbAwlTF_c?authuser=0&hl=ko&rclk=1,3619,4.9
12,Thailand,Koh Phi Phi,피피 안다만 비치 리조트,,,,,,https://www.google.com/maps/place/%ED%94%BC%ED%94%BC+%EC%95%88%EB%8B%A4%EB%A7%8C+%EB%B9%84%EC%B9%98+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m10!3m9!1s0x3051df1da81a2863:0xd85bc47628467fda!5m2!4m1!1i2!8m2!3d7.7359695!4d98.7783895!16s%2Fg%2F1tg3ddq_!19sChIJYygaqB3fUTAR2n9GKHbEW9g?authuser=0&hl=ko&rclk=1,3340,4.2
13,Thailand,Koh Phi Phi,피피 아일랜드 빌리지 비치 리조트,,,,,,https://www.google.com/maps/place/%ED%94%BC%ED%94%BC+%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C+%EB%B9%8C%EB%A6%AC%EC%A7%80+%EB%B9%84%EC%B9%98+%EB%A6%AC%EC%A1%B0%ED%8A%B8/data=!4m10!3m9!1s0x3051deeb441b00e1:0xa3c2151941d7d16!5m2!4m1!1i2!8m2!3d7.7611486!4d98.7723168!16s%2Fg%2F12hq3z1l5!19sChIJ4QAbROveUTARFn0dlFEhPAo?authuser=0&hl=ko&rclk=1,2969,4.4
14,Thailand,Koh Phi Phi,Phuket Bird Park,,,초목이 우거진 장소에 다채로운 각종 조류를 모아놓은 대형 동물원으로 정기적으로 조류 공연이 펼쳐집니다.,,,https://www.google.com/maps/place/Phuket+Bird+Park/data=!4m7!3m6!1s0x30502fcf020fd25f:0x45a934fe779131d0!8m2!3d7.8621868!4d98.3444205!16s%2Fg%2F11b6sy65_t!19sChIJX9IPAs8vUDAR0DGRd_40qUU?authuser=0&hl=ko&rclk=1,2711,4.0
15,Thailand,Koh Phi Phi,Phi Phi Bayview Resort,,,,,,https://www.google.com/maps/place/Phi+Phi+Bayview+Resort/data=!4m10!3m9!1s0x305196ffffffffff:0x8327d221fb78e815!5m2!4m1!1i2!8m2!3d7.7350899!4d98.7797611!16s%2Fg%2F1tf4tqj0!19sChIJ______-WUTARFeh4-yHSJ4M?authuser=0&hl=ko&rclk=1,2636,3.9
16,Thailand,Koh Phi Phi,바이킹 동굴,,,벽화가 있는 석회암 동굴로 전통 중국 수프 요리에 쓰이는 새 둥지의 채취 장소입니다.,,,https://www.google.com/maps/place/%EB%B0%94%EC%9D%B4%ED%82%B9+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x304e20a1728986a9:0xceb0fe1c813aa2be!8m2!3d7.6910927!4d98.7667676!16s%2Fg%2F11c3k9qllr!19sChIJqYaJcqEgTjARvqI6gRz-sM4?authuser=0&hl=ko&rclk=1,2418,4.3
17,Thailand,Koh Phi Phi,Ancient buildings in Sino-European style,,,"알록달록한 색이 돋보이는 유서 깊은 건물과 스트리트 아트, 기념품 가게, 카페가 어우러진 활기찬 구역입니다.",,,https://www.google.com/maps/place/Ancient+buildings+in+Sino-European+style/data=!4m7!3m6!1s0x305031f07757dddf:0x5652cd3d1bc9e742!8m2!3d7.8864234!4d98.3875027!16s%2Fg%2F11b7hm6njm!19sChIJ391Xd_AxUDARQufJGz3NUlY?authuser=0&hl=ko&rclk=1,2250,4.5
18,Thailand,Koh Phi Phi,Phi Phi The Beach Resort,,,,,,https://www.google.com/maps/place/Phi+Phi+The+Beach+Resort/data=!4m10!3m9!1s0x3051df0633a03b51:0xb4f1edc798002c5e!5m2!4m1!1i2!8m2!3d7.7282717!4d98.7885678!16s%2Fg%2F11b7fk0s67!19sChIJUTugMwbfUTARXiwAmMft8bQ?authuser=0&hl=ko&rclk=1,2171,4.3
19,Thailand,Koh Phi Phi,Phuket Elephant Sanctuary,,,재활이 끝난 코끼리를 볼 수 있는 아름다운 공원으로 투어가 제공되고 채식 뷔페도 운영합니다.,,,https://www.google.com/maps/place/Phuket+Elephant+Sanctuary/data=!4m7!3m6!1s0x305048568201987b:0xc0789f2a94513a6f!8m2!3d8.0257893!4d98.4016433!16s%2Fg%2F11c30rcqwl!19sChIJe5gBglZIUDARbzpRlCqfeMA?authuser=0&hl=ko&rclk=1,1913,4.7
