data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Koh Surin,수린 섬 국립공원,,,,,,https://www.google.com/maps/place/%EC%88%98%EB%A6%B0+%EC%84%AC+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x30575dfc61350dfb:0xa1af6eedb09c2dc1!8m2!3d9.434384!4d97.8681187!16s%2Fg%2F12hqy9v5k!19sChIJ-w01YfxdVzARwS2csO1ur6E?authuser=0&hl=ko&rclk=1,1478,4.8
2,Thailand,Koh Surin,Surin Beach,,,,,,https://www.google.com/maps/place/Surin+Beach/data=!4m7!3m6!1s0x3050394e26e0ceeb:0x1f70d3b2666e4ecf!8m2!3d7.9757715!4d98.2790104!16s%2Fg%2F11fsmscfpj!19sChIJ687gJk45UDARz05uZrLTcB8?authuser=0&hl=ko&rclk=1,819,4.6
3,Thailand,Koh Surin,Moken community,,,,,,https://www.google.com/maps/place/Moken+community/data=!4m7!3m6!1s0x30575e859713c1dd:0x5c2a0595fd224551!8m2!3d9.4054368!4d97.8624087!16s%2Fg%2F11c8095wmk!19sChIJ3cETl4VeVzARUUUi_ZUFKlw?authuser=0&hl=ko&rclk=1,348,4.5
4,Thailand,Koh Surin,Surin National Museum,,,,,,https://www.google.com/maps/place/Surin+National+Museum/data=!4m7!3m6!1s0x3119e36cae4dcf7f:0xe4e0953081e3c720!8m2!3d14.8483478!4d103.4738483!16s%2Fg%2F1tqchp3v!19sChIJf89NrmzjGTERIMfjgTCV4OQ?authuser=0&hl=ko&rclk=1,226,4.5
5,Thailand,Koh Surin,Ko Surin Nua,,,"수린섬 국립공원에 자리한 숲으로 뒤덮인 섬으로 모래 해변, 식당, 숙박 시설이 있습니다.",,,https://www.google.com/maps/place/Ko+Surin+Nua/data=!4m7!3m6!1s0x30575de16d811b97:0xacc677f4edc4059e!8m2!3d9.4511439!4d97.8776023!16zL20vMDc2eGh4!19sChIJlxuBbeFdVzARngXE7fR3xqw?authuser=0&hl=ko&rclk=1,179,4.6
6,Thailand,Koh Surin,아오 청캇,,,,,,https://www.google.com/maps/place/%EC%95%84%EC%98%A4+%EC%B2%AD%EC%BA%87/data=!4m7!3m6!1s0x30575e0a693e81db:0x61066ae0ff0a8973!8m2!3d9.423042!4d97.86887!16s%2Fg%2F11b6t570mv!19sChIJ24E-aQpeVzARc4kK_-BqBmE?authuser=0&hl=ko&rclk=1,152,4.7
7,Thailand,Koh Surin,마이응암 해변,,,,,,https://www.google.com/maps/place/%EB%A7%88%EC%9D%B4%EC%9D%91%EC%95%94+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x30575e6d52881c77:0x7cf4fc44c6ae1667!8m2!3d9.4348181!4d97.8606426!16s%2Fg%2F11g6rl1v61!19sChIJdxyIUm1eVzARZxauxkT89Hw?authuser=0&hl=ko&rclk=1,120,4.8
8,Thailand,Koh Surin,Richelieu Rock,,,,,,https://www.google.com/maps/place/Richelieu+Rock/data=!4m7!3m6!1s0x30574598fd1febc9:0xa1c26e1c49de52a8!8m2!3d9.3642159!4d98.0228141!16s%2Fm%2F0h7prnp!19sChIJyesf_ZhFVzARqFLeSRxuwqE?authuser=0&hl=ko&rclk=1,53,4.9
9,Thailand,Koh Surin,Mu Koh Surin National Park Thailand,,,,,,https://www.google.com/maps/place/Mu+Koh+Surin+National+Park+Thailand/data=!4m7!3m6!1s0x30575e79cc8d9113:0xd53e4038e913622c!8m2!3d9.422813!4d97.869308!16s%2Fg%2F11g6qvffx5!19sChIJE5GNzHleVzARLGIT6ThAPtU?authuser=0&hl=ko&rclk=1,48,4.8
10,Thailand,Koh Surin,อ่าวไม้งาม Camping zone sabinatour kohsurin thailand,,,,,,https://www.google.com/maps/place/%E0%B8%AD%E0%B9%88%E0%B8%B2%E0%B8%A7%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%87%E0%B8%B2%E0%B8%A1+Camping+zone+sabinatour+kohsurin+thailand/data=!4m7!3m6!1s0x30575e6d483f662f:0x68a219e1cc0b8866!8m2!3d9.4344159!4d97.8599989!16s%2Fg%2F11c1t56xk0!19sChIJL2Y_SG1eVzARZogLzOEZomg?authuser=0&hl=ko&rclk=1,14,4.1
11,Thailand,Koh Surin,Tourist Information National Park Kho Surin Ao Chong Kad,,,,,,https://www.google.com/maps/place/Tourist+Information+National+Park+Kho+Surin+Ao+Chong+Kad/data=!4m7!3m6!1s0x30575e7835701a0d:0xf7d5f3eb6198bfba!8m2!3d9.4224379!4d97.8695691!16s%2Fg%2F11g6z5f0_z!19sChIJDRpwNXheVzARur-YYevz1fc?authuser=0&hl=ko&rclk=1,11,4.6
12,Thailand,Koh Surin,Ko Surin Tai,,,,,,https://www.google.com/maps/place/Ko+Surin+Tai/data=!4m7!3m6!1s0x30575e9aa96b0b9f:0xe2f30c145e75f4d7!8m2!3d9.3991009!4d97.8639974!16s%2Fg%2F1hhh2yvc5!19sChIJnwtrqZpeVzAR1_R1XhQM8-I?authuser=0&hl=ko&rclk=1,11,5.0
13,Thailand,Koh Surin,Mu Koh Surin National Park Office,,,,,,https://www.google.com/maps/place/Mu+Koh+Surin+National+Park+Office/data=!4m7!3m6!1s0x30572ff8635ec81d:0xa896ceca57d30766!8m2!3d9.2259367!4d98.3742254!16s%2Fg%2F11ghr49vj7!19sChIJHcheY_gvVzARZgfTV8rOlqg?authuser=0&hl=ko&rclk=1,10,4.3
14,Thailand,Koh Surin,SURIN ART GALLERY,,,,,,https://www.google.com/maps/place/SURIN+ART+GALLERY/data=!4m7!3m6!1s0x3054effdc2990bb3:0x8fc82c7cf763c32b!8m2!3d9.5696398!4d100.0821611!16s%2Fg%2F11f9hn382f!19sChIJswuZwv3vVDARK8Nj93wsyI8?authuser=0&hl=ko&rclk=1,2,5.0
15,Thailand,Koh Surin,National Park OFFICE Bungalows,,,,,,https://www.google.com/maps/place/National+Park+OFFICE+Bungalows/data=!4m7!3m6!1s0x30572fa3e15331e1:0x7d95c76c66bf8188!8m2!3d9.225942!4d98.3738962!16s%2Fg%2F11rtfflcp1!19sChIJ4TFT4aMvVzARiIG_ZmzHlX0?authuser=0&hl=ko&rclk=1,2,3.0
16,Thailand,Koh Surin,Tourist Information อุทยานแห่งชาติ หมู่เกาะสุรินทร์,,,,,,https://www.google.com/maps/place/Tourist+Information+%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4+%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%88%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%B0%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C/data=!4m7!3m6!1s0x30575e7832dfb77b:0x89fea3a509eaaf27!8m2!3d9.422917!4d97.869518!16s%2Fg%2F11c6dcx384!19sChIJe7ffMnheVzARJ6_qCaWj_ok?authuser=0&hl=ko&rclk=1,1,5.0
