data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popurality,rating
1,Japan,Kyoto,후시미 이나리 신사,"월, 화, 수, 목, 금, 토, 일: 24시간 영업",,,,국제전화번호: +81 75-641-7331 홈페이지: https://inari.jp/,https://www.google.com/maps/place/?q=place_id:ChIJIW0uPRUPAWAR6eI6dRzKGns,69541,4.6
2,Japan,Kyoto,기요미즈데라,"월, 화, 수, 목, 금, 토, 일: 오전 6:00 ~ 오후 6:00",,,,국제전화번호: +81 75-551-1234 홈페이지: https://www.kiyomizudera.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJB_vchdMIAWARujTEUIZlr2I,52540,4.5
3,Japan,Kyoto,금각사,"월, 화, 수, 목, 금, 토, 일: 오전 9:00 ~ 오후 5:00",,,,국제전화번호: +81 75-461-0013 홈페이지: https://www.shokoku-ji.jp/kinkakuji/,https://www.google.com/maps/place/?q=place_id:ChIJvUbrwCCoAWARX2QiHCsn5A4,51947,4.5
4,Japan,Kyoto,니시키 시장,알 수 없음,,,,국제전화번호: +81 75-211-3882 홈페이지: https://www.kyoto-nishiki.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJT8uMzZwIAWARnGzsARCjnrY,37468,4.2
5,Japan,Kyoto,니조 성,"월, 화, 수, 목, 금, 토, 일: 오전 8:45 ~ 오후 5:00",,,,국제전화번호: +81 75-841-0096 홈페이지: https://nijo-jocastle.city.kyoto.lg.jp/,https://www.google.com/maps/place/?q=place_id:ChIJC5srCtQHAWARLy9qkFmHaxA,34487,4.4
6,Japan,Kyoto,야사카 신사,"월, 화, 수, 목, 금, 토, 일: 24시간 영업",,,,국제전화번호: +81 75-561-6155 홈페이지: http://www.yasaka-jinja.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJqewQoHkIAWAR6RokWp3Iesc,26480,4.4
7,Japan,Kyoto,뵤도인,"월, 화, 수, 목, 금, 토, 일: 오전 8:30 ~ 오후 5:30",,,,국제전화번호: +81 774-21-2861 홈페이지: https://www.byodoin.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJqyva4AwRAWARpAf6j5MUhGA,18080,4.5
8,Japan,Kyoto,교토철도박물관,"월, 화, 목, 금, 토, 일: 오전 10:00 ~ 오후 5:00; 수: 휴무",,,, 홈페이지: https://www.kyotorailwaymuseum.jp/,https://www.google.com/maps/place/?q=place_id:ChIJQ8KtRhcGAWAR7XnOmoj6n4k,16287,4.5
9,Japan,Kyoto,도지(교왕호국사),"월, 화, 수, 목, 금, 토, 일: 오전 8:00 ~ 오후 5:00",,,,국제전화번호: +81 75-691-3325 홈페이지: https://toji.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJTar7hQQGAWAREHkXsNkt7tM,15564,4.5
10,Japan,Kyoto,키타노텐만구,"월, 화, 수, 목, 금, 토, 일: 오전 9:00 ~ 오후 5:00",,,,국제전화번호: +81 75-461-0005 홈페이지: https://www.kitanotenmangu.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJbeDwe-0HAWARGu4ubMH-Jls,14210,4.4
11,Japan,Kyoto,교토 타워,"월, 화, 수, 목, 금, 토, 일: 오전 10:00 ~ 오후 9:00",,,,국제전화번호: +81 75-361-3215 홈페이지: https://www.keihanhotels-resorts.co.jp/kyoto-tower/?utm_source=googlemb&utm_medium=KT,https://www.google.com/maps/place/?q=place_id:ChIJd9pWqK8IAWAR1L-X_-4WKew,13790,4.1
12,Japan,Kyoto,지쇼지,"월, 화, 수, 목, 금, 토, 일: 오전 8:30 ~ 오후 5:00",,,,국제전화번호: +81 75-771-5725 홈페이지: https://www.shokoku-ji.jp/ginkakuji/,https://www.google.com/maps/place/?q=place_id:ChIJ4W9CCwUJAWARyauI6BzKiiU,13619,4.5
13,Japan,Kyoto,산넨자카,"월, 화, 수, 목, 금, 토, 일: 24시간 영업",,,, ,https://www.google.com/maps/place/?q=place_id:ChIJr_gZonkIAWARB1xyACZNUKM,13300,4.4
14,Japan,Kyoto,렌게오인 (산주산겐도),"월, 화, 수, 목, 금, 토, 일: 오전 8:30 ~ 오후 5:00",,,,국제전화번호: +81 75-561-0467 홈페이지: http://www.sanjusangendo.jp/,https://www.google.com/maps/place/?q=place_id:ChIJs4Cbj8oIAWARiBZl2-sBK6o,13231,4.6
15,Japan,Kyoto,헤이안 신궁,"월, 화, 수, 목, 금, 토, 일: 오전 6:00 ~ 오후 6:00",,,,국제전화번호: +81 75-761-0221 홈페이지: http://www.heianjingu.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJjch8GOUIAWART0WX2JLZvnU,13206,4.3
16,Japan,Kyoto,텐류지,"월, 화, 수, 목, 금, 토, 일: 오전 8:30 ~ 오후 5:00",,,,국제전화번호: +81 75-881-1235 홈페이지: https://www.tenryuji.com/,https://www.google.com/maps/place/?q=place_id:ChIJk54PuAGqAWARwEgz_9o-nM0,13061,4.4
17,Japan,Kyoto,가모미오야 신사 (시모가모 신사),"월, 화, 수, 목, 금, 토, 일: 오전 6:00 ~ 오후 5:00",,,,국제전화번호: +81 75-781-0010 홈페이지: http://www.shimogamo-jinja.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJf438RkAIAWARzM3lfzI7uAM,12290,4.4
18,Japan,Kyoto,교토수족관,"월, 화, 수, 목, 금: 오전 10:00 ~ 오후 6:00; 토, 일: 오전 9:00 ~ 오후 7:00",,,,국제전화번호: +81 75-354-3130 홈페이지: https://www.kyoto-aquarium.com/,https://www.google.com/maps/place/?q=place_id:ChIJXdx4CxwGAWARWUbHqiTaF1Q,11721,4.2
19,Japan,Kyoto,몽키파크,"월, 화, 수, 목, 금, 토, 일: 오전 9:00 ~ 오후 4:00",,,,국제전화번호: +81 75-872-0950 홈페이지: http://www.monkeypark.jp/,https://www.google.com/maps/place/?q=place_id:ChIJvUn7bqsAAWARsjQHQ7CTNBs,10607,4.5
20,Japan,Kyoto,남선사,"월, 화, 수, 목, 금, 토, 일: 오전 8:40 ~ 오후 5:00",,,,국제전화번호: +81 75-771-0365 홈페이지: https://nanzenji.or.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ_fuXcyEJAWARTQDnx6Q5szg,10274,4.5
21,Japan,Kyoto,아라시야마 치쿠린,"월, 화, 수, 목, 금, 토, 일: 24시간 영업",,,,국제전화번호: +81 75-343-0548 홈페이지: https://ja.kyoto.travel/tourism/single01.php?category_id=8&tourism_id=2683,https://www.google.com/maps/place/?q=place_id:ChIJrYtcv-urAWAR3XzWvXv8n_s,9505,4.3
22,Japan,Kyoto,료안지,"월, 화, 수, 목, 금, 토, 일: 오전 8:00 ~ 오후 5:00",,,,국제전화번호: +81 75-463-2216 홈페이지: http://www.ryoanji.jp/,https://www.google.com/maps/place/?q=place_id:ChIJp7ocMCqoAWARQoXXRj4Xq-E,8928,4.4
