data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Japan,Kyoto,후시미 이나리 신사,,,산 중턱에 있는 신사로 711년에 지어졌으며 수백 개의 전통적인 문이 있는 길이 특징입니다.,,,https://www.google.com/maps/place/%ED%9B%84%EC%8B%9C%EB%AF%B8+%EC%9D%B4%EB%82%98%EB%A6%AC+%EC%8B%A0%EC%82%AC/data=!4m7!3m6!1s0x60010f153d2e6d21:0x7b1aca1c753ae2e9!8m2!3d34.9676945!4d135.7791876!16zL20vMDVsZHJt!19sChIJIW0uPRUPAWAR6eI6dRzKGns?authuser=0&hl=ko&rclk=1,69829,4.6
2,Japan,Kyoto,기요미즈데라,,,탁 트인 베란다에서 보는 경관이 유명한 오토와 산의 상징적인 불교 사원입니다.,,,https://www.google.com/maps/place/%EA%B8%B0%EC%9A%94%EB%AF%B8%EC%A6%88%EB%8D%B0%EB%9D%BC/data=!4m7!3m6!1s0x600108d385dcfb07:0x62af658650c434ba!8m2!3d34.9946662!4d135.784661!16zL20vMDJ5bjNn!19sChIJB_vchdMIAWARujTEUIZlr2I?authuser=0&hl=ko&rclk=1,52783,4.5
3,Japan,Kyoto,금각사,,,유서 깊은 고요한 사원으로 조경 정원과 연못 사이에 금박 누각이 있습니다.,,,https://www.google.com/maps/place/%EA%B8%88%EA%B0%81%EC%82%AC/data=!4m7!3m6!1s0x6001a820c0eb46bd:0xee4272b1c22645f!8m2!3d35.03937!4d135.7292431!16zL20vMDFrbjR3!19sChIJvUbrwCCoAWARX2QiHCsn5A4?authuser=0&hl=ko&rclk=1,52179,4.5
4,Japan,Kyoto,니시키 시장,,,400년 역사를 자랑하는 유명한 시장에 다양한 종류의 일본 식품을 판매하는 판매대가 자리합니다.,,,https://www.google.com/maps/place/%EB%8B%88%EC%8B%9C%ED%82%A4+%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x6001089ccd8ccb4f:0xb69ea31001ec6c9c!8m2!3d35.0050258!4d135.764723!16s%2Fm%2F03d6_6p!19sChIJT8uMzZwIAWARnGzsARCjnrY?authuser=0&hl=ko&rclk=1,37710,4.2
5,Japan,Kyoto,니조 성,,,1603년에 사이프러스 나무로 지은 성으로 광대한 정원을 갖추고 있으며 쇼군 이에야스의 거처로 이용되었습니다.,,,https://www.google.com/maps/place/%EB%8B%88%EC%A1%B0+%EC%84%B1/data=!4m7!3m6!1s0x600107d40a2b9b0b:0x106b8759906a2f2f!8m2!3d35.0140379!4d135.7484258!16zL20vMDJubmh4!19sChIJC5srCtQHAWARLy9qkFmHaxA?authuser=0&hl=ko&rclk=1,34592,4.4
6,Japan,Kyoto,Kyoto Station Building,,,,,,https://www.google.com/maps/place/Kyoto+Station+Building/data=!4m7!3m6!1s0x600108ae5f6f934f:0x467a00fa43ecd946!8m2!3d34.9860358!4d135.7589981!16s%2Fg%2F1td6gcvj!19sChIJT5NvX64IAWARRtnsQ_oAekY?authuser=0&hl=ko&rclk=1,17927,4.1
7,Japan,Kyoto,교토철도박물관,,,"철도, 각종 증기 기관차, 기차를 전시하는 현대적인 공간입니다.",,,https://www.google.com/maps/place/%EA%B5%90%ED%86%A0%EC%B2%A0%EB%8F%84%EB%B0%95%EB%AC%BC%EA%B4%80/data=!4m7!3m6!1s0x6001061746adc243:0x899ffa889ace79ed!8m2!3d34.9870986!4d135.7422732!16s%2Fm%2F07kc9qj!19sChIJQ8KtRhcGAWAR7XnOmoj6n4k?authuser=0&hl=ko&rclk=1,16342,4.5
8,Japan,Kyoto,도지(교왕호국사),,,5층 목조 탑과 8세기에 만든 신상이 있는 유서 깊은 불교 사원입니다.,,,https://www.google.com/maps/place/%EB%8F%84%EC%A7%80%28%EA%B5%90%EC%99%95%ED%98%B8%EA%B5%AD%EC%82%AC%29/data=!4m7!3m6!1s0x6001060485fbaa4d:0xd3ee2dd9b0177910!8m2!3d34.9805982!4d135.747786!16zL20vMDNjX2Ri!19sChIJTar7hQQGAWAREHkXsNkt7tM?authuser=0&hl=ko&rclk=1,15597,4.5
9,Japan,Kyoto,교토 타워,,,"탑에 있는 전망대에 망원경과 터치스크린 가이드, 푸드 코트가 마련되어 있습니다.",,,https://www.google.com/maps/place/%EA%B5%90%ED%86%A0+%ED%83%80%EC%9B%8C/data=!4m7!3m6!1s0x600108afa856da77:0xec2916eeff97bfd4!8m2!3d34.9875205!4d135.7592518!16zL20vMDVranQ0!19sChIJd9pWqK8IAWAR1L-X_-4WKew?authuser=0&hl=ko&rclk=1,13857,4.1
10,Japan,Kyoto,지쇼지,,,이 15세기 일본 선종 불교 사원에 아름다운 정원과 후지산 모양의 모래 언덕이 있습니다.,,,https://www.google.com/maps/place/%EC%A7%80%EC%87%BC%EC%A7%80/data=!4m7!3m6!1s0x600109050b426fe1:0x258aca1ce888abc9!8m2!3d35.0270213!4d135.7982058!16zL20vMDJ5NG05!19sChIJ4W9CCwUJAWARyauI6BzKiiU?authuser=0&hl=ko&rclk=1,13668,4.5
