data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Lampang,Wat Phrathat Lampang Luang,,,,,,https://www.google.com/maps/place/Wat+Phrathat+Lampang+Luang/data=!4m7!3m6!1s0x30d9683e3b605087:0x19cf508ae99bae93!8m2!3d18.217308!4d99.3893462!16s%2Fm%2F02phy98!19sChIJh1BgOz5o2TARk66b6YpQzxk?authuser=0&hl=ko&rclk=1,12464,4.7
2,Thailand,Lampang,째선 국립공원,,,,,,https://www.google.com/maps/place/%EC%A7%B8%EC%84%A0+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x30d996bb07cc9469:0xa0134b9c86cbb300!8m2!3d18.836605!4d99.47068!16s%2Fm%2F0w68pkq!19sChIJaZTMB7uW2TARALPLhpxLE6A?authuser=0&hl=ko&rclk=1,4564,4.6
3,Thailand,Lampang,Wat Prathat Doi Prachan,,,,,,https://www.google.com/maps/place/Wat+Prathat+Doi+Prachan/data=!4m7!3m6!1s0x30d941453e9ea847:0xb153e476e5a8c6e!8m2!3d18.1111001!4d99.4712379!16s%2Fg%2F11b749kqbd!19sChIJR6iePkVB2TARboxabkc-FQs?authuser=0&hl=ko&rclk=1,3021,4.7
4,Thailand,Lampang,Thai Elephant Conservation Center,,,,,,https://www.google.com/maps/place/Thai+Elephant+Conservation+Center/data=!4m7!3m6!1s0x30d963110770ea5d:0x8c8fa713e2558320!8m2!3d18.3600666!4d99.2472345!16s%2Fg%2F1hm2n2f_8!19sChIJXepwBxFj2TARIINV4hOnj4w?authuser=0&hl=ko&rclk=1,1839,4.4
5,Thailand,Lampang,Dhanabadee Ceramic Museum,,,전통 방식으로 직접 무늬를 그려 밥그릇을 제조하는 공장의 생산 과정을 안내합니다.,,,https://www.google.com/maps/place/Dhanabadee+Ceramic+Museum/data=!4m7!3m6!1s0x30d96b6347acd75d:0xa4e26cb4b2901e76!8m2!3d18.2803109!4d99.5127344!16s%2Fg%2F1pt_4f69k!19sChIJXdesR2Nr2TARdh6QsrRs4qQ?authuser=0&hl=ko&rclk=1,1750,4.7
6,Thailand,Lampang,Atsawin Market,,,,,,https://www.google.com/maps/place/Atsawin+Market/data=!4m7!3m6!1s0x30d96c77ae932c9f:0x9934b820536b626f!8m2!3d18.2882433!4d99.4869498!16s%2Fg%2F11bxf3k3yl!19sChIJnyyTrnds2TARb2JrUyC4NJk?authuser=0&hl=ko&rclk=1,1722,4.2
7,Thailand,Lampang,Kelang Nakhon Public Park,,,,,,https://www.google.com/maps/place/Kelang+Nakhon+Public+Park/data=!4m7!3m6!1s0x30d96c76cf2c57c7:0x18c44be1c2d806cc!8m2!3d18.2917941!4d99.4868529!16s%2Fg%2F1hd_7grf0!19sChIJx1csz3Zs2TARzAbYwuFLxBg?authuser=0&hl=ko&rclk=1,1215,4.4
8,Thailand,Lampang,Hug You Sheep Farm,,,,,,https://www.google.com/maps/place/Hug+You+Sheep+Farm/data=!4m7!3m6!1s0x30d9431507eeec17:0x685f233b088eabd2!8m2!3d18.1299968!4d99.3915055!16s%2Fg%2F11b6nwtslf!19sChIJF-zuBxVD2TAR0quOCDsjX2g?authuser=0&hl=ko&rclk=1,1098,4.1
9,Thailand,Lampang,Lampang Cultural Street Market,,,,,,https://www.google.com/maps/place/Lampang+Cultural+Street+Market/data=!4m7!3m6!1s0x30d96c85e468a8ab:0xf282d2e54fd9c723!8m2!3d18.2959995!4d99.5065886!16s%2Fg%2F11clg9w8zl!19sChIJq6ho5IVs2TARI8fZT-XSgvI?authuser=0&hl=ko&rclk=1,909,4.5
10,Thailand,Lampang,HOP INN Lampang,,,,,,https://www.google.com/maps/place/HOP+INN+Lampang/data=!4m10!3m9!1s0x30d96b8917ffe115:0x11e5bb98f60bb4a9!5m2!4m1!1i2!8m2!3d18.2816469!4d99.4862301!16s%2Fg%2F11b6svvrzp!19sChIJFeH_F4lr2TARqbQL9pi75RE?authuser=0&hl=ko&rclk=1,899,4.2
