data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Lijiang,玉龙雪山,,,,,,https://www.google.com/maps/place/%E7%8E%89%E9%BE%99%E9%9B%AA%E5%B1%B1/data=!4m7!3m6!1s0x3720bf5f4bd6b879:0x1f5b663d4dd2ea5a!8m2!3d27.097221!4d100.261188!16s%2Fg%2F1tj87sqj!19sChIJebjWS1-_IDcRWurSTT1mWx8?authuser=0&hl=ko&rclk=1,1168,4.6
2,China,Lijiang,Old Town of Lijiang,,,"800년의 역사를 지닌 도시 지역으로 조약돌 거리, 시내, 교량, 전통적인 나시족 거주지 등이 있습니다.",,,https://www.google.com/maps/place/Old+Town+of+Lijiang/data=!4m7!3m6!1s0x3720b584064c0c01:0x2ca3f44972f75fb5!8m2!3d26.8718026!4d100.2358502!16s%2Fm%2F043s145!19sChIJAQxMBoS1IDcRtV_3ckn0oyw?authuser=0&hl=ko&rclk=1,1004,4.5
3,China,Lijiang,丽江黑龙潭,,,"유서 깊은 사원과 고요한 연못, 대리석 다리가 있으며 위룽설산의 전경을 감상할 수 있습니다.",,,https://www.google.com/maps/place/%E4%B8%BD%E6%B1%9F%E9%BB%91%E9%BE%99%E6%BD%AD/data=!4m7!3m6!1s0x3720ca3cec93d463:0x85456ec3fe749495!8m2!3d26.883374!4d100.233445!16s%2Fm%2F02w1znf!19sChIJY9ST7DzKIDcRlZR0_sNuRYU?authuser=0&hl=ko&rclk=1,586,4.4
4,China,Lijiang,Jade Water Village,,,,,,https://www.google.com/maps/place/Jade+Water+Village/data=!4m7!3m6!1s0x3720c63ac5401103:0xee956f74607ce4d!8m2!3d27.003115!4d100.201938!16s%2Fg%2F1hc1z5bm5!19sChIJAxFAxTrGIDcRTc4HRvdW6Q4?authuser=0&hl=ko&rclk=1,525,4.3
5,China,Lijiang,"Yulong Xueshan, Jade Dragon Snow Mountain",,,,,,"https://www.google.com/maps/place/Yulong+Xueshan,+Jade+Dragon+Snow+Mountain/data=!4m7!3m6!1s0x3720c3d93cf9e171:0xc41d19ba93078956!8m2!3d27.0983333!4d100.175!16zL20vMGRfbnA4!19sChIJceH5PNnDIDcRVokHk7oZHcQ?authuser=0&hl=ko&rclk=1",415,4.7
6,China,Lijiang,玉河广场,,,,,,https://www.google.com/maps/place/%E7%8E%89%E6%B2%B3%E5%B9%BF%E5%9C%BA/data=!4m7!3m6!1s0x3720ca3eecbf1a73:0x93c78c0d5ab9ca6e!8m2!3d26.87603!4d100.23404!16s%2Fg%2F1vknmqrt!19sChIJcxq_7D7KIDcRbsq5Wg2Mx5M?authuser=0&hl=ko&rclk=1,404,4.3
7,China,Lijiang,Tiger Leaping Gorge,,,세계에서 가장 깊은 천연 협곡 중 하나로 강과 산책로를 내려다보고 있습니다.,,,https://www.google.com/maps/place/Tiger+Leaping+Gorge/data=!4m7!3m6!1s0x3720e825fc6ccfa9:0xb8609916f2ea8cca!8m2!3d27.18939!4d100.113878!16zL20vMDY0ZDJz!19sChIJqc9s_CXoIDcRyozq8haZYLg?authuser=0&hl=ko&rclk=1,400,4.6
8,China,Lijiang,九鼎龙潭,,,,,,https://www.google.com/maps/place/%E4%B9%9D%E9%BC%8E%E9%BE%99%E6%BD%AD/data=!4m7!3m6!1s0x3720c91278b54a2f:0x38d76073636b120b!8m2!3d26.923919!4d100.203865!16s%2Fg%2F1tdfg111!19sChIJL0q1eBLJIDcRCxJrY3Ng1zg?authuser=0&hl=ko&rclk=1,338,4.2
9,China,Lijiang,Lijiang Railway Station Square,,,,,,https://www.google.com/maps/place/Lijiang+Railway+Station+Square/data=!4m7!3m6!1s0x3720caaf7ac18e1f:0x36e21a40a27af0d5!8m2!3d26.811665!4d100.252221!16s%2Fg%2F11c2ny156s!19sChIJH47Beq_KIDcR1fB6okAa4jY?authuser=0&hl=ko&rclk=1,327,4.2
10,China,Lijiang,Black Dragon Pool （Northwest Gate）,,,,,,https://www.google.com/maps/place/Black+Dragon+Pool+%EF%BC%88Northwest+Gate%EF%BC%89/data=!4m7!3m6!1s0x3720ca23a2b2c5d5:0x47c1f2f4238f18a0!8m2!3d26.887185!4d100.233428!16s%2Fg%2F11h145p7q!19sChIJ1cWyoiPKIDcRoBiPI_TywUc?authuser=0&hl=ko&rclk=1,312,4.3
11,China,Lijiang,Yangtze River Bay Lookout,,,,,,https://www.google.com/maps/place/Yangtze+River+Bay+Lookout/data=!4m7!3m6!1s0x3720d22c01488223:0xd7efe329c1fbdb42!8m2!3d26.902949!4d100.041254!16s%2Fg%2F113dn85dc!19sChIJI4JIASzSIDcRQtv7wSnj79c?authuser=0&hl=ko&rclk=1,261,3.8
12,China,Lijiang,Blue Moon Valley,,,,,,https://www.google.com/maps/place/Blue+Moon+Valley/data=!4m7!3m6!1s0x3720c089c0403b13:0x84bf7d7910d0c702!8m2!3d27.125833!4d100.244686!16s%2Fg%2F113jtfs5h!19sChIJEztAwInAIDcRAsfQEHl9v4Q?authuser=0&hl=ko&rclk=1,238,4.7
13,China,Lijiang,Shuhe Ancient Town,,,,,,https://www.google.com/maps/place/Shuhe+Ancient+Town/data=!4m7!3m6!1s0x3720c973d75e12cd:0x67113b207008f815!8m2!3d26.915079!4d100.207049!16s%2Fg%2F1tfnwyrr!19sChIJzRJe13PJIDcRFfgIcCA7EWc?authuser=0&hl=ko&rclk=1,234,4.4
