data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Mae Hong Son,Pang Ung,,,,,,https://www.google.com/maps/place/Pang+Ung/data=!4m7!3m6!1s0x30d00422101421bd:0xfb2e41c65e203d76!8m2!3d19.498392!4d97.9092037!16s%2Fg%2F11bc962d84!19sChIJvSEUECIE0DARdj0gXsZBLvs?authuser=0&hl=ko&rclk=1,3574,4.5
2,Thailand,Mae Hong Son,도이 꽁무 사원(왓 프라탓 도이 꽁무),,,,,,https://www.google.com/maps/place/%EB%8F%84%EC%9D%B4+%EA%BD%81%EB%AC%B4+%EC%82%AC%EC%9B%90%28%EC%99%93+%ED%94%84%EB%9D%BC%ED%83%93+%EB%8F%84%EC%9D%B4+%EA%BD%81%EB%AC%B4%29/data=!4m7!3m6!1s0x30daa5f1aaaaaaab:0xca043cd74f1bf1d0!8m2!3d19.3000638!4d97.9605217!16s%2Fg%2F121dczq4!19sChIJq6qqqvGl2jAR0PEbT9c8BMo?authuser=0&hl=ko&rclk=1,3290,4.6
3,Thailand,Mae Hong Son,Doi Kiew Lom Viewpoint,,,,,,https://www.google.com/maps/place/Doi+Kiew+Lom+Viewpoint/data=!4m7!3m6!1s0x30d079dcd96b097f:0x42f9e8019fd02540!8m2!3d19.4457839!4d98.3191576!16s%2Fg%2F11csq61cww!19sChIJfwlr2dx50DARQCXQnwHo-UI?authuser=0&hl=ko&rclk=1,2597,4.5
4,Thailand,Mae Hong Son,Ban Rak Thai,,,,,,https://www.google.com/maps/place/Ban+Rak+Thai/data=!4m7!3m6!1s0x30d0042cf8f1b971:0xfe9f1eacc4d30d6f!8m2!3d19.5869884!4d97.9425823!16s%2Fg%2F1hm54tg7r!19sChIJcbnx-CwE0DARbw3TxKwen_4?authuser=0&hl=ko&rclk=1,2570,4.6
5,Thailand,Mae Hong Son,탐롯 동굴,,,,,,https://www.google.com/maps/place/%ED%83%90%EB%A1%AF+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x30d06fd91af19d1d:0x6a19224c76e57e7a!8m2!3d19.5653815!4d98.2791835!16zL20vMDl0cHg3!19sChIJHZ3xGtlv0DARen7ldkwiGWo?authuser=0&hl=ko&rclk=1,1751,4.5
6,Thailand,Mae Hong Son,Tham Pla - Namtok Pha Suea National Park Office,,,,,,https://www.google.com/maps/place/Tham+Pla+-+Namtok+Pha+Suea+National+Park+Office/data=!4m7!3m6!1s0x30d00ed91a92c337:0x740197075623bc29!8m2!3d19.4256032!4d97.9871311!16s%2Fg%2F11h07yl3b!19sChIJN8OSGtkO0DARKbwjVgeXAXQ?authuser=0&hl=ko&rclk=1,1631,4.3
7,Thailand,Mae Hong Son,Garden of Reeds,,,,,,https://www.google.com/maps/place/Garden+of+Reeds/data=!4m7!3m6!1s0x30d7071b275fb211:0x8ca21f2562481cc6!8m2!3d19.9252992!4d99.863972!16s%2Fg%2F11bx936t0n!19sChIJEbJfJxsH1zARxhxIYiUfoow?authuser=0&hl=ko&rclk=1,1177,4.5
8,Thailand,Mae Hong Son,Pha Bong Viewpoint,,,,,,https://www.google.com/maps/place/Pha+Bong+Viewpoint/data=!4m7!3m6!1s0x30dabaef06b80f67:0xc2fdd0abec0d62e7!8m2!3d19.1714805!4d97.9896302!16s%2Fg%2F11bxdvshj5!19sChIJZw-4Bu-62jAR52IN7KvQ_cI?authuser=0&hl=ko&rclk=1,997,4.4
9,Thailand,Mae Hong Son,Su Tong Pae Bridge,,,,,,https://www.google.com/maps/place/Su+Tong+Pae+Bridge/data=!4m7!3m6!1s0x30daa9b0215a385d:0x9e24de82e71da9d7!8m2!3d19.3889869!4d97.9541616!16s%2Fg%2F11np4zc15n!19sChIJXThaIbCp2jAR16kd54LeJJ4?authuser=0&hl=ko&rclk=1,958,4.5
10,Thailand,Mae Hong Son,매 파 루앙 정원,,,,,,https://www.google.com/maps/place/%EB%A7%A4+%ED%8C%8C+%EB%A3%A8%EC%95%99+%EC%A0%95%EC%9B%90/data=!4m7!3m6!1s0x30d6f0d4e0ee87f9:0x904d35060bc6849a!8m2!3d20.289574!4d99.8102921!16s%2Fg%2F11b86wnjld!19sChIJ-Yfu4NTw1jARmoTGCwY1TZA?authuser=0&hl=ko&rclk=1,936,4.7
11,Thailand,Mae Hong Son,Pam Bok Waterfall,,,,,,https://www.google.com/maps/place/Pam+Bok+Waterfall/data=!4m7!3m6!1s0x30da817a2e4ede11:0x96ec0a1c9be47a20!8m2!3d19.3205361!4d98.4051992!16s%2Fg%2F11b6zr77b6!19sChIJEd5OLnqB2jARIHrkmxwK7JY?authuser=0&hl=ko&rclk=1,867,3.3
12,Thailand,Mae Hong Son,Fern Resort,,,,,,https://www.google.com/maps/place/Fern+Resort/data=!4m10!3m9!1s0x30daa5fdebe49bc3:0x2da379b0477ebd0a!5m2!4m1!1i2!8m2!3d19.2557888!4d97.9896697!16s%2Fg%2F1tg0hbf9!19sChIJw5vk6_2l2jARCr1-R7B5oy0?authuser=0&hl=ko&rclk=1,713,4.5
